"UNL_DESC_RESPECT_LUCHA_3": "升级三秒压制据点后，你获得的所有声望额外增加 15%%。"
"UNL_DESC_WEAPON_KILLBANES_GLOVES": "杀霸的摔跤手套末日神拳现已可在你的据点武器库获取。"
"UNL_DESC_WIPE_NOTORIETY_POLICE": "呼叫后清除警方的恶名"
"UNL_DESC_INCOME_DECKER_1": "你从斯坦菲尔德区域获得的每小时城市收入额外增加 5%%"
"UNL_DESC_ZOMBIE_BACKUP": "丧尸赶来助战"
"UNL_WEP_SONIC_WAVE_GUN": "武器 - 音爆"
"TUT_TITLE_COMBAT_MELEE_BASH": "蛋蛋突袭"
"UNL_INCOME_MSTAR_2": "区域每小时现金"
"UNL_DESC_FASTER_RELOAD_2": "你装填所有武器的速度更快"
"TUT_WHORED_D_ITS_A_TRAP": "这是个陷阱"
"UNL_DESC_SAINTSHQ": "顶层公寓现在是圣徒据点。在这里可以存取武器库、衣服，并定制你的帮派。"
"HUD_USE_CRIB": "进入据点"
"TUT_WHORED_D_TOKYO_BEWARE": "当心东京！"
"TUT_STRONGHOLD_CUSTOMIZATION": "根据地定制允许你将根据地升级为庞大的建筑，提供更完善的据点功能与其他加成。"
"UNL_DESC_GANG_NPC_SPACE": "你的帮派现在可以收纳太空圣徒。"
"UNL_DLC_MEDIA01_ALERT": "一击命中包"
"UNL_DESC_CLOTHING_BLOWUP": "充气道具服装已加入你的据点衣橱。"
"UNL_VEHICLE_MARS_ROVER": "载具 - 火星车"
"TUT_WHORED_D_YKANO": "Y.卡诺"
"UNL_FASTER_HOMIE_REVIVE_2": "复活 - 速度 2"
"UNL_UPGRADE_AMMO_SHOTGUN_1": "弹药 - 霰弹枪"
"HOMIES_DRIVEUP_DESC": "将你储存在据点车库的任意载具直接送到你面前。"
"UNL_DLC_PREORDER02_WEAPONS": "武器 - 闪耀霰弹枪"
"UNL_DESC_PLAYER_HEALTH_1": "玩家生命值提升 25%%"
"HOMIES_VTOL_DESC": "让一名兄弟空投一架 VTOL。"
"DISTRICT_NORTH_WEST": "斯坦菲尔德"
"UNL_ESCORT": "护花使者"
"UNL_SAINTS_BACKUP": "兄弟 - 圣徒后援"
"UNL_UNLIMITED_AMMO_EXPLOSIVES": "弹药 - 炸药 4"
"UNL_DESC_CRIB_3COUNT": "三秒压制现在是圣徒据点。在这里可以存取武器库、衣服，并定制你的帮派。"
"UNL_DLC_ASSET05_ALERT": "恐怖包"
"UNL_DESC_DLC_ASSET03_OUTFITS03": "晨星帮士兵服装。"
"UNL_DESC_HOMIE_NYTEBLAYDE": "夜刃可在你的手机“PHONE”菜单中找到。他会在战斗中协助圣徒。"
"PLAYER_CHOICE_M22_OPTION2_BODY": "救下肖恩蒂，但杀霸会逃脱"
"UNL_DESC_UPGRADE_STORE": "在你的手机升级菜单中购买新的能力、加成与技能。"
"UNL_RESPECT_EURO_1": "声望加成"
"UNL_DESC_HOMIE_WEAPONS": "武器兄弟可在你的手机“PHONE”菜单中找到。他会带着全套武器严阵以待。"
"TUT_TITLE_VEHICLE_ENTRY": "载具登入"
"UNL_DLC_ASSET03_OUTFITS04": "服装 - 晨星帮专家"
"UNL_PLAYER_HEALTH_3": "生命 - 升级 3"
"TUT_WHORED_A_LEAF_BLOWER": "吹叶机"
"HOOD_DT_03": "落日公园"
"UNL_SAINTSBOOK": "圣徒簿"
"UNL_VEHICLE_STAG_NFORCER": "载具 - STAG N-FORCER"
"UNL_SPRINT_3": "冲刺 - 提升 3"
"HOMIES_EMERGENCY_DESC": "呼叫医疗救援。"
"UNL_INCOME_DECKER_3": "区域每小时现金"
"UNL_DESC_DAMAGE_MELEE_3": "你造成的近战伤害提升 50%%"
"UNL_DESC_DTL_STRONGHOLD_03_CUSTOMIZATION": "这个根据地归你了！\n在伯恩斯山核反应堆据点进行自定义与升级，拓展圣徒的势力范围并获取丰厚升级奖励。"
"UNL_PROFGENKI": "元气博士"
"UNL_RESPECT_BONUS_PURCHASE2": "加成 - 声望 2"
"UNL_DESC_DAMAGE_FALL_1": "从坠落中受到的伤害减少 10%%"
"UNL_INCOME_LUCHA_3": "区域每小时现金"
"UNL_DESC_UNLIMITED_AMMO_GRENADE": "无限手雷弹药"
"TUT_WHORED_D_APOTHEOSIS": "封神"
"TUT_TITLE_MIS_02_SKYDIVE_CONTROLS": "跳伞"
"UNL_DESC_GANG_NPC_WREST": "你的帮派现在可以收纳摔跤手。"
"UNL_CYPHER_WEAPON": "武器 - TOGO-13"
"TUT_WHORED_MINI_BRUTES": "迷你壮汉"
"UNL_RESPECT_LUCHA_3": "声望加成"
"UNL_UPGRADE_AMMO_SPECIAL_1": "弹药 - 特殊"
"UNL_VEHICLE_SPOTLIGHT": "载具 - 探照灯"
"UNL_DESC_DBNO_EXTRA_TIME_1": "所有随从的失血倒地时间延长 10 秒"
"UNL_DESC_CASH_LIMIT_LUCHA_3": "升级三秒压制据点后，你的城市收入转账上限提升。"
"UNL_DLC_ASSET03_ALERT": "钢埠帮派包"
"UNL_DESC_FASTER_HOMIE_REVIVE_3": "随从复活速度提升 30%%"
"UNL_CRIB_ANGELS": "据点 - 安吉尔"
"UNL_FOLLOWER3": "帮派 - 随从 3"
"TUT_WHORED_ZOMBIE_INFERNO": "丧尸地狱火"
"TUT_WHORED_NINJAS": "忍者"
"HOMIES_KINZIE": "金吉"
"UNL_DESC_INCOME_EURO_1": "你从市中心区域获得的每小时城市收入额外增加 5%%"
"UNL_DESC_VEHICLE_CYRUS_VTOL": "你的据点车库现在提供赛勒斯·坦普尔的 VTOL。"
"UNL_DESC_UNLIMITED_AMMO_SMG": "无限冲锋枪弹药"
"UNL_DESC_HOMIE_HEALTH_1": "所有随从生命值提升 10%%"
"UNL_HOMIE_VTOL": "兄弟 - VTOL"
"HUD_LOCKON_TARGET_LOCKED": "目标已锁定"
"UNL_CLOTHING_SPACE_COSTUME": "物品 - 太空服"
"UNL_DESC_CASH_BONUS_MODIFIER": "占领晨星帮总部后，获得的所有现金额外增加 10%%"
"UNL_HEALTH_REGEN_1": "生命 - 回复"
"UNL_DESC_STRONGHOLD_02_CUSTOMIZATION": "在暗号据点定制这个根据地，获取丰厚加成。"
"UNL_DESC_DLC_GAMEPLAY03_ALERT03": "与摔跤手帮任务选择相关的奖励已发放。请查看你的据点衣橱与武器库。"
"UNL_DESC_NOTORIETY_WIPE": "这是 UNL_WIPE_NOTORIETY_LAW_ENFORCEMENT 的重复项。请向 Matt Green 反馈此问题。"
"TUT_WHORED_ROLLERHOS": "轮滑女孩"
"TUT_WHORED_MINI_NINJAS": "迷你忍者"
"UNL_AMMO_EURO_1": "武器库弹药"
"TUT_TITLE_MINIMAP": "小地图"
"HOMIES_PIERCE_DESC": "让皮尔斯为你掩护。"
"HOMIES_POLICE_NOTORIETY": "警方宽恕"
"UNL_DESC_DLC_PREORDER01_WEAPONS": "会唱歌、会爆炸、还能精神控制的章鱼！"
"UNL_VAMPIRE": "技能 - 吸血鬼"
"HASH_C7FCA82B": "请重新连接手柄并按下 {PAUSE_MENU_IMG} 继续"
"UNL_CASH_LIMIT_MSTAR_1": "转账上限"
"UNL_MUSCLES_1": "近战 - 肌肉"
"UNL_RESPECT_BONUS_PURCHASE4": "加成 - 声望 VIP"
"UNL_DESC_NOTORIETY_MSTAR_2": "你的晨星帮恶名衰减速度加快"
"UNL_DESC_RESPECT_LUCHA_1": "占领三秒压制据点后，你获得的所有声望额外增加 5%%"
"UNL_DESC_CASH_LIMIT_MSTAR_2": "升级超级销金窝据点后，你的城市收入转账上限提升。"
"UNL_VEHICLE_CYBER_TANK": "载具 - 赛博坦克"
"UNL_CASH_FOR_RESPECT_2": "兑换 - 现金换声望 2"
"UNL_HOMIE_ANGEL": "兄弟 - 死神安吉尔"
"HOMIES_TAXI_DESC": "呼叫一名出租车司机。"
"UNL_CASH_LIMIT_EURO_3": "转账上限"
"UNL_DESC_DLC_ASSET03_OUTFITS05": "赛博帮士兵服装。"
"HOMIES_OLEG_DESC": "呼叫奥列格·基尔洛夫来帮忙。"
"UNL_DESC_AUTO_COMPLETE_CTO_DISTRICT": "自动完成整个街区的城市接管玩法"
"UNL_HOMIE_PIERCE": "兄弟 - 皮尔斯·华盛顿"
"TEMP_ROCKETHAMMER": "电击锤"
"UNL_RESPECT_MSTAR_2": "声望加成"
"UNL_DESC_AMMO_DECKER_2": "你的据点武器库可多储存 10%% 弹药。"
"UNL_DLC_ASSET03_OUTFITS02": "服装 - 摔跤手专家"
"HOOD_DT_01": "亨利米尔斯钢铁厂区"
"UNL_FASTER_RELOAD_2": "更快装填 2"
"UNL_INCOME_DECKER_1": "区域每小时现金"
"UNL_DESC_DAMAGE_MELEE_1": "你造成的近战伤害提升 15%%"
"HOMIES_REYNOLDS_DESC": "和雷诺兹市长一起放松一下。"
"HOOD_BRIDGEPORT": "桥港区"
"UNL_DESC_DAMAGE_FALL_3": "从坠落中受到的伤害减少 50%%"
"TUT_WHORED_Z_UNDEAD_MARA": "不死马拉松"
"TUT_WHORED_A_WRATH_CARDINAL": "枢机之怒"
"UNL_INCOME_LUCHA_1": "区域每小时现金"
"TL_TITLE_MIS_21_RIDE_KILLBANE_CONTROLS": "骑乘杀霸"
"TUT_TITLE_COMBAT_WEAPONS": "武器库存"
"TUT_TITLE_ACT_INTRO_CYBER_BLAZING": "赛博流星"
"UNL_DESC_DLC_ASSET03_OUTFITS01": "摔跤手士兵服装。"
"UNL_CASH_MULTIPLIER_4": "加成 - 现金增益 VIP"
"UNL_WEP_CYBERSPACE_CANNON": "武器 - 赛博克星"
"UNL_RESPECT_EURO_3": "声望加成"
"UNL_CYPHER_VEHICLE": "载具 - 乌托尔拦截者"
"UNL_CYBER_VEHICLES": "载具 - 赛博空间"
"UNL_CLOTHING_BLOWUP": "服装 - 充气道具"
"UNL_CLOTHING_STAG": "服装 - STAG 装甲"
"UNL_DLC_ASSET03_OUTFITS06": "服装 - 赛博帮专家"
"UNL_DESC_DUAL_WIELD_PISTOLS": "双持手枪"
"UNL_PLAYER_HEALTH_1": "生命 - 升级"
"HUD_ANSWER_CELL": "接听手机"
"HUD_TRIGGER_NEEDS_ON_FOOT": "你必须步行才能激活此触发点"
"HOMIES_ZOMBIE_HORDE_DESC": "召唤丧尸天启降临。"
"UNL_VEHICLE_MSTAR": "车库 - 新载具"
"UNL_POLICE_CUSTOMIZATION": "物品 - 警用物品"
"UNL_DESC_GANG_CUSTOMIZATION": "帮派形象定制现已在圣徒总部开放。"
"TUT_TITLE_SHORTCUT_SPLINES": "GPS 捷径"
"UNL_DLC_PREORDER01_OUTFITS": "服装 - 欢乐时光！"
"UNL_UPGRADE_AMMO_GRENADE_2": "弹药 - 手雷 2"
"UNL_WIPE_NOTORIETY_GANG": "恶名清除 - 帮派"
"UNL_DESC_PLAYER_HEALTH_3": "玩家生命值提升 75%%"
"UNL_DESC_WEP_DILDO_BAT": "在你的据点武器库装备穿透者。"
"UNL_PICKPOCKET": "技能 - 扒手"
"WPN_DESC_NOTNEEDED": "这件武器不需要描述，若此文本出现在游戏中，请向 Matt Green 反馈。"
"HOMIES_MAYOR_REYNOLDS_NOTORIETY": "市长的青睐"
"UNL_DESC_INCOME_DECKER_3": "你从斯坦菲尔德区域获得的每小时城市收入额外增加 15%%"
"TUT_WHORED_Z_BOARDER_GUARD": "边界守卫"
"TUT_WHORED_D_MINI_SNIPER": "丘比特之天使"
"PLAYER_NEEDS_REVIVAL": "需要救援"
"UNL_GANG_NPC_NG": "帮派形象定制"
"UNL_DESC_MAYHEM": "你解锁了更多大破坏活动。\n在地图上查看地点。"
"UNL_AUTO_COMPLETE_CTO": "城市接管"
"UNL_VEHICLE_CUST_LOW_COST": "折扣 - 载具"
"HOMIES_GIANT_BALL_DESC": "这是一个巨型球！"
"UNL_DESC_CASH_LIMIT_DECKER_3": "升级伯恩斯山核反应堆据点后，你的城市收入转账上限提升。"
"UNL_UPGRADE_AMMO_PISTOL_1": "弹药 - 手枪"
"UNL_DESC_SPRINT_2": "冲刺距离延长 50%%"
"UNL_DESC_AMMO_LUCHA_1": "你的据点武器库可多储存 10%% 弹药。"
"UNL_DESC_CRIB_KINZIE": "金吉的仓库现在是圣徒据点。在这里可以存取武器库与衣服。"
"UNL_DESC_CLOTHING_STAG": "STAG 装甲现已可穿戴"
"UNL_DISCOUNT_CLOTHING": "服装店折扣"
"UNL_NOTORIETY_COPS_3": "恶名 - 警方 3"
"UNL_VEHICLE_JET_BIKE": "载具 - 喷射摩托"
"UNL_DESC_UPGRADE_AMMO_SMG_2": "可携带多 50%% 的冲锋枪弹药"
"UNL_UPGRADE_AMMO_SMG_1": "弹药 - 冲锋枪"
"UNL_DESC_DAMAGE_BULLET_2": "从子弹受到的伤害减少 10%%"
"UNL_DESC_DLC_GAMEPLAY01_ALERT": "手机中新增了作弊码。"
"UNL_DAMAGE_FALL_3": "伤害 - 坠落 3"
"UNL_HOMIE_KINZIE": "兄弟 - 金吉·肯辛顿"
"TUT_BARNSTORMING_NEW": "在城市中飞行时，寻找难以穿越的地点挑战一下。你或许能因此获得额外声望！"
"UNL_DESC_DLC_PREORDER03_OUTFITS": "防护战斗服。"
"UNL_VEHICLE_STAG_PROTOTYPE": "载具 - 原型坦克"
"UNL_GANG_WEAPONS_SMG": "帮派 - 武器 - 冲锋枪"
"UNL_DESC_DAMAGE_FIRE_2": "从火焰受到的伤害减少 30%%"
"HOOD_NE_03": "罗森橡树区"
"UNL_DLC_PREORDER04_ALERT": "鲨鱼攻击包"
"UNL_DESC_CLOTHING_GAS_MASK": "防毒面具已加入你的据点衣橱。"
"UNL_DESC_CLOTHING_TOILET": "马桶服装已加入你的据点衣橱。"
"TUT_WHORED_D_7_INNING": "第七局伸展操"
"HOMIES_PIERCE": "皮尔斯"
"UNL_DLC_GAMEPLAY03_ALERT02": "奖励 - 赛博帮"
"TUT_WHORED_Z_GROUP_RATE": "团购价"
"SHOTGUN_BLING": "闪耀霰弹枪"
"UNL_GANG_NPC_STRIP": "帮派形象定制"
"UNL_DESC_HOMIE_HP_INCREASE_1": "兄弟们获得小幅生命提升"
"UNL_UPGRADE_AMMO_RIFLE_3": "弹药 - 步枪 3"
"UNL_UPGRADE_AMMO_EXPLOSIVE_2": "弹药 - 炸药 2"
"UNL_HOMIE_HEALTH_3": "帮派 - 生命提升 3"
"UNL_DESC_INSTANT_RELOAD_SMG": "瞬间装填你的冲锋枪"
"TUT_WHORED_BRUTAL_ROCKETS": "残酷火箭"
"UNL_DESC_WEAPON_CUST_LOW_COST": "得益于马特·米勒的黑客技术，武器店价格降低 25%%"
"UNL_DESC_HEALTH_REGEN_3": "生命回复速度大幅加快"
"UNL_HOMIE_VIOLA": "兄弟 - 薇奥拉"
"UNL_DESC_GANG_NPC_HO": "你的帮派现在可以收纳女孩们。"
"UNL_DESC_RESPECT_DECKER_1": "占领伯恩斯山核反应堆据点后，你获得的所有声望额外增加 5%%"
"TUT_WHORED_A_SELF_CONSCIOUS": "自我意识"
"TUT_WHORED_SQUEAKY_CLEAN": "一尘不染"
"UNL_HELIASSAULT": "武直突击"
"UNL_DESC_LUMP_SUM_OF_MONEY": "归还女孩们后，圣徒获得 $25,000 现金报酬。"
"UNL_DESC_UNLIMITED_AMMO_SPECIAL": "无限特殊弹药"
"UNL_DESC_DAMAGE_EXPLOSIVE_NO_RAGDOLL": "被爆炸击中时你永远不会被炸飞"
"UNL_DESC_DLC_ASSET02_OUTFITS02": "官方夜刃祭坛侍者服装。"
"TUT_DRONE": "{SAT_FIRE_GUIDED_IMG} 制导导弹 \n{SAT_FIRE_FREE_IMG} 无制导导弹"
"UNL_DESC_VEHICLE_MSTAR": "晨星帮载具现已可在你的据点车库获取。"
"UNL_DESC_DLC_ASSET04_ALERT": "你的据点车库与停机坪新增了可下载内容。"
"UNL_DESC_DLC_ASSET01_OUTFITS02": "这套全身服装能唤醒你内心的武士魂。"
"UNL_DESC_UNLIMITED_AMMO_SHOTGUN": "无限霰弹枪弹药"
"UNL_DESC_DAMAGE_VEHICLE_3": "被载具撞击时受到的伤害减少 50%%"
"TUT_WHORED_A_VINTAGE_HORROR": "复古恐怖"
"HOMIES_GANG_NOTORIETY": "帮派宽恕"
"UNL_DLC_GAMEPLAY01_ALERT": "无敌包"
"UNL_STAG_CUSTOMIZATION": "物品 - STAG 物品"
"UNL_NOTORIETY_LUCHA_2": "恶名 - 摔跤手帮 2"
"UNL_DAMAGE_BULLET_4": "伤害 - 子弹 4"
"TUT_WHORED_Z_HOW_ROMANTIC": "好浪漫"
"TUT_STREAKING": "连按 {MENU_DP_DOWN_IMG} 两次开始天体。\n不穿任何衣服时即可使用天体这一消遣活动。 "
"UNL_DESC_DLC_PREORDER04_ALERT": "你的据点衣橱与武器库新增了可下载内容。"
"UNL_DESC_WEEKLY_PAYMENTS_1": "每小时城市收入 $500"
"UNL_DESC_WEP_PREDATOR_DRONE": "在你的据点武器库装备死神无人机武器。"
"HOOD_NW_03": "萨兰德"
"UNL_GIANT_BALL_HOMIE": "巨型球"
"UNL_DESC_INCOME_MSTAR_2": "你从新科尔文区域获得的每小时城市收入额外增加 10%%"
"UNL_HOMIE_HP_INCREASE_2": "兄弟 - 生命提升 2"
"UNL_CLOTHING_KILLBANES_MASK": "物品 - 杀霸的面具"
"UNL_INCOME_EURO_1": "区域每小时现金"
"UNL_DLC_CUST01_ALERT": "定制包 01"
"UNL_DESC_DLC_PREORDER04_CLOTHING": "把大白鲨的下颚戴在头上，威慑你的敌人。"
"UNL_DLC_ASSET01_OUTFITS01": "服装 - 钢埠骑士"
"UNL_GANG_VEHICLES_LUCHA": "帮派 - 新载具"
"UNL_DESC_AMMO_EURO_2": "你的据点武器库可多储存 10%% 弹药。"
"UNL_DLC_ASSET02_OUTFITS01": "服装 - 猩红炮台"
"UNL_DLC_PREORDER03_WEAPONS": "武器 - M2 榴弹发射器"
"UNL_DESC_RESPECT_BONUS_MODIFIER": "摧毁晨星帮总部后，获得的所有声望额外增加 10%%"
"TUT_WHORED_D_DRINKING_GAME": "喝酒游戏"
"HOMIES_SAINT_BACKUP_DESC": "呼叫一些圣徒增援。"
"DISTRICT_SOUTH_WEST": "卡弗岛"
"UNL_GANG_NPC_SPACE": "帮派形象定制"
"UNL_GANG_NPC_MASCOT": "帮派形象定制"
"UNL_DESC_UPGRADE_AMMO_GRENADE_3": "可携带多 100%% 的手雷"
"UNL_DESC_UPGRADE_AMMO_SHOTGUN_2": "可携带多 50%% 的霰弹枪弹药"
"UNL_DESC_PICKPOCKET": "撞向路人扒走他们的钱"
"UNL_HOMIE_SHAUNDI": "兄弟 - 肖恩蒂"
"UNL_DESC_CYPHER_WEAPON": "乌托尔用这把全自动狙击步枪，让刺杀要员变得易如反掌。"
"UNL_CLOTHING_NG": "物品 - 钢埠警卫服装"
"HOOD_SE_01": "谢拉角"
"UNL_RESPECT_DECKER_2": "声望加成"
"UNL_DESC_CASH_LIMIT_EURO_2": "升级火药据点后，你的城市收入转账上限提升。"
"UNL_AMMO_MSTAR_2": "武器库弹药"
"chainsaw": "伐木者"
"UNL_VEHICLE_DELIVERY": "兄弟 - 载具配送"
"TUT_WHORED_A_AY_DIOS": "哎哟我的天！"
"TUT_WHORED_A_APEX_PRED": "顶级掠食者"
"HOMIES_SWAT_TEAM": "特警队"
"UNL_GANG_VEHICLES_MSTAR": "帮派 - 新载具"
"UNL_DESC_RESPECT_EURO_1": "占领火药据点后，你获得的所有声望额外增加 5%%"
"UNL_DESC_DLC_PREORDER01_VEHICLES": "唯一能把活人当炮弹射出去的载具！"
"UNL_DESC_UPGRADE_AMMO_PISTOL_2": "可携带多 50%% 的手枪弹药"
"UNL_NOTORIETY_DECKERS_3": "恶名 - 赛博帮 3"
"UNL_WEP_AIRSTRIKE": "武器 - SA-3 空袭呼叫"
"TUT_CHOPSHOP": "{MAP_MENU_IMG} 访问圣徒簿 \n圣徒簿中现已提供偷车目标。找到并偷走它们以快速获利。"
"UNL_DESC_UNLIMITED_AMMO_EXPLOSIVES": "无限炸药弹药"
"UNL_DESC_UPGRADE_AMMO_RIFLE_3": "可携带多 75%% 的步枪弹药"
"UNL_DESC_INCOME_LUCHA_3": "你从卡弗岛区域获得的每小时城市收入额外增加 15%%"
"UNL_WEAPON_CUST_LOW_COST": "折扣 - 武器"
"UNL_NOTORIETY_MSTAR_3": "恶名 - 晨星帮 3"
"UNL_GANG_NPC_COP": "帮派形象定制"
"UNL_DESC_SWAT_BACKUP": "呼叫特警队协助战斗"
"UNL_DAMAGE_MELEE_3": "近战 - 威力 3"
"HOMIES_ZGAT_DESC": "复活强尼·盖特的僵尸尸体作为后援。"
"UNL_DESC_RESPECT_DECKER_3": "升级伯恩斯山核反应堆据点后，你获得的所有声望额外增加 15%%"
"UNL_DESC_VEHICLE_WATERCRAFT": "你的据点车库现在提供一批水上载具"
"UNL_DESC_SAINTS_BACKUP": "圣徒赶来助战"
"UNL_DESC_DAMAGE_EXPLOSIVE_4": "你将免疫爆炸伤害"
"NEW_BUTTON": "新"
"TUT_WHORED_D_CAAN_COOJ": "卡恩对酷J"
"TUT_ACT_INTRO_ESCORT": "让你的客人玩得开心——在城里兜风，并把狗仔队挡在你的车外。"
"UNL_GANG_NPC_WREST": "帮派形象定制"
"UNL_DESC_UPGRADE_AMMO_SPECIAL_2": "可携带多 50%% 的特殊弹药"
"UNL_DESC_AMMO_MSTAR_2": "你的据点武器库可多储存 10%% 弹药。"
"UNL_VEHICLE_AIRCRAFT": "载具 - 飞行器"
"UNL_DESC_DAMAGE_VEHICLE_1": "被载具撞击时受到的伤害减少 10%%"
"HOMIES_SHAUNDI_DESC": "叫肖恩蒂来帮你。"
"UNL_DESC_GANG_NPC_COP": "你的帮派现在可以收纳警察。"
"UNL_GANG_WEAPONS_SHOTGUN": "帮派 - 武器 - 霰弹枪"
"TUT_WHORED_Z_ERECTILE": "勃起功能障碍"
"HOMIES_DRIVEUP": "载具配送"
"UNL_DESC_DLC_PREORDER04_WEAPONS": "把敌人当饵料撒下，看看会冒出什么！"
"UNL_DESC_HOMIE_HP_INCREASE_3": "兄弟们获得大幅生命提升"
"UNL_NOTORIETY_WIPE": "恶名清除 -?"
"UNL_CLOTHING_TOILET": "服装 - 马桶"
"UNL_VEHICLE_STAG_TANK": "载具 - STAG 坦克"
"UNL_HOMIE_HEALTH_1": "帮派 - 生命提升"
"TUT_WHORED_D_SAUSAGE": "香肠派对"
"HASH_EBC06667": "分辨率"
"HASH_54FEDA67": "性能"
"UNL_ZOMBIE_BACKUP": "兄弟 - 丧尸后援"
"UNL_DESC_HEALTH_REGEN_1": "生命回复速度略微加快"
"UNL_DESC_DLC_PREORDER02_ALERT": "你的据点衣橱与武器库新增了可下载内容。"
"UNL_UPGRADE_AMMO_SMG_3": "弹药 - 冲锋枪 3"
"UNL_GARAGE_TANK": "载具 - 坦克"
"TUT_WHORED_A_RECYCLE": "回收"
"TUT_WHORED_GATATTACK": "盖特突袭"
"UNL_DESC_SNATCH": "你解锁了更多拐人救美活动。\n在地图上查看地点。"
"UNL_DAMAGE_FALL_1": "伤害 - 坠落"
"UNL_DESC_HOMIE_ZIMOS": "齐莫斯可在你的手机“PHONE”菜单中找到。他会在战斗中协助圣徒。"
"UNL_DESC_GANG_VEHICLES_DECKER": "你的帮派现在可以使用赛博帮载具。"
"UNL_WEP_RC_VEHICLE_GUN": "武器 - 遥控夺取器"
"TUT_WHORED_MEGA_ZOMBIE": "巨型丧尸"
"TUT_NAG_SPRINTING": "记住：使用 {SPRINT_IMG} 冲刺来快速移动"
"HOOD_NE_01": "韦斯利·卡特国际机场"
"SMG_STORM": "D4TH 花瓣"
"UNL_DESC_CASH_LIMIT_DECKER_1": "占领伯恩斯山核反应堆据点后，你的城市收入转账上限提升。"
"UNL_UPGRADE_AMMO_PISTOL_3": "弹药 - 手枪 3"
"UNL_DESC_NOTORIETY_DECKERS_2": "你的赛博帮恶名衰减速度加快"
"UNL_HOMIE_ZGAT": "兄弟 - 丧尸盖特"
"TUT_WHORED_D_SECRET_AGENTS": "秘密特工"
