"MENU_LEFT_MOUSE": "鼠标左键"
"COMMUNITY_SITE_BLURB": "上传你的首个角色即可获得成就。\n\n在线浏览角色并在游戏中使用。\n\n参与挑战赢取游戏内物品。\n\n在实时社区地图上追踪社区动态，并查看你的个人地图。\n\n获取仅限社区的黑道圣徒周边与游戏内容优惠。"
"CBA_OFC_TAUNT_TWO": "   嘲讽"
"CBA_GAC_RECRUIT_DISMISS": "   招募 / 解散"
"CBA_OFC_ATTACK_PRIMARY": "   攻击"
"CBA_VDC_HELI_UP": "   向上移动"
"MENU_CATEGORY_TANK": "坦克"
"CBA_OFC_CROUCH_TOGGLE": "   蹲伏（切换）"
"CBA_VDC_NEXT_RADIO": "   下一个电台"
"PLT_MENU_ASPECT": "宽高比"
"PC_ENVIRONMENT": "环境"
"PC_GS_BACKGROUND_HINT": "切换背景渲染"
"HASH_8DFAAC67": "你必须通过 GOG 上线，或重新连接互联网才能使用此功能。"
"SAVE_WARNING_BOOT": "[format][color:#9400c5]本游戏具备自动保存功能。当屏幕上出现此提示时，游戏正在保存到自动存档槽。[/format]"
"CBA_OFC_PICKUP_RELOAD": "   拾取 / 换弹"
"CBA_VDC_HANDBRAKE": "   漂移"
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "你正在使用的 STEAM 账号已关联 THQ ID。"
"MENU_CONTROLLER_OPTIONS_TITLE": "手柄"
"MENU_MOUSE_CONTROLS_INVERT_Y": "反转垂直轴"
"CBA_GAC_WEAPON_SELECT_8": "   武器槽 8"
"PC_RECORD_MODE_QUALITY_LOW": "480p（低）"
"MAIN_MENU_MATCHMAKING_FAIL": "STEAM 匹配未能找到任何可连接的游戏。"
"CBA_GAC_GRENADE_SELECT_2": "   手雷槽 2"
"CAA_WALK_TURN_LEFT_RIGHT_NEG": "   向左移动"
"CBA_VDC_CRUISE_CONTROL_B": "   切换定速巡航"
"PC_RECORD_MODE_FAILED_EXPORT": "内部错误导致视频保存失败。"
"TUT_COMBAT_GRENADES_PC": "{ATTACK_SECONDARY_IMG} 投掷手雷 \n{GRENADE_SWITCH_IMG} 更换已装备手雷"
"MENU_MIDDLE_MOUSE": "鼠标中键"
"CBA_VDC_NITRO": "   氮气加速"
"PLT_MENU_FULL_SCREEN": "全屏"
"HASH_299A8B6B": "无边框"
"HASH_58A675AB": "GOG 匹配"
"HASH_6A37FFEB": "匹配未能找到任何可连接的游戏。"
"COMMUNITY_CREATE_LINK_TEXT": "在这里你可以创建新的 THQ ID，或将你的 STEAM 账号关联到已有账号。"
"CBA_GAC_PAUSE_MENU": "   暂停"
"CBA_VDC_HELI_TURN_RIGHT": "   向右转"
"TUT_AIRPLANE_CONTROL_ALT_PC": "{PLANE_ACCELERATE_IMG} 加速 \n{PLANE_BRAKE_REVERSE_IMG} 刹车 + 倒车 \n{PLANE_ROLL_TURN_SELECT_IMG}+{PLANE_LEFT_RIGHT_IMG} 急转弯"
"SAVE_CLIP": "保存过场剪辑"
"CBA_VDC_HELI_FIRE_PRIMARY": "   开火"
"CAA_PLANE_PITCH_UP_DOWN_POS": "   下降"
"PC_SOUNDFX_HINT": "开启/关闭所有音效"
"PC_SM_VERY_FAST": "极快"
"TUT_NP_TANK_CONTROLS_PC": "{TANK_FORW_BACK_IMG} / {TANK_LEFT_RIGHT_IMG} 移动 \n移动鼠标瞄准 \n{TANK_FIRE_SECONDARY_IMG} 开火（主武器） \n{TANK_FIRE_PRIMARY_IMG} 开火（副武器）"
"CBA_OFC_ZOOM_IN": "   瞄准镜放大"
"MULTI_LOST_CONNECTION": "与 STEAM 的连接已断开。\n正在返回主菜单。"
"SAVING_CONTENT_BODY": "请勿关闭游戏。"
"CBA_GAC_WEAPON_SELECT_6": "   武器槽 6"
"CBA_VDC_ACCELERATE": "   加速"
"CBA_VDC_PLANE_TURN_RIGHT2": "   偏航向右"
"PLT_ANISOTROPIC_EIGHT": "各向异性 8X"
"MENU_CUSTOM": "自定义"
"MENU_MOUSE_BUTTON_3": "鼠标 3 键"
"MENU_CATEGORY_HELI": "直升机"
"PLT_QUIT_GAME": "退出到桌面 "
"HASH_B1E823F1": "CTRL"
"CBA_VDC_OFFHAND_GRENADE": "   投掷手雷"
"PC_CA_EDIT_EXPORT": "载入并编辑"
"HASH_F44E5932": "%ls 邀请你一起玩。\n要加入吗？"
"PC_RECORD_MODE_ENABLE_WARNING": "视频录制模式可能导致性能下降。出于法律原因，音乐与电台也会被禁用。继续吗？"
"PLT_MENU_AMBIENT_OCCLUSION": "    环境光遮蔽"
"PC_CREATE_CHAR": "创建/导入"
"PC_W_OVERCAST": "阴天"
"CBA_OFC_MELEE_NUT_SHOT": "   近战攻击"
"CAA_PLANE_ROLL_LEFT_RIGHT_NEG": "   向左转"
"PLT_MENU_ANTI_ALIASING_TOOLTIP": "平滑粗糙边缘"
"PC_RECORD_MODE_CANCEL_ENCODE": "确定要取消视频保存吗？视频将会丢失。"
"TUT_HELICOPTER_ENTRY_PC": "{HELI_UP_IMG} 升高\n{HELI_DOWN_IMG} 降低\n{HELI_DRIVE_TURN_SELECT_IMG}+{HELI_LEFT_RIGHT_IMG} 快速转向"
"MENU_RIGHT_MOUSE": "鼠标右键"
"CAA_TANK_DRIVE_FORWARD_BACKWARD_NEG": "   向后移动"
"MENU_ON": "开"
"MULTI_MENU_SYSLINK_SEARCHING_TEXT": "正在搜索局域网游戏……"
"PC_RECORD_MODE_PATH": "\\Documents\\My Games\\Saints Row The Third\\Videos\\"
"MENU_OPTIONS_GAMEPLAY_DIFFICULTY_TIP": "设置游戏难度"
"MULTI_MATCHMAKING": "STEAM 匹配"
"CBA_VDC_BIKE_LEAN_FWD": "   摩托前倾"
"PLT_MENU_POST_PROCESSING_DETAIL_TOOLTIP": "HDR、动态模糊与景深"
"MENU_MOUSE_WHEEL_UP": "滚轮向上"
"MENU_MOUSE_CONTROLS_HORIZ_SENS": "水平灵敏度"
"CBA_GAC_WEAPON_SELECT_2": "   武器槽 2"
"CAA_DRIVE_STEER_POS": "   向右转"
"PC_CA_DELETE": "删除"
"MENU_OPTIONS_GAMEPLAY_AIRPLANE_TIP": "普通：易于上手；进阶：飞行模拟"
"CBA_GAC_MACHINIMA_QUICKSAVE": "   保存视频"
"CBA_GAC_WEAPON_SWITCH_CW": "   下一把武器"
"CAA_WALK_FORWARD_BACKWARD_POS": "   向前移动"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_POS": "   向前移动"
"MAINMENU_SYSLINK_TITLE": "局域网"
"MENU_SECONDARY_ASSIGNMENT": "备用按键分配"
"PLT_MENU_LIGHTING_DETAIL": "    光照细节"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "保存失败，因为默认的\n存储设备已不可用。"
"PC_GS_PEOPLE_HINT": "切换非玩家人类渲染"
"PC_RECORD_MODE_ERROR_NO_ENABLED": "在暂停菜单中启用录制模式以保存视频。"
"CBA_GAC_WEAPON_SELECT_7": "   武器槽 7"
"CBA_VDC_HELI_TURN_LEFT": "   向左转"
"HUD_CRUISE_CONTROL_NO_BUTTON": "定速巡航"
"CBA_GAC_WEAPON_SWITCH_CCW": "   上一把武器"
"CBA_OFC_SPRINT_TOGGLE": "   冲刺（切换）"
"CAA_WALK_FORWARD_BACKWARD_NEG": "   向后移动"
"CAA_HELI_DRIVE_FORWARD_BACKWARD_NEG": "   向后移动"
"CBA_GAC_ACTION": "   动作"
"CAA_DRIVE_STEER_NEG": "   向左转"
"CBA_VDC_TANK_FIRE_PRIMARY": "   开火"
"PLT_MENU_RESOLUTIONS_TOOLTIP": "选择你期望的分辨率"
"PC_WATERMARK_HINT": "导出时角落附带《黑道圣徒3》标志"
"MENU_MOUSE_CONTROLS_SENSITIVITY": "灵敏度"
"CBA_VDC_PLANE_FIRE_PRIMARY": "   开火"
"PC_GS_VEHICLES": "载具"
"HASH_24103FFD": "你必须登录 Epic 账号才能使用此功能。"
"PC_RECORD_MODE_TEXT": "启用录制模式，将你最后时刻的游戏画面直接存为视频。按 ([format][color:#9400C5]{0}[/format]) 导出。\n\n视频保存到："
"MOUSE_TITLE": "操控"
"CBA_VDC_HORN": "   喇叭"
"PLT_MENU_BRIGHTNESS_TOOLTIP": "打开屏幕亮度菜单"
"COOP_REMOTE_CHEAT_STARTING": "你的合作搭档正在使用作弊。任何新建的存档都会启用作弊。\n自动保存已禁用，你将无法再获得任何成就。"
"MENU_MOUSE_CONTROLS_INVERT_X": "反转水平轴"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS": "   向右转"
"HASH_B617EDBF": "匹配"
"TUT_STREAKING_PC": "连按两次 {TAUNT_TWO_IMG} 开始天体。\n不穿任何衣服时，天体这个消遣即可使用。 "
"CBA_GAC_GRENADE_SELECT_3": "   手雷槽 3"
"CBA_GAC_CELL_OPEN": "   手机"
"CBA_VDC_VTOL_TRANSITION": "   切换 VTOL 模式"
"PLT_MENU_VSYNC_CUTSCENE_TOOLTIP": "过场动画中的垂直同步"

"PC_EXPORT_LOCK_HINT": "在此摄像机区域内锁定摄像机的运动"
"PC_CHARACTER_MODEL": "角色模型"
"BTN_BLACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-rb][/format]"
"PCACTION_MAP": "显示地图"
"PCACTION_SPRINT": "冲刺"
"BTN_START_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-options][/format]"
"PCACTION_CONSUME_UP": "向上使用物品"
"MAINMENU_ONLINE_GAME": "在线"
"PC_W_RAINY": "雨天"
"PC_WEATHER": "天气"
"PC_CM_TRACKING": "跟随追踪"
"PC_CM_FOLLOW_WATCH": "跟随观察"
"PC_REWIND_HINT": "重新加载并回卷到开头"
"BTN_RTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-rt][/format]"
"PC_CAMERA_UNLOCKED": "摄像机已解锁"
"DPAD_UP_TXT": "THE A BUTTON"
"PCACTION_WEAPON_4": "武器 4"
"MENU_MOUSE_BUTTON_5": "Mouse 5"
"MENU_CONTROLLER_SCHEMES": "操作键位图"
"PLT_MENU_DISPLAY_MODE": "显示模式"
"PCACTION_RADIO_NEXT": "下一个电台"
"CBA_GAC_TAKE_SCREENSHOT": "   社区截图"
"PLT_MENU_HIGH_DX10_ONLY": "高（DX10 或以上）"
"PC_EXIT_EXPLANATION": "退出电影剪辑器？未保存的修改将全部丢失。"
"HUD_HOLD_DPADUP_PARTY_DISMISS": " 解散队伍"
"CBA_VDC_TANK_FIRE_SECONDARY": "   发射武器 2"
"COOP_JOIN_CHEAT": "你的合作队友正在使用作弊。之后新建的存档都会默认开启作弊。\n自动存档已停用，你也无法再获得任何成就。"
"PC_TOD_DEFAULT": "默认"
"PC_CAM_MODE": "摄像机模式"
"PAUSE_MENU_RECORD_MODE": "录制电影片段"
"PC_ADVANCED_MODE_HINT": "允许使用更高级的剪辑手法"
"BTN_LTRIGGER_TXT": "THE A BUTTON"
"BTN_WHITE_TXT": "THE A BUTTON"
"PCACTION_JUMP": "跳跃"
"PC_DOF_WIDE": "广角"
"PC_EDIT_WARNING": "警告"
"PC_SHOW_KEYS": "显示按键"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": "将 %ls 与 %ls 互换"
"PCACTION_ACCELERATE": "加速"
"PCACTION_CONSUME_RIGHT": "向右使用物品"
"PLT_ANISOTROPIC_SIXTEEN": "各向异性 16X"
"PC_PROPS_EXIT_HINT": "关闭属性对话框"
"PC_UNBOUND_KEY": "未绑定"
"PLT_MENU_STANDARD": "标准"
"MULTI_MENU_SYSLINK": "局域网游戏"
"PC_CAM_MODE_HINT": "此摄像机区域内摄像机的行为方式"
"PCACTION_WEAPON_1": "武器 1"
"OPTIONS_MENU_AUTO_DETECT_DESC": "这会用默认设置替换你的当前设置，并根据你的显卡选择一套性能预设。确定要这样做吗？"
"PLT_MENU_DISPLAY_3": "第三屏"
"PLT_MENU_AUDIO_VOICE_ENABLE": "语音聊天"
"PC_EASE_HINT": "在混合动画类型之间循环切换"
"PC_DELETE_CZ_HINT": "删除当前摄像机区域"
"BTN_A_TXT": "THE A BUTTON"
"MULTI_GAMETYPE_1": "局域网游戏"
"PC_TOD_NOON": "正午"
"PC_TOD": "时段"
"PC_GS_PEOPLE": "人群"
"PC_POSITION_CAMERA_HINT": "使用操作键摆放摄像机"
"BTN_LTHUMB_TXT": "左摇杆"
"PC_OUTPUT_ONLY": "仅显示输出"
"PC_GS_PLAYER": "玩家"
"PC_CM_FOLLOW": "跟随"
"PC_CAMERA_LOCKED": "摄像机已锁定"
"PC_W_CLEAR": "晴朗"
"PC_CAMERA_ZONE": "摄像机区域"
"BTN_Y_TXT": "THE A BUTTON"
"PC_ZT_BLEND": "混合"
"PC_SAVE_HINT": "保存剪辑修改"
"PC_COPY_NEXT_HINT": "基于下一个区域创建新的摄像机区域"
"PCACTION_STRAFE_RIGHT": "向右平移"
"PC_DOF": "景深"
"RECORD_MODE_WARNING_TEXT": "录制电影片段将停用全部任务、活动、商店与游戏内音乐，直到你返回主菜单。要开始录制电影片段吗？"
"PC_HIDE_KEYS": "隐藏按键"
"DPAD_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad][/format]"
"DPAD_DOWN_TXT": "THE A BUTTON"
"PCACTION_WEAPON_5": "武器 5"
"PCACTION_ATTACK_SECONDARY": "次要攻击"
"CBA_OFC_JUMP_CLIMB": "   跳跃/攀爬"
"PC_ROTATION_SENSITIVITY": "旋转灵敏度"
"PC_SLOWMO": "回放速度"
"PC_EDIT_PROPS_HINT": "显示摄像机区域属性对话框"
"PC_ADDITIONAL_PROPS": "其他属性"
"PC_NEW_ZONE": "新建区域"
"PLT_MENU_ASPECT_TOOLTIP": "宽高比只能在主菜单中切换"
"PC_CM_DEFAULT": "默认"
"PC_COPY_CURRENT": "复制当前"
"BTN_RTHUMB_TXT": "右摇杆"
"BTN_X_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-x][/format]"
"PCACTION_BACKWARD": "向后移动"
"CBA_VDC_PLANE_ROLL_TURN_SELECT2": "   偏航覆盖"
"PLT_MENU_PAUSE_FOCUS_TOOLTIP": "游戏失去焦点时自动暂停"
"PC_ROTATION_SENSITIVITY_HINT": "摄像机旋转灵敏度"
"PCACTION_ATTACK_PRIMARY": "主要攻击"
"PLT_QUIT_GAME_WARNING": "确定要退出到桌面吗？"
"PC_TOD_NIGHT": "夜晚"
"PC_TOD_HINT": "光照设置"
"PC_DOF_CLOSEUP": "特写"
"PC_OPTIONS_HINT": "显示常规选项对话框"
"PC_SHOW_HUD": "显示 HUD"
"PCACTION_HORN": "喇叭"
"PC_PLAY_SLOW_HINT": "慢速回放录制内容"
"PLT_MENU_REFLECTIONS": "    反射"
"PLT_MENU_DISPLAY_2": "第二屏"
"PC_CREATE_CHAR_HINT": "创建或导入新的角色模型"
"PC_CAM_TILT": "摄像机俯仰"
"HUD_PICK_UP_MESSAGE": "拾取  %ls"
"PC_FOV": "视野"
"PCACTION_FINE_AIM": "精准瞄准"
"PC_DOF_DIST": "景深距离"
"PLAYBACK_MODE_WARNING": "编辑电影片段"
"BTN_B_TXT": "THE A BUTTON"
"PCACTION_BREAK": "手刹"
"HUD_DUAL_WIELD_MESSAGE": "双持 %ls"
