// extra_dumps ref: activity - JP/CZ reference for keys in extra_activity_us.txt
"CHOPSHOP_VIEW_DETAILS": "JP: 詳細を見る || CZ: PODROBNOSTI"
"ACT_VANDAL_SUMMARY_PROPERTY": "JP: 物件 || CZ: MAJETEK"
"ACT_TRAFFIC_BUYER_FLEE_FAIL": "JP: [format][color:red]バイヤー[/format]に逃げられた || CZ: [format][color:red]ZÁKAZNÍK[/format] UTEKL"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACTS": "JP: [format][color:red]車[/format]を止めて、[format][color:green]協力者[/format]を連れ出せ || CZ: ZASTAV [format][color:red]VOZIDLO[/format] A NABER [format][color:green]INFORMÁTORY[/format]."
"ACT_PIMPING_TRAP_ATTACK_GET_HOS": "JP: 罠だ！[format][color:green]エステティシャン[/format]をスカウトして\n脱出しろ || CZ: ODHALIL JSI PAST! NAVERBUJ [format][color:green]ŠLAPKY[/format] A VYPADNI."
"ACT_GUARDIAN_ANGEL_LEFT_ATTACKER": "JP: [format][color:red]左[/format]から敵が迫っている || CZ: ÚTOČNÍK SE BLÍŽÍ [format][color:red]ZLEVA[/format]"
"ACT_CHOP_SHOP_MORE_CARS_MSG": "JP: 車の数が足りない。もう少し調達してこい || CZ: Není dost aut. Jdi sehnat další."
"ACT_VANDAL_COP": "JP: 警察 || CZ: POLDA"
"ACT_TRAFFIC_BUYER_DEAD": "JP: バイヤーが死んでしまった || CZ: ZÁKAZNÍK BYL ZABIT"
"ACT_GUARDIAN_ANGEL_HUD_LIFE_MESSAGE": "JP: セレブの体力 || CZ: ŽIVOT SLAVNÝCH"
"ACT_FRAUD_BONUS_AIR_TIME": "JP: 滞空時間ボーナス || CZ: BONUS ZA LET VZDUCHEM"
"ACT_ESCORT_IRS_SPAWNED": "JP: [format][color:red]国税局員[/format]をまけ || CZ: VYHNI SE [format][color:red]BERŇÁKU[/format]"
"ACT_PIMPING_TRAP_ATTACK_KILL_PIMPS": "JP: 罠だ！\n[format][color:green]エステティシャン[/format]をスカウトする前に[format][color:red]スカウト[/format]を全員始末しろ || CZ: ODHALIL JSI PAST! ZABIJ VŠECHNY [format][color:red]MORNINGSTARY[/format] NEŽ NAVERBUJEŠ [format][color:green]ŠLAPKY[/format]."
"ACT_ESCORT_STICK_ROTATION_MSG": "JP: [format][color:green]客[/format]がダンサーのウィキッド・ウィックを見たがっている || CZ: [format][color:green]KLIENT[/format] CHCE, ABY BAVIČ UDĚLAL NĚCO FAKT DRSNÝHO"
"ACT_WHORED_MINIGUNBRUTE": "JP: ミニガン持ったブルートの登場だ！ || CZ: Monstra s rotačákama!"
"ACT_VANDAL_VEHICLE_BONUS_MSG": "JP: 破壊ボーナス対象：[format][color:red]%ls[/format] || CZ: ZA ZNIČENÍ CÍLE ([format][color:red]%ls[/format]) ZÍSKÁŠ BONUS."
"ACT_VANDAL_BONUS_MULTI_VEHICLE": "JP: ボーナス：%sを破壊した（X%d） || CZ: BONUS: ZNIČ %s (X%d)"
"ACT_TORCH_TIME_BONUS_EARNED": "JP: ボーナスタイムを獲得した！ || CZ: Získal jsi bonusové sekundy!"
"ACT_VANDAL_CAR_SPORTS_MSG": "JP: スポーツカー || CZ: SPORTOVNÍ AUTA"
"ACT_HELI_VAN_CRITICAL_HEALTH_TEXT": "JP: [format][color:green]仲間の車[/format]が壊れそうだ || CZ: [format][color:green]AUTO TVÉHO PARŤÁKA[/format] JE SKORO ZNIČENÉ"
"ACT_FRAUD_GOAL": "JP: 時間内に%lsを獲得しろ || CZ: NEŽ VYPRŠÍ ČAS, MUSÍŠ VYDĚLAT %ls"
"ACT_CHOP_SHOP_CARS_ON_MAP_MSG": "JP: 必要な車は目立って表示される || CZ: Potřebná auta jsou označená."
"CHOP_RETRO_SPOILER": "JP: レトロスポイラー || CZ: RETRO SPOJLER"
"ACT_HELI_GANG_FIGHT_START_MESSAGE": "JP: [format][color:green]セインツ[/format]が襲撃を受けている。\n加勢して[format][color:red]襲撃者[/format]を排除しろ || CZ: Několik [format][color:green]svatých[/format] uvízlo v přestřelce. Pomoz jim odrazit [format][color:red]útočníky[/format]."
"ACT_VANDAL_BONUS_MULTIPLIER_PCT": "JP: % || CZ: %"
"ACT_HELI_KILL_AIRPLANE_START_MESSAGE": "JP: [format][color:red]飛行機[/format]を破壊しろ || CZ: ZNIČ [format][color:red]LETADLO[/format]"
"ACT_ESCORT_TIGER_BUTTON_MASHING_MSG": "JP: トラの注意をそらせ！ || CZ: UDRŽ POZORNOST TYGRA!"
"ACT_RUNNING_MAN_WAITING_ON_HOST_TITLE": "JP: ホスト待ち || CZ: ČEKÁ SE NA HOSTITELE"
"GAME_COMBO_TEXT": "JP: コンボ： || CZ: KOMBO:"
"ACT_HELI_BOAT_DELIVER_TEXT": "JP: ボートのサプリを仲間に届けろ || CZ: DOPRAV DROGY Z LODI SVÝM KUMPÁNŮM"
"ACT_ESCORT_TRIP_THEATER_MSG": "JP: [format][color:green]客[/format]を[format][color:teal]映画館[/format]へ連れて行け || CZ: ODVEZ [format][color:green]KLIENTA[/format] DO [format][color:teal]PORNOKINA[/format]"
"CYBERSPACE": "JP:  || CZ: "
"ACT_HELI_OBJECTIVE_MSG": "JP: %d個の任務をすべて完了しろ || CZ: SPLŇ VŠECHNY ÚKOLY (%d)"
"ACT_ESCORT_CAR_SWITCH_MSG": "JP: この車は飽きた。[format][color:teal]クラブ[/format]で新しい車を調達しろ || CZ: TOHLE AUTO VYPADÁ TROCHU STAŘE, SEŽEŇ NOVÉ U [format][color:teal]STRIPTÝZOVÉHO KLUBU[/format]"
"ACT_TRAFFIC_DEAL_SUCCESS": "JP: 取引完了！次の[format][color:teal]場所[/format]へ向かえ || CZ: KŠEFT DOKONČEN. JEĎ NA DALŠÍ [format][color:teal]MÍSTO[/format]"
"ACT_TORCH_START_TEXT3": "JP: チェックポイントを通過して\nタイムボーナスを獲得しろ || CZ: PROJETÍM KONTROLNÍHO BODU PROMĚŇ BONUSOVÝ ČAS V PENÍZE."
"ACT_PIMPING_FAIL_CONTACTS_ALL_DIED": "JP: 協力者を死なせすぎた。新しくスカウトし{RECRUIT_DISMISS_IMG}すぐにそこから逃げろ || CZ: ZEMŘELO PŘÍLIŠ MNOHO KONTAKTŮ, NAVERBUJ DALŠÍ {RECRUIT_DISMISS_IMG} A PAK RYCHLE UPRCHNI"
"ACT_HELI_CONVOY_LEVEL_START_MESSAGE": "JP: %sが高速道路を使って武器を輸送している\n目的地に到着する前に[format][color:red]トラック[/format]を破壊しろ || CZ:  %s má zásilku zbraní přijíždějící po dálnici. Znič [format][color:red]náklaďáky[/format], než dojedou na místo určení."
"ACT_CHOP_SHOP_LIST_IN_PAUSE": "JP: 必要な車のリストはポーズメニューでチェックできる || CZ: Seznam potřebných aut najdeš v nabídce pozastavené hry."
"ACT_TANK_MAYHEM_COMBO_GSI": "JP: コンボ || CZ: KOMBO"
"CHOPSHOP_VEHICLES": "JP: 車 || CZ: VOZIDLA"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_2SEC": "JP: 2... || CZ: 2..."
"ACT_TORCH_OBJECTIVE_01": "JP: 制限時間内にすべての[format][color:teal]チェックポイント[/format]を通過しろ || CZ: PROJEĎ VŠEMI [format][color:teal]KONTROLNÍMI BODY[/format] DŘÍV, NEŽ VYPRŠÍ ČAS."
"ACT_VANDAL_STATIC_BONUS_MOTORCYCLE": "JP: バイクボーナス || CZ: BONUS ZA MOTORKY"
"ACT_FRAUD_TOTAL_LAST_HIT": "JP: 今回獲得した保険金 || CZ: POSLEDNÍ ZÁSAH CELKEM:"
"ACT_ESCORT_FAST_MSG": "JP: [format][color:green]客[/format]からのリクエストだ\n時速55マイルで%d秒間飛ばせ || CZ: [format][color:green]KLIENT[/format] SI PŘEJE, ABYS JEL %d SEKUND RYCHLOSTÍ 55 M/H."
"TOUCH_COMBO_TUTORIAL_PART_1_MESSAGE": "JP: {ANALOG_RS_IMG}でツボを探せ || CZ: ROZEHŘEJ SE PŘESUNUTÍM {ANALOG_RS_IMG} NA AKTIVNÍ BOD"
"ACT_ZOMBIE_TITLE": "JP: ゾンビレベル選択 || CZ: VÝBĚR ÚROVNĚ"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_10SEC": "JP: あと10秒でディーラーが逮捕される！ || CZ: DEALER BUDE ZATČEN ZA 10 SEKUND!"
"ACT_HELI_LIBERATOR_FULLY_LOADED_MESSAGE": "JP: ヘリは満員だ\n乗客を[format][color:blue]安全な場所[/format]へ連れて行け || CZ: HELIKOPTÉRA JE PLNÁ, ODVEZ CESTUJÍCÍ NA [format][color:blue]BEZPEČNÉ MÍSTO[/format]"
"ACT_GUARDIAN_ANGEL_UNDERNEATH_ATTACKER": "JP: [format][color:red]下[/format]から敵が迫っている || CZ: Útočník se blíží [format][color:red]zdola[/format]."
"ACT_ESCORT_IRATE_CLIENT_SPAWNED": "JP: [format][color:red]激怒した客[/format]をまけ || CZ: VYHNI SE [format][color:red]TEPLÉMU KLIENTOVI[/format]"
"ACT_ZOMBIE_HUD_HIGH_SCORE": "JP: ハイスコア： || CZ: NEJVYŠŠÍ SKÓRE:"
"ACT_HELI_NEWS_VAN_KILL_TEXT": "JP: TV中継車を破壊しろ || CZ: ZNIČ ZPRAVODAJSKÉ VOZY"
"ACT_PIMPING_CONTACT_OBJECTIVE": "JP: キンジーの協力者を%d人救助し、連れ戻せ || CZ: ZACHRAŇ %d INFORMÁTORŮ KINZIE A PŘIVEZ JE ZPÁTKY"
"ACT_ESCORT_ESCORTING_TIGER_MSG": "JP: 高速で運転し、度胸を鍛えながらトラの機嫌も取れ || CZ: JEĎ RYCHLE, AŤ SI ZVÝŠÍŠ ODVAHU A TYGR JE SPOKOJENÝ."
"ACT_VANDAL_BONUS_COMBO_MULT": "JP: コンボボーナス || CZ: KOMBO BONUS"
"ACT_FRAUD_BONUS_WITNESS": "JP: 歩行者目撃ボーナス || CZ: BONUS ZA SVĚDKA"
"ACT_ESCORT_ESCORTING_MSG": "JP: [format][color:green]客[/format]を乗せてそのまま流せ || CZ: PROJEĎ OKOLÍ A NECH [format][color:green]KLIENTA[/format], AŤ SE TROCHU POBAVÍ."
"ACT_HELI_PROTECTION_START_MOVING_MESSAGE": "JP: 取引に向かう[format][color:green]仲間[/format]を、敵の襲撃から守れ || CZ: TVOJI [format][color:green]PARŤÁCI[/format] MÍŘÍ ZA NĚJAKÝMI OBCHODY, CHRAŇ JE PŘED ÚTOČNÍKY"
"ACT_HELI_PROTECTION_PICKUP_MESSAGE": "JP: [format][color:green]仲間[/format]の車がガス欠だ。仲間をひろって[format][color:teal]家[/format]まで送ってやれ || CZ: Tvým [format][color:green]kumpánům[/format] může dojít palivo, naverbuj je a pak s nimi odleť [format][color:teal]domů.[/format]"
"ACT_FRAUD_BONUS_VEHICLE_SURFING": "JP: カーサーフィンボーナス || CZ: BONUS ZA SURFOVÁNÍ"
"ACT_ESCORT_STOP_MSG": "JP: %d秒停止しろ || CZ: NA %d S ZASTAV"
"ACT_ESCORT_START": "JP: エスコートを開始 || CZ: SPUSTIT ESKORTU"
"CHOP_HOT_ROD_HOOD": "JP: ホットロッドボンネット || CZ: KAPOTA ZE SPORŤÁKU"
"ACT_TRAFFIC_OBJECTIVE_1": "JP: 配達中の[format][color:green]ディーラー[/format]を守れ || CZ: CHRAŇ [format][color:green]DEALERA[/format], ZATÍMCO BUDE VYŘIZOVAT OBCHODY"
"ACT_HELI_HOMIES_COMPLICATION_FAILED_MESSAGE": "JP: 仲間が死んでしまった || CZ: TVOJI PARŤÁCI ZEMŘELI"
"ACT_ESCORT_STRIPPER_SWITCH_MSG": "JP: 彼女はヘトヘトだ。[format][color:teal]クラブ[/format]で新しいダンサーと新しい車を調達しろ || CZ: BAVIČ JE VYČERPANÝ, SEŽEŇ NOVOU HOLKU A NOVÉ AUTO U [format][color:teal]STRIPTÝZOVÉHO KLUBU[/format]"
"ACT_ZOMBIE_CANT_REVIVE": "JP: 生き返らせるには食料アイテムが必要だ！ || CZ: Na oživení potřebuješ alespoň 1 jedlý předmět!"
"ACT_VANDAL_SUMMARY_FAVORITE_TARGET": "JP: お気に入りのターゲット || CZ: OBLÍBENÝ CÍL"
"ACT_PIMPING_RECRUIT_HOS_TEXT": "JP: {RECRUIT_DISMISS_IMG}で[format][color:green]エステティシャン[/format]をスカウトしろ || CZ: STISKNUTÍM {RECRUIT_DISMISS_IMG} NAVERBUJ [format][color:green]PROSTITUTKY[/format]"
"ACT_FRAUD_BONUS_DONE": "JP: 別の[format][color:teal]ボーナスエリア[/format]へ移動しろ || CZ: PŘESUŇ SE DO DALŠÍ [format][color:teal]BONUSOVÉ OBLASTI[/format]"
"TUT_TITLE_ACT_INTRO_GUARDIAN_ANGEL": "JP: ガーディアンエンジェル || CZ: STRÁŽNÝ ANDĚL"
"ACT_TORCH_RACE_TARGETS": "JP: [format][color:red]標的[/format]を始末しろ || CZ: ZABIJ [format][color:red]OZNAČENÉ CÍLE[/format]."
"ACT_PIMPING_DRIVE_TO_LOCATION": "JP: [format][color:green]エステティシャン[/format]をスカウトして\n[format][color:teal]ズィーモス[/format]の所に連れ戻せ || CZ: NAVERBUJ [format][color:green]ŠLAPKY[/format] A ODVEZ JE K [format][color:teal]ZIMOSOVI[/format]"
"ACT_RUNNING_MAN_WAITING_ON_HOST_DESCRIPTION": "JP: ホストが次のラウンドの掛け金を決めている。そのまま待機しろ || CZ: ČEKÁ SE, AŽ HOSTITEL VYPÍŠE SÁZKU NA DALŠÍ KOLO"
"ACT_TANK_MAYHEM_START": "JP: タンクメイヘムを開始 || CZ: ZAHÁJIT TANKOVÝ MASAKR"
"GAMEPLAY_BUSTED": "JP: 捕まったぞ！ || CZ: ZABÁSLI TĚ!"
"ACT_VANDAL_SUMMARY_TOTAL": "JP: 合計 || CZ: CELKEM"
"ACT_FRAUD_OBJECTIVE": "JP: 思いつく限りに危険な事をやり、制限時間内に%dドル分の傷を負え || CZ: Postav se nebezpečí do cesty a získej %d dolarů za zranění, než vyprší čas."
"ACT_TRAFFIC_DRIVER_LOST": "JP: ディーラーから離れすぎた || CZ: OPUSTIL JSI DEALERA."
"ACT_ESCORT_PLEASURE": "JP: 満足度 || CZ: POTĚŠENÍ"
"ACT_ESCORT_KILL_MSG": "JP: [format][color:red]ターゲット[/format]を殺せ || CZ: ZABIJ [format][color:red]CÍL[/format]"
"CHOP_LUXERY_BODY_KIT": "JP: 高級エアロパーツ || CZ: LUXUSNÍ KAROSÉRIE"
"ACT_VANDAL_CAR_LUXURY_MSG": "JP: 高級車 || CZ: LUXUSNÍ AUTA"
"ACT_ESCORT_FAIL_LEFT_CAR": "JP: 車から離れすぎた || CZ: PŘIŠELS O AUTO"
"ACT_TRAFFIC_OBJECTIVE_2": "JP: [format][color:green]ディーラー[/format]が成功させなければならない取引：%d件 || CZ: [format][color:green]DEALER[/format] MUSÍ UZAVŘÍT NÁSLEDUJÍCÍ POČET OBCHODŮ: %d"
"ACT_GUARDIAN_ANGEL_CLIENT_DIED_MESSAGE": "JP: やられた！客が死んでしまった || CZ: Dostali ji! Je pryč."
"ACT_ESCORT_TRIP_MOTEL_MSG": "JP: [format][color:green]客[/format]がリラックスしたいそうだ\n[format][color:teal]モーテル[/format]へ連れて行け || CZ: ODVEZ [format][color:green]KLIENTA[/format] ZA ZÁBAVOU DO [format][color:teal]HODINOVÉHO MOTELU[/format] "
"ACT_PIMPING_FAIL_KILLED_CONTACT": "JP: 協力者の1人を殺してしまった！ || CZ: ZABIL JSI JEDNOHO INFORMÁTORA"
"STRONGHOLD_FAILURE_CANCEL_TEXT": "JP: 拠点制圧がキャンセルされた || CZ: PEVNOST ZRUŠENA"
"ACT_FRAUD_NAME": "JP: 保険金詐欺 || CZ: POJISTNÝ PODVOD"
"ACT_FRAUD_GO_SCORING_AREA": "JP: [format][color:teal]%ls地区[/format]へ行け || CZ: DALŠÍ MÍSTO PŘESUNU JE [format][color:teal]%ls[/format]"
"ACT_GUARDIAN_ANGEL_HELPER_DIED_MESSAGE": "JP: 助手が死んでしまった || CZ: POMOCNÍK ZEMŘEL"
"ACT_GUARDIAN_ANGEL_CLIENT_HUMAN_SHIELDED_MESSAGE": "JP: 客は盾にされるのがお気に召さなかったようだ || CZ: Dělat lidský štít se tvému klientovi moc nezamlouvalo."
"ACT_ESCORT_FIRST FOOTAGE_MSG": "JP: TV中継車に撮影されるな || CZ: NEDOVOL ZPRAVODAJSKÝM VOZŮM ZÍSKAT ZÁBĚRY"
"ACT_TORCH_TIME_EARNED_PARAMETERIZED": "JP: [format][color:teal]%2.1f[/format]秒獲得！ || CZ: Získal jsi [format][color:teal]%2.1f[/format] s!"
"ACT_PIMPING_RESCUE_CONTACT_DECKERS_REROUTE": "JP: [format][color:green]協力者[/format]が連れ去られた。救助しろ！ || CZ: [format][color:green]INFORMÁTOŘI[/format] BYLI ODVEDENI. MUSÍŠ JE ZACHRÁNIT!"
"ACT_PIMPING_HOS_SLASH": "JP: ／ || CZ: /"
"ACT_FRAUD_MESSAGE_CRAZY_MULT_TYPE": "JP: 保険金詐欺悪質運転記録 || CZ: REKORD PODVODU 'ŠÍLENÝ ŘIDIČ'"
"ACT_ESCORT_BUTTON_MASHING_MSG": "JP: [format][color:green]客[/format]がセインツロウスペシャルをご所望だ || CZ: [format][color:green]KLIENT[/format] CHCE SAINTS ROW SPECIÁL"
"ACT_ESCORT_RETURN_MSG": "JP: クラブに戻れ || CZ: VRAŤ SE KE STRIPTÝZOVÉMU KLUBU"
"ACT_ESCORT_CRASH_MSG": "JP: [format][color:green]客[/format]からのリクエストだ\n他の車に衝突して%dポイントのダメージを与えろ || CZ: [format][color:green]KLIENT[/format] CHCE, AŤ SVÝM VOZEM ZPŮSOBÍŠ JINÝM VOZŮM %d BODŮ POŠKOZENÍ"
"CHOP_MUSCLE_RIMS": "JP: マッスルカーリム || CZ: MUSCLE RÁFKY"
"ACT_TRAFFIC_DRIVE_HOME": "JP: [format][color:green]ディーラー[/format]が[format][color:teal]家[/format]に到着するまで護衛しろ || CZ: CHRAŇ [format][color:green]DEALERA[/format] NA CESTĚ [format][color:teal]DOMŮ[/format]"
"ACT_FRAUD_BONUS_CRAZY_DRIVER": "JP: 悪質運転ボーナス || CZ: BONUS ZA ŠÍLENÉHO ŘIDIČE"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_CLIENT_MESSAGE": "JP: セレブを殺してしまった。敵は大喜びだ！ || CZ: Zabil jsi celebritu, nepřítel jásá!"
"ACT_FRAUD_MESSAGE_AIRTIME_MULT_TYPE": "JP: 保険金詐欺滞空時間記録 || CZ: REKORD V LETU VZDUCHEM"
"ACT_FRAUD_BONUS_COOP_GANGBANG": "JP: ギャングボーナス || CZ: BONUS ZA ŘEZNIČINU"
"ACT_CHOP_LIST": "JP: リスト上の車を[format][color:green]ヤミ改造工場[/format]に持って行け || CZ: Dovez auta na seznamu do [format][color:green]dílny[/format]."
"ACT_HELI_KILL_CARS_START_MESSAGE": "JP: [format][color:red]車[/format]を破壊しろ || CZ: ZNIČ [format][color:red]AUTA[/format]"
"ACT_ESCORT_DRIFT_MSG": "JP: [format][color:green]客[/format]からのリクエストだ\n%d秒間{HANDBRAKE_IMG}ドリフトをキめろ || CZ: [format][color:green]KLIENT[/format] CHCE JÍZDU SMYKEM ({HANDBRAKE_IMG}) PO DOBU %d SEKUND"
"ACT_VANDAL_TRUCK_SMALL_PICKUPS_MSG": "JP: ピックアップトラック || CZ: PICKUPY"
"ACT_VANDAL_COMBO_BREAKER_MSG": "JP: コンボストッパー！ || CZ: KOMBO PŘERUŠENO"
"ACT_TRAFFIC_DRIVER_DEAD": "JP: ディーラーが死んでしまった || CZ: DEALER BYL ZABIT"
"ACT_TORCH_OBJECTIVE_02": "JP: ダメージを与えてからチェックポイントを通過して、タイムボーナスを獲得しろ || CZ: ZÍSKEJ BONUSOVÝ ČAS ZA ZPŮSOBENÉ ŠKODY A PROJETÍ KONTROLNÍCH BODŮ"
"ACT_HUMAN_TORCH_START": "JP: ファイアレースを開始 || CZ: ZAHÁJIT ŽIVOU POCHODEŇ"
"ACT_TRAFFIC_POLICE_STING_ESCAPE": "JP: [format][color:red]警察[/format]につけられた！ || CZ: [format][color:red]POLDOVÉ[/format] JSOU V TĚSNÉM ZÁVĚSU ZA TEBOU!"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_5SEC": "JP: 5... || CZ: 5..."
"ACT_TORCH_LOST_TIME": "JP: 時間切れだ || CZ: DOŠEL TI ČAS"
"ACTIVITY_SUCCESS_SUB_TEXT": "JP: クリア！ || CZ: DOKONČENO"
"ACT_VANDAL_SUMMARY_DESTRUCTION": "JP: 破壊 || CZ: DESTRUKCE"
"ACT_HELI_LIBERATOR_START_MESSAGE": "JP: セインツのクルーが何人か逮捕された\n[format][color:red]バス[/format]にダメージを与えて停止させ、仲間を安全な場所まで運べ || CZ: NĚKOLIK SVATÝCH BYLO ZATČENO, POŠKOĎ [format][color:red]AUTOBUSY[/format], ABYS JE ZASTAVIL, A PAK SVATÉ ODVEZ DO BEZPEČÍ"
"ACT_FRAUD_CHANGE_LOCATION": "JP: [format][color:teal]スコアリングエリア[/format]が移動した || CZ: [format][color:teal]BODOVANÁ OBLAST[/format] BYLA PŘESUNUTA"
"ACT_ESCORT_TIGER_MINIGAME_MSG": "JP: {ANALOG_RS_IMG}を使ってトラのかゆい部分を探せ。その部分を{ANALOG_LS_IMG}で慎重にかいてやれ || CZ: Pomocí {ANALOG_RS_IMG} najdi místo, kde to tygra svrbí. Pak ho pomocí {ANALOG_LS_IMG} opatrně poškrábej"
"ACT_VANDAL_BONUS_CLOSE_CHAOS": "JP: カオスボーナス || CZ: DVOJNÁSOBNÝ BONUS ZA VANDALSTVÍ"
"ACT_PIMPING_RESCUE_CONTACT_KILL_COPS": "JP: [format][color:red]警官[/format]を始末して、[format][color:green]協力者[/format]を救助しろ！ || CZ: ZABIJ [format][color:red]POLICAJTY[/format] A ZACHRAŇ [format][color:green]INFORMÁTORA[/format]!"
"ACT_PIMPING_RECAPTURE_CONTACT_START": "JP: [format][color:green]協力者[/format]の1人がまた[format][color:red]デッカー[/format]に捕えられた。連れ戻せ！ || CZ: [format][color:red]DECKER[/format] SE SNAŽÍ SEBRAT JEDNOHO Z [format][color:green]KONTAKTŮ[/format]. MUSÍŠ HO DOSTAT ZPÁTKY!"
"ACT_PIMPING_YOU_NEED_MORE_HOS": "JP: もっと[format][color:green]エステティシャン[/format]が必要だ || CZ: POTŘEBUJEŠ DALŠÍ [format][color:green]HOLKY[/format]"
"ACT_ESCORT_AIR_MSG": "JP: %.2f秒間飛べ || CZ: Získej %.2f s vysílacího času"
"ACT_PIMPING_TRAP_GET_CONTACTS": "JP: よくやった！[format][color:green]協力者[/format]たちをスカウトしろ！ || CZ: DOBRÁ PRÁCE, TEĎ BĚŽ PRO [format][color:green]INFORMÁTORY[/format]!"
