"You enjoy this, yes?": "你很享受，是吧？";
"You shouldn't have come back, Angel.  Last time I was too soft on you.": "你不该回来的，安吉尔。上回我对你太手软了。";
"You showed those actresses in our last shoot who was in charge.  That's something.": "上次拍摄你让那些女演员知道了谁说了算。这算点本事。";
"You sleep with all your merchandise?": "你跟所有商品都睡？";
"You sound so unsure...": "你听着也太没底气了……";
"You still do not understand.  I have no nightmares.": "你还是不明白。我没有噩梦。";
"You still need it, right?": "你们还需要它，对吧？";
"You stole from the military?": "你们偷的是军方的？";
"You stood up to those actresses who were tryin' to replace you.  You're more like me than you think.": "你顶住了那些想顶替你的女演员。你比你自己以为的更像我们。";
"You stupid bloody creature...": "你这蠢货……";
"You stupid door...": "你这蠢门……";
"You sure about that?": "你确定？";
"You sure about this, Shaundi?": "你确定要这么干，肖恩蒂？";
"You sure it's foam?": "你确定是泡沫？";
"You sure she still is?": "你确定她还是？";
"You sure that's where we wanna go? ": "你确定咱们要去那儿？";
"You sure the crew has the right address for our delivery?": "你确定剧组拿到的送货地址对吗？";
"You sure these get out to the right people?": "你确定这些能发到对的人手里？";
"You sure they're just targeting the Saints?  Looks like this may be bigger than that.": "你确定他们只针对圣徒？看起来事情可能更大。";
"You sure this ain't about Kinzie?": "你确定这不是因为金吉？";
"You sure this is going to help?": "你确定这会有帮助？";
"You sure this is the right one?": "你确定就是这辆？";
"You sure you can get us there?": "你确定能送我们到那儿？";
"You sure you can handle that thing?": "你确定你能操控那玩意儿？";
"You sure you got his face right?": "你确定他的脸做对了？";
"You sure you want to do this, Cyrus?!": "你确定要这么干，赛勒斯？！";
"You sure?": "你确定？";
"You take one end, I'll take the other.": "你抬一头，我抬另一头。";
"You take one end, I'll take the other... END.": "你抬一头，我抬另一头……完事。";
"You takin' the piss?": "你耍我呢？";
"You taking your time gettin' there?": "你是故意慢慢蹭过去？";
"You talk a good game.   Now back it up.  Don't make me regret this.": "你嘴上功夫了得。现在证明给我看。别让我后悔。";
"You tell Shaundi about this idea?": "这个点子你告诉肖恩蒂了吗？";
"You tell me.": "你说了算。";
"You tell me.  They seem to be after you.": "你说呢。他们冲的可是你。";
"You that that will do the trick?": "你觉得那个能奏效？";
"You the manager?": "你是经理？";
"You there yet, Pierce?": "你到了没，皮尔斯？";
"You think I ain't?": "你觉得我不是吗？";
"You think I need that to fuck you up?": "你觉得我需要那玩意儿才能收拾你？";
"You think I'm terrible... don't you?": "你觉得我很可怕……对吧？";
"You think Killbane got her?": "你觉得是杀霸抓了她？";
"You think Kinzie is gonna do anything with these transmitters once we're done with Killbane?": "你觉得等我们收拾完杀霸，金吉会拿这些发射器干什么？";
"You think all packages are this hard to drop off here?": "你觉得这里的包裹都这么难送吗？";
"You think all their troops are out right now?": "你觉得他们的部队现在都出动了？";
"You think hanging up here is easy, you can do it next time.": "你觉得挂在上面轻松，下次你来。";
"You think he'd let us crash there?": "你觉得他会让我们借住吗？";
"You think he's cute?": "你觉得他可爱？";
"You think he's gonna be that cliche?": "你觉得他会那么老套？";
"You think it will matter?": "你觉得那重要吗？";
"You think it's easy for me?": "你觉得我容易吗？";
"You think it's that simple?": "你觉得就那么简单？";
"You think she's mad?": "你觉得她生气了？";
"You think taking down Miller was too easy?": "你觉得放倒米勒太容易了？";
"You think that's gonna work?": "你觉得那招管用？";
"You think the Morningstar are learning to back off?": "你觉得晨星帮学会收敛了？";
"You think the crew can help?": "你觉得剧组能帮上忙？";
"You think there's that many wrestlers?": "你觉得摔跤手有那么多？";
"You think they ain't happy with us?": "你觉得他们对我们不满意？";
"You think they wanna clone me?": "你觉得他们想克隆我？";
"You think they'd start to hang back a little.": "我还以为他们该收敛点了。";
"You think this is gonna be easy?": "你觉得这会很容易？";
"You think this party is going well?": "你觉得这场派对办得好？";
"You think this will stop me?": "你觉得这拦得住我？";
"You think we got enough guns?": "你觉得咱们的枪够了？";
"You think you can beat him?": "你觉得你打得过他？";
"You think you can show me around?": "你能带我转转吗？";
"You think you're the only one that can improvise?  You've triggered a self destruct and the door's locked, BOOM.  Let's see you shut it down.": "你以为只有你会即兴发挥？你触发了自毁程序，门也锁死了，轰。我倒要看看你怎么把它关掉。";
"You think you're tough, huh?  Callin' you out!  Meet 'em at the spot and we'll see who walks away.": "你觉得自己挺横，是吧？叫你了！到老地方碰头，看谁能活着走开。";
"You think?": "你觉得呢？";
"You think?  He flipped a fucking car!": "可不是嘛！他他妈掀翻了一辆车！";
"You think?  Pierce, where are you?": "可不是嘛！皮尔斯，你在哪儿？";
"You think?!": "可不是嘛！";
"You took Birk.  Now it's our turn.": "你抓走了伯克。现在轮到我们了。";
"You trust Viola?": "你信薇奥拉？";
"You trust him?": "你信他？";
"You try being called \"the new girl\" all the time and see how you like it.  Whatever, I'll be there soon.": "你试试天天被人叫“新来的姑娘”，看你受不受得了。行了，我马上到。";
"You trying to let them see you?": "你是想让他们看见你？";
"You trying to shoot our guys down?": "你是想打下我们自己人？";
"You two are cleaning this shit up, you know that right?": "你们俩得把这堆烂摊子收拾了，知道吧？";
"You two are cleaning up until Shaundi and I are both happy.": "你们俩要一直收拾到我和肖恩蒂都满意为止。";
"You two go out the back.": "你们俩从后门走。";
"You two want to quit with the yapping?": "你们俩能不能别哔哔了？";
"You understand that this won't happen again, right?": "你明白这种事不会再有第二次了，对吧？";
"You up for another stop?": "还能再去一站吗？";
"You used to hang there?": "你以前常去那儿？";
"You used to live here or somethin'?": "你以前住这儿还是怎么的？";
"You used to rock the dreads in Stilwater.": "你在斯蒂尔沃特的时候还留着一头脏辫。";
"You used to work with the DeWynter sisters, right?  What happened?": "你以前跟德温特姐妹共事，对吧？后来怎么了？";
"You visit clubs like this often?": "你常来这种俱乐部？";
"You wanna bring this down on the crew?": "你想把这事引到弟兄们头上？";
"You wanna play, motherfucker?": "想玩吗，混蛋？";
"You wanna rob some store?": "你想抢哪家店？";
"You wanna try the next one?": "要不要试试下一辆？";
"You want me to give up and be arrested, yes?": "你想让我放弃然后被捕，是吧？";
"You want me to go get Shaundi?": "要我去接肖恩蒂吗？";
"You want me to go with you?": "要我跟你一起去吗？";
"You want me to swing by instead?": "还是要我顺路过去一趟？";
"You want me to use... bees.  Right...": "你是想让我用……蜜蜂。行吧……";
"You want me?  Come on!": "想要我？来啊！";
"You want out of here, you get in the crate.": "想出去，就进箱子里。";
"You want this to work, you keep the cameras rolling.": "你想让这事成，就让摄像机一直转。";
"You want this?  Let's do it!": "你想来这个？那就干吧！";
"You want to be up here instead?": "你想上来替我？";
"You want to drive this thing?": "你想开这玩意儿？";
"You want to fight me?  Then we will fight.": "你想跟我打？那就打。";
"You want to get off and swim?": "你想跳下去游过去？";
"You want to live.  I want the freight elevator open.  Now talk.": "你想活。我想让货运电梯打开。快说。";
"You want to meet, don't you...": "你想见面，对吧……";
"You want to swim back?": "你想游回去？";
"You want to thank me, then help me take down the Syndicate.  Know anyone else besides this Zimos that we could use?": "你要是想谢我，就帮我端掉辛迪加。除了这个齐莫斯，还认识能用的人吗？";
"You wear a big rhinestone 'Z'.  I'm just sayin' it stands out.": "你穿着带亮片的大“Z”。我只是说太扎眼了。";
"You were comrades once, yes?": "你们曾是战友，是吧？";
"You were doing the hard work.": "重活都是你在干。";
"You were not clear for a flyby!": "你刚才没获准低空通场！";
"You were recruited by Julius Little after being caught in the crossfire between the Vice Kings and Los Carnales.  The fight started because a Vice King named LeVar didn't like \"bitches disrespecting him\".  You didn't talk much then, but knew a lot about shoes.": "你是被朱利叶斯·利特尔招募的，此前你卷进了副王帮和洛斯·卡纳莱斯帮的交火。起因是一个叫勒瓦尔的副王帮成员不喜欢“娘们儿不敬他”。你那时话不多，但对鞋子很在行。";
"You were spouting crap about gods and mortals.  What's that all about?": "你当时满嘴神仙凡人的胡话。那都是怎么回事？";
"You were the best of us. ": "你曾是我们中最出色的。";
"You were tryin' to set the mood?": "你刚才是在营造气氛？";
