"TOUCH DOWN": "达阵";
"$%ls is available at your Crib. Each week you earn $%ls Cash Income from owning parts of Steelport.": "$%ls已可在你的藏身处领取。每周你从控制的斯提尔波特地区获得$%ls现金收入。";
"Confirming mission start with %s": "确认与%s开始任务";
"Confirming stronghold start with %s": "确认与%s开始据点战";
"Do the %s %s!": "执行%s %s！";
"Combo Total: %ls": "连击总计：%ls";
"Lieutenant %d": "副手 %d";
"WAVE %d SURVIVED": "第%d波已存活";
"The target was killed by another hitman!": "目标被其他杀手击杀了！";
"EThe target was killed by another hitman!": "目标被其他杀手击杀了！";
"%s isn't updating.  They may have dropped.": "%s未更新。可能已掉线。";
"SCANNING": "扫描中";
"SHOP": "商店";
"SIGNAL": "信号";
"EMPTY": "空";
"New Sticker": "新贴纸";
"Cinematic Clips": "过场剪辑";
"My Games": "我的游戏";
"Saints Row The Third": "圣徒归来：第三版";
"Saints Row": "圣徒";
": The Third": "：第三版";
"Stronghold Upgrade": "据点升级";
"HOSTAGE": "人质";
"ANGEL'S CASINO": "天使赌场";
"This will not affect any Achievements you may have earned.": "这不会影响你已获得的成就。";
"Stops_made": "完成交易数";
"Would you like to save first?": "要先保存吗？";
"Button String Unbound": "按键未绑定";
"Land in the center of the target area for a reward": "降落在目标区域中心以获得奖励";
"Press <btn action> to start base jummping.": "按<btn action>开始基地跳伞。";
"Press and hold <btn LTrig> to revive in Death Tag": "按住<btn LTrig>在死亡标签中复活";
"Press and hold <btn RTrig> to revive in Cat & Mouse": "按住<btn RTrig>在猫鼠游戏中复活";
"Shake your head (camera) to wake up!": "摇头（摄像机）来醒来！";
"Tap %s to WAKE UP!": "连按%s来醒来！";
"CAT & MOUSE": "猫鼠游戏";
"COMBAT TRICKS": "战斗特技";
"DEATH TAG": "死亡标签";
"DRIVER BAILOUT": "司机跳车";
"WINDSHIELD CANNON": "挡风玻璃炮";
"GET BACK TO THE TARGETS!": "回到目标处！";
"GET BACK TO YOUR ASSIGNED AREA!": "回到指定区域！";
"DAMAGED GAMER PROFILE STATS": "损坏的玩家档案数据";
"(LOC) All the saints died": "所有圣徒都死了";
"(LOC)The client request you preform the %s %s move on him or her": "客户要求你对他/她执行%s %s动作";
"(LOCALIZE) Diversion canceled": "支线已取消";
"(LOCALIZE)You abandoned your vehicle": "你放弃了载具";
"(LOCALIZE)You destroyed your vehicle": "你摧毁了载具";
"(LOCALIZE)You have %d seconds to return to the vehicle": "你有%d秒时间回到载具";
"(LOCALIZE)access your crib": "前往藏身处";
