"MENU_LEFT_MOUSE": "Levé tlačítko"
"MENU_OPTIONS_GAMEPLAY_SUBTITLES_TIP": "ZAPNOUT ČI VYPNOUT TITULKY"
"TUT_MIS_02_SKYDIVE_FLIP_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} POHYB\nROZHLÍŽÍŠ SE POMOCÍ MYŠI\n{SKYDIVE_FLIP_IMG} PŘEMET"
"MENU_RESTORE_ALL_DEFAULTS": "OBNOVIT VŠE DO VÝCHOZÍHO NASTAVENÍ"
"CAA_TANK_DRIVE_LEFT_RIGHT_NEG": "   POHYB DOLEVA"
"MAINMENU_NEW_GAME_NO_SPACE_EXPOSITION": "Na disku není dostatek místa.\nPokud budeš pokračovat, nebudeš moci ukládat postup hrou.\nPřeješ si pokračovat?"
"PC_ZT_BLEND": "PŘECHOD"
"PC_SAVE_HINT": "ULOŽIT EDITOVANÝ KLIP"
"PC_COPY_NEXT_HINT": "VYTVOŘIT NOVOU KAMEROVOU ZÓNU PODLE DALŠÍ ZÓNY"
"PCACTION_STRAFE_RIGHT": "ÚKROK VPRAVO"
"MENU_GAMEPLAY": "HRA"
"MENU_MOUSE_CONTROLS_VERT_SENS": "VERTIKÁLNÍ CITLIVOST"
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM_TEXT": "Chceš zachovat toto nastavení?\nZměny se automaticky vrátí za 15 vteřin."
"PLT_MENU_DISPLAY_INDEX_TOOLTIP": "URČÍ MONITOR PRO ZOBRAZENÍ HRY"
"PC_DOF": "ROZOSTŘENÍ PODLE VZDÁLENOSTI"
"RECORD_MODE_WARNING_TEXT": "Ukládání filmových záznamů deaktivuje všechny mise, aktivity, obchody a herní hudbu, dokud se nevrátíš do hlavní nabídky. Chceš začít zaznamenávat hru?"
"PC_HIDE_KEYS": "SKRÝT KLÍČE"
"TUT_TITLE_SPRINT": "ÚŽASNÉ TLAČÍTKO"
"PC_COMMUNITY_AGE_FIELD": "VĚK (MM.DD.RRRR)"
"MENU_OPTIONS_REMAP": "NASTAVENÍ KLÁVES A TLAČÍTEK"
"CBA_OFC_ZOOM_OUT": "   ODDÁLIT"
"PLT_MENU_RESOLUTIONS": "ROZLIŠENÍ"
"DPAD_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad][/format]"
"DPAD_DOWN_TXT": "TLAČÍTKO A"
"PCACTION_WEAPON_5": "ZBRAŇ 5"
"PCACTION_ATTACK_SECONDARY": "SEKUNDÁRNÍ ÚTOK"
"HUD_ZOMBIE_BITE_ESCAPE": "Stisknutím libovolného tlačítka utečeš!"
"MENU_AIRPLANE_HANDLING": "OVLÁDÁNÍ LETADEL"
"MENU_MOUSE_BUTTON_4": "Myš 4"
"CBA_GAC_GRENADE_SELECT_1": "   POZICE PRO GRANÁT 1"
"CBA_OFC_JUMP_CLIMB": "   SKOK/ŠPLH"
"PC_ROTATION_SENSITIVITY": "CITLIVOST KAMERY"
"PC_SLOWMO": "RYCHLOST PŘEHRÁVÁNÍ"
"MENU_OPTIONS_REMAP_CATEGORIES_TIP": "PŘEPÍNÁ RŮZNÉ KATEGORIE OVLÁDÁNÍ"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "ZOBRAZIT PROFIL NA STEAMU"
"MENU_CONTROLLER_OPTIONS": "NASTAVENÍ OVLADAČE"
"PC_EDIT_PROPS_HINT": "ZOBRAZIT DIALOG VLASTNOSTÍ KAMERY"
"PC_ADDITIONAL_PROPS": "DALŠÍ VLASTNOSTI"
"PC_NEW_ZONE": "NOVÁ ZÓNA"
"MENU_OPTIONS_MOUSE": "OVLÁDÁNÍ"
"CBA_GAC_WEAPON_SELECT_5": "   POZICE PRO ZBRAŇ 5"
"CBA_VDC_PLANE_ACCELERATE": "   PLYN"
"MENU_CATEGORY": "KATEGORIE"
"PLT_MENU_ASPECT_TOOLTIP": "POMĚR STRAN JE MOŽNÉ MĚNIT JEN V HLAVNÍ NABÍDCE"
"PC_CM_DEFAULT": "VÝCHOZÍ"
"PC_COPY_CURRENT": "KOPÍROVAT AKTUÁLNÍ"
"COMMUNITY_EXISTING_FOUND_TEXT": "Bylo nalezeno THQ ID spojené s tvým účtem na službě Steam. Přihlaš se prosím na svůj účet."
"CBA_VDC_PREV_RADIO": "   PŘEDCHOZÍ RÁDIO"
"PLT_MENU_POST_PROCESSING_DETAIL": "    POSTPROCESSING"
"BTN_RTHUMB_TXT": "PRAVÁ PÁČKA"
"BTN_X_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-x][/format]"
"PCACTION_BACKWARD": "DOZADU"
"HASH_0AEDCF17": "Došlo k síťové chybě.\nProbíhá návrat do hlavní nabídky."
"PC_VIDEO_QUALITY": "KVALITA VIDEA"
"M17_ERROR_SCREEN_CONTINUE_MSG_PC": "A teď začíná skutečná hra >:) \n\nPro pokračování stiskni cokoliv "
"CBA_VDC_LOOK_BEHIND": "   ZPĚTNÁ KAMERA"
"CBA_VDC_HELI_DRIVE_TURN_SELECT": "   OTOČENÍ ZPĚT"
"CBA_VDC_PLANE_ROLL_TURN_SELECT2": "   OTOČENÍ VPŘED"
"PLT_MENU_PAUSE_FOCUS_TOOLTIP": "AUTOMATICKY POZASTAVÍ HRU, KDYŽ NENÍ AKTIVNÍ"
"PC_ROTATION_SENSITIVITY_HINT": "CITLIVOST ROTACE KAMERY"
"PCACTION_ATTACK_PRIMARY": "PRIMÁRNÍ ÚTOK"
"TUT_SPRINT": "{SPRINT_IMG} SPRINT\nSprintování dělá z ostatních akcí úžasnou podívanou. Nezapomeň si vyzkoušet různé kombinace sprintu s dalšími tlačítky!"
"NOT_LOGGED_IN": "Pro tuto funkci musíš být online na Steamu nebo se znovu připojit k internetu."
"CBA_GAC_GRENADE_SWITCH": "   DALŠÍ GRANÁT"
"CBA_GAC_MAP_MENU": "   TELEFON"
"PLT_MENU_VSYNC_TOOLTIP": "SNIŽUJE TRHÁNÍ OBRAZU NA CELÉ OBRAZOVCE"
"MENU_OFF": "VYP"
"PLT_MENU_VOICE_ALWAYS_ON": "VŽDY ZAPNUTO"
"PLT_QUIT_GAME_WARNING": "Opravdu chceš ukončit hru a vrátit se na plochu?"
"PC_TOD_NIGHT": "NOC"
"PC_TOD_HINT": "NASTAVENÍ SVĚTLA"
"PC_DOF_CLOSEUP": "DETAIL"
"PC_OPTIONS_HINT": "ZOBRAZIT DIALOG OBECNÉHO NASTAVENÍ"
"PC_SHOW_HUD": "ZOBRAZIT HUD"
"PCACTION_HORN": "KLAKSON"
"CONTROLS_FORCE_FEED": "VIBRACE"
"STATS_CORRUPT_BODY": "Tvé statistiky byly poškozeny a bude třeba je vymazat.\nPřípadné dosažené trofeje to nijak neovlivní."
"PC_PLAY_SLOW_HINT": "ZPOMALENÉ PŘEHRÁVÁNÍ ZAZNAMENANÉ HRY"
"HASH_C407C71A": "Připojení na GOG bylo ztraceno.\nProbíhá návrat do hlavní nabídky."
"TUT_COMBAT_MELEE_2": "Pokud během silného útoku zblízka zmáčkneš zobrazené tlačítko, způsobíš závažnější zranění a získáš si větší respekt."
"MENU_OPTIONS_GAMEPLAY_MINIMAP_TIP": "NASTAV SI, JESTLI SE MÁ MINIMAPA OTÁČET S KAMEROU"
"CONTROL_R_STICK": "PRAVÁ PÁČKA"
"MENU_CHANGES_MADE_BODY": "Byly provedeny změny. Chceš nové nastavení zachovat?"
"PLT_MENU_SHADOW_DETAIL_TOOLTIP": "ROZLIŠENÍ STÍNOVÝCH MAP"
"PLT_MENU_REFLECTIONS": "    ODRAZY"
"PLT_MENU_DISPLAY_2": "DRUHÝ"
"PC_CREATE_CHAR_HINT": "VYTVOŘIT NEBO IMPORTOVAT NOVÝ MODEL POSTAVY"
"PC_CAM_TILT": "NÁKLON KAMERY"
"HUD_PICK_UP_MESSAGE": "SEBRAT: %ls"
"MENU_DISCARD": "NEZACHOVAT"
"PC_CM_STATIC": "STATICKÝ"
"PC_FOV": "ÚHEL POHLEDU"
"PCACTION_FINE_AIM": "PŘESNÉ ZAMÍŘENÍ"
"HASH_A87943DC": "ALT"
"HASH_5770315C": "%ls (PRAVÝ)"
"CBA_GAC_GRENADE_SELECT_4": "   POZICE PRO GRANÁT 4"
"CBA_VDC_FIREARM": "   STŘELBA"
"MENU_PC_CHAT": "CHAT"
"PC_DOF_DIST": "VZDÁLENOST ROZOSTŘENÍ"
"PLAYBACK_MODE_WARNING": "UPRAVIT KINOKLIPY"
"BTN_B_TXT": "TLAČÍTKO A"
"PCACTION_BREAK": "RUČNÍ BRZDA"
"PC_RECORD_MODE_ERROR_NO_SPACE": "Nelze uložit video. Je potřeba více místa na disku."
"CAA_TANK_DRIVE_LEFT_RIGHT_POS": "   POHYB DOPRAVA"
"MENU_CATEGORY_ONFOOT": "PĚŠKY"
"PLT_MENU_DISPLAY_INDEX": "MONITOR"
"HUD_DUAL_WIELD_MESSAGE": "DVOJÍ %ls"
"ANALOG_RS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"DPAD_LEFT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-l][/format]"
"DPAD_RIGHT_TXT": "TLAČÍTKO A"
"MENU_OPTIONS_GAMEPLAY_CAMERA_TIP": "NASTAV, JAK RYCHLE SE KAMERA VRÁTÍ NA PŮVODNÍ POHLED"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "Tento účet služby Steam není svázán k žádnému THQ ID."
"TL_MIS_21_RIDE_KILLBANE_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} POHYB \n{ATTACK_PRIMARY_IMG} ÚDER \nMlať Killbana, aby se pohyboval kýženým směrem."
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM": "ZACHOVAT NASTAVENÍ?"
"PLT_MENU_VSYNC_GAMEPLAY_TOOLTIP": "VERTIKÁLNÍ SYNCHRONIZACE BĚHEM HRY"
"PLT_MENU_WINDOWED": "V OKNĚ"
"PLT_MENU_DISPLAY_PRESET": "GRAFICKÉ NASTAVENÍ"
"PC_DOF_RANGE": "DOSAH ROZOSTŘENÍ PODLE VZDÁLENOSTI"
"PC_FOV_HINT": "ÚHEL POHLEDU KAMERY"
"PC_HANDYCAM_HINT": "SÍLA TŘESU RUČNÍ KAMERY"
"BTN_BACK_TXT": "TLAČÍTKO A"
"DPAD_LR_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-lr][/format]"
"PLT_MENU_REMAP_X_UNDER_Y": "jako"
"CBA_VDC_BIKE_LEAN_BACK": "   NÁKLON DOZADU"
"CBA_VDC_PLANE_TURN_RIGHT": "   POHYB DOPRAVA"
"MENU_CATEGORY_CAR": "AUTO/ MOTORKA /LOĎ"
"PC_W_DEFAULT": "VÝCHOZÍ"
"PC_WEATHER_HINT": "NASTAVENÍ POČASÍ"
"PC_DOF_ZOOM": "PŘIBLÍŽIT"
"PC_PAUSE_HINT": "POZASTAVIT PŘEHRÁVÁNÍ"
"COMMUNITY_SUCCESS_LINK_EXT": "Tvůj účet služby Steam byl úspěšně svázán s THQ ID."
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "Tento účet služby Steam je svázán s jiným THQ ID."
"CBA_GAC_WEAPON_SELECT_3": "   POZICE PRO ZBRAŇ 3"
"CBA_VDC_WATERCRAFT_FIRE_SECONDARY": "   SEKUNDÁRNÍ STŘELBA"
"CAA_PLANE_PITCH_UP_DOWN_NEG": "   LETĚT NAHORU"
"CAA_PLANE_PITCH_UP_DOWN_POS2": "   NÁKLON DOLŮ"
"PLT_MENU_DISPLAY_1": "PRVNÍ"
"SAVELOAD_CANNOT_SAVE_TO_FULL_DEVICE": "Pevný disk je zaplněn.\nChceš-li ukládat, vyber si jiné místo pro ukládání."
"PC_VOICE_HINT": "ZAPNOUT/VYPNOUT VŠECHNY HLASY"
"PC_ZT_CUT": "STŘIH"
"CBA_MENU_PC_TEXT_CHAT": "   CHAT"
"PLT_MENU_LIGHTING_DETAIL_TOOLTIP": "KVALITA NASVÍCENÍ"
"PLT_MENU_DISPLAY_CHANGES_FAILED": "Změna nastavení videa se nepovedla. Změny se vrací na původní hodnoty."
"PLT_MENU_VOICE_DISABLED": "ZAKÁZÁNO"
"START_GAME_OUT_OF_SAVE_SLOTS_TEXT": "Došly ti ukládací pozice. Pokud chceš ukládat, přepiš některou z existujících uložených her, nebo uložit na jiné místo."
"PC_EXPORT_LOCK": "EXPORTOVAT ZÁMEK"
"PC_EXPORT_SETTINGS": "EXPORTOVAT NASTAVENÍ"
"BTN_LTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-lt][/format]"
"BTN_WHITE_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-lb][/format]"
"PC_CLIP_DELETE_CONFIRM": "Opravdu chceš tento klip smazat? Tuto akci nebude možné vrátit."
"TUT_COMBAT_WEAPONS_0_PC": "{NEXT_WEAPON_IMG} DALŠÍ ZBRAŇ\n{PREV_WEAPON_IMG} PŘEDCHOZÍ ZBRAŇ"
"CBA_OFC_SHOULDER_CAMERA_TOGGLE": "   PŘIBLÍŽENÍ (PŘEPNUTÍ)"
"CBA_VDC_PLANE_TURN_LEFT": "   POHYB DOLEVA"
"PLT_ANISOTROPIC_TWO": "ANISOTROPNÍ 2X"
"PLT_MENU_MED_DX10_ONLY": "STŘEDNÍ (DX10 NEBO VYŠŠÍ)"
"PC_WATERMARK": "VODNÍ ZNAČKA"
"PC_SELECT_TARGET_HINT": "POMOCÍ OVLÁDÁNÍ VYBER CÍL"
"PC_DOF_OFF": "VYP"
"PC_AV_OPTIONS_HINT": "ZOBRAZIT DIALOG NASTAVENÍ PROSTŘEDÍ"
"PC_PLAY_FAST_HINT": "RYCHLÉ PŘEHRÁVÁNÍ ZAZNAMENANÉ HRY"
"PCACTION_CONSUME_DOWN": "SPOTŘEBOVAT (DOLŮ)"
"PCACTION_RELOAD": "NABÍT ZBRAŇ"
"MENU_OPTIONS_GAMEPLAY_FOCUS_TIP": "AUTOMATICKY POZASTAVÍ HRU, KDYŽ JEJÍ OKNO NEBUDE AKTIVNÍ"
"CBA_OFC_SPRINT": "   SPRINT (PODRŽ)"
"PLT_ANISOTROPIC_FOUR": "ANISOTROPNÍ 4X"
"PLT_MENU_VOICE_PUSH_TO_TALK": "STISKEM KLÁVESY"
"PC_SM_FAST": "RYCHLÉ"
"PC_CAMERA_DONE": "HOTOVO"
"PLAYBACK_MODE_WARNING_TEXT": "Tímto se zastaví tvůj aktuální záznam a budeš ho moct editovat, uložit a exportovat do video souboru. Pro vytvoření nového záznamu se budeš muset vrátit do hlavní nabídky. Pokračovat do editoru záznamů?"
"PCACTION_FORWARD": "DOPŘEDU"
"PC_RECORD_MODE_QUALITY_HIGH": "1080p (VYŠŠÍ)"
"PC_RECORD_MODE_CANCELLED_EXPORT": "ULOŽENÍ PŘERUŠENO."
"STATS_CORRUPT_TITLE": "POŠKOZENÉ STATISTIKY"
"COMMUNITY_SITE_BLURB": "Nahraj svou první postavu a získej trofej.\nProhlížej si další postavy, za které můžeš v Saints Row: The Third hrát.\nPodívej se na komunitní mapu v reálném čase a na svou vlastní upravenou mapu.\nZúčastni se komunitních výzev.\nZískej slevy na zboží značky Saints Row a herní obsah určené pouze pro komunitu."
"CBA_OFC_TAUNT_TWO": "   POSMĚŠEK"
"CAA_WALK_TURN_LEFT_RIGHT_POS": "   DOPRAVA"
"PC_PLAY_HINT": "PŘEHRÁVÁNÍ ZAZNAMENANÉ HRY"
"PC_EXPORTING_VIDEO": "EXPORTOVÁNÍ VIDEA"
"BTN_LTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"CBA_GAC_RECRUIT_DISMISS": "   SVOLAT/ODVOLAT"
"CBA_OFC_ATTACK_PRIMARY": "   ÚTOK"
"CBA_VDC_HELI_UP": "   NAHORU"
"MENU_CATEGORY_TANK": "TANK"
