"MENU_LEFT_MOUSE": "Linkermuisknop"
"TUT_ACT_INS_FRAUD_FIRST_HIT_PC": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} LAPPENPOP \n{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} IN DE LUCHT NA AANRIJDING"
"CONTROL_L_STICK": "LINKER STICK"
"CBA_OFC_SHOULDER_CAMERA": "   ZOOM (HOUD INGEDRUKT)"
"CAA_HELI_DRIVE_LEFT_RIGHT_POS": "   RECHTS"
"PC_CLIP_ACTIONS": "KIES EEN AKTIE OM OP DEZE CLIP UIT TE VOEREN"
"PC_CA_CLONE": "MAAK EEN KOPIE"
"PC_DOF_WIDE": "BREEDBEELD"
"PC_EDIT_WARNING": "WAARSCHUWING"
"PC_SHOW_KEYS": "SLEUTELS TONEN"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": "RUIL %ls MET %ls"
"PCACTION_ACCELERATE": "VERSNELLEN"
"PCACTION_CONSUME_RIGHT": "GEBRUIKEN BIJ RECHTS"
"PC_RECORD_MODE_QUALITY_MED": "720p (MEDIUM)"
"PC_RECORD_MODE_ERROR_NO_BUFFER": "VIDEO OPGESLAGEN. SOMMIGE BEELDEN KUNNEN VERLOREN ZIJN. MAAK VIDEO MET LAGERE KWALITEIT OM VERLIES TE VERMIJDEN."
"CBA_OFC_ATTACK_SECONDARY": "   GRANAAT GOOIEN"
"PLT_ANISOTROPIC_SIXTEEN": "ANISOTROPISCH 16X"
"PC_PROPS_EXIT_HINT": "DIALOOG EIGENSCHAPPEN SLUITEN"
"HASH_342C548B": "UITNODIGING"
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}Als je cheats gebruikt, kun je geen prestaties verdienen en automatisch opslaan is uitgeschakeld. \n\nWil je deze cheat nog steeds activeren?"
"CBA_VDC_PLANE_TURN_LEFT2": "   LINKS GIEREN"
"PLT_MENU_AMBIENT_OCCLUSION_TOOLTIP": "SINGLE FRAME OF ACCUMULATIVE"
"PLT_MENU_DISPLAY_PRESET_TOOLTIP": "KIES JE MACHINE PERFORMANCE LEVEL"
"PC_UNBOUND_KEY": "NIET INGEBONDEN"
"PLT_MENU_STANDARD": "STANDAARD"
"MULTI_MENU_SYSLINK": "LAN-GAME"
"PC_CAM_MODE_HINT": "HOE DE CAMERA ZICH GEDRAAGT IN DEZE CAMERAZONE"
"PCACTION_WEAPON_1": "WAPEN 1"
"SAVE_CLIP_NAME": "Voer een naam in voor deze clip"
"PLT_MENU_VIEW_GAMERCARD": "BEKIJK STEAM-PROFIEL"
"CBA_GAC_WEAPON_SELECT_1": "   WAPEN SLOT 1"
"CBA_OFC_WALK_TOGGLE": "   LOOP (WISSEL)"
"CBA_OFC_CROUCH": "   KRUIPEN (HOUD INGEDRUKT)"
"CBA_VDC_BRAKE_REVERSE": "   REMMEN / ACHTERUIT"
"PLT_MENU_VSYNC": "VSYNC"
"OPTIONS_MENU_AUTO_DETECT_DESC": "Dit zal het terug zetten naar standaardinstellingen en presteren afhankelijk van de ingestelde videokaart. Weet je zeker dat je dit wilt doen?"
"PLT_MENU_DISPLAY_3": "TERTIAIR"
"PLT_MENU_AUDIO_VOICE_ENABLE": "SPRAAKCHAT"
"PC_EASE_HINT": "BLADER DOOR DE VERSCHILLENDE TYPES ANIMATIE"
"PC_DELETE_CZ_HINT": "DE HUIDIGE CAMERAZONE VERWIJDEREN"
"BTN_A_TXT": "DE A-KNOP"
"MENU_VIDEO_RECORD_MODE": "VIDEO-OPNAMEMODUS"
"PC_RECORD_MODE_ERROR_NO_MEMORY": "Kan Video-opnamemodus momenteel niet gebruiken. Meer geheugenruimte nodig."
"COMMUNITY_BLURB_HEADER": "Kom bij de Saints Row Community op SaintsRow.com "
"SAVING_CONTENT_TITLE": "Gegevens worden opgeslagen."
"MENU_CONTROLS_STICK": "LINKER STICK VERSNELLEN/REMMEN"
"PLT_MENU_REFLECTIONS_TOOLTIP": "NORMAAL OF GEOMETRISCH SHADER REFLECTIONS AAN"
"PLT_MENU_SCENE_DETAIL_TOOLTIP": "BEPAALT AANTAL EN DETAIL SCENE- ELEMENTEN"
"MULTI_GAMETYPE_1": "LAN-GAME"
"PC_TOD_NOON": "MIDDAG"
"PC_TOD": "DAGDEEL"
"PC_GS_PEOPLE": "MENSEN"
"PC_POSITION_CAMERA_HINT": "GEBRUIK DE BESTURING OM DE CAMERA TE POSITIONEREN"
"BTN_LTHUMB_TXT": "LINKER STICK"
"PC_RECORD_MODE_ERROR_NO_CODEC": "De videocodec die voor deze modus nodig is, is momenteel afwezig. Lees de readme voor informatie over hoe te installeren."
"MENU_PRIMARY_ASSIGNMENT": "PRIMAIRE-TOETS OPDRACHT"
"CBA_VDC_PLANE_BRAKE_REVERSE": "   REMMEN / ACHTERUIT"
"PLT_MENU_SCENE_DETAIL": "    SCENE DETAIL"
"PC_OUTPUT_ONLY": "ALLEEN UITVOER TONEN"
"PC_GS_PLAYER": "SPELER"
"PC_CM_FOLLOW": "VOLGEN"
"PC_CAMERA_LOCKED": "CAMERA VAST"
"MENU_CHANGES_MADE_TITLE": "VERANDERINGEN TOEPASSEN?"
"CBA_VDC_PLANE_ROLL_TURN_SELECT": "   SCHERPERE BOCHTEN"
"CAA_PLANE_PITCH_UP_DOWN_NEG2": "   STIJGEN"
"PC_W_CLEAR": "HELDER"
"PC_CAMERA_ZONE": "CAMERAZONE"
"BTN_Y_TXT": "DE A-KNOP"
"MENU_OPTIONS_GAMEPLAY_SUBTITLES_TIP": "ONDERTITELING AAN/UIT"
"TUT_MIS_02_SKYDIVE_FLIP_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} VERPLAATSEN\nGEBRUIK DE MUIS OM TE KIJKEN\n{SKYDIVE_FLIP_IMG} OMHOOG OF OMLAAG OMDRAAIEN"
"MENU_RESTORE_ALL_DEFAULTS": "STANDAARDINSTELLINGEN HERSTELLEN"
"CAA_TANK_DRIVE_LEFT_RIGHT_NEG": "   LINKS"
"MAINMENU_NEW_GAME_NO_SPACE_EXPOSITION": "De harde schijf heeft niet genoeg ruimte.\nAls je doorgaat kun je niet opslaan.\nDoorgaan?"
"PC_ZT_BLEND": "OVERVLOEIEN"
"PC_SAVE_HINT": "CLIPWIJZIGINGEN OPSLAAN"
"PC_COPY_NEXT_HINT": "MAAK EEN NIEUWE CAMERAZONE AAN GEBASEERD OP DE HUIDIGE ZONE"
"PCACTION_STRAFE_RIGHT": "NAAR RECHTS"
"MENU_GAMEPLAY": "SPEL SPELEN"
"MENU_MOUSE_CONTROLS_VERT_SENS": "VERTICALE GEVOELIGHEID"
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM_TEXT": "Wil je deze instellingen behouden?\nZe zullen automatisch worden teruggezet in 15 seconden."
"PLT_MENU_DISPLAY_INDEX_TOOLTIP": "WELKE MONITOR GEBRUIKEN VOOR VOLLEDIG SCHERM"
"PC_DOF": "SCHERPTEDIEPTE"
"RECORD_MODE_WARNING_TEXT": "Als je Cinema Clips opneemt zullen alle missies, activiteiten, winkels en in-game muziek worden uitgeschakeld totdat je terug keert naar het hoofdmenu. Nu beginnen met het opnemen van een Cinema Clip?"
"PC_HIDE_KEYS": "SLEUTELS VERBERGEN"
"TUT_TITLE_SPRINT": "MEGAVET TOETS"
"PC_COMMUNITY_AGE_FIELD": "LEEFTIJD (MM.DD.JJJJ)"
"MENU_OPTIONS_REMAP": "STEL TOETSENBORD & MUIS IN"
"CBA_OFC_ZOOM_OUT": "   SCOOP UITZOOMEN"
"PLT_MENU_RESOLUTIONS": "RESOLUTIES"
"DPAD_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad][/format]"
"DPAD_DOWN_TXT": "DE A-KNOP"
"PCACTION_WEAPON_5": "WAPEN 5"
"PCACTION_ATTACK_SECONDARY": "TWEEDE AANVAL"
"HUD_ZOMBIE_BITE_ESCAPE": "Druk herhaaldelijk op een willekeurige toets om te ontsnappen!"
"MENU_AIRPLANE_HANDLING": "VLIEGTUIGBEDIENING"
"MENU_MOUSE_BUTTON_4": "Muis 4"
"CBA_GAC_GRENADE_SELECT_1": "   GRANAAT SLOT 1"
"CBA_OFC_JUMP_CLIMB": "   SPRINGEN/KLIMMEN"
"PC_ROTATION_SENSITIVITY": "DRAAIGEV."
"PC_SLOWMO": "AFSPEELSNELHEID"
"MENU_OPTIONS_REMAP_CATEGORIES_TIP": "WISSEL VERSCHILLENDE BESTURINGSCATEGORIEËN"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "STEAMPROFIEL SPELER BEKIJKEN"
"MENU_CONTROLLER_OPTIONS": "GAMEPAD-OPTIES"
"PC_EDIT_PROPS_HINT": "CAMERAZONE EIGENSCHAPPEN DIALOOG TONEN"
"PC_ADDITIONAL_PROPS": "ADDITIONELE EIGENSCHAPPEN"
"PC_NEW_ZONE": "NIEUWE ZONE"
"MENU_OPTIONS_MOUSE": "BESTURING"
"CBA_GAC_WEAPON_SELECT_5": "   WAPEN SLOT 5"
"CBA_VDC_PLANE_ACCELERATE": "   VERSNELLEN"
"MENU_CATEGORY": "CATEGORIE"
"PLT_MENU_ASPECT_TOOLTIP": "ASPECT RATIO KAN ALLEEN IN HET HOOFDMENU VERANDERD WORDEN"
"PC_CM_DEFAULT": "STANDAARD"
"PC_COPY_CURRENT": "HUIDIGE KOPIËREN"
"COMMUNITY_EXISTING_FOUND_TEXT": "We hebben een THQ ID aangetroffen dat gekoppeld is aan je Steam-account. Log in met je bestaande account."
"CBA_VDC_PREV_RADIO": "   VORIGE RADIOSTATION"
"PLT_MENU_POST_PROCESSING_DETAIL": "    DETAIL POSTPROCESSING"
"BTN_RTHUMB_TXT": "RECHTER STICK"
"BTN_X_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-x][/format]"
"PCACTION_BACKWARD": "ACHTERUIT"
"HASH_0AEDCF17": "Er is een netwerkfout opgetreden.\nJe keert terug naar het hoofdmenu."
"PC_VIDEO_QUALITY": "VIDEOKWALITEIT"
"M17_ERROR_SCREEN_CONTINUE_MSG_PC": "Nu begint het spel pas echt>:) \n\nDruk op een knop om verder te gaan"
"CBA_VDC_LOOK_BEHIND": "   CAMERA OMDRAAIEN "
"CBA_VDC_HELI_DRIVE_TURN_SELECT": "   OMDRAAIEN"
"CBA_VDC_PLANE_ROLL_TURN_SELECT2": "   GIEREN"
"PLT_MENU_PAUSE_FOCUS_TOOLTIP": "PAUZEER SPEL AUTOMATISCH ALS HET NIET IN FOCUS IS"
"PC_ROTATION_SENSITIVITY_HINT": "DE DRAAIGEVOELIGHEID VAN DE CAMERA"
"PCACTION_ATTACK_PRIMARY": "EERSTE AANVAL"
"TUT_SPRINT": "{SPRINT_IMG} SPRINT\nDoor te sprinten worden acties op een Megavette wijze veranderd. Probeer met sprinten verschillende combinaties van toetsen om ze allemaal te vinden!"
"NOT_LOGGED_IN": "Je moet ONLINE zijn bij Steam voor deze optie of meld je opnieuw aan op het Internet om gebruik te kunnen maken van deze optie."
"CBA_GAC_GRENADE_SWITCH": "   VOLGENDE GRANAAT"
"CBA_GAC_MAP_MENU": "   MOBIELTJE"
"PLT_MENU_VSYNC_TOOLTIP": "VERTICALE SYNC OM SCHEUREN VAN VOLLEDIG BEELD TE VERWIJDEREN"
"MENU_OFF": "UIT"
"PLT_MENU_VOICE_ALWAYS_ON": "ALTIJD AAN"
"PLT_QUIT_GAME_WARNING": "Weet je zeker dat je wilt stoppen en teruggaan naar het bureaublad?"
"PC_TOD_NIGHT": "NACHT"
"PC_TOD_HINT": "LICHTINSTELLINGEN"
"PC_DOF_CLOSEUP": "CLOSE-UP"
"PC_OPTIONS_HINT": "DIALOOG ALGEMENE OPTIES TONEN"
"PC_SHOW_HUD": "HUD TONEN"
"PCACTION_HORN": "CLAXON"
"CONTROLS_FORCE_FEED": "VIBRATIE"
"STATS_CORRUPT_BODY": "Je statistieken zijn beschadigd en moeten opnieuw worden ingesteld.\nDit heeft geen invloed op enige prestaties die je verdiend hebt."
"PC_PLAY_SLOW_HINT": "OPGENOMEN GAMEPLAY VERTRAAGD AFSPELEN"
"HASH_C407C71A": "Verbinding met GOG verbroken.\nJe keert terug naar het hoofdmenu."
"TUT_COMBAT_MELEE_2": "Druk tijdens een ZWARE AANVAL op de weergegeven toets om extra schade te veroorzaken en meer respect te verdienen."
"MENU_OPTIONS_GAMEPLAY_MINIMAP_TIP": "LAAT DE MINIKAART MET DE CAMERAHOEK ROTEREN"
"CONTROL_R_STICK": "RECHTER STICK"
"MENU_CHANGES_MADE_BODY": "Er zijn veranderingen gemaakt. Wil je de huidige veranderingen toepassen?"
"PLT_MENU_SHADOW_DETAIL_TOOLTIP": "RESOLUTIE VAN SHADOW MAPS"
"PLT_MENU_REFLECTIONS": "    REFLECTIES"
"PLT_MENU_DISPLAY_2": "SECUNDAIR"
"PC_CREATE_CHAR_HINT": "CREËER OF IMPORTEER EEN NIEUW PERSONAGEMODEL"
"PC_CAM_TILT": "CAMERAHOEK"
"HUD_PICK_UP_MESSAGE": "PAK %ls OP"
"MENU_DISCARD": "VERWIJDEREN"
"PC_CM_STATIC": "STATISCH"
"PC_FOV": "ZICHTVELD"
"PCACTION_FINE_AIM": "RICHTMODUS"
"HASH_A87943DC": "ALT"
"HASH_5770315C": "%ls (RECHTER)"
"CBA_GAC_GRENADE_SELECT_4": "   GRANAAT SLOT 4"
"CBA_VDC_FIREARM": "   VUURWAPEN"
"MENU_PC_CHAT": "CHAT"
"PC_DOF_DIST": "SCHERPTEDIEPTE AFSTAND"
"PLAYBACK_MODE_WARNING": "EDIT CINEMA CLIPS"
"BTN_B_TXT": "DE A-KNOP"
"PCACTION_BREAK": "HANDREM"
"PC_RECORD_MODE_ERROR_NO_SPACE": "Kan video niet opslaan. Meer schijfruimte nodig."
"CAA_TANK_DRIVE_LEFT_RIGHT_POS": "   RECHTS"
"MENU_CATEGORY_ONFOOT": "TE VOET"
"PLT_MENU_DISPLAY_INDEX": "MONITOR"
"HUD_DUAL_WIELD_MESSAGE": "GEBRUIK %ls ALS TWEEDE HANDWAPEN"
"ANALOG_RS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"DPAD_LEFT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-l][/format]"
"DPAD_RIGHT_TXT": "DE A-KNOP"
"MENU_OPTIONS_GAMEPLAY_CAMERA_TIP": "STEL IN HOE SNEL CAMERA TERUGKEERT NAAR NORMALE HOEK"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "Je Steam-account is niet gekoppeld aan een THQ ID."
"TL_MIS_21_RIDE_KILLBANE_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} STEER \n{ATTACK_PRIMARY_IMG} SLAAN \nSla Killbane om in de richting te bewegen waar je naar toe stuurt."
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM": "INSTELLINGEN ACCEPTEREN?"
"PLT_MENU_VSYNC_GAMEPLAY_TOOLTIP": "VERTICALE SYNC TIJDENS HET SPEL"
"PLT_MENU_WINDOWED": "IN VENSTER"
"PLT_MENU_DISPLAY_PRESET": "PRESET"
"PC_DOF_RANGE": "SCHERPTEDIEPTE BRANDPUNTSAFSTAND"
"PC_FOV_HINT": "HET CAMERAZICHTVELD"
"PC_HANDYCAM_HINT": "DE HANDYCAM TRILSTERKTE"
"BTN_BACK_TXT": "DE A-KNOP"
"DPAD_LR_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-lr][/format]"
"PLT_MENU_REMAP_X_UNDER_Y": "onder"
"CBA_VDC_BIKE_LEAN_BACK": "   ACHTEROVER LEUNEN MOTOR"
"CBA_VDC_PLANE_TURN_RIGHT": "   NAAR RECHTS ROLLEN"
"MENU_CATEGORY_CAR": "AUTO / FIETS / BOOT"
"PC_W_DEFAULT": "STANDAARD"
"PC_WEATHER_HINT": "WEERINSTELLINGEN"
"PC_DOF_ZOOM": "ZOOM"
"PC_PAUSE_HINT": "AFSPELEN PAUZEREN"
"COMMUNITY_SUCCESS_LINK_EXT": "Koppelen van je huidige Steam-account aan je THQ ID is gelukt."
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "Het Steam-account dat je gebruikt, is gekoppeld aan een ander THQ ID."
"CBA_GAC_WEAPON_SELECT_3": "   WAPEN SLOT 3"
"CBA_VDC_WATERCRAFT_FIRE_SECONDARY": "   WAPEN 2 AFVUREN"
"CAA_PLANE_PITCH_UP_DOWN_NEG": "   STIJGEN"
"CAA_PLANE_PITCH_UP_DOWN_POS2": "   DALEN"
"PLT_MENU_DISPLAY_1": "PRIMAIR"
"SAVELOAD_CANNOT_SAVE_TO_FULL_DEVICE": "De harde schijf is vol.\nSelecteer een andere locatie om op te slaan."
"PC_VOICE_HINT": "ALLE STEMMEN AAN/UIT"
"PC_ZT_CUT": "SCHERPE OVERGANG"
"CBA_MENU_PC_TEXT_CHAT": "   TEKST CHAT"
"PLT_MENU_LIGHTING_DETAIL_TOOLTIP": "RESOLUTIE VAN LICHT"
"PLT_MENU_DISPLAY_CHANGES_FAILED": "Video-instellingen wijzigen mislukt. Je wijzigingen zijn teruggedraaid."
"PLT_MENU_VOICE_DISABLED": "UITGESCHAKELD"
"START_GAME_OUT_OF_SAVE_SLOTS_TEXT": "Je hebt geen opslagvakken meer. Om op te kunnen slaan, moet je een eerder opgeslagen slot overschrijven of gebruik een nieuwe locatie."
"PC_EXPORT_LOCK": "VERGRENDELING EXPORTEREN"
"PC_EXPORT_SETTINGS": "EXPORTINSTELLINGEN"
"BTN_LTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-lt][/format]"
"BTN_WHITE_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-lb][/format]"
"PC_CLIP_DELETE_CONFIRM": "Weet je zeker dat je deze clip wilt verwijderen? Je kunt het niet meer herstellen."
"TUT_COMBAT_WEAPONS_0_PC": "{NEXT_WEAPON_IMG} VOLGENDE WAPEN PAKKEN\n{PREV_WEAPON_IMG} VORIGE WAPEN PAKKEN"
"CBA_OFC_SHOULDER_CAMERA_TOGGLE": "   ZOOM (AAN/UIT)"
"CBA_VDC_PLANE_TURN_LEFT": "   NAAR LINKS ROLLEN"
"PLT_ANISOTROPIC_TWO": "ANISOTROPISCH 2X"
"PLT_MENU_MED_DX10_ONLY": "MEDIUM (DX10 OF HOGER)"
"PC_WATERMARK": "WATERMERK"
"PC_SELECT_TARGET_HINT": "GEBRUIK DE BESTURING OM EEN DOELWIT TE KIEZEN"
"PC_DOF_OFF": "UIT"
"PC_AV_OPTIONS_HINT": "DIALOOG OMGEVINGSOPTIES TONEN"
"PC_PLAY_FAST_HINT": "OPGENOMEN GAMEPLAY VERSNELD AFSPELEN"
"PCACTION_CONSUME_DOWN": "GEBRUIKEN BIJ OMLAAG"
"PCACTION_RELOAD": "WAPEN HERLADEN"
"MENU_OPTIONS_GAMEPLAY_FOCUS_TIP": "PAUZEER AUTOMATISCH ALS SPELSCHERM OP ACHTERGROND STAAT"
"CBA_OFC_SPRINT": "   SPRINT (HOUD INGEDRUKT)"
"PLT_ANISOTROPIC_FOUR": "ANISOTROPISCH 4X"
"PLT_MENU_VOICE_PUSH_TO_TALK": "INDRUKKEN OM TE PRATEN"
"PC_SM_FAST": "SNEL"
"PC_CAMERA_DONE": "KLAAR"
"PLAYBACK_MODE_WARNING_TEXT": "Dit zal je huidige opnamen stoppen zodat je het kan editen, opslaan en exporteren naar video. Ga naar het hoofdmenu om een nieuwe Cinema Clip op te nemen. Wil je naar de Cinema Clip Editor?"
"PCACTION_FORWARD": "VOORUIT"
"PC_RECORD_MODE_QUALITY_HIGH": "1080p (HOOG)"
"PC_RECORD_MODE_CANCELLED_EXPORT": "OPSLAG GEANNULEERD."
"STATS_CORRUPT_TITLE": "STATS BESCHADIGD"
"COMMUNITY_SITE_BLURB": "Upload je personage om een prestatie te verdienen.\nBekijk de personages om in Saints Row: The Third mee te spelen.\nBekijk de community-kaart en je zelfgemaakte kaart.\nDoe mee met community-uitdagingen.\nOntvang community-deals op koopwaar en game content van Saints Row."
"CBA_OFC_TAUNT_TWO": "   BELEDIGING"
"CAA_WALK_TURN_LEFT_RIGHT_POS": "   RECHTS"
"PC_PLAY_HINT": "OPGENOMEN GAMEPLAY AFSPELEN"
"PC_EXPORTING_VIDEO": "VIDEO EXPORTEREN"
"BTN_LTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"CBA_GAC_RECRUIT_DISMISS": "   REKRUTEREN / ONTSLAAN"
"CBA_OFC_ATTACK_PRIMARY": "   AANVAL"
"CBA_VDC_HELI_UP": "   NAAR BOVEN"
"MENU_CATEGORY_TANK": "TANK"
"PC_W_THUNDERSTORM": "ONWEER"
"PC_FADE_HUD": "HUD VERVAGEN"
"BTN_A_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-a][/format]"
"PCACTION_ACTION": "ACTIE"
"CBA_OFC_CROUCH_TOGGLE": "   KRUIPEN (AAN/UIT)"
"CBA_VDC_NEXT_RADIO": "   VOLGENDE RADIOSTATION"
"PLT_MENU_ASPECT": "ASPECT RATIO"
"PC_ENVIRONMENT": "OMGEVING"
"PC_GS_BACKGROUND_HINT": "RENDERING ACHTERGROND AAN.UIT"
"PC_DOF_RANGE_HINT": "SCHERPTEDIEPTE BRANDPUNTSAFSTAND"
"PC_COPY_NEXT": "VOLGENDE KOPIËREN"
"PC_EXPORT_EXPLANATION": "Stoppen met editen en naar video exporteren?"
"BTN_Y_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-y][/format]"
