"COMMUNITY_SUCCESS_LINK_EXT": "現在のゲーマー プロフィールがTHQ IDにリンクされました"
"GAME_PROFILE_SAVING": "ゲーマー プロフィールを保存しています。本体の電源を切ったり、データ保存機器を外したりしないでください"
"MULTI_LOBBY_TITLE_SYSLINK": "システムリンクロビー"
"SAVELOAD_LOADING_MESSAGE_EXPOSITION": "ロードしています。\n本体の電源を切らないでください"
"BTN_START_TXT": "A ボタン"
"BTN_LTRIGGER_TXT": "A ボタン"
"BTN_WHITE_TXT": "A ボタン"
"HASH_70DB6EC9": "XBOX LIVE"
"MAIN_MENU_MATCHMAKING_FAIL": "クイックマッチで接続可能なゲームが見つかりませんでした"
"CONTROL_L_STICK": "左 スティック"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": "%lsを%lsと交換する"
"BTN_BLACK_TXT": "A ボタン"
"BTN_RTRIGGER_TXT": "A ボタン"
"COMMUNITY_CREATE_LINK_TEXT": "新規のTHQ IDを作成するか、既存のIDに\nゲーマー プロフィールをリンクさせます "
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}チートを使用すると実績を獲得できなくなりオートセーブが無効となります。\n\nチートを有効にしますか？"
"MAINMENU_LOGIN_CHANGE_EXPOSITION": "プロフィールが変更されたため、タイトル画面に戻りました"
"MULTI_MENU_SYSLINK": "システムリンク"
"PLT_MENU_VIEW_GAMERCARD": "ゲーマー カードを見る"
"BTN_A_TXT": "A ボタン"
"SAVING_CONTENT_TITLE": "データを保存しています"
"MENU_CONTROLS_STICK": "左 スティック アクセル／ブレーキ"
"COMMUNITY_BLURB_HEADER": "SaintsRow.comでコミュニティメンバーになろう "
"MULTI_GAMETYPE_1": "システムリンク"
"BTN_LTHUMB_TXT": "左 スティック"
"DPAD_UP_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-u][/format]"
"MAIN_MENU_PRIVILEGE_DENIED": "このプロフィールでは、Xbox Liveでプレイできません。保護者による設定を確認するか、Xbox Live ゴールド メンバーシップを取得してください"
"MULTI_LOST_CONNECTION": "Xbox Liveから切断されました\nタイトルスクリーンに戻ります"
"M17_ERROR_SCREEN_CONTINUE_MSG": "真のゲームはこれからだ。\n\n続行するにはいずれかのボタンを押してください"
"SAVING_CONTENT_BODY": "本体の電源を切ったり、データ保存機器を外したりしないでください"
"MENU_XBOX_PARTY_INVITE": "Xbox LIVE パーティーへ招待"
"PLT_PRESS_START": "[format][scale:2][color:full_bright][image:uhd_ui_xbox_ctrl-a][/format] ボタンを押してください"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "初期設定のデータ保存機器にはセーブに必要な空き容量が\nありません"
"BTN_Y_TXT": "A ボタン"
"SIGN_IN_AUTOSAVE_PROMPT": "本ゲームはオートセーブ機能を使用します。セーブするには、プロフィールにサインインする必要があります。"
"MENU_XBOX_PARTY_JOIN": "Xbox LIVE パーティーに参加"
"MAINMENU_SYSLINK": "システムリンク"
"TUT_TITLE_SPRINT": "スペシャルボタン"
"MUST_SIGN_IN_PROFILE_CONFIRM": "現在、ゲーマー プロフィールでサインインしていません。\nサインインしますか？"
"DPAD_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad][/format]"
"DPAD_DOWN_TXT": "A ボタン"
"HUD_ZOMBIE_BITE_ESCAPE": "なんでもいいからボタンを連打して逃げろ！"
"CTRL_DISCONNECT_TITLE": "コントローラーの接続が切断されました"
"OPT_CONTROL_OVERRIDE_FEEDBACK_TEXT": "ゲーマー プロフィールの個人設定で振動のオプションを有効にしておく必要があります"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "ゲーマー カードを見る"
"MULTI_MENU_SYSLINK_SEARCHING_TEXT": "システムリンクのゲームを検索しています..."
"DPAD_LEFT_TXT": "A ボタン"
"DPAD_RIGHT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-r][/format]"
"USER_CONTENT_PRIV_DENIED": "このゲーマー プロフィールはメンバーコンテンツにアクセスする権限がありません。保護者による設定を確認してください"
"MULTI_MATCHMAKING": "クイックマッチ"
"BTN_B_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-b][/format]"
"COMMUNITY_EXISTING_FOUND_TEXT": "既にこのゲーマータグにリンクされたTHQ IDがあります。既存のアカウントでログインしてください"
"HUD_DROP_ITEM_MESSAGE": "%lsを手放す"
"ANALOG_LS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
"BTN_RTHUMB_TXT": "右 スティック"
"BTN_X_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-x][/format]"
"MAINMENU_SYSLINK_TITLE": "システムリンク"
"HUD_PICKUP_HAVOK_WEAPON_MESSAGE": "%lsを拾う"
"BTN_BACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-menu][/format]"
"DPAD_LR_TXT": "方向パッド左&右"
"TUT_SPRINT": "{SPRINT_IMG}ダッシュ\nダッシュとアクションを組み合わせるとカッコイイ変化が起こる。ダッシュしながらいろいろなボタンを押してスーパーアクションを発見しろ！"
"NOT_LOGGED_IN": "この機能を利用するには、Xbox Liveに\nサインインする必要があります"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "初期設定のデータ保存機器が使用不可能のため\nセーブに失敗しました"
"HUD_PICKUP_UNNAMED_OBJECT": "拾う"
"CONTROLS_FORCE_FEED": "振動"
"MP_NO_MULT_PLAYERS": "同一本体上での複数人プレイには対応しておりません"
"STATS_CORRUPT_BODY": "プレイデータが破損しているためリセットされます。\nなお、獲得した実績は影響を受けません"
"TUT_COMBAT_MELEE_2": "攻撃（強）中に表示されるボタンを押すとダメージと獲得リスペクトを増やせる"
"HUD_CRUISE_CONTROL_NO_BUTTON": "クルーズコントロール"
"CONTROL_R_STICK": "右 スティック"
"HUD_PICK_UP_MESSAGE": "%lsを拾う"
"SAVELOAD_LOG_IN_CONFIRM_EXPOSITION": "ゲーマー プロフィールにサインインすると\nここまでのプレイデータが失われます"
"DPAD_TXT": "方向パッド"
"DPAD_DOWN_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-d][/format]"
"MUST_LOG_IN_CONFIRM": "この機能を利用するには、Xbox Liveに\nサインインする必要があります。\nサインインしますか？"
"BTN_B_TXT": "A ボタン"
"HUD_DUAL_WIELD_MESSAGE": "%lsを両手に持つ"
"ANALOG_RS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"DPAD_LEFT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-l][/format]"
"DPAD_RIGHT_TXT": "A ボタン"
"COOP_REMOTE_CHEAT_STARTING": "協力プレイのパートナーがチートを使用しているため、新たに作成されるすべてのセーブデータでチートが有効になります。\nオートセーブ機能は無効になります。\nこれ以上実績を獲得することはできません"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "このゲーマータグとTHQ IDはリンクされていません"
"MAINMENU_NEW_GAME_NO_PROFILE_LOG_IN_NOW": "ゲームの進行状況をセーブしたり実績を獲得したりするには\nゲーマー プロフィールにサインインする必要があります。\nサインインしますか？"
"BTN_BACK_TXT": "A ボタン"
"DPAD_LR_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-lr][/format]"
"BTN_RTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"BTN_X_TXT": "A ボタン"
