"HASH_1B09B600": "A doprdele."
"HASH_D958A00E": "Tak poslouchej, Sluníčko, nezajímá mě, jak nasraně vypadáš, nebojím se tebe, ani toho druhýho pitomce."
"LUZ_DRUGTRAFFIC_HOTELS_5": "Tak pomůžeš mi ten matroš prodat, nebo ne?"
"HASH_D31D3E0E": "Netvrdím, že ne, chci jen říct, že chlap, který se dá do gangu..."
"HASH_E2EDC00F": "Proč by se Maero ptal, kdy dorazí jeho vlastní zboží?"
"HASH_A8C0680F": "Nehraj si se mnou, Matte, máš tady kupu hraček, s kterýma jsem si ještě nehrál."
"WFPLAYER_DRUG_HOTELS_5": "Našel si někoho mladšího, co?"
"HASH_ECD2260F": "Dáme dohromady lidi a pak můžem začít pracovat na tom, jak si vezmem zpátky naše město."
"HASH_0A66900F": "Rád jsem tě poznal."
"HASH_AC35F20F": "Tak poslouchej, Sluníčko, tvý nasraný ksichty jsou mi úplně u prdele, já se tě nebojím - ani tebe, ani toho druhýho zmrda."
"HMPLAYER_ESCORT_REDLIGHT_4": "Partnerství je na nic, jen projíždím kolem tvejch holek."
"HASH_E7B3200F": "Ser na to, jdem - hodně štěstí, Johny."
"HASH_9B13540F": "Neznámý spoluviník, doprdele!"
"HASH_0976F80F": "Jasně, promiň."
"HASH_12071810": "Co chceš?"
"HASH_E7E1EE10": "Carlosi..."
"HASH_951DE410": "Skvělý muž, který nás opustil příliš brzy..."
"HASH_CAD55A10": "A to nemůže počkat do oběda?"
"WFPLAYER_SWEEP_REDLIGHT_7": "Uvidíš..."
"HASH_AEB27E11": "Řekni mi, žes tohle místo nevybrala jen proto, abys mohla hrát tu pitomou hru."
"HASH_11792011": "Ne."
"HASH_05BDCA12": "Co je sakra Akudži?"
"HASH_9B475012": "Nemůžeš tu telku zase zapnout?"
"HASH_83F4F012": "To kurva ne. Na čem jsi to makal?"
"HMPLAYER_SWEEP_SUBURBS_1": "A co s tím mám co dělat já?"
"HASH_03294E12": "Tak odsud vypadnem?"
"HASH_29E35C12": "Dýmky stojí prachy - prachy, který se dají utratit za drogy nebo za boty. "
"HASH_93619013": "Sotva Akudži přistál na zdejší půdě, rozhodl se, že znovu otevře roninský hráčský doupata. Tentokrát se nemusíme bát, že budeme mít za prdelí poldy - jejich kasino se skrývá v základech rekreačního střediska Marshalla Winslowa. Jeden můj člověk to tam už nějakou chvíli sleduje, a až tam dorazíš, sejde se s tebou a řekne ti, jak se do kasina dostat. Až budete uvnitř, určitě z toho rychle uděláte kůlničku na dříví.\n23500"
"HASH_7E866C13": "Umři se ctí.\n1400"
"HASH_50A8C013": "No to je kurva paráda."
"HASH_70D09813": "Co je sakra Akudži?"
"HASH_3B564A13": "Protože tě za chvíli zabiju, tak je mi to vlastně úplně jedno."
"HMPLAYER_SNATCH_DTOWN_3": "Myslíš, že by to mohlo být tím, že si tu válíš šunky na lavičce a stavíš si pyramidy z plechovek vod piva, místo abys makal?"
"HASH_5A69DE13": "Evidentně se mejlíš."
"HASH_47339013": "Viděli jste někde Gata?"
"WFDR_INSFRAUD_MUSEUM_6": "Co nadělám."
"HASH_4E3BEC14": "Vypadni odsud, Vogele. "
"WFPLAYER_ESCORT_SUBURBS_7": "Děláš si srandu? Umírám touhou vidět tvoje holky."
"HMPLAYER_DERBY_ARENA_2": "Co si sakra myslíš, že d-"
"HASH_C4438214": "Narazil jsem na tvýho starýho kámoše. Ptal se po tobě."
"HASH_6DFE5214": "Ne."
"HASH_FF635C15": "Hele, Shaundi, randíš s někým, kdo dělal v nějaký pyramidě?"
"HASH_BDFDC215": "Co myslíš tím \"do zelí\"?"
"BFPLAYER_DRUG_AIRPORT_1": "Můžeš mi pomoct?"
"WMPLAYER_DERBY_ARENA_2": "Kdo si sakra myslíš, že j-"
"HMPLAYER_FRAUD_MUSEUM_5": "Copak se podváděním při světovým rekordu neshodíš?"
"HMPLAYER_FUZZ_SUBURBS_1": "Pořád mě trochu mate, proč ti volal ředitel castingu."
"HASH_47180A15": "A všecky je zabil ten blbec, co si teď za naše daně užívá intenzivní péče."
"HASH_31C6F015": "Ty taky ne."
"HASH_11CD7C15": "Skvělý."
"HASH_DF783015": "Tak co myslíš?"
"HASH_AFADAC16": "Užij si důchod, Matte."
"WFPLAYER_DRUG_HOTELS_1": "Luz? Co tady děláš? Myslel jsem, že Kolumbijci pošlou svýho člověka..."
"HASH_CA9C9216": "Chceš ještě něco říct?"
"HASH_0D0B5416": "To má být vtip? Kdysi mi Stilwater patřil..."
"HASH_481BC016": "Se z toho neposer - Gat se každou chvíli vrátí."
"HASH_AB583616": "Kdo kurva seš?"
"HASH_E0DEE416": "Co je s tím domkem pro panenky?"
"BMPLAYER_PIRACY_DOCKS_4": "Cože?"
"HASH_80F1EE17": "Na nic už odpovídat nebudu, padej do auta."
"HFPLAYER_DRUG_HOTELS_1": "Luz? Co tady děláš? Myslel jsem, že Kolumbijci pošlou svýho člověka..."
"HASH_B1BE3217": "Určitě?"
"HASH_85493217": "Vážně, jsi hotová primadona."
"HASH_3D769217": "Moc se nevzrušuj, pitomče; Gat bude zpátky co nevidět."
"HASH_DE356417": "Co jsi kurva za-"
"HASH_BEB2BC17": "Přemejšlím nad tim..."
"HASH_49F06E17": "Jo."
"HASH_D686C217": "Vy tady fakt bydlíte?"
"LUZ_DRUGTRAFFIC_HOTELS_1": "Taky že jo."
"HASH_AA328E18": "Optimismus se zdravou dávkou násilí. Zjistil jsi, z čeho je ten sametový prášek?"
"WFPLAYER_SNATCH_DTOWN_6": "Snažím se jen říct, že máš spoustu práce a nemůžeš dávat pozor na každýho. Tak co kdybych ti ty tvý ztracený holky našel já?"
"HASH_9532A018": "Ne na tvůj zatracený život."
"HASH_D78BE218": "Oděvní společnost?"
"HASH_4FE5FC18": "No, když pěkně poprosíme, tak určitě."
"HASH_E05FF219": "Ne na tvůj zatracenej život."
"HASH_DF5FDC19": "Optimismus se zdravou dávkou násilí. Zjistil jsi, z čeho je ten sametový prášek?"
"HASH_94D90E19": "O to zajímavější ho bude zabít..."
"BMPLAYER_ESCORT_SUBURBS_7": "Děláš si ze mě šoufky? Už se nemůžu dočkat, až uvidím tvý holky."
"HASH_2F429219": "Takže ty mě bereš s sebou?"
"HASH_0E341C1A": "Dostal jsi mě."
"HASH_2E4C441A": "Jdeme. Dobrá práce, Johnny."
"HASH_83D38C1A": "Nebudu vám tady lhát, od tý doby, co jsem vypad ze hry, se toho spousta změnilo, takže budu potřebovat trochu pomoct. Pierci, ty si vezmeš na starost Roniny. Chci vědět, kdo tomu tam šéfuje a v čem jedou."
"HASH_65CA961A": "Tak poslouchej, Sluníčko, nezajímá mě, jak nasraně vypadáš, nebojím se tebe, ani toho druhýho pitomce."
"HASH_6F84761A": "Řekni mi, žes tohle místo nevybrala jen proto, abys mohla hrát tu pitomou hru."
"HASH_DD1D6C1A": "20-80."
"HASH_4A6B221B": "Šéfe? Máš na drátě pana Vogela."
"HASH_5B21161B": "Jdeme. Dobrá práce, Johnny."
"WFPLAYER_FIGHT_UNIV_3": "Teďka se bojuje?"
"BFPLAYER_FIGHT_PRISON_3": "pořádná šance, že tě někdo sejme nožem..."
"HASH_9F88EE1B": "To je dobrý, Pierci..."
"HASH_7197E81B": "Shaundi má dobrý nápad."
"HASH_D331101B": "Co chceš?"
"BMPLAYER_HIJACKING_FACTORIES_2": "Nestýkám se s lidma, co ještě nemůžou ani na nepřístupnej film."
"BMPLAYER_DRUG_HOTELS_5": "Našel si mladší, ne?"
"HASH_777F801B": "Myslela jsem spíš na avokádovou..."
"HASH_E9BD801B": "Jde pozdě."
"HASH_317EF01B": "Podle doktora bych měl být za pár dní na nohou a zabít pár parchantů... no, o tom zabíjení doktor pochopitelně nemluvil, ale víš, jak to myslím."
"WFPLAYER_CC_SUBURBS_2": "Co tím my-"
"HASH_70883A1C": "Určitě?"
"HASH_41C7E61C": "Na nic už odpovídat nebudu, padej do auta."
"HASH_73AB561C": "Že jsem to tady už vybral, neznamená, že můžeš mít takový blbý kecy..."
"HASH_04D7721C": "Jak to jde?"
"HASH_0B79601C": "Ani zasranej celkovej záběr."
"BMPLAYER_SWEEP_REDLIGHT_7": "Uvidíš."
"HASH_CC3D5C1D": "To má být vtip? Stilwater kdysi patřil mně."
"HASH_0BAA9A1D": "Chceš ještě něco říct?"
"HASH_71BA201D": "Jak se máš?"
"HASH_6C9CC01D": "Ta barva fakt uklidňuje."
"HASH_E67F2A1D": "Zůstaň na místě, hned tam budu."
"HASH_CC5B4C1D": "Jo... Ne. Máme problém."
"HASH_029AE81E": "Počkat, jsou ochotní za-"
"WFPLAYER_FUZZ_SUBURBS_4": "Jako \"dobrý záběry\" ze zatýkání, nebo zmlácení polonahýho týpka, co skončí v dětským bazénu."
"HFPLAYER_FUZZ_PROJ_3": "Nechat se mlátit kvůli tvým klientům se mi moc nezamlouvá."
"HASH_1FD7281E": "To si ze mě snad děláš srandu."
"HASH_26374E1E": "Tak mi o tom projektu něco řekni."
"HMPLAYER_FUZZ_PROJ_1": "Co je, Lee?"
"HASH_AB99001E": "Teď se moc nehodí bejt sjetej."
"HASH_7E572A1E": "Kdo je Dex?"
"VINNIE_CROWDCONT_HOTELS_3": "Však je to pravda... povídá se, že jsi pořád ještě u Svatých."
"HASH_5AE02C1E": "Na veřejnost pronikl tento záznam z bezpečnostních kamer, na němž je kapitán Svatých, nedávno uprchlý vězeň Johnny Gat, zachycen se zatím neznámým komplicem při útoku na kasino. Zdá se, že Svatí ze Třetí ulice jsou po dlouhé odmlce zpátky."
"HASH_B3AFEE1F": "Fajn, můžem udělat nějakou škodu na ulici, ale musíme sebou hodit, nechci, aby o nás Ultor věděl dřív, než je nutný."
"HASH_BB07A61F": "To si vážně myslíš, že na mě máš?"
"LEE_FUZZ_PROJECTS_6": "No nazdar, ty jsi zrovna ten člověk, kterýho hledám..."
"HASH_DEE2321F": "Když jsi v rozpočtu chtěl peníze na \"vyšší moc\", neuvědomili jsem si, že máš na mysli zkompromitování Pyramidy."
"HASH_6229B620": "Přišel jsi smrti vstříc, chlapče."
"HASH_8893DE20": "Sklapni a poslouchej. Gat se zajímal o japonskýho bose Akudžiho, co se brzy objeví ve městě, a já chci vědět, kdy to bude."
"HASH_6BD02820": "Kdo sakra jsi?"
"HASH_2056FA20": "Bylo by to mnohem rychlejší..."
"BFPLAYER_FRAUD_MUSEUM_6": "Chtěl jsem to jen vědět."
"BFPLAYER_TORCH_APTS_3": "Máš něco, podle čeho poznají, že tu zprávu posíláš ty?"
"BFPLAYER_FUZZ_SUBURBS_2": "Pořád tomu nerozumím..."
"BFPLAYER_FUZZ_PROJ_3": "Nechat se mlátit kvůli tvým klientům se mi moc nezamlouvá."
"HASH_93100820": "Tohle by mohlo probíhat líp..."
"WMPLAYER_DRUG_HOTELS_6": "No ne, nejsi ty ten velký zlý drogový dealer?"
"HASH_4CC7A220": "Ujednáno."
"HASH_F8143020": "Nenaplňuješ mě zrovna důvěrou, Pierci, co se stalo?"
"HMPLAYER_DRUG_AIRPORT_2": "Tak co mám udělat?"
"HASH_06D40E20": "Sykes si na dobročinnost moc nepotrpí, ale možná by ti mohl dát jinou zajímavou práci."
"HASH_83764420": "Vybral jsem si tě a ty na mě vyrukuješ s tetováním a náklaďákama?"
"BMPLAYER_FUZZ_PROJ_1": "Co je, Lee?"
"HASH_B4D9D420": "To záleží na tobě."
"HASH_DDCC1620": "Roninové nám nesmí pokazit mejdan. Šéf chce, abych se o to postaral, a to taky udělám."
"HASH_8EC67220": "Díky vám všem, že jste se tu dnes sešli. Pro celou rodinu Ultorů byl tento rok opravdu velký a myslím, že za to nemálo vděčíme i našim právníkům."
"HASH_82756820": "Hele, zkusil jsem všechno, co jsem mohl. Co jsem sakra měl dělat?"
"HASH_715FFE20": "Nemůžu uvěřit, že je to už tak dlouho."
"HASH_FDFE8C21": "Sklapni a poslouchej. Gat se zajímal o japonskýho bose Akudžiho, co se brzy objeví ve městě, a já chci vědět, kdy to bude."
"HASH_1EBD7A21": "Kdo sakra jsi?"
"HASH_89787021": "Tak mě překvap a pověz mi, jak se zbavíme Generála..."
"HASH_39AAF021": "Ujednáno."
"HMPLAYER_DRUG_HOTELS_6": "No ne, nejsi ty ten velký zlý drogový dealer?"
"HASH_D1A01A21": "Vážně?"
"HASH_E8A9AC21": "Vypadni odsud."
"HASH_4AAFF622": "Co je to?"
"HASH_C5181C22": "To půjde. Teď běž k autu."
"HASH_71547822": "Musíme to tu vyčistit."
"HASH_03895022": "Prosím... o nákladu jsem neřek ani slovo..."
"HASH_67BEE422": "Hned tam budu."
"HASH_63CDE022": "Jak ušlechtilé - jenže ušlechtilost se hodně přeceňuje."
"HASH_85F10422": "To nebylo moc pěkný."
"HASH_DF55F822": "Zrovna jsme zpřetrhali všechny vazby s Roniny."
"HASH_95785022": "Vzhledem k nedávným změnám ve vedení jsem zjistil, že by nebylo od věci si popovídat. My z Ultoru chápeme, že vzhledem ke spolupráci s Roniny jsme na stejné lodi a vaše ztráty jsou tedy i našimi ztrátami. Ale proměnit nemocnici v márnici, to už je moc i na mě. Musíte své lidi více hlídat."
"MIKEY_FIGHT_UNIV_5": "Hej, to nemůžeš..."
"HASH_0A2B2623": "Carlosi..."
"HASH_A069F623": "A víš určitě, že ten velkej zkérovanej chlápek je fakt Maero, a ne jen nějakej motorkář?"
"HASH_EA445E23": "Co je to za dodávku?"
"HASH_B094BE23": "Co jsi dělal? Donnie?"
"HASH_A689BA23": "Tvůj otec myslím vyjádřil dost jasně, že s tebou nechce mluvit. Ať mu chceš říct cokoliv, musíš mu to vzkázat přese mě."
"HASH_22309623": "A Maero - o tu zásilku se neboj. Společnost Ultor se o ni už postarala."
"HASH_85CA8623": "Křičí v agónii."
"HASH_7FB2F424": "Utíkají!\n1400"
"HASH_EB5B8C24": "Do hajzlu s tím."
"HASH_78B2A824": "Ne, nejsi."
"HASH_E5646A24": "Skoro."
"HASH_C535D424": "Ok, a koho to zajímá?"
"HASH_EFAE1624": "Tak už kurva chcípni!"
"HASH_51660424": "Akudži."
"HASH_00C0B424": "Tobias je venku v autě, má pilotní licenci. Co takhle se s ním proletět nad farmou?"
"HASH_57B54024": "Pak tedy náš společný obchod skončil."
"HASH_058FF624": "Psst! Hej!"
"BMPLAYER_TORCH_DTOWN_4": "Chci tu jenom něco podpálit, nemusíš mi nic prodávat"
"WFPLAYER_FIGHT_PRISON_5": "A stráže se potají sází bokem, co?"
"HASH_9AC34425": "Proboha, tak už kurva chcípni..."
"HASH_B0588625": "Hm, takže je to fuk, ne?"
"HASH_FBDE5425": "Kurva!"
"HASH_877E2025": "Navrhuju dělat víc, než jen čekat až nám zavolá některej z těch 600 chlapů, se kterýma Shaundi šoustala."
"HASH_03B5B425": "Zmučeně křičí."
"HASH_4E2FE625": "Mám prachy. Sejdeme se venku vzadu, odvoz by už měl čekat."
"HASH_1688EE25": "Bože můj..."
"HASH_B32EDA26": "To dává smysl."
"HASH_3CDB9426": "Vážně čekáš, že budu věřit někomu, koho ani neznám?"
"HASH_0ACDCC26": "Vlastnoručně jsem ho podříznul."
"HASH_273B7626": "V lapáku jsem potkal pár lidí, co by to zvládli. Zkusím jim zavolat. Až zjistím, kde ty kurvy jsou, budeš jim muset nabídnout něco konkrétního, protože jen tak s někým se dohromady nedají."
"HASH_6AE2C627": "Poslouchej, ty podělaná kur-"
"HASH_6F5A1A27": "Já se na to díval."
"HASH_77E9BA27": "Za nás to byla klasika."
"HASH_3F1D7827": "A proč by měl něco takovýho chtít?"
"HASH_89D4AE28": "Později."
"HASH_5BC03028": "Jo, co potřebuješ vyzvednout?"
"HASH_615FFE28": "A víš určitě, že ten velkej zkérovanej chlápek je fakt Maero a ne jen nějakej motorkář?"
"HASH_2B725628": "Co je to za dodávku?"
"HASH_B5D3A428": "Pobodali ho..."
"HASH_F6775A29": "Sám jsi řekl, že většina lidí je buď mrtvých, nebo kvůli Troyovi bručí. Musíme začít od nuly."
"HASH_CD8CD429": "Ne."
"HASH_A688EC29": "Hned tam budu."
"HASH_FC580C29": "Ne, to bys nemohl."
"HASH_C45F6C2A": "Čas k odchodu?"
"HASH_5634E82A": "Kdykoliv."
"HASH_B1323E2B": "Čas k odchodu?"
"WFPLAYER_FRAUD_FACTORIES_1": "Jak se má doktor?"
"HFPLAYER_TORCH_APTS_3": "Máš něco, podle čeho poznají, že tu zprávu posíláš ty?"
"HASH_26F7342B": "Kde je Gat?"
"HASH_42404C2B": "Vybral jsem si tě a ty na mě vyrukuješ s tetováním a náklaďákama?"
"HASH_3922382B": "Nenaplňuješ mě zrovna důvěrou, Pierci, co se stalo?"
"HASH_CE39262B": "V tom případě bys mohl mně a mojí ženě věnovat trochu času? Rád bych si před tím srazem ještě trochu užil manželských radovánek. "
"HASH_9D6CA82B": "Jestli budu mít pití zadarmo, můžem se sejít kdekoliv. Můj bejvalej mi volal, že má pro nás nějakou špínu."
"HASH_52BD042B": "Mý problémy jsou i tvý problémy. Nebo ti to mám připomenout?"
"HASH_81F2D02B": "Jak říkám, v minulosti byla tato čtvrť plná gangsterů, prostitutek a drog. Alderman Hughes ale..."
"HASH_23235A2B": "Pak jsi na správném místě."
"HASH_0972362C": "Ty si ze mě utahuješ?"
"HASH_ABD4CE2C": "Poslouchej, ty podělaná kur-"
"HASH_EEC45A2C": "Hm..."
"HASH_A542882C": "Kde to jsem?"
"HASH_BBF8B62D": "Známe se?"
"BFPLAYER_DRUG_HOTELS_2": "To si děláš prdel."
"HASH_340DF82D": "Kde jste sakra byli, lidi?"
"HASH_9BA9082D": "ehm..."
"HMPLAYER_FRAUD_FACTORIES_1": "Jak to jde, doktore?"
"HASH_09299C2D": "*mluví japonsky*"
"HASH_7059582D": "Znám cestu ven."
"HASH_6ABA902E": "Ty jsi neslyšel tu část o velení pomocí násilí?"
"HASH_55BABE2E": "No, jelikož on je mrtvej a ty ne, nejspíš je to kurva dobrý."
"BMPLAYER_DERBY_ARENA_1": "Prosím?"
"HASH_59BCC62F": "Jsi na místě, Johnny?"
"HASH_1B22582F": "Vypadni."
"WFPLAYER_FUZZ_PROJ_5": "Fajn že nesoudíš, jak dělám svou práci."
"HASH_B984A02F": "Ne, nejsi."
"HASH_20D7EC2F": "Je mrtvej a ty ne, takže bych řekl, že je to sakra dobrý."
"HASH_6247482F": "Jo, to by bylo skvělý."
"HASH_4069782F": "Kolik aut jsi říkal, že potřebuješ?"
"HASH_1FD7C22F": "To nevíš, že k vedení trocha toho násilí patří?"
"HASH_36679C2F": "Křičí."
