"MENU_LEFT_MOUSE": "ЛКМ"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS2": "   КРЕН ВПРАВО"
"MENU_MEDIUM": "СРЕДНЕ"
"PLT_MENU_WIDESCREEN": "ШИРОКИЙ ЭКРАН"
"PC_CA_CANCEL": "ОТМЕНИТЬ"
"PC_TOD_AFTERNOON": "ВЕЧЕР"
"PC_W_RAINY": "ДОЖДЬ"
"PC_WEATHER": "ПОГОДА"
"PC_CM_TRACKING": "СЛЕЖЕНИЕ"
"PC_CM_FOLLOW_WATCH": "ПРЕСЛЕДОВАНИЕ: НАБЛЮДАТЬ"
"PC_REWIND_HINT": "ПЕРЕГРУЗИТЬ И ПЕРЕМОТАТЬ В НАЧАЛО"
"BTN_RTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-rt][/format]"
"M14_FAILURE_VAN_DESTROYED_PC": "ТЕЛЕФУРГОН УНИЧТОЖЕН!\nПОДОЙДИТЕ БЛИЖЕ И НАВЕДИТЕ КАМЕРУ НА ФУРГОН."
"CAA_HELI_DRIVE_LEFT_RIGHT_NEG": "   ДВИЖЕНИЕ ВЛЕВО"
"PLT_MENU_PAUSE_FOCUS": "ПАУЗА ПРИ ПОТЕРЕ ФОКУСА"
"PC_DOF_NORMAL": "НОРМА"
"PC_CAMERA_UNLOCKED": "КАМЕРА РАСФИКСИРОВАНА"
"DPAD_UP_TXT": "КНОПКА A"
"PCACTION_WEAPON_4": "ОРУЖИЕ 4"
"HASH_AEB9EE85": "Подбор игроков GOG не смог найти игр, к которым вы могли бы присоединиться."
"MENU_CAMERA_SMART": "УМНАЯ"
"PC_RECORD_VIDEO": "ЗАПИСЬ ВИДЕО"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "Ваше соединение было разорвано. "
"MENU_MOUSE_WHEEL_DOWN": "Колесико вниз"
"MENU_MOUSE_BUTTON_5": "Мышь 5"
"MENU_CONTROLLER_SCHEMES": "СХЕМА УПРАВЛЕНИЯ"
"PLT_MENU_DISPLAY_MODE": "РЕЖИМ ЭКРАНА"
"PCACTION_RADIO_NEXT": "СЛЕДУЮЩАЯ РАДИОСТАНЦИЯ"
"PC_RECORD_MODE_PROGRESS": "СОХРАНЕНИЕ РОЛИКА: %d%%%% ЗАВЕРШЕНО"
"PLT_MENU_REMAP_CONFLICTS_DETECTED": "Обнаружен конфликт со следующими действиями. Они будут автоматически сброшены:"
"MENU_STEAM_STORE": "МАГАЗИН STEAM"
"CBA_GAC_TAKE_SCREENSHOT": "   СКРИНШОТ"
"PLT_MENU_HIGH_DX10_ONLY": "ВЫСОКО (DX10+)"
"PC_EXIT_EXPLANATION": "Выйти из редактора видео? Все несохраненные данные будут утеряны."
"HUD_HOLD_DPADUP_PARTY_DISMISS": "РАСПУСТИТЬ ГРУППУ"
"PLT_MENU_APPLY": "ПРИМЕНИТЬ"
"TUT_NP_MOTORCYCLE_CONTROLS_PC": "{ACCELERATE_IMG} ГАЗ \n{BRAKE_REVERSE_IMG} ТОРМОЗ/ЗАДНИЙ ХОД \nИспользуйте {LEAN_BACK_IMG}, чтобы перемещать вес и делать \"вилли\" или {LEAN_FORWARD_IMG} для \"стоппи\"."
"CBA_MENU_PC_PUSH_TO_TALK": "   НАЖМИ И ГОВОРИ"
"CBA_OFC_WALK": "   ХОДЬБА (УДЕРЖ.)"
"CBA_OFC_TAUNT_THREE": "   КОМПЛИМЕНТ"
"CBA_VDC_TANK_FIRE_SECONDARY": "   ОГОНЬ 2"
"COOP_JOIN_CHEAT": "Ваш партнер использует читы. В любой новой сохраненной игре они будут включены.\nАвтосохранение было отключено, и вы больше не сможете зарабатывать достижения."
"PC_TOD_DEFAULT": "СТАНДАРТ"
"PC_CAM_MODE": "РЕЖИМ КАМЕРЫ"
"PAUSE_MENU_RECORD_MODE": "ЗАПИСАТЬ КИНОРОЛИКИ"
"GAME_PROFILE_SAVING": "Сохранение. "
"CBA_VDC_HELI_FIRE_SECONDARY": "   ОГОНЬ 2"
"MULTI_LOBBY_TITLE_SYSLINK": "ЛОББИ ЛОКАЛЬНОЙ СЕТИ"
"SAVELOAD_LOADING_MESSAGE_EXPOSITION": "Идет загрузка контента. Пожалуйста, подождите."
"PC_ADVANCED_MODE_HINT": "ВКЛЮЧИТЬ РАСШИРЕННЫЕ ВОЗМОЖНОСТИ РЕДАКТИРОВАНИЯ"
"BTN_LTRIGGER_TXT": "КНОПКА A"
"BTN_WHITE_TXT": "КНОПКА A"
"PCACTION_JUMP": "ПРЫЖОК"
"HASH_D889CE89": "ВЫБРАТЬ РАЗРЕШЕНИЕ"
"HASH_70DB6EC9": "ОНЛАЙН"
"TUT_ACT_INS_FRAUD_FIRST_HIT_PC": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} ТРЯПИЧНАЯ КУКЛА \n{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} ДВИЖЕНИЕ В ВОЗДУХЕ"
"CONTROL_L_STICK": "ЛЕВЫЙ МИНИ-ДЖОЙСТИК"
"CBA_OFC_SHOULDER_CAMERA": "   ПРИЦЕЛ (УДЕРЖ.)"
"CAA_HELI_DRIVE_LEFT_RIGHT_POS": "   ДВИЖЕНИЕ ВПРАВО"
"PC_CLIP_ACTIONS": "ВЫБЕРИТЕ ДЕЙСТВИЕ С КЛИПОМ"
"PC_CA_CLONE": "КОПИРОВАТЬ"
"PC_DOF_WIDE": "ДАЛЕКО"
"PC_EDIT_WARNING": "ВНИМАНИЕ"
"PC_SHOW_KEYS": "ПОКАЗАТЬ КЛАВИШИ"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": "ПОМЕНЯТЬ %ls НА %ls"
"PCACTION_ACCELERATE": "УСКОРЕНИЕ"
"PCACTION_CONSUME_RIGHT": "ИСПОЛЬЗОВАТЬ ПРИ НАЖАТИИ \"ВПРАВО\""
"PC_RECORD_MODE_QUALITY_MED": "720p (СРЕД.)"
"PC_RECORD_MODE_ERROR_NO_BUFFER": "РОЛИК СОХРАНЕН. ЧАСТЬ СОДЕРЖИМОГО МОЖЕТ БЫТЬ ПОТЕРЯНА. ЧТОБЫ ПРЕДОТВРАТИТЬ ПОТЕРЮ ДАННЫХ, ЗАПИСЫВАЙТЕ РОЛИКИ, ИСПОЛЬЗУЯ БОЛЕЕ НИЗКИЕ НАСТРОЙКИ."
"CBA_OFC_ATTACK_SECONDARY": "   БРОСОК ГРАНАТЫ"
"PLT_ANISOTROPIC_SIXTEEN": "АНИЗОТРОПИЯ 16Х"
"PC_PROPS_EXIT_HINT": "ЗАКРЫТЬ ОКНО СВОЙСТВ"
"HASH_342C548B": "ПРИГЛАШЕНИЕ"
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}Используя читы, вы лишаетесь возможности получать достижения, а автосохранения отключаются. \n\nВсе равно активировать этот чит-код?"
"CBA_VDC_PLANE_TURN_LEFT2": "   РЫСКАНЬЕ ВЛЕВО"
"PLT_MENU_AMBIENT_OCCLUSION_TOOLTIP": "ОДИНОЧНЫЕ КАДРЫ ИЛИ НАКОПИТЕЛЬНЫЙ РЕЖИМ"
"PLT_MENU_DISPLAY_PRESET_TOOLTIP": "ВЫБЕРИТЕ УРОВЕНЬ ПРОИЗВОДИТЕЛЬНОСТИ СВОЕЙ МАШИНЫ"
"PC_UNBOUND_KEY": "НЕТ КЛАВИШИ"
"PLT_MENU_STANDARD": "СТАНДАРТНЫЙ"
"MULTI_MENU_SYSLINK": "ИГРА ПО ЛОКАЛЬНОЙ СЕТИ"
"PC_CAM_MODE_HINT": "КАК ВЕДЕТ СЕБЯ КАМЕРА В ЭТОЙ ЗОНЕ"
"PCACTION_WEAPON_1": "ОРУЖИЕ 1"
"SAVE_CLIP_NAME": "Введите название для клипа"
"PLT_MENU_VIEW_GAMERCARD": "ПРОСМОТРЕТЬ ПРОФИЛЬ STEAM"
"CBA_GAC_WEAPON_SELECT_1": "   ЯЧЕЙКА ОРУЖИЯ 1"
"CBA_OFC_WALK_TOGGLE": "   ХОДЬБА (ПЕРЕКЛ.)"
"CBA_OFC_CROUCH": "   ПРИСЕСТЬ (УДЕРЖ.)"
"CBA_VDC_BRAKE_REVERSE": "   ТОРМОЗ"
"PLT_MENU_VSYNC": "ВЕРТ. СИНХРОН."
"OPTIONS_MENU_AUTO_DETECT_DESC": "Эта функция вернет все настройки по умолчанию и выберет производительность системы на основе вашей видеокарты. Вы уверены, что хотите продолжить?"
"PLT_MENU_DISPLAY_3": "ТРЕТИЧНЫЙ"
"PLT_MENU_AUDIO_VOICE_ENABLE": "ГОЛОСОВОЙ ЧАТ"
"PC_EASE_HINT": "ВАМ НУЖНО ПРОЕХАТЬ МИМО ФИГУР СО СМЕШАННОЙ АНИМАЦИЕЙ"
"PC_DELETE_CZ_HINT": "УДАЛИТЬ ТЕКУЩУЮ ЗОНУ КАМЕРЫ"
"BTN_A_TXT": "КНОПКА A"
"MENU_VIDEO_RECORD_MODE": "РЕЖИМ ЗАПИСИ"
"PC_RECORD_MODE_ERROR_NO_MEMORY": "Невозможно включить режим записи роликов. Требуется больше памяти."
"COMMUNITY_BLURB_HEADER": "Присоединяйтесь к сообществу Saints Row на SaintsRow.com "
"SAVING_CONTENT_TITLE": "Идет сохранение."
"MENU_CONTROLS_STICK": "ЛЕВЫЙ МИНИ-ДЖОЙСТИК - ГАЗ/ТОРМОЗ"
"PLT_MENU_REFLECTIONS_TOOLTIP": "ВЫБОР ОБЫЧНЫХ ИЛИ ШЕЙДЕРНЫХ ОТРАЖЕНИЙ"
"PLT_MENU_SCENE_DETAIL_TOOLTIP": "УРОВЕНЬ УПРАВЛЯЕМОСТИ И ДЕТАЛЬНОСТЬ ЭЛЕМЕНТОВ ОКРУЖАЮЩЕЙ СРЕДЫ"
"MULTI_GAMETYPE_1": "ИГРА ПО ЛОКАЛЬНОЙ СЕТИ"
"PC_TOD_NOON": "ПОЛДЕНЬ"
"PC_TOD": "ВРЕМЯ ДНЯ"
"PC_GS_PEOPLE": "ЛЮДИ"
"PC_POSITION_CAMERA_HINT": "ИСПОЛЬЗУЙТЕ КЛАВИШИ УПРАВЛЕНИЯ ДЛЯ РАСПОЛОЖЕНИЯ КАМЕРЫ"
"BTN_LTHUMB_TXT": "ЛЕВЫЙ МИНИ-ДЖОЙСТИК"
"PC_RECORD_MODE_ERROR_NO_CODEC": "Не найден видео-кодек, необходимый для этого режима. Пожалуйста, прочитайте файл readme для инструкций по установке."
"MENU_PRIMARY_ASSIGNMENT": "ОСНОВНАЯ КНОПКА"
"CBA_VDC_PLANE_BRAKE_REVERSE": "   ТОРМОЗ/ЗАДН. ХОД"
"PLT_MENU_SCENE_DETAIL": "    ДЕТАЛЬНОСТЬ ОКРУЖЕНИЯ"
"PC_OUTPUT_ONLY": "ПОКАЗАТЬ ТОЛЬКО ВЫХОДНЫЕ ФАЙЛЫ"
"PC_GS_PLAYER": "ИГРОК"
"PC_CM_FOLLOW": "ПРЕСЛЕДОВАНИЕ"
"PC_CAMERA_LOCKED": "КАМЕРА ЗАФИКСИРОВАНА"
"MENU_CHANGES_MADE_TITLE": "ПРИНЯТЬ ИЗМЕНЕНИЯ"
"CBA_VDC_PLANE_ROLL_TURN_SELECT": "   РЕЗКИЕ ПОВОРОТЫ"
"CAA_PLANE_PITCH_UP_DOWN_NEG2": "   ТАНГАЖ ВВЕРХ"
"PC_W_CLEAR": "ЯСНО"
"PC_CAMERA_ZONE": "ЗОНА КАМЕРЫ"
"BTN_Y_TXT": "КНОПКА A"
"MENU_OPTIONS_GAMEPLAY_SUBTITLES_TIP": "ВКЛЮЧИТЬ ИЛИ ОТКЛЮЧИТЬ СУБТИТРЫ"
"TUT_MIS_02_SKYDIVE_FLIP_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} ДВИЖЕНИЕ\nПЕРЕМЕЩАЙТЕ МЫШЬ ДЛЯ ОБЗОРА\n{SKYDIVE_FLIP_IMG} ПЕРЕВЕРНУТЬСЯ ВВЕРХ ИЛИ ВНИЗ"
"MENU_RESTORE_ALL_DEFAULTS": "ВЕРНУТЬ ЗНАЧЕНИЯ ПО УМОЛЧАНИЮ"
"CAA_TANK_DRIVE_LEFT_RIGHT_NEG": "   ДВИЖЕНИЕ ВЛЕВО"
"MAINMENU_NEW_GAME_NO_SPACE_EXPOSITION": "На жестком диске недостаточно свободного места.\nПри продолжении вы не сможете сохранить результат игры.\nПродолжить?"
"PC_ZT_BLEND": "ПЕРЕХОД"
"PC_SAVE_HINT": "СОХРАНИТЬ РЕДАКТУРУ КЛИПОВ"
"PC_COPY_NEXT_HINT": "СОЗДАТЬ НОВУЮ ЗОНУ КАМЕРЫ НА ОСНОВЕ СЛЕДУЮЩЕЙ ЗОНЫ"
"PCACTION_STRAFE_RIGHT": "БОКОМ ВПРАВО"
"MENU_GAMEPLAY": "ИГРА"
"MENU_MOUSE_CONTROLS_VERT_SENS": "ВЕРТ. ЧУВСТВИТЕЛЬНОСТЬ"
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM_TEXT": "Вы хотите сохранить эти настройки?\nЧерез 15 секунд они будут автоматически сброшены."
"PLT_MENU_DISPLAY_INDEX_TOOLTIP": "ВЫБОР МОНИТОРА ДЛЯ ПОЛНОЭКРАННОГО РЕЖИМА"
"PC_DOF": "ГЛУБИНА РЕЗКОСТИ"
"RECORD_MODE_WARNING_TEXT": "Запись киноролика дезактивирует все задания, действия, магазины и игровую музыку, пока вы не вернетесь в главное меню. Начать запись киноролика?"
"PC_HIDE_KEYS": "СПРЯТАТЬ КЛАВИШИ"
"TUT_TITLE_SPRINT": "КНОПКА КРУТОТЫ"
"PC_COMMUNITY_AGE_FIELD": "ДАТА РОЖДЕНИЯ (ММ.ДД.ГГГГ)"
"MENU_OPTIONS_REMAP": "ВЫБРАТЬ КЛАВИШИ И КНОПКИ"
"CBA_OFC_ZOOM_OUT": "   ОТДАЛЕНИЕ"
"PLT_MENU_RESOLUTIONS": "РАЗРЕШЕНИЕ"
"DPAD_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad][/format]"
"DPAD_DOWN_TXT": "КНОПКА A"
"PCACTION_WEAPON_5": "ОРУЖИЕ 5"
"PCACTION_ATTACK_SECONDARY": "АЛЬТЕРНАТИВНАЯ АТАКА"
"HUD_ZOMBIE_BITE_ESCAPE": "Нажмите любую кнопку, чтобы скрыться!"
"MENU_AIRPLANE_HANDLING": "УПРАВЛЕНИЕ САМОЛЕТОМ"
"MENU_MOUSE_BUTTON_4": "Мышь 4"
"CBA_GAC_GRENADE_SELECT_1": "   ЯЧЕЙКА ГРАНАТЫ 1"
"CBA_OFC_JUMP_CLIMB": "   ПРЫЖОК / КАРАБКАТЬСЯ"
"PC_ROTATION_SENSITIVITY": "ЧУВСТВИТЕЛЬНОСТЬ ПОВОРОТА"
"PC_SLOWMO": "СКОРОСТЬ ВОСПРОИЗВЕДЕНИЯ"
"MENU_OPTIONS_REMAP_CATEGORIES_TIP": "ПЕРЕКЛЮЧЕНИЕ КАТЕГОРИЙ УПРАВЛЕНИЯ"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "ПОСМОТРЕТЬ ПРОФИЛЬ STEAM ИГРОКА "
"MENU_CONTROLLER_OPTIONS": "НАСТРОЙКИ ГЕЙМПАДА"
"PC_EDIT_PROPS_HINT": "ПОКАЗАТЬ ОКНО СВОЙСТВ ЗОНЫ"
"PC_ADDITIONAL_PROPS": "ДОПОЛНИТЕЛЬНЫЕ СВОЙСТВА"
"PC_NEW_ZONE": "НОВАЯ ЗОНА"
"MENU_OPTIONS_MOUSE": "УПРАВЛЕНИЕ"
"CBA_GAC_WEAPON_SELECT_5": "   ЯЧЕЙКА ОРУЖИЯ 5"
"CBA_VDC_PLANE_ACCELERATE": "   УСКОРЕНИЕ"
"MENU_CATEGORY": "КАТЕГОРИЯ"
"PLT_MENU_ASPECT_TOOLTIP": "СООТНОШЕНИЕ СТОРОН МОЖНО МЕНЯТЬ ТОЛЬКО В ГЛАВНОМ МЕНЮ"
"PC_CM_DEFAULT": "ПО УМОЛЧАНИЮ"
"PC_COPY_CURRENT": "СКОПИРОВАТЬ ТЕКУЩЕЕ СОСТОЯНИЕ"
"COMMUNITY_EXISTING_FOUND_TEXT": "Мы нашли идентификатор THQ, связанный с вашей учетной записью Steam. Пожалуйста, подключитесь с использованием вашей учетной записи."
"CBA_VDC_PREV_RADIO": "   ПРЕД. РАДИО"
"PLT_MENU_POST_PROCESSING_DETAIL": "    ДЕТАЛИ ПОСТОБРАБОТКИ"
"BTN_RTHUMB_TXT": "ПРАВЫЙ МИНИ-ДЖОЙСТИК"
"BTN_X_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-x][/format]"
"PCACTION_BACKWARD": "ДВИГАТЬСЯ НАЗАД"
"HASH_0AEDCF17": "Произошла ошибка сети.\nВозврат в главное меню."
"PC_VIDEO_QUALITY": "КАЧЕСТВО ВИДЕО"
"M17_ERROR_SCREEN_CONTINUE_MSG_PC": "А теперь начинается настоящая игра >:) \n\nНажмите любую клавишу, чтобы продолжить. "
"CBA_VDC_LOOK_BEHIND": "   КАМЕРА НАЗАД"
"CBA_VDC_HELI_DRIVE_TURN_SELECT": "   ПЕРЕНАПРАВЛЕНИЕ ПОВОРОТА"
"CBA_VDC_PLANE_ROLL_TURN_SELECT2": "   ПЕРЕНАПРАВЛЕНИЕ РЫСКАНИЯ"
"PLT_MENU_PAUSE_FOCUS_TOOLTIP": "АВТОМАТИЧЕСКИ ВКЛЮЧАТЬ ПАУЗУ, ЕСЛИ ИГРА НЕ В ФОКУСЕ"
"PC_ROTATION_SENSITIVITY_HINT": "ЧУВСТВИТЕЛЬНОСТЬ ВРАЩЕНИЯ КАМЕРЫ"
"PCACTION_ATTACK_PRIMARY": "ОСНОВНАЯ АТАКА"
"TUT_SPRINT": "{SPRINT_IMG} БЕГ\nБег оказывает крутое влияние на другие действия. Попробуйте разные комбинации кнопок вместе с бегом, чтобы найти их все."
"NOT_LOGGED_IN": "Чтобы использоовать эту функцию, вы должны войти в онлайн в Steam или подключиться к Интернету."
"CBA_GAC_GRENADE_SWITCH": "   СЛЕД. ГРАНАТА"
"CBA_GAC_MAP_MENU": "   МОБИЛЬНИК"
"PLT_MENU_VSYNC_TOOLTIP": "ВЕРТИКАЛЬНАЯ СИНХРОНИЗАЦИЯ ДЛЯ ЛИКВИДАЦИИ РАЗРЫВОВ В ПОЛНОЭКРАННОМ РЕЖИМЕ"
"MENU_OFF": "ВЫКЛ."
"PLT_MENU_VOICE_ALWAYS_ON": "ВСЕГДА ВКЛ."
"PLT_QUIT_GAME_WARNING": "Вы уверены, что хотите выйти на рабочий стол?"
"PC_TOD_NIGHT": "НОЧЬ"
"PC_TOD_HINT": "НАСТРОЙКИ ОСВЕЩЕНИЯ"
"PC_DOF_CLOSEUP": "БЛИЗКО"
"PC_OPTIONS_HINT": "ПОКАЗАТЬ ОКНО БАЗОВЫХ НАСТРОЕК"
"PC_SHOW_HUD": "ПОКАЗ. МЕНЮ"
"PCACTION_HORN": "ГУДОК"
"CONTROLS_FORCE_FEED": "ВИБРАЦИЯ"
"STATS_CORRUPT_BODY": "Ваша статистика повреждена и должна быть обнулена.\nЭто никак не повлияет на ваши Достижения."
"PC_PLAY_SLOW_HINT": "МЕДЛЕННОЕ ВОСПРОИЗВЕДЕНИЕ ЗАПИСАННОЙ ИГРЫ"
"HASH_C407C71A": "Соединение с сервисом GOG потеряно.\nВозврат в главное меню."
"TUT_COMBAT_MELEE_2": "Во время выполнения ТЯЖЕЛОГО УДАРА нажмите отображаемую кнопку, чтобы повысить наносимый урон и заработать больше авторитета."
"MENU_OPTIONS_GAMEPLAY_MINIMAP_TIP": "ВЫБРАТЬ, БУДЕТ ЛИ МИНИ-КАРТА ПОВОРАЧИВАТЬСЯ ВМЕСТЕ С КАМЕРОЙ"
"CONTROL_R_STICK": "ПРАВЫЙ МИНИ-ДЖОЙСТИК"
"MENU_CHANGES_MADE_BODY": "Были внесены изменения. Вы хотите их принять?"
"PLT_MENU_SHADOW_DETAIL_TOOLTIP": "РАЗРЕШЕНИЕ КАРТ ТЕНЕЙ"
"PLT_MENU_REFLECTIONS": "    ОТРАЖЕНИЯ"
"PLT_MENU_DISPLAY_2": "ВТОРИЧНЫЙ"
"PC_CREATE_CHAR_HINT": "СОЗДАТЬ ИЛИ ИМПОРТИРОВАТЬ НОВУЮ МОДЕЛЬ"
"PC_CAM_TILT": "НАКЛОН КАМЕРЫ"
"HUD_PICK_UP_MESSAGE": "ПОДОБРАТЬ %ls"
"MENU_DISCARD": "ОТМЕНИТЬ"
"PC_CM_STATIC": "СТАТИЧНЫЙ"
"PC_FOV": "ПОЛЕ ОБЗОРА "
"PCACTION_FINE_AIM": "ТОЧНОЕ ПРИЦЕЛИВАНИЕ"
"HASH_A87943DC": "ALT"
"HASH_5770315C": "%ls (ПРАВЫЙ)"
"CBA_GAC_GRENADE_SELECT_4": "   ЯЧЕЙКА ГРАНАТЫ 4"
"CBA_VDC_FIREARM": "   ОГОНЬ"
"MENU_PC_CHAT": "ЧАТ"
"PC_DOF_DIST": "ДИСТАНЦИЯ ГЛУБИНЫ РЕЗКОСТИ"
"PLAYBACK_MODE_WARNING": "РЕДАКТИРОВАТЬ КИНОРОЛИКИ"
"BTN_B_TXT": "КНОПКА A"
"PCACTION_BREAK": "РУЧНОЙ ТОРМОЗ"
"PC_RECORD_MODE_ERROR_NO_SPACE": "Невозможно сохранить ролик. Недостаточно места на диске."
"CAA_TANK_DRIVE_LEFT_RIGHT_POS": "   ДВИЖЕНИЕ ВПРАВО"
"MENU_CATEGORY_ONFOOT": "ПЕШКОМ"
"PLT_MENU_DISPLAY_INDEX": "МОНИТОР"
"HUD_DUAL_WIELD_MESSAGE": "ВЗЯТЬ %ls В ОБЕ РУКИ"
"ANALOG_RS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"DPAD_LEFT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-l][/format]"
"DPAD_RIGHT_TXT": "КНОПКА A"
"MENU_OPTIONS_GAMEPLAY_CAMERA_TIP": "ВЫБРАТЬ, КАК БЫСТРО КАМЕРА ВОЗВРАЩАЕТСЯ К ОБЫЧНОМУ ВИДУ"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "Учетная запись Steam не связана с идентификатором THQ."
"TL_MIS_21_RIDE_KILLBANE_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} ДВИЖЕНИЕ \n{ATTACK_PRIMARY_IMG} УДАР \nБейте Киллбейна, чтобы заставлять его двигаться в выбранном направлении."
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM": "ПРИНЯТЬ НАСТРОЙКИ?"
"PLT_MENU_VSYNC_GAMEPLAY_TOOLTIP": "ВЕРТИКАЛЬНАЯ СИНХРОНИЗАЦИЯ В ИГРЕ"
"PLT_MENU_WINDOWED": "ОКОННЫЙ РЕЖИМ"
"PLT_MENU_DISPLAY_PRESET": "КАЧЕСТВО ГРАФИКИ"
"PC_DOF_RANGE": "ФОКУСНОЕ РАССТОЯНИЕ "
"PC_FOV_HINT": "ПОЛЕ ОБЗОРА КАМЕРЫ"
"PC_HANDYCAM_HINT": "СИЛА ТРЯСКИ РУЧНОЙ КАМЕРЫ"
"BTN_BACK_TXT": "КНОПКА A"
"DPAD_LR_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-lr][/format]"
"PLT_MENU_REMAP_X_UNDER_Y": "-"
"CBA_VDC_BIKE_LEAN_BACK": "   ОТКЛОНИТЬСЯ НАЗАД"
"CBA_VDC_PLANE_TURN_RIGHT": "   НАКЛОН ВЛЕВО"
"MENU_CATEGORY_CAR": "АВТ./МОТ./ЛОД."
"PC_W_DEFAULT": "СТАНДАРТ"
"PC_WEATHER_HINT": "НАСТРОЙКИ ПОГОДЫ"
"PC_DOF_ZOOM": "МАСШТАБ"
"PC_PAUSE_HINT": "ПАУЗА"
"COMMUNITY_SUCCESS_LINK_EXT": "Ваша текущая учетная запись Steam была успешно связана с вашим идентификатором THQ."
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "Учетная запись Steam связана с другим идентификатором THQ."
"CBA_GAC_WEAPON_SELECT_3": "   ЯЧЕЙКА ОРУЖИЯ 3"
"CBA_VDC_WATERCRAFT_FIRE_SECONDARY": "   ОГОНЬ 2"
"CAA_PLANE_PITCH_UP_DOWN_NEG": "   ПОЛЕТ ВНИЗ"
"CAA_PLANE_PITCH_UP_DOWN_POS2": "   ТАНГАЖ ВНИЗ"
"PLT_MENU_DISPLAY_1": "ПЕРВИЧНЫЙ"
"SAVELOAD_CANNOT_SAVE_TO_FULL_DEVICE": "Данное устройство заполнено. \nПожалуйста, выберите другое устройство для сохранения. "
"PC_VOICE_HINT": "ВКЛЮЧИТЬ/ВЫКЛЮЧИТЬ ЗВУК"
"PC_ZT_CUT": "ПЕРЕСКОЧИТЬ"
"CBA_MENU_PC_TEXT_CHAT": "   ТЕКСТОВЫЙ ЧАТ"
"PLT_MENU_LIGHTING_DETAIL_TOOLTIP": "РАЗРЕШЕНИЕ ОСВЕЩЕНИЯ"
"PLT_MENU_DISPLAY_CHANGES_FAILED": "Не удалось изменить видеонастройки. Ваши изменения были аннулированы."
"PLT_MENU_VOICE_DISABLED": "ОТКЛЮЧЕНО"
