"MENU_LEFT_MOUSE": "Linke Maustaste"
"PC_RECORD_VIDEO": "VIDEO AUFNEHMEN"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "Deine Internetverbindung wurde unterbrochen."
"MENU_MOUSE_WHEEL_DOWN": "Rad runter"
"MENU_MOUSE_BUTTON_5": "Maus 5"
"MENU_CONTROLLER_SCHEMES": "STEUERUNGSÜBERSICHT"
"PLT_MENU_DISPLAY_MODE": "ANZEIGEMODUS"
"PCACTION_RADIO_NEXT": "NÄCHSTES RADIO"
"PC_RECORD_MODE_PROGRESS": "VIDEO SPEICHERN: %d%%%% KOMPLETT"
"PLT_MENU_REMAP_CONFLICTS_DETECTED": "Dies kollidiert mit den folgenden Aktionen. Diese wurden automatisch ungebunden:"
"MENU_STEAM_STORE": "STEAM-SHOP"
"CBA_GAC_TAKE_SCREENSHOT": "   COMMUNITY SCREENSHOT"
"PLT_MENU_HIGH_DX10_ONLY": "HOCH (DX10 ODER HÖHER)"
"PC_EXIT_EXPLANATION": "Den Film-Clip-Editor verlassen? Alle nicht gespeicherten Änderungen gehen dann verloren."
"HUD_HOLD_DPADUP_PARTY_DISMISS": "GRUPPE ENTLASSEN"
"PLT_MENU_APPLY": "ANWENDEN"
"TUT_NP_MOTORCYCLE_CONTROLS_PC": "{ACCELERATE_IMG} BESCHLEUNIGEN\n{BRAKE_REVERSE_IMG} BREMSEN + RÜCKWÄRTS\nBenutze {LEAN_BACK_IMG}, um dein Gewicht zu verlagern und sowie Wheelies zu machen, und {LEAN_FORWARD_IMG}, um Stoppies zu machen."
"CBA_MENU_PC_PUSH_TO_TALK": "   SPRECHTASTE"
"CBA_OFC_WALK": "   GEHEN (HALTEN)"
"CBA_OFC_TAUNT_THREE": "   KOMPLIMENT"
"CBA_VDC_TANK_FIRE_SECONDARY": "   ZWEITE WAFFE FEUERN"
"COOP_JOIN_CHEAT": "Dein Koop-Partner benutzt Cheats. Alle neu-erstellten Spielstände werden Cheats aktiviert haben.\nAutomatisches Speichern wurde deaktiviert und du kannst keine weiteren Erfolge verdienen."
"PC_TOD_DEFAULT": "STANDARD"
"PC_CAM_MODE": "KAMERAMODUS"
"PAUSE_MENU_RECORD_MODE": "FILM-CLIPS AUFNEHMEN"
"GAME_PROFILE_SAVING": "Speichert. "
"CBA_VDC_HELI_FIRE_SECONDARY": "   ZWEITE WAFFE FEUERN"
"MULTI_LOBBY_TITLE_SYSLINK": "LAN-LOBBY"
"SAVELOAD_LOADING_MESSAGE_EXPOSITION": "Inhalt wird geladen. Bitte warten."
"PC_ADVANCED_MODE_HINT": "ERWEITERTE BEARBEITUNGSTECHNIKEN ZULASSEN"
"BTN_LTRIGGER_TXT": "A-TASTE"
"BTN_WHITE_TXT": "A-TASTE"
"PCACTION_JUMP": "SPRINGEN"
"HASH_D889CE89": "AUFLÖSUNG WÄHLEN"
"HASH_70DB6EC9": "ONLINE"
"TUT_ACT_INS_FRAUD_FIRST_HIT_PC": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} PUPPENFLUG \n{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} LUFTANSTOSS"
"CONTROL_L_STICK": "LINKER STICK"
"CBA_OFC_SHOULDER_CAMERA": "   ZOOMEN (HALTEN)"
"CAA_HELI_DRIVE_LEFT_RIGHT_POS": "   BEWEGUNG NACH RECHTS"
"PC_CLIP_ACTIONS": "WÄHLE DIE AUSZUFÜHRENDE AKTION FÜR DEN CLIP AUS"
"PC_CA_CLONE": "KOPIEREN"
"PC_DOF_WIDE": "WEITWINKEL"
"PC_EDIT_WARNING": "WARNUNG"
"PC_SHOW_KEYS": "TASTEN EINBLENDEN"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": "%ls GEGEN %ls AUSTAUSCHEN"
"PCACTION_ACCELERATE": "BESCHLEUNIGEN"
"PCACTION_CONSUME_RIGHT": "RECHTS BENUTZEN"
"PC_RECORD_MODE_QUALITY_MED": "720p (MITTEL)"
"PC_RECORD_MODE_ERROR_NO_BUFFER": "VIDEO GESPEICHERT. TEILE DES INHALTS SIND MÖGLICHERWEISE VERLOREN GEGANGEN. ZEICHNE VIDEOS IN GERINGERER QUALITÄT AUF, UM DATENVERLUST ZU VERMEIDEN. "
"CBA_OFC_ATTACK_SECONDARY": "   GRANATE WERFEN"
"PLT_ANISOTROPIC_SIXTEEN": "ANISOTROPISCH 16X"
"PC_PROPS_EXIT_HINT": "DEN EIGENSCHAFTENDIALOG SCHLIESSEN"
"HASH_342C548B": "EINLADUNG"
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}Wenn du Cheats benutzt, kannst du keine Erfolge erringen und das automatische Speichern ist deaktiviert.\n\nMöchtest du diesen Cheat trotzdem aktivieren?"
"CBA_VDC_PLANE_TURN_LEFT2": "   BIEGUNG LINKS"
"PLT_MENU_AMBIENT_OCCLUSION_TOOLTIP": "EINZELNE ODER AKKUMULIERENDE FRAMES"
"PLT_MENU_DISPLAY_PRESET_TOOLTIP": "WÄHLE DIE BETRIEBSLEISTUNG DEINES PC"
"PC_UNBOUND_KEY": "UNGEBUNDEN"
"PLT_MENU_STANDARD": "STANDARD"
"MULTI_MENU_SYSLINK": "LAN-SPIEL"
"PC_CAM_MODE_HINT": "WIE DIE KAMERA SICH IN DIESER KAMERAZONE VERHÄLT"
"PCACTION_WEAPON_1": "WAFFE 1"
"SAVE_CLIP_NAME": "Gib einen Namen für diesen Film-Clip ein"
"PLT_MENU_VIEW_GAMERCARD": "STEAM-PROFIL ANSEHEN"
"CBA_GAC_WEAPON_SELECT_1": "   WAFFENPLATZ 1"
"CBA_OFC_WALK_TOGGLE": "   GEHEN (UMSCHALTEN)"
"CBA_OFC_CROUCH": "   KRIECHEN (HALTEN)"
"CBA_VDC_BRAKE_REVERSE": "   BREMSEN / RÜCKWÄRTS"
"PLT_MENU_VSYNC": "V-SYNC"
"OPTIONS_MENU_AUTO_DETECT_DESC": "Dies wird deine Einstellungen durch die Standardeinstellungen ersetzen und die Leistung an deine Videokarte anpassen. Bist du sicher, dass du fortfahren willst?"
"PLT_MENU_DISPLAY_3": "MONITOR 3"
"PLT_MENU_AUDIO_VOICE_ENABLE": "VOICE-CHAT"
"PC_EASE_HINT": "DURCH DIE ANIMATIONSTYPEN FÜR DIE ÜBERBLENDUNGEN BLÄTTERN"
"PC_DELETE_CZ_HINT": "LÖSCHE DIE AKTUELLE KAMERAZONE"
"BTN_A_TXT": "A-TASTE"
"MENU_VIDEO_RECORD_MODE": "VIDEOAUFNAHMEMODUS"
"PC_RECORD_MODE_ERROR_NO_MEMORY": "Nicht in der Lage den Videoaufnahmemodus zu aktivieren. Es wird mehr Speicherplatz benötigt."
"COMMUNITY_BLURB_HEADER": "Trete der Saints Row Community unter SaintsRow.com bei. "
"SAVING_CONTENT_TITLE": "Inhalte werden gespeichert."
"MENU_CONTROLS_STICK": "LINKER STICK BESCHLEUNIGEN/BREMSEN"
"PLT_MENU_REFLECTIONS_TOOLTIP": "REGULÄRE ODER GEOMETRISCHE SCHATTENREFLEXION"
"PLT_MENU_SCENE_DETAIL_TOOLTIP": "KONTROLLIERT MENGE UND DETAILS DER SZENE-ELEMENTE"
"MULTI_GAMETYPE_1": "LAN-SPIEL"
"PC_TOD_NOON": "MITTAG"
"PC_TOD": "TAGESZEIT"
"PC_GS_PEOPLE": "LEUTE"
"PC_POSITION_CAMERA_HINT": "BENUTZE DIE STEUERUNG, UM DIE KAMERA ZU POSITIONIEREN"
"BTN_LTHUMB_TXT": "LINKER STICK"
"PC_RECORD_MODE_ERROR_NO_CODEC": "Der Video Kodex, der für diesen Modus benötigt wird, ist derzeit nicht vorhanden. Bitte ziehen sie für mehr Informationen zur Installation die Infodatei hinzu."
"MENU_PRIMARY_ASSIGNMENT": "PRIMÄRE TASTENBELEGUNG"
"CBA_VDC_PLANE_BRAKE_REVERSE": "   BREMSEN / RÜCKWÄRTS"
"PLT_MENU_SCENE_DETAIL": "    SZENENDETAILS"
"PC_OUTPUT_ONLY": "NUR AUSGABE ZEIGEN"
"PC_GS_PLAYER": "SPIELER"
"PC_CM_FOLLOW": "FOLGEN"
"PC_CAMERA_LOCKED": "KAMERA GESPERRT"
"MENU_CHANGES_MADE_TITLE": "ÄNDERUNGEN ÜBERNEHMEN"
"CBA_VDC_PLANE_ROLL_TURN_SELECT": "   SCHARFE DREHUNGEN"
"CAA_PLANE_PITCH_UP_DOWN_NEG2": "   AUFWÄRTS FLIEGEN"
"PC_W_CLEAR": "KLAR"
"PC_CAMERA_ZONE": "KAMERAZONE"
"BTN_Y_TXT": "A-TASTE"
"MENU_OPTIONS_GAMEPLAY_SUBTITLES_TIP": "SCHALTE UNTERTITEL EIN ODER AUS"
"TUT_MIS_02_SKYDIVE_FLIP_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} BEWEGEN\nMAUS BEWEGEN ZUM UMSCHAUEN\n{SKYDIVE_FLIP_IMG} NACH OBEN ODER UNTEN DREHEN"
"MENU_RESTORE_ALL_DEFAULTS": "IN ALLEN KATEGORIEN STANDARD WIEDERHERSTELLEN"
"CAA_TANK_DRIVE_LEFT_RIGHT_NEG": "   NACH LINKS BEWEGEN"
"MAINMENU_NEW_GAME_NO_SPACE_EXPOSITION": "Die Festplatte hat nicht genug freien Speicherplatz.\nWenn du fortfährst, kannst du nicht speichern.\nFortfahren?"
"PC_ZT_BLEND": "ÜBERBLENDUNG"
"PC_SAVE_HINT": "DIE CLIP-BEARBEITUNGEN SPEICHERN"
"PC_COPY_NEXT_HINT": "ERSTELLE EINE NEUE KAMERAZONE BASIEREND AUF DER NÄCHSTEN ZONE"
"PCACTION_STRAFE_RIGHT": "SEITLICH NACH RECHTS GEHEN"
"MENU_GAMEPLAY": "SPIEL"
"MENU_MOUSE_CONTROLS_VERT_SENS": "VERTIKALE EMPFINDLICHKEIT"
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM_TEXT": "Möchtest du diese Einstellungen beibehalten?\nSie werden automatisch in 15 Sekunden zurückgesetzt. "
"PLT_MENU_DISPLAY_INDEX_TOOLTIP": "WÄHLE DEN MONITOR FÜR DEN VOLLBILDMODUS"
"PC_DOF": "TIEFENSCHÄRFE"
"RECORD_MODE_WARNING_TEXT": "Die Aufnahme von Film-Clips deaktiviert alle Aufträge, Aktivitäten, Läden und Musik, bis du zum Hauptmenü zurückkehrst. Möchtest du mit der Aufnahme eines Film-Clips beginnen?"
"PC_HIDE_KEYS": "TASTEN AUSBLENDEN"
"TUT_TITLE_SPRINT": "WAHNSINNSTASTE"
"PC_COMMUNITY_AGE_FIELD": "ALTER (MM.TT.JJJJ)"
"MENU_OPTIONS_REMAP": "TASTENBELEGUNG FESTLEGEN"
"CBA_OFC_ZOOM_OUT": "   ZIELOPTIK RAUSZOOMEN"
"PLT_MENU_RESOLUTIONS": "AUFLÖSUNGEN"
"DPAD_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad][/format]"
"DPAD_DOWN_TXT": "A-TASTE"
"PCACTION_WEAPON_5": "WAFFE 5"
"PCACTION_ATTACK_SECONDARY": "NEBENANGRIFF"
"HUD_ZOMBIE_BITE_ESCAPE": "Drücke ganz oft und schnell eine beliebige Taste, um zu flüchten!"
"MENU_AIRPLANE_HANDLING": "FLUGZEUGBEDIENUNG"
"MENU_MOUSE_BUTTON_4": "Maus 4"
"CBA_GAC_GRENADE_SELECT_1": "   GRANATENPLATZ 1"
"CBA_OFC_JUMP_CLIMB": "   SPRINGEN / KLETTERN"
"PC_ROTATION_SENSITIVITY": "SCHWENKEMPF."
"PC_SLOWMO": "ABSPIELGESCHWINDIGKEIT"
"MENU_OPTIONS_REMAP_CATEGORIES_TIP": "SCHALTE ZWISCHEN VERSCHIEDENEN KONTROL-KATEGORIEN UM"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "STEAM-PROFIL ANSEHEN"
"MENU_CONTROLLER_OPTIONS": "GAMEPAD-OPTIONEN"
"PC_EDIT_PROPS_HINT": "DIALOG FÜR EIGENSCHAFTEN DER KAMERAZONE AUFRUFEN"
"PC_ADDITIONAL_PROPS": "WEITERE EIGENSCHAFTEN"
"PC_NEW_ZONE": "NEUE ZONE"
"MENU_OPTIONS_MOUSE": "STEUERUNG"
"CBA_GAC_WEAPON_SELECT_5": "   WAFFENPLATZ 5"
"CBA_VDC_PLANE_ACCELERATE": "   BESCHLEUNIGEN"
"MENU_CATEGORY": "KATEGORIE"
"PLT_MENU_ASPECT_TOOLTIP": "DAS SEITENVERHÄLTNIS KANN NUR IM HAUPTMENÜ EINGESTELLT WERDEN"
"PC_CM_DEFAULT": "STANDARD"
"PC_COPY_CURRENT": "AKTUELLE KOPIEREN"
"COMMUNITY_EXISTING_FOUND_TEXT": "Wir haben eine THQ ID gefunden, die mit deinem Steam-Account verbunden ist. Bitte melde dich mit deinem vorhandenen Konto an."
"CBA_VDC_PREV_RADIO": "   VORIGER RADIOSENDER"
"PLT_MENU_POST_PROCESSING_DETAIL": "    NACHBEARBEITUNGSDETAILS"
"BTN_RTHUMB_TXT": "RECHTER STICK"
"BTN_X_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-x][/format]"
"PCACTION_BACKWARD": "RÜCKWÄRTS GEHEN"
"HASH_0AEDCF17": "Ein Netzwerkfehler ist aufgetreten.\nDu wirst zum Hauptmenü zurückgeführt."
"PC_VIDEO_QUALITY": "VIDEO QUALITÄT"
"M17_ERROR_SCREEN_CONTINUE_MSG_PC": "Jetzt beginnt das richtige Spiel >:) \n\nDrücke einen Knopf um fortzufahren"
"CBA_VDC_LOOK_BEHIND": "   KAMERA UMDREHEN"
"CBA_VDC_HELI_DRIVE_TURN_SELECT": "   DREHUNG AUFHEBEN"
"CBA_VDC_PLANE_ROLL_TURN_SELECT2": "   SEITENSTEUERUNG UMSCHALTEN"
"PLT_MENU_PAUSE_FOCUS_TOOLTIP": "AUTOMATISCH PAUSIEREN, WENN DAS SPIEL NICHT FOKUSSIERT IST"
"PC_ROTATION_SENSITIVITY_HINT": "EMPFINDLICHKEIT DER KAMERASCHWENKS"
"PCACTION_ATTACK_PRIMARY": "HAUPTANGRIFF"
"TUT_SPRINT": "{SPRINT_IMG} SPRINTEN\nSprinten verändert Aktionen auf wahnsinnige Weise. Probiere verschiedene Tastenkombinationen mit dem Sprinten aus, um alle herauszufinden!"
"NOT_LOGGED_IN": "Du musst in Steam Online gehen oder deine Internet-Verbindung wiederherstellen, um dieses Feature zu nutzen."
"CBA_GAC_GRENADE_SWITCH": "   NÄCHSTE GRANATE"
"CBA_GAC_MAP_MENU": "   HANDY"
"PLT_MENU_VSYNC_TOOLTIP": "V-SYNC UM TEARING IM VOLLBILDMODUS ZU ELIMINIEREN"
"MENU_OFF": "AUS"
"PLT_MENU_VOICE_ALWAYS_ON": "IMMER AN"
"PLT_QUIT_GAME_WARNING": "Bist du sicher, dass du zum Desktop zurück möchtest?"
"PC_TOD_NIGHT": "NACHT"
"PC_TOD_HINT": "LICHTEINSTELLUNGEN"
"PC_DOF_CLOSEUP": "NAHAUFNAHME"
"PC_OPTIONS_HINT": "DIALOG FÜR ALLGEMEINE OPTIONEN ZEIGEN"
"PC_SHOW_HUD": "BILDSCHIRMANZEIGE EINBLENDEN"
"PCACTION_HORN": "HUPE"
"CONTROLS_FORCE_FEED": "VIBRATION"
"STATS_CORRUPT_BODY": "Deine Statistiken sind fehlerhaft und müssen zurückgesetzt werden.\nDies beeinflusst nicht die Erfolge, die du bereits verbuchen konntest."
"PC_PLAY_SLOW_HINT": "LANGSAMES ABSPIELEN DES AUFGEZEICHNETEN SPIELS"
"HASH_C407C71A": "Verbindung mit GOG unterbrochen.\nKehre zum Hauptmenü zurück."
"TUT_COMBAT_MELEE_2": "Drücke die angezeigte Taste während eines NAHKAMPFANGRIFFES, um erhöhten Schaden zu verursachen und mehr Respekt zu verdienen."
"MENU_OPTIONS_GAMEPLAY_MINIMAP_TIP": "STELLE EIN, OB DIE MINIKARTE MIT DER KAMERAEINSTELLUNG ROTIERT"
"CONTROL_R_STICK": "RECHTER STICK"
"MENU_CHANGES_MADE_BODY": "Änderungen wurden vorgenommen. Möchtest du die aktuellen Änderungen übernehmen?"
"PLT_MENU_SHADOW_DETAIL_TOOLTIP": "AUFLÖSUNG DER SHADOWMAPS"
"PLT_MENU_REFLECTIONS": "    REFLEXIONEN"
"PLT_MENU_DISPLAY_2": "MONITOR 2"
"PC_CREATE_CHAR_HINT": "EIN NEUES CHARAKTERMODELL ERSTELLEN ODER IMPORTIEREN"
"PC_CAM_TILT": "KAMERANEIGUNG"
"HUD_PICK_UP_MESSAGE": "%ls AUFNEHMEN"
"MENU_DISCARD": "VERWERFEN"
"PC_CM_STATIC": "STATISCH"
"PC_FOV": "SICHTFELD"
"PCACTION_FINE_AIM": "ZIELMODUS"
"HASH_A87943DC": "ALT"
"HASH_5770315C": "%ls (RECHTS)"
"CBA_GAC_GRENADE_SELECT_4": "   GRANATENPLATZ 4"
"CBA_VDC_FIREARM": "   WAFFE ABFEUERN"
"MENU_PC_CHAT": "CHAT"
"PC_DOF_DIST": "TS DISTANZ"
"PLAYBACK_MODE_WARNING": "FILM-CLIPS BEARBEITEN"
"BTN_B_TXT": "A-TASTE"
"PCACTION_BREAK": "HANDBREMSE"
"PC_RECORD_MODE_ERROR_NO_SPACE": "Nicht in der Lage das Video zu speichern. Es wird mehr Speicherplatz benötigt."
"CAA_TANK_DRIVE_LEFT_RIGHT_POS": "   NACH RECHTS BEWEGEN"
"MENU_CATEGORY_ONFOOT": "ZU FUSS"
"PLT_MENU_DISPLAY_INDEX": "MONITOR"
"HUD_DUAL_WIELD_MESSAGE": "%ls MIT BEIDEN HÄNDEN BENUTZEN"
"ANALOG_RS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"DPAD_LEFT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-l][/format]"
"DPAD_RIGHT_TXT": "A-TASTE"
"MENU_OPTIONS_GAMEPLAY_CAMERA_TIP": "STELLE EIN, WIE SCHNELL DIE KAMERA WIEDER ZUR STANDARD EINSTELLUNG ZURÜCKKEHRT"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "Der Steam-Account ist mit keiner THQ ID verbunden."
"TL_MIS_21_RIDE_KILLBANE_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} LENKEN \n{ATTACK_PRIMARY_IMG} SCHLAGEN \nSchlage Killbane, damit er in die gelenkte Richtung weitergeht."
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM": "EINSTELLUNGEN ÜBERNEHMEN?"
"PLT_MENU_VSYNC_GAMEPLAY_TOOLTIP": "V-SYNC WÄHREND DES SPIELS"
"PLT_MENU_WINDOWED": "FENSTER"
"PLT_MENU_DISPLAY_PRESET": "AUTOMATISCHE EINSTELLUNG"
"PC_DOF_RANGE": "TS BRENNWEITENBEREICH"
"PC_FOV_HINT": "DAS SICHTFELD DER KAMERA"
"PC_HANDYCAM_HINT": "DIE SCHÜTTELSTÄRKE DER HANDYKAMERA"
"BTN_BACK_TXT": "A-TASTE"
"DPAD_LR_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-lr][/format]"
"PLT_MENU_REMAP_X_UNDER_Y": "unter"
"CBA_VDC_BIKE_LEAN_BACK": "   MOTORRAD WHEELIE"
"CBA_VDC_PLANE_TURN_RIGHT": "   ROLLE RECHTS"
"MENU_CATEGORY_CAR": "AUTO / MOTORRAD / BOOT"
"PC_W_DEFAULT": "STANDARD"
"PC_WEATHER_HINT": "WETTEREINSTELLUNGEN"
"PC_DOF_ZOOM": "ZOOM"
"PC_PAUSE_HINT": "ABSPIELEN ANHALTEN"
"COMMUNITY_SUCCESS_LINK_EXT": "Dein aktueller Steam-Account wurde mit deiner THQ ID verbunden."
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "Der Steam-Account, den du benutzt, ist mit einer anderen THQ ID verbunden."
"CBA_GAC_WEAPON_SELECT_3": "   WAFFENPLATZ 3"
"CBA_VDC_WATERCRAFT_FIRE_SECONDARY": "   ZWEITE WAFFE FEUERN"
"CAA_PLANE_PITCH_UP_DOWN_NEG": "   FLIEGE ABWÄRTS"
"CAA_PLANE_PITCH_UP_DOWN_POS2": "   ABWÄRTS FLIEGEN"
"PLT_MENU_DISPLAY_1": "MONITOR 1"
"SAVELOAD_CANNOT_SAVE_TO_FULL_DEVICE": "Festplatte ist voll.\nBitte wähle zum Speichern einen anderen Ort aus."
"PC_VOICE_HINT": "ALLE STIMMEN EIN-/AUSSCHALTEN"
"PC_ZT_CUT": "SCHNITT"
"CBA_MENU_PC_TEXT_CHAT": "   TEXT-CHAT"
"PLT_MENU_LIGHTING_DETAIL_TOOLTIP": "TEXTURAUFLÖSUNG DES LICHTS"
"PLT_MENU_DISPLAY_CHANGES_FAILED": "Die Video-Einstellungen konnten nicht geändert werden. Deine Änderungen wurden zurückgenommen."
"PLT_MENU_VOICE_DISABLED": "DEAKTIVIERT"
"START_GAME_OUT_OF_SAVE_SLOTS_TEXT": "Du hast keine freien Speicherplätze mehr. Zum Speichern musst du einen alten Spielstand überschreiben oder an einem anderen Ort speichern."
"PC_EXPORT_LOCK": "SPERRE EXPORTIEREN"
"PC_EXPORT_SETTINGS": "EXPORTEINSTELLUNGEN"
"BTN_LTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-lt][/format]"
"BTN_WHITE_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-lb][/format]"
"PC_CLIP_DELETE_CONFIRM": "Bist du sicher, dass du diesen Film-Clip löschen möchtest? Du kannst diese Aktion nicht mehr rückgängig machen."
"TUT_COMBAT_WEAPONS_0_PC": "{NEXT_WEAPON_IMG} ZUR NÄCHSTEN WAFFE WECHSELN\n{PREV_WEAPON_IMG} ZUR VORIGEN WAFFE WECHSELN"
"CBA_OFC_SHOULDER_CAMERA_TOGGLE": "   ZOOMEN (AN / AUS)"
"CBA_VDC_PLANE_TURN_LEFT": "   ROLLE LINKS"
"PLT_ANISOTROPIC_TWO": "ANISOTROPISCH 2X"
"PLT_MENU_MED_DX10_ONLY": "MEDIUM (DX10 ODER HÖHER)"
"PC_WATERMARK": "WASSERZEICHEN"
"PC_SELECT_TARGET_HINT": "BENUTZE DIE STEUERUNG, UM EIN ZIEL AUSZUWÄHLEN"
"PC_DOF_OFF": "AUS"
"PC_AV_OPTIONS_HINT": "DIALOG FÜR UMGEBUNGSOPTIONEN ZEIGEN"
"PC_PLAY_FAST_HINT": "SCHNELLES ABSPIELEN DES AUFGEZEICHNETEN SPIELS"
"PCACTION_CONSUME_DOWN": "UNTEN BENUTZEN"
"PCACTION_RELOAD": "WAFFE NACHLADEN"
"MENU_OPTIONS_GAMEPLAY_FOCUS_TIP": "AUTOMATISCH PAUSIEREN, WENN DAS SPIELFENSTER NICHT AKTIV IST"
"CBA_OFC_SPRINT": "   RENNEN (HALTEN)"
"PLT_ANISOTROPIC_FOUR": "ANISOTROPISCH 4X"
"PLT_MENU_VOICE_PUSH_TO_TALK": "SPRECHTASTE"
"PC_SM_FAST": "SCHNELL"
"PC_CAMERA_DONE": "FERTIG"
"PLAYBACK_MODE_WARNING_TEXT": "Dies beendet deine momentane Aufnahme und ermöglicht es dir diese zu bearbeiten, zu speichern und zu einem Video zu exportieren. Um einen neuen Film-Clip aufzunehmen, musst du zum Hauptmenü zurückkehren. Weiter zum Film-Clip-Editor?"
"PCACTION_FORWARD": "VORWÄRTS GEHEN"
"PC_RECORD_MODE_QUALITY_HIGH": "1080p (HOCH)"
"PC_RECORD_MODE_CANCELLED_EXPORT": "SPEICHERVORGANG ABGEBROCHEN."
"STATS_CORRUPT_TITLE": "DEFEKTE STATISTIK"
"COMMUNITY_SITE_BLURB": "Lade deinen ersten Charakter hoch, um dir einen Erfolg zu verdienen.\n\nSuche online nach Charakteren, um diese im Spiel zu spielen.\n\nNehme an Herausforderungen teil, um Spielinhalt zu verdienen.\n\nVerfolge Community-Aktivitäten auf der Echtzeit-Community-Karte oder greife auf deine personalisierte Karte zu.\n\nErhalte spezielle Community-Deals auf SaintsRow Produkte und Spielinhalt."
"CBA_OFC_TAUNT_TWO": "   SPOTTGESTE"
"CAA_WALK_TURN_LEFT_RIGHT_POS": "   BEWEGUNG NACH RECHTS"
