"DROP_SPHERE": "DÁT SPHERE"
"STAT_RUNNING_MAN_CASH_EARNED": "PROF. GENKI: VYDĚLANÉ PENÍZE"
"STAT_PISTOL_SHOTS_FIRED": "VYPÁLENÉ RÁNY Z PISTOLE"
"STAT_ACTIVITIES_COMPLETED": "DOKONČENÉ AKTIVITY"
"ESCORT_NAME_17B": "KLEŠTĚ"
"ESCORT_NAME_4B": "DRAK"
"HeliAssault": "ÚTOK ZE VZDUCHU"
"CONTROL_CHANGE_COLUMN": "ZMĚNIT SLOUPEC"
"MAP_ICON_PLASTIC_SURGEON": "PLASTICKÝ CHIRURG"
"WARDROBE_LEAVE_FULL": "Skutečně chceš zavřít šatník?"
"CRIB_HUD_HANGAR_PURCHASE": "KOUPIT LETECKÝ HANGÁR ZA {0} DOLARŮ"
"VCUST_REGION_TITLE": "ČÁST (1/3)"
"CUST_DIALOG_DISROBE_BODY": "Vysvlečeš si vše, co máš na sobě. \nNahý můžeš hrát hru naháč. \nPřeješ si pokračovat?"
"WPNSTOR_TEXT_MAX_AMMO_CRIB": "Další munici pro zbraň \"%s\" už si ze skrýše vzít nemůžeš."
"STAT_STAG_COMMANDOS_KILLED": "ZABITÁ KOMANDA STAGU"
"STAT_FBI_KILLED": "ZABITÍ AGENTI FBI"
"HASH_D4EBF91C": "DOKONČENÉ ÚROVNĚ S AKCEMI Z JEDOUCÍHO AUTA"
"TAXI_CANNOT_AFFORD": "Na tuto cestu nemáš dostatek peněz."
"OVL_SHOP_PURCHASED_TITLE": "KOUPENO"
"PURCHASEABLE_PROPERTEY_AIRPORT": "WESLEY CUTTER INTERNATIONAL"
"TRIGGER_SAVE": "ULOŽIT"
"WPNSTOR_TEXT_MAX_AMMO_STORE": "Další munici tohoto typu už neuneseš."
"STORE_TITLE_INSUFFICIENT_FUNDS": "NEDOSTATEK PENĚZ"
"STAT_NEIGHBORHOODS_CONTROLLED": "OVLÁDANÉ ČTVRTI"
"ESCORT_NAME_11B": "ŠUKÉR"
"ESCORT_NAME_2B": "TRUMPETA"
"MAP_ICON_TSS_MISSION": "MISE SVATÝCH ZE TŘETÍ ULICE"
"MAP_ICON_TATTOO_PARLOR": "TETOVACÍ SALÓN"
"CELL_IMAGE": "IMAGE AS DESIGNED"
"HUD_SHOP_NEED_HOOD_OWNERSHIP": "NEJDŘÍVE MUSÍŠ OVLÁDNOUT TUTO ČTVRŤ, TEPRVE PAK MŮŽEŠ TENTO OBCHOD KOUPIT."
"GANG_CUST_SLOT_3": "POZICE 3"
"STAT_WEAPON_THROWN": "VRHACÍ ZBRANĚ"
"STAT_COOP_KILLS": "KOOPERATIVNÍ REŽIM: ZABITÍ HRÁČŮ"
"STAT_MAYHEM_BEST_ROUND": "VANDALSTVÍ: NEJLEPŠÍ KOLO"
"STAT_GUARDIAN_ANGEL_CELEBS_PROTECTED": "STRÁŽNÝ ANDĚL: OCHRÁNĚNÉ CELEBRITY"
"STAT_COMBAT_MOTORCYCLE": "ZABITÍ MEČEM NA MOTORCE"
"STAT_MILES_BY_VEHICLE": "NAJETÉ MÍLE CELKEM"
"SP Diversion Stars Col1_NAME": "NEJLEPŠÍ HRÁČI BOKOVEK"
"CONTROL_CHANGE_STORY": "ZMĚNIT PŘÍBĚHOVOU LINII"
"MAP_IMG_SURGEON": "[format][scale:1.0][image:map_store_surgeon][/format]"
"CUST_GANG_NAME_BODYGUARD": "BODYGUARDI"
"SMASH_DESC": "Tvé vozidlo ostatní auta doslova rozdrtí."
"DROP_STATUSQUO": "DÁT STATUS QUO"
"SUPER_EXPLOSIONS": "SUPER VÝBUCHY"
"PLAYER_PRATFALLS": "PADÁNÍ NA ZADEK"
"POC2_DROP_CAR": "ZBAVIT SE SPORŤÁKU"
"VCUST_EXIT_PROMPT": "Opravdu chceš ukončit úpravu vozu?"
"VCUST_EXTRA_HIGH_PROFILE": "EXTRA VYSOKÝ PROFIL"
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "NA KOČKU A NA MYŠ: NEJVÍCE DOSAŽENÝCH BODŮ"
"STAT_SHOTGUN_HIT_PCT": "PROCENTO ZÁSAHŮ S BROKOVNICÍ"
"STAT_GUARDIAN_ANGEL_ATTACKERS_KILLED": "STRÁŽNÝ ANDĚL: ZABITÍ ÚTOČNÍCI"
"STAT_MUGGINGS_COMPLETED": "DOKONČENÁ PŘEPADENÍ"
"ESCORT_NAME_13B": "TORNÁDO"
"SP Kills Col2_NAME": "NEJLEPŠÍ HRÁČI VRAŽEDNÉHO BĚSNĚNÍ"
"HIDE_HUD_DESC": "Průhledový displej bude skrytý"
"FULL_HEALTH_DESC": "Doplní tvé zdraví na maximum."
"INFINITE_SPRINT_DESC": "Můžeš běžet neomezeně dlouho."
"PAUSE_MAP_CANT_WAYPOINT_FULL": "Ukazatel cesty nemůžeš umístit během mise nebo jiné činnosti!"
"HAIR_NO_CHOICES": "Tato kategorie je prázdná."
"CUST_ITEM_VIEW_OUTFITS": "PROHLÉDNOUT DOSTUPNÉ KOMPLETY"
"STAT_COMBAT_MELEE": "ZABITÍ ZBLÍZKA"
"STAT_MUGGINGS_CASH": "PENÍZE ZÍSKANÉ Z PŘEPADENÍ"
"STAT_MILES_ON_FOOT": "UŠLÉ MÍLE CELKEM"
"NO_OUTFITS_DISPLAY_NAME": "ŽÁDNÉ KOMPLETY"
"CONTROL_RETURN_TO_LOBBY": "NÁVRAT DO CHATOVACÍ MÍSTNOSTI"
"PAUSE_MAP_WAYPOINT_REMOVE": "ODSTRANIT NAVIGAČNÍ BOD"
"MAP_ICON_CAR_MECHANIC": "SERVIS"
"TAXI_CAB_1": "BIG WILLY'S CAB"
"STORE_EXIT_UPGRADES": "SKONČIT S VYLEPŠENÍMI"
"GARAGE_REPAIR_PROMPT": "Chceš toto vozidlo opravit za {0} dolarů?"
"VCUST_COLOR_GRID_TITLE": "VÝBĚR BAREV"
"VEHICLE_COLOR_ADVANCED": "ZÁKLADNÍ"
"STORE_CRIB_CLOTHING_MSG": "OTEVŘÍT ŠATNÍK"
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "HROMADNÁ ZABITÍ"
"STAT_FLASHPOINTS_COMPLETED": "ZMAŘENÉ OPERACE GANGU"
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "URÁŽKY CELKEM"
"ESCORT_NAME_17A": "ZARŮSTAJÍCÍ"
"ESCORT_NAME_4A": "ZLOBÍCÍ"
"TINY_PLAYER_DESC": "Čéče, nějak ses scvrknul."
"GANG_CUST_GANG_STYLE_OPT": "STYL"
"PLANET_SAINTS_NAME": "PLANET SAINTS"
"GARAGE_REPAIR_COST": "Chceš zaplatit %s?"
"Vehicle Jump Distance_NAME": "NEJLEPŠÍ DÉLKA SKOKU"
"Player_Vehicle_No_Damage": "NEZNIČITELNÉ VOZIDLO"
"VCUST_PERFORMANCE_ADD": "POSÍLENÍ"
"WPN_STORE_SHOTGUN_TITLE": "BROKOVNICE"
"WPN_STORE_MELEE_TITLE": "RUČNÍ ZBRANĚ"
"GANG_CUST_GANG_SIGN_VOICE": "URÁŽKA"
"STAT_VEHICLE_SURFING_LONGEST_TIME": "NEJDELŠÍ DOBA SURFOVÁNÍ"
"STAT_DECKER_SPECIALISTS_KILLED": "ZABITÍ SPECIALISTÉ DECKERŮ"
"STAT_HOLDUPS_STORES_ROBBED": "VYKRADENÉ OBCHODY"
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "NÁKLADY NA VYLEPŠENÍ AUT"
"STAT_CAT_MOUSE_LOSSES": "NA KOČKU A NA MYŠ: PROHRY"
"STAT_DRIVING_BURNOUT_TIME": "NEJDELŠÍ SPÁLENÍ"
"ESCORT_NAME_15A": "PRDELNÍ"
"ESCORT_NAME_6A": "PLESNIVĚJÍCÍ"
"HASH_269B6FA3": "TAG SMRTI: NEJVÍCE ZABITÍ V KOLE"
"MAP_ICON_CRIB": "BEJVÁK"
"GARAGE_LEAVE_FULL": "Skutečně chceš odejít z Rim Jobs?"
"CURRENT_AMMO": "STAV MUNICE"
"STAT_VEHICLE_CAR": "AUTO"
"STAT_TAUNT": "URÁŽKY"
"STAT_WATERCRAFT_DESTROYED": "ZNIČENÁ PLAVIDLA"
"STAT_CARS_UNLOCKED": "ODEMČENÁ AUTA"
"STAT_COMBAT_HEADSHOT": "ZÁSAHY DO HLAVY"
"coop": "KOOPERATIVNÍ REŽIM"
"Pimping": "SOUBOJ PASÁKŮ"
"Genre string": "AKCE"
"DROP_UFO": "ZNIČIT"
"ACTIVITY_LEVEL_LEAVE_FULL": "Skutečně chceš ukončit výběr úrovně aktivity?"
"STORE_FAT": "TLUSTÁ {0}%%%%"
"HASH_ABE420A4": "ZATÍM NENÍ NIC K DISPOZICI"
"WPN_STORE_NO_WEAPONS_AVAILABLE": "ŽÁDNÉ ZBRANĚ NEJSOU K DISPOZICI"
"VCUST_SPINNER_OPTION": "MATICE"
"VCUST_HUBCAP_NUMBER": "POKLICE #{0}"
