"DROP_SPHERE": "ДАТЬ СФЕРУ"
"FULL_HEALTH": "ПОЛНОЕ ЗДОРОВЬЕ"
"GANG_CUST_EXIT_PROMPT": "Выйти из режима модификации банды\n\nВы уверены?"
"HORDE_MODE_INVULNERABILITY": "Неуязвимость!"
"ESCORT_NAME_34A": "ГРЕЧЕСКИЙ"
"OPTION_NO": "НЕТ"
"SAVELOAD_LOAD_DEVICE_UNAVAILABLE_FULL": "Загрузка невозможна, так как Запоминающее Устройство не найдено."
"ACCEPT_GAME_INVITE_TITLE": "ВНИМАНИЕ "
"PLAYER_CREATION_LEAVE_FULL": "Вы уверены, что хотите покинуть создание игрока?"
"STORE_NAME_NIGHT_CLUB": "НОЧНОЙ КЛУБ"
"VCUST_GARAGE_EXIT_PROMPT": "Вы уверены, что хотите покинуть гараж?"
"STAT_DRIVING_NEARMISS_RESPECT": "АВТОРИТЕТ ЗА МИЛЛИМЕТРАЖИ"
"STAT_FAVORITE_WEAPON": "ЛЮБИМОЕ ОРУЖИЕ"
"CUSTOM_CONFIRM_OUTFIT_CREATION": "Вы действительно хотите создать этот костюм?"
"TAXI_INVALID_DESTINATION": "Вы не можете оплатить поездку в это место."
"DROP_FIVE0": "ДАТЬ PEACEMAKER"
"GIVE_ALL_WEAPONS_DESC": "Ддает полный комплект оружия."
"BUSHWICK_BILL": "ВСЕ ДОЛЖНЫ УМЕНЬШИТЬСЯ"
"NEVER_DIE": "НИКОГДА НЕ УМИРАТЬ"
"HITMAN_NAME": "ИМЯ ЦЕЛИ"
"STAT_COOP_ACTIVITIES_COMPLETED": "СОВМЕСТНАЯ ИГРА: ЗАДАНИЙ ВЫПОЛНЕНО"
"STAT_MILES_BY_CAR": "МИЛЬ ПРОЕХАНО НА МАШИНЕ"
"STAT_FRAUD_DIVES_TAKEN": "СТРАХОВОЕ МОШЕННИЧЕСТВО: ПОЕЗДОК СДЕЛАНО"
"STAT_BARN_FOUND": "МИТИНГОВ НАЙДЕНО"
"ESCORT_NAME_36A": "СЕРДИТЫЙ"
"HASH_64463610": "УРОВЕНЬ СТИЛЯ"
"UNLIMITED_CLIP_DESC": "Не надо перезаряжать, потому что у вас бесконечные патроны"
"MEDIUM_RAIN": "УМЕРЕННЫЙ ДОЖДЬ"
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK": "Хотите поменять \"%s\" на \"%s\"?"
"HUD_SHOP_PURCHASE_BLANK_FOR_BLANK": "КУПИТЬ ЗА %ls"
"STAT_TOTAL_CASH_EARNED": "ВСЕГО ЗАРАБОТАНО"
"STAT_DRIVING_BIGAIR_DISTANCE": "НАИБОЛЬШАЯ ДИСТАНЦИЯ"
"STAT_SHOTS_FIRED": "ВСЕГО ВЫСТРЕЛОВ"
"STAT_POLICE_NOTORIETY_TIME": "МАКСИМАЛЬНОЕ ВРЕМЯ ПОД ПРЕСЛЕДОВАНИЕМ КОПАМИ"
"DRUNK_PEDS_DESC": "Все прутся от наркоты"
"DROP_ATTRAZIONE": "ДАТЬ ATTRAZIONE"
"PLAYER_CREATION_NEW_PRESET_TEXT_FULL": "Выбор новой установки по умолчанию отменяет все внесенные изменения!"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION_FULL": "На устройстве сохранения недостаточно свободного места\nНевозможно сохранить игру"
"ACT_HITMAN_LEAVE_FULL": "Хотите выйти из задания \"Киллер\"?"
"PURCHASEABLE_PROPERTEY_CHOP_SHOP": "МАСТЕРСКАЯ КУДРЯШКИ"
"STAT_HELI_ASSAULT_TARGETS_DESTROYED": "АТАКА С ВЕРТОЛЕТА: ЦЕЛЕЙ УНИЧТОЖЕНО"
"HASH_4C1CDC12": "ПЛАЩЕЙ ВО ВЛАДЕНИИ"
"CUST_ICON_PIERCINGS": "ПИРСИНГ"
"VCUST_PURCHASE_OPTION": "КУПИТЬ"
"VCUST_RIM_FAMILY_TITLE": "СТИЛЬ ОБОДОВ"
"STAT_DISTANCE_BY_CAR": "ДИСТАНЦИЯ НА АВТОМОБИЛЕ"
"STAT_THROWN_HIT_PCT": "ПРОЦЕНТ ПОПАДАНИЯ МЕТАТЕЛЬНЫМ ОРУЖИЕМ"
"STAT_GUARDIAN_ANGEL_LEVELS_COMPLETED": "АНГЕЛ ХРАНИТЕЛЬ: ТРЕБОВАНИЙ ВЫПОЛНЕНО"
"STAT_COMBAT_CAR": "УБИЙСТВО МАШИНОЙ"
"GIVE_SWORD": "ДАТЬ НОКТЮРН"
"DROP_STILWATERMUNICIPAL": "ДАТЬ STILWATER MUNICIPAL"
"DROP_VORTEX": "ДАТЬ VORTEX"
"VCUST_RETURN_TO_CRIB": "ВЕРНУТЬСЯ В ЖИЛИЩЕ"
"GARAGE_CAT_2": "ЦВЕТА"
"STAT_SNIPER_SHOTS_FIRED": "ВЫСТРЕЛОВ ИЗ СНАЙПЕРСКОЙ ВИНТОВКИ"
"STAT_MISSIONS_COMPLETED": "МИССИЙ ВЫПОЛНЕНО"
"COMERCIAL_7": "СКИДКА 15% В IMPRESSIONS"
"GIVE_SHIELD": "ДАТЬ ЩИТ ПОВСТАНЦА"
"TOD_Cycle": "СМЕНИТЬ ВРЕМЯ СУТОК"
"INFINITE_AMMO_DESC": "Дает вам бесконечные патроны на все оружие"
"ADD_GANG_NOTORIETY": "ДОБАВИТЬ ПРЕСЛЕДОВАНИЯ БАНД"
"Wrath_of_God": "ГНЕВ ГОСПОДЕН"
"POC2_WEAPON_UPGRADE_2": "УЛУЧШИТЬ ОРУЖИЕ - УРОВЕНЬ 2"
"WPN_STORE_RIFLE_TITLE": "ВИНТОВКИ"
"STORE_ITEM_STYLE_AWARD": "+ {0} СТИЛЯ"
"IMAGE_DESIGNED_NAME": "ОБРАЗ И ПОДОБИЕ"
"GARAGE_RETRIEVE": "ОТОБРАТЬ"
"STAT_TEAM_MORNINGSTAR": "МОРГЕНШТЕРНЫ"
"ESCORT_NAME_19B": "ПОЛОЗ"
"SP Vehicle Jumps Col2_NAME": "СПИСКИ ЛИДЕРОВ ПО ПРЫЖКАМ НА МАШИНАХ"
"SP Diversion Stars Col3_NAME": "СПИСКИ ЛИДЕРОВ ПО ХУЛИГАНСТВУ"
"SP Time Col2_NAME": "СПИСКИ ЛИДЕРОВ ПО ВРЕМЕНИ"
"CONTROL_ZOOM_AND_ROTATE": "МАСШТАБ/ВРАЩЕНИЕ"
"DROP_CHALLENGER": "ДАТЬ \"ЧЕЛЛЕНДЖЕР\""
"GIVE_D4THBLOSSOM": "ДАТЬ \"ЦВЕТОК СМЕРТИ\""
"MUSIC_DOWNLOADABLE": "ЗАКАЧКИ"
"STORE_EXIT_WARNING_BODY": "Выйти из магазина\n\nВы уверены?"
"PLAYER_CREATION_SAVE_CHANGES": "Хотите сохранить изменения?"
"STAT_WHEELIE_LONGEST_DISTANCE": "МАКСИМАЛЬНЫЙ ПРОБЕГ НА ЗАДНИХ КОЛЕСАХ"
"STAT_CIVILIANS_KILLED": "УБИТО ГРАЖДАНСКИХ"
"CONTROL_YES": "ДА"
"DROP_JUSTICE": "ДАТЬ JUSTICE"
"DROP_WIDOWMAKER": "ДАТЬ WIDOWMAKER"
"POC2_PLAYER_CUSTOMIZATION": "ИЗМЕНЕНИЕ ИГРОКА"
"WPN_STORE_EXIT_PROMPT": "Выйти из оружейного магазина.\n\nВы уверены?"
"VCUST_BOTH_AXLES_OPTION": "ОБЕ ОСИ"
"STAT_DISTANCE_BY_VEHICLE": "ДИСТАНЦИЯ НА ВСЕЙ ТЕХНИКЕ"
"STAT_CASH_EARNED_PER_DAY": "ЗАРАБОТОК В ЧАС"
"STAT_FRAUD_BEST_DIVE": "СТРОХОВОЕ МОШЕННИЧЕСТВО: ЛУЧШИЙ ПРЫЖОК"
"STAT_ACTIVITY_RESPECT_EARNED": "АВТОРИТЕТ ЗА ЗАДАНИЯ"
"STAT_HOSPITAL_BILLS": "ТРАТЫ НА ЛЕЧЕНИЕ"
"ESCORT_NAME_8B": "ШТОПОР"
"CONTROL_REMOVE": "УБРАТЬ"
"DROP_REAPER": "ДАТЬ REAPER"
"GARAGE_EXIT_PROMPT": "Выйти из Гаража?"
"STAT_MORNINGSTAR_KILLED": "УБИТО МОРГЕНШТЕРНОВ"
"STAT_CHOP_SHOP_VEHICLES_DELIVERED": "ДОСТАВЛЕНО МАШИН В МАСТЕРСКИЕ"
"STAT_DRUG_TRAFFICKING_LEVELS_COMPLETED": "НАРКОТРАФИК: ЗАПРОСОВ ВЫПОЛНЕНО"
"STAT_COMBAT_ENEMY": "УБИТО БАНДИТОВ"
"STAT_HOLDUP_CASH": "ДЕНЕГ ЗА СЛЕЖЕНИЕ"
"STAT_BASE_JUMP": "БЕЙСДЖАМПИНГ"
"RADIO_STATION_THE_MIX": "THE MIX"
"OPTION_YES": "ДА"
"RAINING_PEDS_DESC": "Алилуйя, дождь из людей!"
"PED_WAR": "ВОЙНА ПЕШЕХОДОВ"
"CAR_MASS_HOLE": "РЕЗНЯ МАШИН"
"SURGEON_FINISHED_FULL": "Вы уверены, что хотите покинуть Image As Designed?"
"STORE_TATTOO_PARLOR_MSG": "СДЕЛАТЬ ТАТУИРОВКУ"
"STAT_MAX_POLICE_NOTORIETY_STREAK": "МАКСИМАЛЬНОЕ ПРЕБЫВАНИЕ ГОЛЫШОМ ПОД ПРЕСЛЕДОВАНИЕМ КОПАМИ"
"ESCORT_NAME_15B": "ЛЕДЕНЕЦ"
"ESCORT_NAME_6B": "ТАТУ"
"Vehicle Jump Spin_NAME": "ЛУЧШЕЕ ВРАЩЕНИЕ"
"CONTROL_BTN_BACK": "КНОПКА BACK"
"CELL_DRUG_DEALER": "НАРКОДИЛЕР"
"CRIB_SHOP_PURCHASED_TEXT": "Это жилье ваше.\nМожете хранить здесь оружие, деньги, одежду и транспорт. \nПокупка жилья повышает вашу стильность."
"WPN_STORE_PISTOL_TITLE": "ПИСТОЛЕТЫ"
"VCUST_WHEEL_SIZE_OPTION": "РАЗМЕР КОЛЕС"
"GARAGE_CRIB_NAME": "ГАРАЖ"
"STAT_TOTAL_DISTANCE_TRAVELLED": "СУММАРНОЕ ПРОЙДЕННОЕ РАССТОЯНИЕ"
"STAT_DIVERSIONS_COMPLETED": "ЗАВЕРШЕНО ХУЛИГАНСТВ"
"STAT_TOTAL_DAMAGE_TAKEN": "ВСЕГО ПОЛУЧЕНО УРОНА"
"STAT_MILES_BY_AIRCRAFT": "МИЛЬ ПРЕОДОЛЕНО НА ВОЗДУШНОМ ТРАНСПОРТЕ"
"STAT_CUSTOM_ITEMS_CASH_SPENT": "ДЕНЕГ ПОТРАЧЕНО НА МОДИФИКАЦИЮ ПРЕДМЕТОВ"
"STAT_MAX_STUNT_JUMP_SPIN": "МАКСИМАЛЬНОЕ ВРАЩЕНИЕ ПРИ ПРЫЖКЕ"
"SP Throw Distance_NAME": "СПИСКИ ЛИДЕРОВ ПО ДИСТАНЦИИ БРОСКА"
"HASH_80C0A79A": "СМЕНИТЬ СПИСКИ ЛИДЕРОВ"
"MAP_ICON_HELI": "АТАКА С ВЕРТОЛЕТА"
"TAXI_CAB_2": "EAGLELINE YELLOW"
"CELL_TAXI_CAB": "ТАКСИ"
"PLAYER_VEHICLE_NO_DAMAGE_DESC": "Ваша машина невосприимчива к урону."
"VCUST_PURCHASE_PROMPT": "Хотите купить {0} за ${1}"
"CUST_ITEM_CREATE_OUTFIT": "СОХРАНИТЬ КОСТЮМ"
"GARAGE_REPAIR_TEXT": "Хотите отремонтировать транспорт?"
"HORDE_MODE_TITLE_KILLS": "УБИЙСТВ"
"HORDE_MODE_WAVE_TAG": "ВОЛНА"
"STAT_RUNNING_MAN_CASH_EARNED": "ПРОФЕССОР ДЖЕНКИ: ЗАРАБОТАНО ДЕНЕГ"
"STAT_PISTOL_SHOTS_FIRED": "ВЫСТРЕЛОВ ИЗ ПИСТОЛЕТА"
"STAT_ACTIVITIES_COMPLETED": "ВЫПОЛНЕННЫЕ ЗАДАНИЯ"
"ESCORT_NAME_17B": "БОГАТЫРЬ"
"ESCORT_NAME_4B": "ДРАКОН"
"HeliAssault": "АТАКА С ВЕРТОЛЕТА"
"CONTROL_CHANGE_COLUMN": "СМЕНИТЬ КОЛОННУ"
"MAP_ICON_PLASTIC_SURGEON": "ПЛАСТИЧЕСКАЯ ХИРУРГИЯ"
"WARDROBE_LEAVE_FULL": "Вы уверены, что хотите покинуть гардероб?"
"CRIB_HUD_HANGAR_PURCHASE": "КУПИТЬ САМОЛЕТНЫЙ АНГАР ЗА ${0}"
"VCUST_REGION_TITLE": "РЕГИОН (1/3)"
"CUST_DIALOG_DISROBE_BODY": "Вы снимите всю одежду. \nЭто позволить бегать нагишом и шокировать людей. \nВы уверены?"
"WPNSTOR_TEXT_MAX_AMMO_CRIB": "Вы не можете больше взять этой аммуниции: \"%s\"."
"STAT_STAG_COMMANDOS_KILLED": "УБИТО КОММАНДОС ОТРЯДА КАБАН"
"STAT_FBI_KILLED": "УБИТО ФЕДЕРАЛОВ"
"HASH_D4EBF91C": "ЗАВЕРШЕНО АТАК ИЗ АВТОМОБИЛЯ"
"TAXI_CANNOT_AFFORD": "У вас не хватает денег на эту поездку."
"OVL_SHOP_PURCHASED_TITLE": "КУПЛЕНО"
"PURCHASEABLE_PROPERTEY_AIRPORT": "УЭСЛИ КАТТЕР INTERNATIONAL"
"TRIGGER_SAVE": "СОХРАНИТЬ"
"WPNSTOR_TEXT_MAX_AMMO_STORE": "Вы не можете больше взять патронов этого типа"
"STORE_TITLE_INSUFFICIENT_FUNDS": "НЕДОСТАТОЧНО ДЕНЕГ"
"STAT_NEIGHBORHOODS_CONTROLLED": "РАЙОНОВ ПОД КОНТРОЛЕМ"
"ESCORT_NAME_11B": "ЗМЕЙ"
"ESCORT_NAME_2B": "ТРУБА"
"MAP_ICON_TSS_MISSION": "МИССИЯ СВЯТЫЕ С 3-Й СТРИТ"
"MAP_ICON_TATTOO_PARLOR": "ТАТУ-САЛОН"
"CELL_IMAGE": "IMAGE AS DESIGNED"
"HUD_SHOP_NEED_HOOD_OWNERSHIP": "ВЫ ДОЛЖНЫ КОНТРОЛИРОВАТЬ ЭТОТ РАЙОН, ЧТОБЫ ОТОВАРИВАТЬСЯ В ЭТОМ МАГАЗИНЕ"
"GANG_CUST_SLOT_3": "СЛОТ 3"
"STAT_WEAPON_THROWN": "МЕТАТЕЛЬНОЕ"
"STAT_COOP_KILLS": "СОВМЕСТНАЯ ИГРА: УБИТО ИГРОКОВ"
"STAT_MAYHEM_BEST_ROUND": "РАЗГРОМ: ЛУЧШИЙ РАУНД"
"STAT_GUARDIAN_ANGEL_CELEBS_PROTECTED": "АНГЕЛ ХРАНИТЕЛЬ: ЗВЕЗД ЗАЩИЩЕНО"
"STAT_COMBAT_MOTORCYCLE": "УБИЙСТВА МЕЧОМ НА МОТОЦИКЛЕ"
"STAT_MILES_BY_VEHICLE": "ПРОЙДЕНО МИЛЬ НА ТРАНСПОРТЕ"
"SP Diversion Stars Col1_NAME": "СПИСКИ ЛИДЕРОВ ПО ХУЛИГАНСТВУ"
"CONTROL_CHANGE_STORY": "СМЕНИТЬ СЮЖЕТНУЮ ЛИНИЮ"
"MAP_IMG_SURGEON": "[format][scale:1.0][image:map_store_surgeon][/format]"
"CUST_GANG_NAME_BODYGUARD": "ТЕЛОХРАНИТЕЛИ"
"SMASH_DESC": "Ваша машина будет крушить остальные."
"DROP_STATUSQUO": "ДАТЬ STATUS QUO"
"SUPER_EXPLOSIONS": "СУПЕРВЗРЫВЫ"
"PLAYER_PRATFALLS": "ОСЕЧКИ ИГРОКА"
"POC2_DROP_CAR": "БРОСИТЬ СПОРТИВНУЮ МАШИНУ"
"VCUST_EXIT_PROMPT": "Вы уверены, что хотите покинуть изменение транспорта?"
"VCUST_EXTRA_HIGH_PROFILE": "ЭКСТРА ВЫСОКИЙ ПРОФИЛЬ"
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "КОШКИ-МЫШКИ: МАКСИМУМ ЗАРАБОТАННЫХ ОЧКОВ"
"STAT_SHOTGUN_HIT_PCT": "ПРОЦЕНТ ПОПАДАНИЯ ИЗ ДРОБОВИКА"
"STAT_GUARDIAN_ANGEL_ATTACKERS_KILLED": "АНГЕЛ ХРАНИТЕЛЬ: УБИТО НАЛЕТЧИКОВ"
"STAT_MUGGINGS_COMPLETED": "РАЗБОЕВ СОВЕРШЕНО"
"ESCORT_NAME_13B": "РАЗБОЙНИК"
"SP Kills Col2_NAME": "СПИСКИ ЛИДЕРОВ ПО СЕРИЯМ УБИЙСТВ"
"HIDE_HUD_DESC": "Скрывает мини-дисплей."
"FULL_HEALTH_DESC": "Восполняет ваше здоровье"
"INFINITE_SPRINT_DESC": "Вы можете бегать без остановки"
"PAUSE_MAP_CANT_WAYPOINT_FULL": "Вы не можете поставить точку маршрута во время миссии или задания!"
"HAIR_NO_CHOICES": "Нет выбора для этой категории"
"CUST_ITEM_VIEW_OUTFITS": "ПОСМОТРЕТЬ КОСТЮМЫ"
"STAT_COMBAT_MELEE": "УБИЙСТВ В РУКОПАШНОМ БОЮ"
"STAT_MUGGINGS_CASH": "ЗАРАБОТАНО ДЕНЕГ В ГРАБЕЖАХ"
"STAT_MILES_ON_FOOT": "ПРОЙДЕНО МИЛЬ ПЕШКОМ"
"NO_OUTFITS_DISPLAY_NAME": "НЕТ КОСТЮМОВ"
"CONTROL_RETURN_TO_LOBBY": "ВЕРНУТЬСЯ В ЛОББИ"
"PAUSE_MAP_WAYPOINT_REMOVE": "УБРАТЬ ТОЧКУ МАРШРУТА"
"MAP_ICON_CAR_MECHANIC": "МЕХАНИК"
"TAXI_CAB_1": "BIG WILLY'S CAB"
"STORE_EXIT_UPGRADES": "ВЫЙТИ ИЗ УЛУЧШЕНИЙ"
"GARAGE_REPAIR_PROMPT": "Вы хотите починить эту машину за ${0}?"
"VCUST_COLOR_GRID_TITLE": "ЦВЕТОВАЯ РЕШЕТКА"
