"MP_CANCEL_JOIN": "ANNULEREN"
"COOP_MAY_HAVE_DROPPED": "BEZIG OPNIEUW VERBINDING TE MAKEN MET %ls"
"MULTI_ERROR_SESSION_FULL": "De gamesessie is niet langer beschikbaar."
"MULTI_CHAT_DISABLED": "GEEN CHATTEN"
"MULTI_ONLINE_RESTRICTED_TITLE": "GEEN ONLINE"
"MULTI_LOST_CONNECTION_SYS": "Er is een verbindingsfout opgetreden.\nJe gaat terug naar het hoofdmenu."
"COOP_REMOTE_CHEAT_SAVE_CONTINUE": "OPSLAAN EN DOORGAAN MET HET SPEL"
"MP_WINNERS_YOU_LOSE": "JE HEBT VERLOREN"
"MP_DISCONNECT_HOST_LEFT": "De host heeft de gamesessie verlaten.\nJe moet terug naar het hoofdmenu."
"MP_INVITE_SENDING": "Bezig met verzenden van uitnodiging..."
"MP_INVITE_SENT_BODY": "Game-uitnodiging verzonden naar {0}.  "
"MULTI_NOT_SIGNED_IN": "Je moet inloggen met een gamerprofiel om toegang te krijgen tot deze mogelijkheid."
"INVITE_FAILED_BODY": "Kan geen uitnodiging versturen naar {0}."
"MULTI_NOT_SIGNED_IN_PS3": "Je moet inloggen met een profiel om toegang te krijgen tot deze mogelijkheid."
