"DROP_SPHERE": "GEEF BOL"
"Partners in Crime_HOWTO": "VOLTOOI ALLE CAMPAGNEMISSIES IN DE SAMENWERKINGSMODUS"
"MAP_IMG_CLOTHING": "[format][scale:1.0][image:map_store_clothing][/format]"
"TAT_REG_R_SHOULDER": "RECHTERSCHOUDER"
"CUST_ITEM_WEAR": "VOORWERP DRAGEN"
"STAT_MOST_HATED_GANG": "MEEST GEHATE GANG"
"ESCORT_NAME_20B": "MODDERSTROOM"
"MAP_ICON_TANK_MAYHEM": "TANKCHAOS"
"COMERCIAL_8": "25% KORTING OP IMPRESSIONS"
"PURCHASEABLE_PROPERTEY_BROTHEL2": "RED ONION HERB DISPENSARY"
"GARAGE_CAT_3": "PRESTATIE"
"STAT_DRIVING_BIGAIR_HEIGHT": "GROOTSTE HOOGTE"
"CUST_GANG_NAME_PIMP": "POOIERS EN HOEREN"
"GOLDEN_GUN": "GOUDEN GEWEER"
"GIVE_RESPECT": "GEEF RESPECT"
"DROP_KENSHIN": "GEEF KENSHIN"
"VCUST_PERFORMANCE_REMOVE": "VOORRAAD"
"UNLOCKABLE_TITLE_CAPS": "OP SLOT"
"GARAGE_CUST_NAME": "RIM JOBS"
"STAT_COMBAT_THROWN_RESPECT": "RESPECT VERDIEND MET WERPMOORDEN"
"ESCORT_NAME_22B": "SPELONKER"
"Coop Meta Game Points_NAME": "META SPELPUNTEN"
"CONTROL_RESUME": "DOORGAAN"
"WRATH_OF_GOD_DESC": "Bliksem!"
"DROP_SHARK": "GEEF HAAI"
"WPNSTOR_CRIB_TAKE_BLANK_FULL": "Wil je \"%s\" uit je woning meenemen?"
"VEHICLE_COLOR": "KLEUR"
"GARAGE_RETRIEVE_TEXT": "Weet je zeker dat je dit voertuig op wilt halen?"
"STAT_CAT_MOUSE_LONGEST_KILL_STREAK": "KAT & MUIS: LANGSTE MOORDENREEKS"
"STAT_HELI_ASSAULT_LEVELS_COMPLETED": "HELIKOPTERAANVAL VOLTOOID"
"STAT_DIVERSION_RESPECT_EARNED": "RESPECT VERDIEND TIJDENS AFLEIDINGSACTIES"
"STAT_ENEMY_GANG_KILLED": "LEDEN VAN VIJANDELIJKE GANGS GEDOOD"
"ZOMBIE_PEDS": "ZOMBIES"
"VCUST_RIM_SIZE_OPTION": "MAAT VELGEN"
"PCS_RETURN_MAIN": "TERUG NAAR HET HOOFDMENU"
"Total Cop Kills_NAME": "TOTAAL AANTAL POLITIEAGENTEN GEDOOD"
"THQ": "THQ"
"SMASH": "BOTSING"
"MILK_BONES_DESC": "Contactaanvallen zijn uitermate dodelijk."
"VEHICLE_PAINT_TYPE": "SOORT VERF"
"STAT_HUMAN_SHIELD_KILLS": "GEDOOD MET MENSELIJK SCHILD"
"ESCORT_NAME_30A": "WILDE"
"RADIO_STATION_GENX": "GENERATION X"
"Vehicle Jump Height_NAME": "BESTE HOOGTE"
"Time Played_NAME": "TOTALE TIJD GESPEELD"
"MainMenu": "IN HET HOOFDMENU"
"MAP_IMG_UNKOWN_STORE": "[format][scale:1.0][image:map_other_hidden_store][/format]"
"GIVE_RCGUN": "GEEF POSSESSOR-AFSTANDSBEDIENING"
"MASCOT_PEDS": "MASCOTTES"
"STORE_GARAGE_MSG": "JE GARAGE BEZOEKEN"
"STAT_GRENADE_KILLS": "GEDOOD DOOR GRANATEN"
"STAT_MAX_HUMAN_THROWN_DIST": "MAXIMALE AFSTAND MENS GEGOOID"
"HASH_9A7AD50B": "DRIVEBY-SCORE"
"EXIT_STRONGHOLD": "STRONGHOLD VERLATEN"
"WPN_STORE_PURCHASE_PROMPT": "Wil je de {0} voor ${1} kopen?"
"VCUST_SPINNERS_TITLE": "RONDDRAAIENDE VELGEN"
"GANG_CUST_SLOT_2": "SLOT 2"
"STAT_COOP_TANDEM_DIVERSIONS_COMPLETED": "SAMENWERKING: DUBBELE AFLEIDINGSACTIES VOLTOOID"
"STAT_DRIVING_WINDSHIELD_DISTANCE": "LANGSTE VOORRUITKANON"
"STAT_DRIVING_WINDSHIELD": "VOORRUITKANON"
"ESCORT_NAME_32A": "BLOEDERIG"
"HASH_AE65D08C": "DODENLABEL: LANGSTE REEKS ACHTER ELKAAR DOODGEGAAN"
"TAXI_PURCHASE": "KOOP LIFT"
"TAXI_CAB_3": "TNA TAXIS"
"STORE_PURCHASE_ITEM": "AANKOOP"
"PURCHASEABLE_PROPERTEY_ESTATES": "HAVEMAYER ESTATES"
"PURCHASEABLE_PROPERTEY_SERVICE": "HANDY J'S LUBE & TUBE"
"VEHICLE_REPAIR_HUD_MESSAGE": "JE HEBT JE VOERTUIG GEREPAREERD"
"WPNSTOR_TITLE_WEAPON_CACHE": "WAPENOPSLAGPLEK"
"STORE_TEXT_DISCARD": "Wil je dit voorwerp uit je garderobe verwijderen?"
"HORDE_MODE_TITLE_FINAL_FAIL": "LAATSTE GOLF MISLUKT"
"STAT_SEX_DOLLS_FOUND": "GEVONDEN SEXPOPPEN"
"STAT_RIFLE_HIT_PCT": "PERCENTAGE RAAK GESCHOTEN MET GEWEER"
"STAT_DRIVING_WRONGWAY": "SPOOKRIJDEN"
"ESCORT_NAME_28B": "DUBBELACTIE"
"Diversion Gold Stars_NAME": "GOUDEN STERREN"
"FULL_HEALTH": "VOLLEDIGE GEZONDHEID"
"GANG_CUST_EXIT_PROMPT": "Gangaanpassingen verlaten\n\nWeet je het zeker?"
"HORDE_MODE_INVULNERABILITY": "Onkwetsbaarheid!"
"ESCORT_NAME_34A": "GRIEKSE"
"OPTION_NO": "NEE"
"SAVELOAD_LOAD_DEVICE_UNAVAILABLE_FULL": "Het laadproces is mislukt omdat de standaard\nmemoryunit niet meer beschikbaar is."
"ACCEPT_GAME_INVITE_TITLE": "WAARSCHUWING"
"PLAYER_CREATION_LEAVE_FULL": "Weet je zeker dat je Speler creëren wilt verlaten?"
"STORE_NAME_NIGHT_CLUB": "NACHTCLUB"
"VCUST_GARAGE_EXIT_PROMPT": "Weet je zeker dat je de garage wilt verlaten?"
"STAT_DRIVING_NEARMISS_RESPECT": "RESPECT VERDIEND DOOR BIJNA TE RAKEN"
"STAT_FAVORITE_WEAPON": "FAVORIETE WAPEN"
"CUSTOM_CONFIRM_OUTFIT_CREATION": "Wil je deze outfit echt maken?"
"TAXI_INVALID_DESTINATION": "Je kunt geen lift naar die plek kopen."
"DROP_FIVE0": "GEEF FIVE-0"
"GIVE_ALL_WEAPONS_DESC": "Je bent volledig bewapend."
"BUSHWICK_BILL": "IEDEREEN MOET KLEINER GEMAAKT WORDEN"
"NEVER_DIE": "NOOIT DOODGAAN"
"HITMAN_NAME": "NAAM DOELWIT"
"STAT_COOP_ACTIVITIES_COMPLETED": "SAMENWERKING: ACTIVITEITEN VOLTOOID"
"STAT_MILES_BY_CAR": "TOTAAL AANTAL MIJLEN PER AUTO AFGELEGD"
"STAT_FRAUD_DIVES_TAKEN": "VERZEKERINGSFRAUDE: DUIKEN GENOMEN"
"STAT_BARN_FOUND": "ONDERDOORVLIEGLOCATIES GEVONDEN"
"ESCORT_NAME_36A": "VURIGE"
"HASH_64463610": "STIJLNIVEAU"
"UNLIMITED_CLIP_DESC": "Je hoeft nooit te herladen, want je magazijn blijft altijd vol."
"MEDIUM_RAIN": "REGEN"
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK": "Wil je \"%s\" met \"%s\" vervangen?"
"HUD_SHOP_PURCHASE_BLANK_FOR_BLANK": "KOOP VOOR %ls"
"STAT_TOTAL_CASH_EARNED": "TOTAAL GELD VERDIEND"
"STAT_DRIVING_BIGAIR_DISTANCE": "GROOTSTE AFSTAND"
"STAT_SHOTS_FIRED": "SCHOTEN AFGEVUURD"
"STAT_POLICE_NOTORIETY_TIME": "TIJD ALS MEEST BERUCHT BEKEND GESTAAN BIJ DE POLITIE"
"DRUNK_PEDS_DESC": "Iedereen heeft iets te veel energiedrankjes gedronken."
"DROP_ATTRAZIONE": "GEEF ATTRAZIONE"
"PLAYER_CREATION_NEW_PRESET_TEXT_FULL": "Door een nieuwe instelling te kiezen zullen andere\nwijzigingen die je al hebt gemaakt ook veranderen!"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION_FULL": "Er is niet genoeg vrije ruimte op de standaard memoryunit\nom het opslagproces te voltooien."
"ACT_HITMAN_LEAVE_FULL": "Weet je zeker dat je Huurmoordenaar wilt verlaten?"
"PURCHASEABLE_PROPERTEY_CHOP_SHOP": "CURLY'S CHOP BLOCK"
"STAT_HELI_ASSAULT_TARGETS_DESTROYED": "HELIKOPTERAANVAL: DOELWITTEN VERNIETIGD"
"HASH_4C1CDC12": "REGENJAS IN BEZIT"
"CUST_ICON_PIERCINGS": "PIERCINGS"
"VCUST_PURCHASE_OPTION": "AANKOOP"
"VCUST_RIM_FAMILY_TITLE": "SOORT VELGEN"
"STAT_DISTANCE_BY_CAR": "AFSTAND MET AUTO"
"STAT_THROWN_HIT_PCT": "PERCENTAGE RAAK GEGOOID MET WERPWAPEN"
"STAT_GUARDIAN_ANGEL_LEVELS_COMPLETED": "BESCHERMENGEL VOLTOOID"
"STAT_COMBAT_CAR": "MENSEN DOODGEREDEN"
"GIVE_SWORD": "GEEF NOCTURNE"
"DROP_STILWATERMUNICIPAL": "GEEF STILWATER MUNICIPAL"
"DROP_VORTEX": "GEEF VORTEX"
"VCUST_RETURN_TO_CRIB": "TERUG NAAR WONING"
"GARAGE_CAT_2": "KLEUREN"
"STAT_SNIPER_SHOTS_FIRED": "SCHOTEN MET SLUIPSCHUTTERGEWEER AFGEVUURD"
"STAT_MISSIONS_COMPLETED": "MISSIES VOLTOOID"
"COMERCIAL_7": "15% KORTING OP IMPRESSIONS"
"GIVE_SHIELD": "GEEF OPROERSCHILD"
"TOD_Cycle": "VERZET DE KLOK"
"INFINITE_AMMO_DESC": "Hiermee krijg je oneindig veel munitie voor al je wapens."
"ADD_GANG_NOTORIETY": "GANGBERUCHTHEID TOEVOEGEN"
"Wrath_of_God": "GODS TOORN"
"POC2_WEAPON_UPGRADE_2": "WAPENUPGRADE - NIVEAU 2"
"WPN_STORE_RIFLE_TITLE": "GEWEREN"
"STORE_ITEM_STYLE_AWARD": "+ {0} STIJL"
"IMAGE_DESIGNED_NAME": "IMAGE AS DESIGNED"
"GARAGE_RETRIEVE": "OPHALEN"
"STAT_TEAM_MORNINGSTAR": "MORNINGSTAR"
"ESCORT_NAME_19B": "JIMMY"
"SP Vehicle Jumps Col2_NAME": "GESPRONGEN MET VOERTUIGEN LEADERBOARD"
"SP Diversion Stars Col3_NAME": "LEADERBOARD AFLEIDINGEN"
"SP Time Col2_NAME": "LEADERBORD SPELTIJD"
"CONTROL_ZOOM_AND_ROTATE": "ZOOM/DRAAIEN"
"DROP_CHALLENGER": "GEEF CHALLENGER"
"GIVE_D4THBLOSSOM": "GEEF D4TH BLOSSOM"
"MUSIC_DOWNLOADABLE": "GEDOWNLOAD"
"STORE_EXIT_WARNING_BODY": "Winkel verlaten\n\nWeet je het zeker?"
"PLAYER_CREATION_SAVE_CHANGES": "Wil je je wijzigingen opslaan?"
"STAT_WHEELIE_LONGEST_DISTANCE": "LANGSTE WHEELIE-AFSTAND"
"STAT_CIVILIANS_KILLED": "BURGERS GEDOOD"
"CONTROL_YES": "JA"
"DROP_JUSTICE": "GEEF GERECHTIGHEID"
"DROP_WIDOWMAKER": "GEEF WEDUWENMAKER"
"POC2_PLAYER_CUSTOMIZATION": "SPELER AANPASSEN"
"WPN_STORE_EXIT_PROMPT": "Wapenhandel verlaten\n\nWeet je het zeker?"
"VCUST_BOTH_AXLES_OPTION": "BEIDE ASSEN"
"STAT_DISTANCE_BY_VEHICLE": "AFSTAND MET VOERTUIG"
"STAT_CASH_EARNED_PER_DAY": "VERDIEND PER UUR"
"STAT_FRAUD_BEST_DIVE": "VERZEKERINGSFRAUDE: BESTE DUIK"
"STAT_ACTIVITY_RESPECT_EARNED": "RESPECT VERDIEND MET ACTIVITEITEN"
"STAT_HOSPITAL_BILLS": "ZIEKENHUISREKENINGEN"
"ESCORT_NAME_8B": "KURKENTREKKER"
"CONTROL_REMOVE": "VERWIJDEREN"
"DROP_REAPER": "GEEF MAAIMACHINE"
"GARAGE_EXIT_PROMPT": "Garage verlaten?"
"STAT_MORNINGSTAR_KILLED": "MORNINGSTAR GEDOOD"
"STAT_CHOP_SHOP_VEHICLES_DELIVERED": "CHOP SHOP VOERTUIGEN AFGELEVERD"
"STAT_DRUG_TRAFFICKING_LEVELS_COMPLETED": "DRUGSHANDEL VOLTOOID"
"STAT_COMBAT_ENEMY": "LEDEN VAN VIJANDELIJKE GANGS GEDOOD"
"STAT_HOLDUP_CASH": "GELD VERDIEND ALS OVERVALLER"
"STAT_BASE_JUMP": "BASE-JUMPEN"
"RADIO_STATION_THE_MIX": "THE MIX"
"OPTION_YES": "JA"
"RAINING_PEDS_DESC": "Hoera, het regent voetgangers."
"PED_WAR": "VOETGANGERSOORLOG"
"CAR_MASS_HOLE": "LOODZWARE AUTO"
"SURGEON_FINISHED_FULL": "Weet je zeker dat je Image As Designed wilt verlaten?"
"STORE_TATTOO_PARLOR_MSG": "EEN TATOEAGE LATEN ZETTEN"
"STAT_MAX_POLICE_NOTORIETY_STREAK": "LANGSTE REEKS MET MEESTE BERUCHTHEID BIJ POLITIE"
"ESCORT_NAME_15B": "LOLLY"
"ESCORT_NAME_6B": "TATOEAGE"
"Vehicle Jump Spin_NAME": "BESTE DRAAI"
"CONTROL_BTN_BACK": "DE BACK-KNOP"
"CELL_DRUG_DEALER": "DRUGSDEALER"
"CRIB_SHOP_PURCHASED_TEXT": "Deze woning is nu van jou. \nJe hebt vanaf hier toegang tot je opgeslagen geld, wapens, kleding en voertuigen. \nMaak aanpassingen om je stijlranking te verbeteren."
"WPN_STORE_PISTOL_TITLE": "PISTOLEN"
"VCUST_WHEEL_SIZE_OPTION": "MAAT WIELEN"
"GARAGE_CRIB_NAME": "GARAGE"
"STAT_TOTAL_DISTANCE_TRAVELLED": "TOTALE AFGELEGDE AFSTAND"
"STAT_DIVERSIONS_COMPLETED": "AFLEIDINGSACTIES VOLTOOID"
"STAT_TOTAL_DAMAGE_TAKEN": "TOTALE OPGELOPEN SCHADE"
"STAT_MILES_BY_AIRCRAFT": "TOTAAL AANTAL MIJLEN VLIEGEND AFGELEGD"
"STAT_CUSTOM_ITEMS_CASH_SPENT": "UITGEGEVEN AAN AANGEPASTE VOORWERPEN"
"STAT_MAX_STUNT_JUMP_SPIN": "MAXIMALE DRAAISPRONG"
"SP Throw Distance_NAME": "WERPAFSTAND LEADERBOARD"
"HASH_80C0A79A": "LEADERBOARD WIJZIGEN"
"MAP_ICON_HELI": "AANVAL OP DE HELI"
"TAXI_CAB_2": "EAGLELINE YELLOW"
"CELL_TAXI_CAB": "TAXI"
"PLAYER_VEHICLE_NO_DAMAGE_DESC": "Je voertuig kan geen schade oplopen."
"VCUST_PURCHASE_PROMPT": "Wil je {0} voor ${1} kopen?"
"CUST_ITEM_CREATE_OUTFIT": "OUTFIT BEWAREN"
"GARAGE_REPAIR_TEXT": "Wil je dit voertuig repareren?"
"HORDE_MODE_TITLE_KILLS": "GEDOOD"
"HORDE_MODE_WAVE_TAG": "GOLF"
"STAT_RUNNING_MAN_CASH_EARNED": "PROF. GENKI: GELD VERDIEND"
"STAT_PISTOL_SHOTS_FIRED": "SCHOTEN MET PISTOOL AFGEVUURD"
"STAT_ACTIVITIES_COMPLETED": "ACTIVITEITEN KLAAR"
"ESCORT_NAME_17B": "STRAK"
"ESCORT_NAME_4B": "DRAAK"
"HeliAssault": "AANVAL OP DE HELI"
"CONTROL_CHANGE_COLUMN": "COLUMN WISSELEN"
"MAP_ICON_PLASTIC_SURGEON": "PLASTISCH CHIRURG"
"WARDROBE_LEAVE_FULL": "Weet je zeker dat je de garderobe wilt verlaten?"
"CRIB_HUD_HANGAR_PURCHASE": "KOOP VLIEGVELDHANGAR: ${0}"
"VCUST_REGION_TITLE": "GEBIED (1/3)"
"CUST_DIALOG_DISROBE_BODY": "Hiermee wordt al je kleding verwijderd. \nAls je naakt bent kun je streaken. \nWeet je het zeker?"
"WPNSTOR_TEXT_MAX_AMMO_CRIB": "Je kunt niet meer munitie voor het volgende wapen meenemen uit je woning: \"%s.\""
"STAT_STAG_COMMANDOS_KILLED": "STAG-COMMANDO'S GEDOOD"
"STAT_FBI_KILLED": "FBI GEDOOD"
"HASH_D4EBF91C": "DRIVEBY-NIVEAUS VOLTOOID"
"TAXI_CANNOT_AFFORD": "Je hebt niet genoeg geld om deze reis te maken."
"OVL_SHOP_PURCHASED_TITLE": "GEKOCHT"
"PURCHASEABLE_PROPERTEY_AIRPORT": "WESLEY CUTTER INTERNATIONAL"
"TRIGGER_SAVE": "OPSLAAN"
"WPNSTOR_TEXT_MAX_AMMO_STORE": "Je kunt niet nog meer van dit type munitie dragen."
"STORE_TITLE_INSUFFICIENT_FUNDS": "ONVOLDOENDE GELD"
"STAT_NEIGHBORHOODS_CONTROLLED": "BUURTEN IN HANDEN"
"ESCORT_NAME_11B": "SCHOKKER"
"ESCORT_NAME_2B": "TROMPET"
"MAP_ICON_TSS_MISSION": "OPDRACHT 3RD STREET SAINTS"
"MAP_ICON_TATTOO_PARLOR": "TATOESHOP"
"CELL_IMAGE": "IMAGE AS DESIGNED"
"HUD_SHOP_NEED_HOOD_OWNERSHIP": "JE MOET DEZE BUURT IN HANDEN KRIJGEN, VOOR JE DEZE WINKEL KUNT KOPEN"
"GANG_CUST_SLOT_3": "SLOT 3"
"STAT_WEAPON_THROWN": "WORP"
"STAT_COOP_KILLS": "SAMENWERKING: SPELERS GEDOOD"
"STAT_MAYHEM_BEST_ROUND": "CHAOS: BESTE RONDE"
"STAT_GUARDIAN_ANGEL_CELEBS_PROTECTED": "BESCHERMENGEL: AANTAL BEROEMDHEDEN BESCHERMD"
"STAT_COMBAT_MOTORCYCLE": "AANTAL MENSEN GEDOOD MET MOTORZWAARD"
"STAT_MILES_BY_VEHICLE": "MET VOERTUIG AFGELEGD"
"SP Diversion Stars Col1_NAME": "LEADERBOARD AFLEIDINGEN"
"CONTROL_CHANGE_STORY": "VERHAALLIJN WIJZIGEN"
"MAP_IMG_SURGEON": "[format][scale:1.0][image:map_store_surgeon][/format]"
"CUST_GANG_NAME_BODYGUARD": "BODYGUARDS"
"SMASH_DESC": "Je voertuig beukt andere voertuigen uit de weg."
"DROP_STATUSQUO": "GEEF STATUS QUO"
"SUPER_EXPLOSIONS": "SUPEREXPLOSIES"
"PLAYER_PRATFALLS": "SPELER LAAT ZICH EXPRES VALLEN"
"POC2_DROP_CAR": "SPORTWAGEN VERWIJDEREN"
"VCUST_EXIT_PROMPT": "Weet je zeker dat je Voertuig aanpassen wilt verlaten?"
"VCUST_EXTRA_HIGH_PROFILE": "EXTRA HOOG PROFIEL"
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "KAT & MUIS: MEESTE PUNTEN VERDIEND"
"STAT_SHOTGUN_HIT_PCT": "PERCENTAGE RAAK GESCHOTEN MET JACHTGEWEER"
"STAT_GUARDIAN_ANGEL_ATTACKERS_KILLED": "BESCHERMENGEL: AANTAL AANVALLERS GEDOOD"
"STAT_MUGGINGS_COMPLETED": "BEROVINGEN VOLTOOID"
"ESCORT_NAME_13B": "TORNADO"
"SP Kills Col2_NAME": "LEADERBOARD MOORDPARTIJ"
"HIDE_HUD_DESC": "De informatie op het scherm is niet zichtbaar."
"FULL_HEALTH_DESC": "Herstelt je gezondheid volledig."
"INFINITE_SPRINT_DESC": "Je kunt nu eindeloos sprinten."
"PAUSE_MAP_CANT_WAYPOINT_FULL": "Je kunt geen richtingaanwijzer plaatsen tijdens een missie of activiteit!"
"HAIR_NO_CHOICES": "Geen keuzes in deze categorie."
"CUST_ITEM_VIEW_OUTFITS": "OUTFITS BEKIJKEN"
"STAT_COMBAT_MELEE": "MET DE HAND GEDOOD"
"STAT_MUGGINGS_CASH": "GELD VERDIEND ALS BEROVER"
"STAT_MILES_ON_FOOT": "TE VOET AFGELEGD"
"NO_OUTFITS_DISPLAY_NAME": "GEEN OUTFITS"
"CONTROL_RETURN_TO_LOBBY": "TERUG NAAR DE LOBBY"
"PAUSE_MAP_WAYPOINT_REMOVE": "WEGPUNT VERWIJDEREN"
"MAP_ICON_CAR_MECHANIC": "AUTOMONTEUR"
"TAXI_CAB_1": "BIG WILLY'S CAB"
"STORE_EXIT_UPGRADES": "UPGRADES VERLATEN?"
"GARAGE_REPAIR_PROMPT": "Wil je dit voertuig repareren voor ${0}?"
"VCUST_COLOR_GRID_TITLE": "KLEURENRASTER"
"VEHICLE_COLOR_ADVANCED": "STANDAARD"
"STORE_CRIB_CLOTHING_MSG": "JE GARDEROBE BEKIJKEN"
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "TOTAAL AANTAL MEERVOUDIGE MOORDEN"
"STAT_FLASHPOINTS_COMPLETED": "GANGOPERATIES VOLTOOID"
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "TOTAAL AANTAL GEDANE BELEDIGINGEN"
"ESCORT_NAME_17A": "HARIG"
"ESCORT_NAME_4A": "BOZE"
"TINY_PLAYER_DESC": "Homie, je hebt jezelf kleiner gemaakt."
"GANG_CUST_GANG_STYLE_OPT": "STIJL"
"PLANET_SAINTS_NAME": "PLANET SAINTS"
"GARAGE_REPAIR_COST": "Wil je %s betalen?"
"Vehicle Jump Distance_NAME": "BESTE AFSTAND GESPRONGEN"
"Player_Vehicle_No_Damage": "VOERTUIG GEEN SCHADE"
"VCUST_PERFORMANCE_ADD": "UPGRADE"
"WPN_STORE_SHOTGUN_TITLE": "JACHTGEWEREN"
"WPN_STORE_MELEE_TITLE": "GEVECHT"
"GANG_CUST_GANG_SIGN_VOICE": "BELEDIGING"
"STAT_VEHICLE_SURFING_LONGEST_TIME": "LANGSTE TIJD OP EEN VOERTUIG GESURFT"
"STAT_DECKER_SPECIALISTS_KILLED": "DECKER-SPECIALISTEN GEDOOD"
"STAT_HOLDUPS_STORES_ROBBED": "WINKELS OVERVALLEN"
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "UITGEGEVEN AAN WAGENAANPASSINGEN"
"STAT_CAT_MOUSE_LOSSES": "KAT & MUIS: VERLOREN"
"STAT_DRIVING_BURNOUT_TIME": "LANGSTE BURNOUT"
"ESCORT_NAME_15A": "BRUINE"
"ESCORT_NAME_6A": "PADDESTOEL"
"HASH_269B6FA3": "DODENLABEL: MEESTE MOORDEN IN EEN RONDE"
"MAP_ICON_CRIB": "KAMER"
"GARAGE_LEAVE_FULL": "Weet je zeker dat je Rim Jobs wilt verlaten?"
"CURRENT_AMMO": "HUIDIGE MUNITIE"
"STAT_VEHICLE_CAR": "AUTO"
"STAT_TAUNT": "BELEDIGEN"
"STAT_WATERCRAFT_DESTROYED": "AANTAL VAARTUIGEN VERNIELD"
"STAT_CARS_UNLOCKED": "AUTO'S VRIJGESPEELD"
"STAT_COMBAT_HEADSHOT": "SCHOTEN IN HET HOOFD"
"coop": "SAMENWERKING"
"Pimping": "ROOF"
"Genre string": "ACTIE"
"DROP_UFO": "DESTROY"
"ACTIVITY_LEVEL_LEAVE_FULL": "Weet je zeker dat je de niveauselectie voor activiteiten wilt verlaten?"
"STORE_FAT": "DIK {0}%%%%"
"HASH_ABE420A4": "NOG NIETS BESCHIKBAAR"
"WPN_STORE_NO_WEAPONS_AVAILABLE": "GEEN WAPENS BESCHIKBAAR"
"VCUST_SPINNER_OPTION": "RONDDRAAIENDE VELGEN"
"VCUST_HUBCAP_NUMBER": "WIELDOPPEN #{0}"
"STAT_MILES_BY_WATERCRAFT": "TOTAAL AANTAL MIJLEN PER VAARTUIG AFGELEGD"
"STATS_NO": "NEE"
"STAT_SHOT_HIT_PERCENTAGE": "TREFFERS"
"ESCORT_NAME_13A": "ACHTERDEUR"
"MAP_IMG_CRIB": "[format][scale:1.0][image:map_other_crib][/format]"
"CELL_LEATHER_AND_LACE": "LEATHER AND LACE"
"MUSIC_UNLOCKABLE": "VRIJ TE SPELEN"
"TATTOO_LEAVE_FULL": "Weet je zeker dat je Rusty's Needle wilt verlaten?"
"STAT_DRIVING_WHEELIE": "WHEELIES"
"STAT_UNIQUE_VEHICLES_OWNED": "UNIEKE VOERTUIGEN IN BEZIT"
"STATS_BLANK_OF_BLANK": "%d VAN %d"
"DROP_COMMANDER": "GEEF COMMANDER"
"BLOODY_MESS": "TERINGZOOI"
"STORE_BRA_WARNING": "WAARSCHUWING"
"CUST_ITEM_NOTHING": "NIETS"
"HUD_CRIB_CUSTOMIZE": "JE WONING AAN TE PASSEN"
"GARAGE_CAT_4": "WIELEN"
"STAT_THROWN_WEAPON_USES": "WERPWAPENS GEBRUIKT"
"ESCORT_NAME_11A": "DRUPPEL"
