// SR4R voice dict file 14/17
// Lines 13001-14000 of 16797
// Format: "English": "Chinese translation";

"Yeah...": "嗯……";
"But then I realized Asha would never be able to do this without some help.": "但后来我意识到阿莎没有帮手根本做不到。";
"You have powers, use them on the shields.": "你有超能力，用它们打护盾。";
"Johnny, we're getting you out of here.": "约翰尼，我们带你离开这里。";
"\"Hey, Asha, how you doing? Care for some tea and crumpets? Fancy a snog? Ooh! *kissie sounds*\"": "「嘿，阿莎，你好吗？来点茶和烤饼吗？想亲热一下？噢！*亲吻声*」";
"Strung out.": "筋疲力尽。";
"Comment allez-vous?": "你最近怎么样？";
"Whoa, that thing just came out of nowhere.": "哇，那东西凭空冒出来的。";
"Right.  Yell if you get in trouble.": "好。有麻烦就喊一声。";
"*struggling*": "*挣扎*";
"Reassure yourself, Gat.  Kinzie sure as shit won't help.": "自己安心吧，盖特。金吉肯定不会帮忙。";
"Thank you.": "谢谢。";
"*sigh*  Your funeral...": "*叹气* 你自找的……";
"These relays have shields, Kinzie.": "这些中继器有护盾，金吉。";
"Could I make up something that ridiculous?": "我能编出那么荒唐的事？";
"The American people don't exactly look favorably upon the President committing grand theft auto.": "美国人民对总统偷车可不怎么看好。";
"Found a great place to hit the simulation where it hurts!": "找到一个痛击模拟的好地方了！";
"Not gonna lie. Still not sure how to take the fact evil me is your version of hell.": "不说谎。还是不太接受邪恶的我居然是你的地狱。";
"We can't hide from the Zin forever. We're gonna have to make a last stand eventually.": "我们不能永远躲着辛人。迟早得做最后决战。";
"Well then. I'll come up with something.": "那好吧。我会想出办法的。";
"You don't even know what I was going to ask.": "你都不知道我要问什么。";
"DELETE": "删除";
"Kinzie, what can you do about this...": "金吉，你能拿这怎么办……";
"And you find this entertaining?": "你觉得这好玩？";
"Clear out the guards.  I don't want the CPC damaged if you try leaving with it first.": "清掉守卫。我不想你先带走的时候CPC被损坏。";
"Hold on, did I hear that right?": "等等，我没听错吧？";
"There should be three data towers controlling the security to Matt's prison.": "应该有三个数据塔控制马特监狱的安保。";
"How many simulations is Asha having you build?": "阿莎让你建了多少个模拟？";
"So we trail this guy quietly.  Deal?": "我们就悄悄跟踪这家伙。行不行？";
"DELETE": "删除";
"But what if it was.": "但万一真的是。";
"I hope you never had kids otherwise it'll be \"hey George, go play in traffic with your friends.\"": "希望你没生过孩子，不然就是「嘿，乔治，跟你的朋友去马路上玩吧。」";
"So why'd we head to the Nuke Plant?": "所以我们为什么要去核电站？";
"Ben says he has a plan. We need to lose this heat and then--": "本说他有个计划。我们得先甩掉追兵然后——";
"Is Cyrus really all that bad?": "赛勒斯真的那么坏吗？";
"If you can get to Kinzie's warehouse in time, she can set up a field which will stabilize the energy output.": "如果你能及时赶到金吉的仓库，她可以设一个场来稳定能量输出。";
"Aaaaaah! Freckle Bitches!": "啊啊啊！弗莱克尔碧池斯！";
"These Zin have some high-tech shit. What's their arsenal like?": "这些辛人有些高科技玩意。他们的军火库什么样？";
"Zinyak thinks being in a town where the Saints don't run things is enough to break me.": "齐尼亚克以为把我在一个圣徒说了不算的镇子里就足以击垮我。";
"Can we not focus on that.": "我们能不能不关注那个。";
"Whatever Kinzie complied, let's try running it through CID. ": "不管金吉整理了什么，试试用C.I.D.跑一下。";
"Here we go...": "来了...";
"The hell you talking about?": "你他妈在说什么？";
"Alright. This is bugging me. I know that woman. Who is she?": "好了。这事困扰我了。我认识那个女人。她是谁？";
"Where to now?": "现在去哪儿？";
"DELETE": "删除";
"Cool, man. You swing on by the ship if you feel like finishing this right.": "好，伙计。你想把这事办妥就来飞船上。";
"Bring it on, Johnny. I'm ready for you!": "放马过来，约翰尼。我准备好了！";
"Keith! Keith, stop!": "基思！基思，住手！";
"Yes. Yes I did.": "是的。我确实干了。";
"But I'm the President, dammit.": "但我是总统，该死。";
"This contestant just keeps taking the punishment!": "这位选手就是能扛！";
"Right boss.": "好的，老大。";
"I don't know if I can.": "我不知道我能不能。";
"Zimos would straighten this bloke out.": "齐莫斯会治好这小子的。";
"We don't have time for this.": "我们没时间搞这个。";
"All right. Let's go!": "好。走吧！";
"Set her down, John.  Kinzie, stay on the line.": "把她放下，约翰。金吉，保持通讯。";
"Are you having fun down there?": "你在下面玩得开心吗？";
"This better not be another murder light.": "这最好不是又一个杀人光线。";
"After what these Zin did to me, I want every single one of them wiped out.": "这些辛人对我的所作所为，我要把他们每一个都消灭干净。";
"The gentrification of Saints Row was only the beginning.  Ultor's plans for Stilwater were right on track for making the city a bustling metropolis safe enough to raise a family in.  Gang violence was present, but the arrival of the Saints was the final cog in the wheel of progress.  Get the Saints to wipe out the other gangs, then get the police to lock up the Saints.  The plan looked perfect on paper.": "圣徒街区的士绅化只是开始。奥托对斯提尔沃特的计划正步入正轨——把城市建设成繁华的大都市，安全到可以养家糊口。帮派暴力确实存在，但圣徒的到来是进步之轮的最后一颗齿轮。让圣徒消灭其他帮派，再让警察收拾圣徒。计划在纸面上看起来完美无缺。";
"Zinyak's not dumb. I doubt we've made a single move so far without him knowing about it.": "齐尼亚克不蠢。我怀疑我们目前为止的每一步他都知道。";
"Where who's at?": "谁在哪？";
"Oh come on man, we just did two.": "哦别这样伙计，我们刚做了两个。";
"Pierce... I'm gonna kill you later.": "皮尔斯……我之后要杀了你。";
"I get the chance? I'm gonna rip Zinyak's goddamn head off.": "有机会？我要把齐尼亚克该死的脑袋拧下来。";
"I'm here. Just need to mop up these Zin first.": "我到了。先把辛人收拾掉。";
"Come on, legs. We can do it.": "加油，腿。我们能行。";
"I'm the goddamned President.": "我是该死的总统。";
"There, I've finished your rift.": "好了，我修完你的裂缝了。";
"These relays have shields, Kinzie.": "这些中继器有护盾，金吉。";
"Well, prez, we got visitors.": "嘿，总统，我们有客人了。";
"So you have what you need now?": "所以你现在有需要的东西了？";
"Really don't think we need much else.": "真不觉得我们还需要别的。";
"What?": "什么？";
"Fair enough.": "有道理。";
"Well, at least I can shop just about anywhere now.": "嘛，至少现在我差不多哪儿都能购物了。";
"Check in that empty grave.  I dropped something for you.": "去那个空坟里看看。我给你放了点东西。";
"Fuck yeah.": "操，当然。";
"Matt has located intelligence within the simulation that I can use to hunt down Zin officials in the real world.": "马特在模拟中找到了情报，我可以用它追查现实世界中的辛人官员。";
"Cut it a little close, Kinzie.": "差点就来不及了，金吉。";
"How the hell should I know? I don't know, you're the one who says they're so \"amazing\".": "我怎么知道？我不知道，你才是那个说它们多「了不起」的人。";
"Then I suppose the monster trucks are in context.  You don't suppose Donnie's in here...?": "那么怪物卡车就说得通了。你觉得唐尼在这里吗……？";
"The contestant has to be watching those targets!": "选手可得盯紧那些靶子！";
"So who's the mark?": "目标是谁？";
"This town's crawlin' with Zinyak's crew.": "这镇上全是齐尼亚克的人。";
"Two heads are better than one, Kinzie. My choice is made.": "两人总比一人强，金吉。我决定了。";
"Yeah, baby, this snake is 100 percent solid.": "没错宝贝，这条蛇百分之百靠谱。";
"Asha and I are a seamless team, anticipating each other's actions.  We'll get the job done proper.": "阿莎和我配合默契，能预判彼此的行动。我们会把事情办妥。";
"Not gonna happen.": "不可能。";
"Shit just got real in here.  Kinzie...?  Matt...?  Keith...?  Anyone...?": "这下玩大了。金吉……？马特……？基思……？有人吗……？";
"Set it down and I'll hop off here.": "放下来，我在这儿跳下去。";
"Why didn't we go there first?": "我们为什么不先去那里？";
"Well, fuck.  Bad enough I can't get past his shield...": "妈的。我打不破他的护盾已经够糟了……";
"And there you have it! Well done.": "大功告成！干得漂亮。";
"Okay, calm down, I'm going.": "好，冷静，我去了。";
"I just thought we should rebuild it as the ultimate crib -- steel walls, surface to air missiles, swimming pool with a bar you can swim up to... ": "我只是觉得我们应该把它改建成终极据点——钢墙、地对空导弹、带吧台的游泳池……";
"Hey, the Saints are my crew. I'd take a bullet for any one of them.": "嘿，圣徒是我的人。我愿意为他们任何一个挡子弹。";
"Large red cylinder, huh...": "大红色圆柱体，嗯……";
"This is a full-scale invasion. We don't have enough firepower to take them on.": "这是全面入侵。我们没有足够的火力对抗他们。";
"Okay, now don't, don't you, don't you blow up, too...": "好，别，你别，你也别爆炸了……";
"Don't let them get in this room!": "别让他们进这个房间！";
"Known what?": "知道什么？";
"Planet Zin... Not quite storming the Bastille, but it's a start.": "辛人星……虽然比不上攻占巴士底狱，但总算开了个头。";
"Oh god. LOWER!": "天哪。低一点！";
"Here come some more! Get ready.": "又来一批！准备。";
"I cannot wait to see how these mascots handle my...special abilities.": "我等不及看这些吉祥物怎么应对我的……特殊能力。";
"That's not true?": "那不是真的？";
"And that...that is my hell.": "而……那就是我的地狱。";
"Good. Now get us the fuck out of here.": "好。现在带我们离开这鬼地方。";
"Fine, but I better get something outta this.": "行，但我最好能从中得到点好处。";
"Keep dreaming.": "继续做梦吧。";
"Genkibowl! Oh absolutely. I'll only need a moment.": "源鬼碗赛！哦当然。我只要一会儿。";
"Zinyak above all!": "齐尼亚克高于一切！";
"I'm...": "我……";
"Nobody tells me anything!": "没人告诉我任何事！";
"You found Tanya?": "你找到塔尼娅了？";
"Come on, give us some credit, Kinzie.": "拜托，给我们点信任，金吉。";
"Hey, he came close that one time!": "嘿，那次他差一点就成了！";
"Oh, thanks!": "哦，谢谢！";
"Now you show your cowardice!": "现在你露出怯懦了！";
"Fine, but I control the radio.": "行，但收音机归我管。";
"Here comes trouble.": "麻烦来了。";
"So I find you a body and I'm supposed to just trust that you'll help me?": "我给你找了个身体，我就该乖乖相信你会帮我？";
"Oh!  I tell ya, that's going to cost some valuable seconds.": "哦！我跟你说，这会浪费宝贵的几秒。";
"Why does my ass hurt?": "为什么我屁股疼？";
"Hold on, someone's going to have to stay to make sure this one stays open.": "等等，得有人留下来确保这个保持开启。";
"Will taking out the vehicle mess up the thing on board?": "打掉载具会弄坏上面的东西吗？";
"DELETE": "删除";
"Not bad, huh?": "不错吧？";
"Of which we are required to extol the virtues.": "我们有义务颂扬其美德。";
"Sounds like a strange comparison but okay.": "这比较听起来很怪，但行吧。";
"The Key's loaded up.  Climb on and make sure it doesn't get destroyed.": "钥匙已装好。爬上去，别让它被毁掉。";
"Look, I know secrecy is MI6's thing but I've kind of had enough with--": "听，我知道保密是军情六处的风格，但我已经受够了——";
"Got it, Kinzie!": "收到，金吉！";
"I can't tell if you're kidding or not.": "我分不清你是不是在开玩笑。";
"Since when did the Vice Kings have giant robots?": "副王帮什么时候有巨型机器人了？";
"Really?": "真的？";
"Little bit.": "一点点。";
"I'm sure you'll do a...fine job.": "我相信你会干得……不错的。";
"Have you tracked down Asha?": "你找到阿莎了吗？";
"Can't recall where the nearest one is.": "想不起最近的一个在哪。";
"Oh shit, that's really not good...": "哦糟了，这可不太好……";
"Laser eye?": "激光眼？";
"DELETE": "删除";
"And changing me out of this ridiculous ensemble is not a \"basic hack\"?": "那把我从这身荒谬的装束换出来就不是「基本骇入」了？";
"\"Hey, Asha, how you doing? Care for some tea and crumpets? Fancy a snog? Ooh! *kissie sounds*\"": "「嘿，阿莎，你好吗？来点茶和烤饼吗？想亲热一下？噢！*亲吻声*」";
"I'll be right back. I'm going to get the car.": "我马上回来。我去开车。";
"What's up?": "怎么了？";
"You're in luck. The Zin have a bunch in transit right now.": "你运气好。辛人现在有一批在运输途中。";
"How long is this gonna take?": "这要多久？";
"Just look for something that'll help us.": "找点能帮上忙的东西就行。";
"Get in that thing and come pick up then!": "上那玩意儿然后过来接我！";
"Ooof!": "噢！";
"Without me, you'd still be stuck in those rifts without a body here or in the real world.": "没有我，你还得困在那些裂缝里，现实世界和这里都没有身体。";
"I hope you're on your way, Kinzie.": "希望你在路上了，金吉。";
"Some low blows at the midway point but the dream team really came together.": "中间有些下三滥招数，但梦之队确实配合默契。";
"Whatever, she has Asha to latch onto now.": "无所谓，她现在有阿莎可以依附了。";
"Ooh. Sounds serious.": "哦。听起来很严重。";
"Are you fucking kidding me?": "你他妈在逗我？";
"All the people on the left: wopbamboogie, all the people on the right: boogaloo!": "左边的人：砰蹦蹦蹦，右边的人：布加洛！";
"That sounds like a good thing.": "听起来是好事。";
"Matthew Miller, the self-proclaimed hacker god, ran all the cyber terrorism for the Syndicate back in Steelport.  Now, he's Asha's right hand man in MI6.  I just hope we can trust him like she does.": "马修·米勒，自封的黑客之神，在钢城港时为辛迪加运作所有网络恐怖活动。现在他是阿莎在军情六处的右臂。我只希望我们能像她那样信任他。";
"Already working on it.": "已经在弄了。";
"I found an overload point. That's what it's called, right? The racing thing?": "我找到了一个超载点。是叫这个吧？那个赛车的东西？";
"Ow! My toe!": "嗷！我的脚趾！";
"A man who stands alone, wandering the earth in search of justice for his lost love.": "一个独行的男人，在世间游荡，为失去的爱人寻求正义。";
"It looks like data clusters can be hidden inside walls.  Use your blast to knock them out.": "看起来数据簇可以藏在墙壁里。用你的冲击波把它们打出来。";
"Hey Matt, you still have your man crush on Keith David?": "嘿马特，你还对基思·大卫怀有男粉之情吗？";
"Wait, is that a shield generator?": "等等，那是护盾发生器？";
"It's safe, right? This thing isn't gonna irradiate me?": "安全吧？这玩意不会辐射我吧？";
"And saving brilliant hackers from becoming June Cleaver.": "还能拯救天才黑客免于变成家庭主妇。";
"Send the stuff she compiled to CID. We're on it.": "把她整理的东西发给C.I.D.。我们在办了。";
"Nice! Now *this* is a town I can live in!": "好！这可是个我住得下去的镇子！";
"We almost done?": "快搞完了？";
"Death from above!": "天降正义！";
"Look who's here! My favorite wannabe spy and her BFF.": "看看谁来了！我最爱的想当间谍的跟屁虫和她好闺蜜。";
"DELETE": "删除";
"Stay back, you vile beverages!": "退后，你们这些邪恶的饮料！";
"It's a robot, isn't it...": "是机器人吧……";
"Cut it a little close, Kinzie.": "差点就来不及了，金吉。";
"What am I looking at?": "我在看什么？";
"Then we are taking this thing over there.": "那我们把这家伙开到那边去。";
"And you're sure that is all?": "你确定就这些了？";
"C'mon, you're fighting an evil me...": "拜托，你在打一个邪恶的我……";
"Shit. I'm down. Let's do this.": "操。我倒下了。来吧。";
"All right, got another.": "好，又得一个。";
"This is some bullshit...": "真他妈扯淡……";
"Yeah, I think I scared her away earlier.  Sorry.": "是啊，我想我之前把她吓跑了。抱歉。";
"OOH! AGH! You're too late, Johnny. You'll never defeat Warren Williams!": "哦！啊！你太迟了，约翰尼。你永远打败不了沃伦·威廉姆斯！";
"Seems like a good way to land where I want all the time.": "看来是个一直降落到我想去的地方的好办法。";
"How're you gonna stop me now?": "你现在怎么阻止我？";
"Hold on, doesn't someone try to kill me soon?": "等等，不是有人马上要来杀我吗？";
"Uh, we should probably get out of here, right?": "呃，我们大概该走了吧？";
"What the fuck is that?": "这他妈是什么？";
"She's breathing.": "她还有呼吸。";
"Ben, it's amateur night. You know what I must do.": "本，这是业余之夜。你知道我必须做什么。";
"Should I expect anything else, Kinzie?": "我该期待别的什么吗，金吉？";
"All right, you guys are with me for this part.  See you both inside.": "好，这部分你们跟我一起。里面见。";
"Tell me about it.  Anyway, there's one more list I have.  Do this and I can finally sit down and take a damn breath.": "可不是嘛。总之，我还有一张单子。做完这个我终于能坐下来喘口气了。";
"C'mon, you really think Tanya's that much of a threat?": "拜托，你真觉得塔尼娅有那么大威胁？";
"And now the Cyprians are after NyteBlayde too?": "现在赛普里斯人也追夜刃了？";
"I don't think we can drop her out a window this time!": "我觉得这次我们不能把她从窗户扔出去了！";
"Let Kinzie be.  I need you both right here.  So Matt, you and Asha falling back into your old rhythm?": "让金吉去吧。我需要你们两个就在这里。马特，你和阿莎又回到老节奏了？";
"Maybe they're all factory rejects.": "也许都是工厂次品。";
"One down.": "干掉一个了。";
"Zinyak thinks putting me in a town where I have nothing is enough to break me.": "齐尼亚克以为把我放在一个我一无所有的镇子里就够击垮我了。";
"You good?": "你还好吗？";
"Ah!  If it doesn't match, it doesn't count.": "啊！不匹配就不算数。";
"Find the targeting panel and disable it.": "找到瞄准面板并禁用它。";
"Come on, we'll find him.": "来吧，我们会找到他的。";
"Been meanin' to thank you, Kinzie.": "一直想谢谢你，金吉。";
"Jesus Shaundi, you had me worried there for a minute.": "天哪莎蒂，你刚才真让我担心了一秒。";
"Alright. Where did he go?": "好。他去哪了？";
"So no immediate danger of fiery death?": "所以没有烈火焚身的危险了？";
"Different how?": "怎么不同？";
"Of course it would.": "当然会。";
"Fuck you, Zinyak.": "去你的，齐尼亚克。";
"That wasn't a bad \"fuck you\" to Zinyak. Now let's get back to the ship and find Kinzie.": "这句对齐尼亚克的「去你的」说得不错。现在回飞船找金吉吧。";
"Good, I can't take much more of this...": "好，我再也受不了了……";
"Time to break up the party, guys.": "该散场了，伙计们。";
"Flaming bullets? Holy shit.": "燃烧子弹？我靠。";
"Sure!": "当然！";
"The paramilitary thug who tried to save America by destroying it with a bigass nuclear missile? Yeah, we crossed paths.": "那个试图用一颗大号核弹摧毁美国来拯救美国的准军事暴徒？是的，我们打过交道。";
"We've had some good times together haven't we...": "我们一起经历过不少好时光，是吧……";
"Earth's really gone, isn't it.  Just a memory for the few of us still alive.  Kinda like Johnny.  I thought I'd escaped that sadness when you pulled me out.  Guess it'll never go away now.": "地球真的没了，是吧。对我们少数幸存者来说只是一段记忆。就像约翰尼一样。我以为你把我拉出来时我已经逃离了那种悲伤。现在看来它永远不会消失了。";
"*BEEP* *BEEP* YOUR *BEEPING* *BEEEEEEEEEEP*": "*哔* *哔* 你这*哔*的*哔——*";
"Uh. Urf. Ooph.": "呃。啊。噢。";
"Get ready for a close encounter.": "准备迎接亲密接触。";
"Can I not book a room somewhere...?  ": "我就不能在哪订个房间吗……？";
"Fine.  Keep moving the goalposts, it won't save you.": "行。尽管改变标准，救不了你。";
"Gotta be some way make it go faster.": "总得有办法让它快点。";
"Well if it isn't the Stilwater default player...": "这不是斯提尔沃特的默认玩家吗……";
"Oh, human arrogance. Is there anything more charming?": "哦，人类的傲慢。还有比这更迷人的吗？";
"Sorry it turned out this way.": "抱歉事情变成了这样。";
"*coughs*": "*咳嗽*";
"Oh, luckily we had Kinzie, and Zimos, and Oleg, and--": "哦，幸好我们有金吉，还有齐莫斯，还有奥列格，还有——";
"That sounds awesome!": "听起来太棒了！";
"Let's get behind this guy.": "我们跟到这家伙后面。";
"And you said thrill killing is a bad thing...": "你还说虐杀是坏事来着……";
"Zinyak ruined Biz Markie...": "齐尼亚克毁了比兹·马基……";
"I am never touching Saints Flow again.": "我再也不碰圣徒能量饮料了。";
"Sure, why not.": "当然，有何不可。";
"Hey, whoa, what--?": "嘿，哇，搞什么——？";
"Hey, Ben!  Over here!": "嘿，本！这边！";
"CID, why is everything a target?": "C.I.D.，为什么什么都是目标？";
"Well, at least the janitor has job security.": "嘛，至少保洁员饭碗稳了。";
"Kinzie, what's this thing?": "金吉，这是什么玩意？";
"You're not leaving here!": "你别想离开这里！";
"Asha, I respect you too much to bullshit y-": "阿莎，我太尊重你了才不跟你扯淡——";
"Take a guess, Kinzie.": "你猜猜，金吉。";
"Oh shit.": "我操。";
"Well, looks like the Zin don't appreciate that very much.": "嘛，看来辛人不太喜欢那样。";
"So why are people trying to off Tammy? She cross a drug lord or something?": "那为什么有人要杀塔米？她得罪了毒枭还是什么？";
"And by \"a matter\" you mean...?": "你说的「一件事」是指……？";
"Fuck this. I'm totally killing this guy.": "去他妈的。我非杀了这家伙不可。";
"Don't shoot, Ben, it's only me.  You remember the White House, right?  Partying with the Jamaican ambassador...?": "别开枪，本，是我。你记得白宫吧？跟牙买加大使一起派对……？";
"I certainly hope you arrive soon, Kinzie.": "我当然希望你快到了，金吉。";
"You said, \"Hey Pierce, how would you like to be the face of the Saints\" and I was all...I...I...OH MAN I'M GONNA MISS YOU.": "你说过「嘿皮尔斯，你想不想当圣徒的门面」然后我就……我……我……天哪我会想你的。";
"You didn't do too bad yourself. For a spy.": "你自己也不差。作为一个间谍来说。";
"Whoa, head rush.": "哇，一阵眩晕。";
"That, Kinzie, was sarcasm.  Remember how that works?": "金吉，那是讽刺。还记得讽刺怎么运作的吧？";
