// SR4R le_string_keys.txt (zh) —— 本地化 KEY -> 中文
// 生成: Tools/gen_keydict.py（勿手改，重新生成即可；兜底键改脚本里的 EXTRA_KEYS）
// 用途: 引擎语言服务解析失败时, 文本对象会回退到原始 KEY 模板
//       (屏幕上直接显示 MENU_BACK / PLT_xxx)。本表把这类可读 KEY 直接映射为译文。
// 约束: 键为裸 KEY, 引擎送裸 KEY 时不带格式化参数 -> 译文一律不含 % 转换符 [S1]
// 来源: resource/le_string/zh/*.txt + 手工兜底 EXTRA_KEYS

// ---- 手工兜底: PC 版 le_string 中不存在的 UI 键 ----
// 取消按钮（配对兜底）
"CONTROL_NO": "否";
"CBA_GAC_MACHINIMA_QUICKSAVE": "   保存视频";
"CBA_GAC_MAP_MENU": "   中心枢纽菜单";
"CBA_GAC_NEXT_RADIO": "   下一个电台";
"CBA_GAC_PAUSE_MENU": "   暂停";
"CBA_GAC_PREV_RADIO": "   上一个电台";
"CBA_GAC_RECRUIT_DISMISS": "   招募 / 解散";
"CBA_GAC_TAKE_SCREENSHOT": "   社区截图";
"CBA_GAC_WEAPON_SELECT_1": "   武器槽 1";
"CBA_GAC_WEAPON_SELECT_2": "   武器槽 2";
"CBA_GAC_WEAPON_SELECT_3": "   武器槽 3";
"CBA_GAC_WEAPON_SELECT_4": "   武器槽 4";
"CBA_GAC_WEAPON_SELECT_5": "   武器槽 5";
"CBA_GAC_WEAPON_SELECT_6": "   武器槽 6";
"CBA_GAC_WEAPON_SELECT_7": "   武器槽 7";
"CBA_GAC_WEAPON_SELECT_8": "   武器槽 8";
"CBA_GAC_WEAPON_SWITCH_CCW": "   上一把武器";
"CBA_GAC_WEAPON_SWITCH_CW": "   下一把武器";
"CBA_MENU_PC_PUSH_TO_TALK": "   按键通话";
"CBA_MENU_PC_TEXT_CHAT": "   文字聊天";
"CBA_OFC_ATTACK_PRIMARY": "   攻击";
"CBA_OFC_ATTACK_SECONDARY": "   使用超能力";
"CBA_OFC_CROUCH": "   蹲伏（按住）";
"CBA_OFC_CROUCH_TOGGLE": "   蹲伏（切换）";
"CBA_OFC_JUMP_CLIMB": "   跳跃/攀爬";
"CBA_OFC_MELEE_NUT_SHOT": "   近战攻击";
"CBA_OFC_PICKUP_RELOAD": "   拾取 / 换弹";
"CBA_OFC_SHOULDER_CAMERA": "   瞄准镜放大（按住）";
"CBA_OFC_SHOULDER_CAMERA_TOGGLE": "   瞄准镜（切换）";
"CBA_OFC_SPRINT": "   冲刺（按住）";
"CBA_OFC_SPRINT_TOGGLE": "   冲刺（切换）";
"CBA_OFC_TAUNT_THREE": "   赞美";
"CBA_OFC_TAUNT_TWO": "   嘲讽";
"CBA_OFC_WALK": "   行走（按住）";
"CBA_OFC_WALK_TOGGLE": "   行走（切换）";
"CBA_OFC_ZOOM_IN": "   瞄准镜放大";
"CBA_OFC_ZOOM_OUT": "   瞄准镜缩小";
"CBA_SUPER_QUICK_ENERGY_BLAST": "   选择增益";
"CBA_SUPER_QUICK_FREEZE": "   选择冲击波";
"CBA_SUPER_QUICK_NEXT": "   下一个超能力";
"CBA_SUPER_QUICK_STOMP": "   选择践踏";
"CBA_SUPER_QUICK_TELEKINESIS": "   选择念力";
"CBA_VDC_ACCELERATE": "   加速";
"CBA_VDC_BIKE_LEAN_BACK": "   摩托后仰";
"CBA_VDC_BIKE_LEAN_FWD": "   摩托前倾";
"CBA_VDC_BRAKE_REVERSE": "   刹车 / 倒车";
"CBA_VDC_CRUISE_CONTROL_B": "   切换定速巡航";
"CBA_VDC_FIREARM": "   开火";
"CBA_VDC_HANDBRAKE": "   漂移";
"CBA_VDC_HELI_DOWN": "   向下移动";
"CBA_VDC_HELI_DRIVE_TURN_SELECT": "   转向覆盖";
"CBA_VDC_HELI_FIRE_PRIMARY": "   开火";
"CBA_VDC_HELI_FIRE_SECONDARY": "   发射武器 2";
"CBA_VDC_HELI_TURN_LEFT": "   向左转";
"CBA_VDC_HELI_TURN_RIGHT": "   向右转";
"CBA_VDC_HELI_UP": "   向上移动";
"CBA_VDC_HORN": "   喇叭";
"CBA_VDC_LOOK_BEHIND": "   后方视角";
"CBA_VDC_NITRO": "   氮气加速";
"CBA_VDC_OFFHAND_GRENADE": "   使用超能力";
"CBA_VDC_PLANE_ACCELERATE": "   加速";
"CBA_VDC_PLANE_BRAKE_REVERSE": "   刹车 / 倒车";
"CBA_VDC_PLANE_FIRE_PRIMARY": "   开火";
"CBA_VDC_PLANE_FIRE_SECONDARY": "   发射武器 2";
"CBA_VDC_PLANE_ROLL_TURN_SELECT": "   更急转弯";
"CBA_VDC_PLANE_ROLL_TURN_SELECT2": "   偏航覆盖";
"CBA_VDC_PLANE_TURN_LEFT": "   向左滚转";
"CBA_VDC_PLANE_TURN_LEFT2": "   偏航向左";
"CBA_VDC_PLANE_TURN_RIGHT": "   向右滚转";
"CBA_VDC_PLANE_TURN_RIGHT2": "   偏航向右";
"CBA_VDC_SCAN": "   扫描当前载具";
"CBA_VDC_TANK_FIRE_PRIMARY": "   开火";
"CBA_VDC_TANK_FIRE_SECONDARY": "   发射武器 2";
"CBA_VDC_VTOL_TRANSITION": "   切换 VTOL 模式";
"CBA_VDC_WATERCRAFT_FIRE_SECONDARY": "   发射武器 2";
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}使用秘籍将让你无法获得成就，且自动保存会被禁用。\n\n你仍要激活此秘籍吗？";
"COMMUNITY_BLURB_HEADER": "加入黑道圣徒社区，网址 SaintsRow.com";
"COMMUNITY_CREATE_LINK_TEXT": "你可以在此创建新的《黑道圣徒》账户，或将你的档案关联到现有账户。";
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "你正在使用的玩家代号已关联到《黑道圣徒》账户。";
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "你正在使用的玩家代号已关联到另一个《黑道圣徒》账户。";
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "你的玩家代号未与《黑道圣徒》账户关联。";
"COMMUNITY_EXISTING_FOUND_TEXT": "我们找到了与你的玩家代号关联的《黑道圣徒》账户。请登录你现有的账户。";
"COMMUNITY_SITE_BLURB": "上传你的首个角色即可获得一项成就。\n\n在线浏览角色并在游戏中使用它们。\n\n追踪你的统计数据并与好友比较进度。\n\n浏览用户创建的游戏内截图。\n\n获取仅限社区的《黑道圣徒》周边与游戏内容优惠。";
"COMMUNITY_SUCCESS_LINK_EXT": "你当前的档案已成功关联到《黑道圣徒》账户。";
"COOP_JOIN_CHEAT": "你的合作队友正在使用作弊。之后新建的存档都会默认开启作弊。\n自动存档已停用，你也无法再获得任何成就。";
"COOP_REMOTE_CHEAT_STARTING": "你的合作搭档正在使用秘籍。任何新建的存档都将启用秘籍。\n自动保存已禁用，你将无法再获得任何成就。";
"CREDITS_DEVELOPMENT_PARTNERS": "开发合作伙伴";
"CREDITS_HIGH_VOLTAGE": "重制：\n©HIGH VOLTAGE SOFTWARE, INC.";
"CREDITS_MORE_LEGAL_STUFF": "更多法律声明";
"CREDITS_MUSIC": "音乐";
"CUST_RACE_WHITE": "白色";
"CUST_VARIANT_01_DEFAULT": "变体 1";
"CUST_VARIANT_10_DEFAULT": "变体 10";
"CUST_VARIANT_BEADS": "珠饰";
"CUST_VARIANT_DEFAULT": "默认";
"CUST_WEAR_NORMAL": "普通";
"Chainsaw": "伐木者";
"Chin": "下巴";
"Control_Scheme": "方案";
"Crib_SaintsHQ": "圣徒藏身处";
"DIRT": "泥土";
"Default": "默认";
"Disable_Super_Move": "禁用超级移动";
"Disable_Super_Powers": "禁用超能力";
"Doctor Rogue": "钢铁浪子";
"EXIT": "退出";
"FART_IN_A_JAR": "罐中臭屁";
"Flashbang": "闪光弹";
"GRENADE": "手雷";
"Gang_Customization": "帮派自定义";
"Genki Pack": "欢乐时光装！";
"GenkiHoliday": "根基假日特别篇";
"Gray": "灰色";
"HOMIES_UFO_DESC": "让一名同伴空投 UFO。";
"HUD_COLLECTION_REWARD_UNLOCKED": "新升级可用";
"HUD_HOLD_DPADUP_PARTY_DISMISS": "解散队伍";
"Hitman_Targets": "目标";
"INFO_UNLOCKABLES_SUPER_POWERS": "超能力";
"Infinite_Ammo": "无限弹药";
"Lets Pretend Female C": "钢埠女英雄";
"Lets Pretend Female E": "战术少女";
"Lets Pretend Male 35B": "通用英雄";
"Lets Pretend Male C": "钢埠英雄";
"Lets Pretend Male M": "绅士燕尾服与礼帽";
"Level_1": "第 1 关";
"Level_2": "第 2 关";
"Level_3": "第 3 关";
"Logo": "标志";
"M00_FAILURE_KILLED_BY_CYRUS": "赛勒斯杀了你！";
"M01_OBJ_KILL_ZINYAK": "与 [format][color:kill]津亚克[/format] 战斗";
"M03_FAIL_QTE": "你死了！";
"M03_FAIL_SHIP_DESTROYED": "你死了！";
"M05_FAIL_ABANDON_CID": "CID被弃置了！";
"M05_FAIL_CID_DIED": "CID阵亡！";
"M06_FAILURE_BIKE_DESTROYED": "摩托被摧毁";
"M06_FAILURE_OUT_OF_TIME": "连接已终止";
"M06_FAILURE_TANK_DESTROYED": "坦克已被消灭";
"M07_FAIL_MATT_DIED": "马特阵亡！";
"M08_FAIL_SHAUNDI_DIED": "肖恩蒂阵亡！";
"M10_FAIL_BEN_KING_DIED": "本·金阵亡！";
"M10_FAIL_GRAVEYARD": "你离开了墓地！";
"M11_Cloning_Room_BM": "亮漆";
"M11_FAILURE_DISCOVERED": "你被发现了！";
"M11_FAILURE_GUARD": "先把灯打灭！";
"M11_FAILURE_KILLED": "你被击杀！";
"M11_FAILURE_LIGHT": "别待在光里！";
"M15_PLAYER_DIED": "你死了！";
"M16_FAIL_ASHA_DIED": "阿莎阵亡！";
"M16_FAIL_BEN_KING_DIED": "本·金阵亡！";
"M16_FAIL_ESCAPE_CAR_DESTROYED": "逃生车被摧毁了！";
"M16_FAIL_GAT_DIED": "盖特阵亡！";
"M16_FAIL_HELI_DESTROYED": "直升机被摧毁了！";
"M16_FAIL_KINZIE_DIED": "金吉死了！";
"M16_FAIL_MATT_DIED": "马特阵亡！";
"M16_FAIL_PIERCE_DIED": "皮尔斯死了！";
"M16_FAIL_SHAUNDI_DIED": "肖恩蒂阵亡！";
"M17_ERROR_SCREEN_CONTINUE_MSG_PC": "好戏现在才开场 >:) \n\n按任意键继续";
"M17_FAILURE_ESCAPE": "你死了！\n 快移动以躲开爆炸。";
"M17_FAIL_BOMBS_EXPLODED": "炸弹爆炸了";
"M17_FAIL_GAT_DIED": "盖特阵亡";
"M17_FAIL_PIERCE_DIED": "皮尔斯阵亡";
"M17_FAIL_SHAUNDI_DIED": "肖恩蒂阵亡";
"M18_FAIL_SPEECH": "你离开了区域！";
"M18_GO_IN_OFFICE": "进入[format][color:location]办公室[/format]";
"M18_KILL_ATTACKERS": "消灭[format][color:kill]攻击者[/format]";
"M19_FAIL_CID": "CID阵亡";
"M22_1_FAIL_CID_DESTROYED": "C.I.D.被击杀！";
"M22_1_FAIL_KEY_DESTROYED": "钥匙被摧毁了！";
"M22_1_FAIL_SERVER_DESTROYED": "一个服务器被摧毁了！";
"M22_3_FAIL_ASHA_DIED": "阿莎阵亡！";
"M22_3_FAIL_MATT_DIED": "马特阵亡！";
"MAINMENU_CAMPAIGN": "战役";
"MAINMENU_COMMUNITY": "社区";
"MAINMENU_CONTINUE": "继续";
"MAINMENU_COOP_OPTION": "合作战役";
"MAINMENU_DISCONNECTED_FROM_SERVICE": "你已与 Xbox Live 断开连接。";
"MAINMENU_DLC": "可下载内容";
"MAINMENU_EXTRAS": "额外配件";
"MAINMENU_LOGIN_CHANGE_EXPOSITION": "登录状态发生了变化。你已返回标题画面。";
"MAINMENU_MACHINIMA_MODE": "编辑电影片段";
"MAINMENU_NEW_GAME_NO_PROFILE_LOG_IN_NOW": "你当前未登录任何档案。\n要登录吗？";
"MAINMENU_NEW_GAME_NO_SPACE_EXPOSITION": "硬盘空间不足。\n若继续将无法保存。\n继续吗？";
"MAINMENU_ONLINE_GAME": "在线游戏";
"MAINMENU_OPTIONS": "选项";
"MAINMENU_SYSLINK": "局域网游戏";
"MAINMENU_SYSLINK_TITLE": "局域网";
"MAIN_MENU_MATCHMAKING_FAIL": "匹配未能找到任何可连接的游戏。";
"MAIN_MENU_PRIVILEGE_DENIED": "此档案无法在 Xbox Live 上游玩。请检查你的家长控制设置，或获取 Xbox Live Gold 会员资格。";
"MENU_AIRPLANE_HANDLING": "飞机操控";
"MENU_CAMERA_SMART": "智能";
"MENU_CATEGORY": "分类";
"MENU_CATEGORY_CAR": "汽车 / 摩托";
"MENU_CATEGORY_GENERAL": "通用";
"MENU_CATEGORY_HELI": "直升机";
"MENU_CATEGORY_ONFOOT": "步行";
"MENU_CATEGORY_PLANE": "飞机";
"MENU_CATEGORY_TANK": "坦克";
"MENU_CHANGES_MADE_BODY": "已做出更改，要应用当前修改吗？";
"MENU_CHANGES_MADE_TITLE": "应用更改？";
"MENU_CONTROLLER_OPTIONS": "手柄选项";
"MENU_CONTROLLER_OPTIONS_TITLE": "手柄";
"MENU_CUSTOM": "自定义";
"MENU_DISCARD": "放弃";
"MENU_GAMEPLAY": "玩法";
"MENU_HIGH": "高位";
"MENU_LEFT_MOUSE": "鼠标左键";
"MENU_LOW": "低腰";
"MENU_MEDIUM": "中号";
"MENU_MIDDLE_MOUSE": "鼠标中键";
"MENU_MOUSE_BUTTON_4": "鼠标 4 键";
"MENU_MOUSE_BUTTON_5": "鼠标 5";
"MENU_MOUSE_CONTROLS_HORIZ_SENS": "鼠标灵敏度 左/右";
"MENU_MOUSE_CONTROLS_INVERT_X": "反转鼠标瞄准 左/右";
"MENU_MOUSE_CONTROLS_INVERT_Y": "反转鼠标瞄准 上/下";
"MENU_MOUSE_CONTROLS_VERT_SENS": "鼠标灵敏度 上/下";
"MENU_MOUSE_WHEEL_DOWN": "滚轮向下";
"MENU_MOUSE_WHEEL_UP": "滚轮向上";
"MENU_OFF": "关";
"MENU_ON": "开";
"MENU_OPTIONS_CLIP_SELECT": "电影片段";
"MENU_OPTIONS_GAMEPLAY_AIRPLANE_TIP": "普通：易于上手；进阶：飞行模拟";
"MENU_OPTIONS_GAMEPLAY_DIFFICULTY_TIP": "设置游戏难度";
"MENU_OPTIONS_GAMEPLAY_FOCUS_TIP": "若游戏窗口失焦则自动暂停";
"MENU_OPTIONS_GAMEPLAY_MINIMAP_TIP": "设置小地图是否随镜头旋转";
"MENU_OPTIONS_GAMEPLAY_RADIO_TIP": "设置进入载具时是否自动开启电台";
"MENU_OPTIONS_GAMEPLAY_SUBTITLES_TIP": "开启或关闭字幕";
"MENU_OPTIONS_MOUSE": "操作";
"MENU_OPTIONS_REMAP": "设置按键与按钮";
"MENU_PC_SIGN_IN_ERROR": "你必须连接互联网，且 Steam 不能处于离线模式，才能使用在线功能。";
"MENU_PRIMARY_ASSIGNMENT": "主按键分配";
"MENU_RESTORE_ALL_DEFAULTS": "恢复所有分类的默认设置";
"MENU_RIGHT_MOUSE": "鼠标右键";
"MENU_SECONDARY_ASSIGNMENT": "备用按键分配";
"MENU_STEAM_STORE": "STEAM 商店";
"MENU_ULTRA": "极致";
"MENU_VIDEO_RECORD_MODE": "视频录制模式";
"MENU_XBOX_PARTY_INVITE": "发送派对邀请";
"MENU_XBOX_PARTY_JOIN": "加入派对游戏";
"METAGAME_GANG_MEMBER": "帮派成员";
"MISSION_FAILURE_BUSTED_TEXT": "你被逮捕了";
"MISSION_FAILURE_CANCEL_TEXT": "任务已取消";
"MISSION_FAILURE_DIED_TEXT": "你死了";
"MISSION_FAILURE_PARTNER_BUSTED": "你的搭档被逮捕";
"MISSION_FAILURE_PARTNER_DIED": "你的搭档被击杀";
"MISSION_PARTNER_CONNECTED": "合作玩家已连接";
"MISSION_PARTNER_DISCONNECTED": "合作玩家已断开";
"MM_1_1_FAIL_ABANDON_FIGHT": "放弃战斗！";
"MM_1_1_FAIL_FP": "闪光点失败！";
"MOL_BK_01_BEN_DIED": "本·金阵亡！";
"MOL_BK_01_FAILURE_HELI_DESTROYED": "直升机被摧毁了";
"MOL_JB01_FAILURE_ABANDON_VEH": "载具被弃置了！";
"MOL_JB01_FAILURE_ASHA_DIED": "阿莎阵亡！";
"MOL_JB01_FAILURE_LIMO_DES": "车被摧毁了！";
"MOL_JB01_FAILURE_VIP_DIED": "贵宾阵亡！";
"MOL_JG_01_FAILURE_TIME_UP": "时间到了！";
"MOL_MM_01_FAILURE_CHASE": "你跟丢了夜刃！\n紧跟他。";
"MOL_MM_01_FAILURE_MATT_DIED": "马特阵亡！";
"MOL_P01_FAILURE_ESCAPE": "目标逃脱了";
"MOL_P01_FAILURE_PIERCE_CAR": "皮尔斯的车被摧毁了";
"MOUSE_TITLE": "操作";
"MULTI_GAMETYPE_1": "局域网游戏";
"MULTI_LOST_CONNECTION": "发生连接错误。\n正在返回标题画面。";
"MULTI_MATCHMAKING": "匹配";
"MUST_LOG_IN_CONFIRM": "你必须登录 Xbox Live 才能使用此功能。\n要登录吗？";
"MUST_SIGN_IN_PROFILE_CONFIRM": "你当前未使用任何档案登录。\n是否登录？";
"Matt Miller Outfit": "迪克帮王者";
"Molotov": "燃烧瓶";
"NOT_LOGGED_IN": "你必须登录 Xbox Live 才能使用此功能。";
"NaughtyNice": "淘气与乖巧";
"Nobody Loves Me Female D": "潮人女孩";
"Nobody Loves Me Female H": "糖果女孩";
"OPTIONS_MENU_AUTO_DETECT_DESC": "这会用默认设置替换你的当前设置，并根据你的显卡选择一套性能预设。确定要这样做吗？";
"PAUSE_MENU_PLAYBACK_MODE": "编辑电影片段";
"PAUSE_MENU_RECORD_MODE": "录制电影片段";
"PC_ACT_ESCORT_TIGER_MINIGAME_MSG": "找到老虎的痒处，然后小心地挠它。";
"PC_ACT_ESCORT_TOUCH_MINIGAME_MSG": "找到那个特殊的位置。然后击中它。";
"PC_ADDITIONAL_PROPS": "其他属性";
"PC_ADVANCED_MODE": "高级模式";
"PC_ADVANCED_MODE_HINT": "允许使用更高级的剪辑手法";
"PC_AUDIO_TOGGLES": "音频";
"PC_AV_EXIT_HINT": "关闭环境对话框";
"PC_AV_OPTIONS_HINT": "显示环境选项对话框";
"PC_CAMERA_DONE": "完成";
"PC_CAMERA_DONE_HINT": "关闭对话框";
"PC_CAMERA_LOCKED": "摄像机已锁定";
"PC_CAMERA_UNLOCKED": "摄像机已解锁";
"PC_CAMERA_ZONE": "摄像机区域";
"PC_CAM_MODE": "相机模式";
"PC_CAM_MODE_HINT": "此摄像机区域内摄像机的行为方式";
"PC_CAM_TILT": "摄像机俯仰";
"PC_CAM_TILT_HINT": "摄像机俯仰";
"PC_CA_CANCEL": "取消";
"PC_CA_CLONE": "创建副本";
"PC_CA_DELETE": "删除";
"PC_CA_EDIT_EXPORT": "载入并编辑";
"PC_CHARACTER_MODEL": "角色模型";
"PC_CLIP_ACTIONS": "选择要对这段剪辑执行的操作";
"PC_CLIP_DELETE_CONFIRM": "确定要删除这段剪辑吗？此操作无法撤销。";
"PC_CM_DEFAULT": "默认";
"PC_CM_FOLLOW": "跟随";
"PC_CM_FOLLOW_LOOK": "跟随查看";
"PC_CM_FOLLOW_WATCH": "跟随观察";
"PC_CM_STATIC": "静态";
"PC_CM_TRACKING": "跟随追踪";
"PC_COMMUNITY_AGE_FIELD": "年龄（月.日.年）";
"PC_CONFIRM_EXIT": "确认退出";
"PC_CONFIRM_EXPORT": "确认导出";
"PC_COPY_CURRENT": "复制当前";
"PC_COPY_CURRENT_HINT": "基于当前区域创建新的摄像机区域";
"PC_COPY_NEXT": "复制下一个";
"PC_COPY_NEXT_HINT": "基于下一个区域创建新的摄像机区域";
"PC_CREATE_CHAR": "创建/导入";
"PC_CREATE_CHAR_HINT": "创建或导入新的角色模型";
"PC_CZ_EXIT_HINT": "关闭摄像机区域对话框";
"PC_DELETE_CZ": "删除";
"PC_DELETE_CZ_HINT": "删除当前摄像机区域";
"PC_DOF": "景深";
"PC_DOF_CLOSEUP": "特写";
"PC_DOF_DIST": "景深距离";
"PC_DOF_DIST_HINT": "景深距离";
"PC_DOF_HINT": "景深类型 - 影响距离与焦段范围";
"PC_DOF_NORMAL": "普通";
"PC_DOF_OFF": "关";
"PC_DOF_RANGE": "景深焦段范围";
"PC_DOF_RANGE_HINT": "景深焦段范围";
"PC_DOF_WIDE": "广角";
"PC_DOF_ZOOM": "变焦";
"PC_EASE_HINT": "在混合动画类型之间循环切换";
"PC_EDIT_EXPLANATION": "你即将剪辑一个非活动摄像机区域的摄像机。当前的摄像机位置将覆盖之前的位置。";
"PC_EDIT_PROPERTIES": "编辑属性";
"PC_EDIT_PROPS_HINT": "显示摄像机区域属性对话框";
"PC_EDIT_WARNING": "警告";
"PC_ENABLE": "启用";
"PC_ENVIRONMENT": "环境";
"PC_EXIT_EXPLANATION": "退出电影剪辑器？未保存的修改将全部丢失。";
"PC_EXIT_HINT": "退出剪辑编辑器";
"PC_EXPORTING_VIDEO": "正在导出视频";
"PC_EXPORT_EXPLANATION": "停止剪辑并开始导出为视频？";
"PC_EXPORT_HINT": "将片段导出为视频";
"PC_EXPORT_LOCK": "导出锁定";
"PC_EXPORT_LOCK_HINT": "在此摄像机区域内锁定摄像机的运动";
"PC_EXPORT_SETTINGS": "导出设置";
"PC_FOV": "视野";
"PC_FOV_HINT": "摄像机视野";
"PC_GREEN_SCREEN": "绿幕";
"PC_GS_BACKGROUND": "背景";
"PC_GS_BACKGROUND_HINT": "切换背景渲染";
"PC_GS_PEOPLE": "人数";
"PC_GS_PEOPLE_HINT": "切换非玩家人类渲染";
"PC_GS_PLAYER": "玩家";
"PC_GS_PLAYER_HINT": "切换玩家渲染";
"PC_GS_VEHICLES": "车辆";
"PC_GS_VEHICLES_HINT": "切换载具渲染";
"PC_HANDYCAM": "手持摄像";
"PC_HANDYCAM_HINT": "手持摄像抖动强度";
"PC_HIDE_HUD": "隐藏 HUD";
"PC_HIDE_KEYS": "隐藏按键";
"PC_LOAD_CHAR": "载入默认";
"PC_LOAD_CHAR_HINT": "载入默认角色模型";
"PC_MOUSE": "鼠标";
"PC_MOVEMENT_SENSITIVITY": "移动灵敏度";
"PC_MOVEMENT_SENSITIVITY_HINT": "摄像机移动灵敏度";
"PC_NEW_ZONE": "新建区域";
"PC_OPTIONS": "选项";
"PC_OPTIONS_EXIT_HINT": "关闭选项对话框";
"PC_OPTIONS_HINT": "显示常规选项对话框";
"PC_OUTPUT_ONLY": "仅显示输出";
"PC_OUTPUT_ONLY_HINT": "导出时隐藏时间轴等信息";
"PC_PAUSE_HINT": "暂停回放";
"PC_PLAY_FAST_HINT": "快速回放录制内容";
"PC_PLAY_HINT": "回放录制内容";
"PC_PLAY_SLOW_HINT": "慢速回放录制内容";
"PC_POSITION_CAMERA": "摆放摄像机";
"PC_POSITION_CAMERA_HINT": "使用操作键摆放摄像机";
"PC_PROPS": "产业";
"PC_PROPS_EXIT_HINT": "关闭属性对话框";
"PC_RECORD_MODE_CANCELLED_EXPORT": "保存已取消。";
"PC_RECORD_MODE_CANCEL_ENCODE": "确定要取消视频保存吗？视频将会丢失。";
"PC_RECORD_MODE_ENABLE_WARNING": "视频录制模式可能导致性能下降。出于法律原因，音乐与电台也会被禁用。继续吗？";
"PC_RECORD_MODE_ERROR_NO_BUFFER": "视频已保存。部分内容可能丢失。请降低录制质量设置以防止数据丢失。";
"PC_RECORD_MODE_ERROR_NO_CODEC": "当前缺少此模式所需的视频编解码器，请参阅说明文档了解安装方法。";
"PC_RECORD_MODE_ERROR_NO_ENABLED": "在暂停菜单中启用录制模式以保存视频。";
"PC_RECORD_MODE_ERROR_NO_SPACE": "无法保存视频，需要更多磁盘空间。";
"PC_RECORD_MODE_FAILED_EXPORT": "内部错误导致视频保存失败。";
"PC_RECORD_MODE_QUALITY_HIGH": "1080p（高）";
"PC_RECORD_MODE_QUALITY_LOW": "480p（低）";
"PC_RECORD_MODE_QUALITY_MED": "720p（中）";
"PC_RECORD_MODE_TEXT": "启用录制模式可将你最后时刻的游戏画面直接保存为视频。按 ([format][color:#9400C5]{0}[/format]) 导出。\n\n视频保存至：";
"PC_RECORD_VIDEO": "录制视频";
"PC_REWIND_HINT": "重新加载并回卷到开头";
"PC_ROTATION_SENSITIVITY": "旋转灵敏度";
