// SR4R voice dict file 8/17
// Lines 7001-8000 of 16797
// Format: "English": "Chinese translation";

"Come on. Come on.": "来吧。来吧。";
"This robot isn't getting through the door, what can you do about it, Kinzie?": "这个机器人过不了那道门，你能怎么办，金吉？";
"Standard escort, I got it.": "标准护卫任务，明白。";
"Sounds better than being stuck in the simulation forever.": "听起来比永远困在模拟里强。";
"You think the whole damn White House got flattened?": "你觉得整个白宫是不是都被夷平了？";
"Asha, about Matt...": "阿莎，关于马特……";
"Can you reset part of a simulation?": "你能重置模拟的一部分吗？";
"Does this place not have light switches?": "这地方难道没有电灯开关吗？";
"They've got the highway blocked.": "他们把高速公路堵了。";
"If only my wife were alive to see this!": "要是我老婆还活着，能看到这一切该多好！";
"Kinda busy right now.": "现在有点忙。";
"Kinzie, goddammit! I didn't get this far to sit on my ass--": "金吉，妈的！我走到这一步，不是来干坐着的——";
"From what I can see a lot's been taken over by the Zin.  There's alien technology everywhere.": "从我看到的来看，很多地方都被齐恩人占领了。到处都是外星科技。";
"Walk through the blue door and continue to face yet more failures at saving those closest to you.  Your race will live on borrowed time and will, through your violent arrogance, wind up extinct.": "走进那扇蓝色的门，然后继续去面对拯救至亲的又一次失败吧。你们的种族将活在借来的时间里，并终将因你们那暴虐的傲慢而灭绝。";
"Great.": "太好了。";
"With pleasure.": "乐意之至。";
"Zinyak, this isn't pride... This is payback.": "齐尼亚克，这不是骄傲……这是讨债。";
"You can still crack it though, right?": "不过你还是能黑进去的，对吧？";
"You are closer to completing all objectives in the simulation.  Return to me.": "你离完成模拟里的所有目标越来越近了。回到我这里来。";
"Block button? What?": "格挡键？什么？";
"Shaundi asks that I not make a Chappaquiddick reference. So I won't.": "莎蒂让我别拿查帕奎迪克岛的事打趣。所以我就不提了。";
"Need to reach that platform...": "得赶到那个平台……";
"Qu'est que c'est?!": "这是什么？！";
"So we're not in immediate danger of exploding?": "所以我们暂时没有爆炸的危险？";
"Fuck! I...": "操！我……";
"Kinzie did not share my sentiment that stating I wished her to be rescued would count towards settling my debt to her for my real-world body.  I always thought the human saying was \"it is the thought that counts\".  Perhaps I misunderstood what that means.": "我提出把她救出来算作偿还我为现实身体欠她的人情，但金吉并不认同这个说法。我一直以为人类有句老话叫「重在心意」。也许我理解错了。";
"Get ready. I'm gonna clear it.": "准备好。我要把它清掉。";
"Shit. They found us.": "妈的。他们发现我们了。";
"All systems go.": "所有系统就绪。";
"Since when was Cyrus this sexist?": "赛勒斯什么时候变得这么性别歧视了？";
"Does it matter which one?": "哪个有关系吗？";
"Oh shit!": "妈的！";
"Powers? Powers?! How would I--you mean from NyteBlayde?": "超能力？超能力？！我怎么会有——你是说夜刃的能力？";
"I made this especially for you.": "我专门为你做的这个。";
"So you have what you need now?": "所以你需要的都有了？";
"Lots of Friendly Fires in the city means one's tied to this area too.  Go shut the security there down.": "城里有这么多友善之火，说明这一带也连着一个。去把那里的安保关掉。";
"I don't understand, it's a dead pirate with a black parrot?": "我不明白，这是个带着黑鹦鹉的死海盗？";
"There's a giant glass orb here, Kinzie.": "这里有个巨大的玻璃球，金吉。";
"Problem with your party dress?": "你的派对礼服出问题了？";
"Flip the switch and...": "拨下开关，然后……";
"All right. Give the dude what he wants.": "好。他要什么就给他什么。";
"Confound it, my toe!": "该死，我的脚趾！";
"Not now!  I must center myself.": "别现在打扰我！我必须先静下心来。";
"Whatever will get us to Zinyak.": "只要能带我们去见齐尼亚克就行。";
"Empty.": "空的。";
"You know, since this ship is basically our new Saints HQ, why not just call it that?  The Saints HQ.  I don't know, kinda has a nice ring to it.  Though guess that screws us if we ever find a bigger ship...": "你知道，既然这艘船基本上就是我们新的圣徒总部，为什么不干脆这么叫它呢？就叫「圣徒总部」。我也不确定，不过听着挺顺耳的。虽然要是哪天我们找到更大的船，这名字就尴尬了……";
"Anything you say, Shaundi.": "你说什么就是什么，莎蒂。";
"I had a great time, Johnny.": "我玩得很开心，约翰尼。";
"On it, CID.  Keep looking for a way to unshield him.": "马上办，C.I.D.。继续找办法卸掉他的护盾。";
"Shit. We're not vampires in this world, are we?": "妈的。我们在这个世界不会变成吸血鬼吧？";
"I'm liking this.": "我开始喜欢这个了。";
"Come on Matthew!": "加油，马修！";
"No you didn't, I was right with you the whole time.": "不，你没有，我全程都跟你在一起。";
"Um, okay...": "呃，好吧……";
"If there's a chance that this guy can help save our friends it's worth the risk...what's the worse that can happen?": "要是这家伙有机会帮忙救我们的朋友，冒这个险就值了……最坏能怎么样？";
"Matt, flip my powers back to \"On.\"": "马特，把我的能力切回「开」。";
"No gun?  You're putting a lot of faith in my winning personality.": "没有枪？你还真是赌我的魅力爆棚啊。";
"We almost done?": "我们快完了吗？";
"Matthew, allow me to do this for you...": "马修，让我来替你做这件事……";
"We come together... now your turn, come on, \"and you know... it ain't fiction...\" COME ON!": "我们一起唱……现在轮到你了，来，「你知道……这不是虚构……」，来啊！";
"Good to see you haven't changed THAT much...": "很高兴看到你没怎么变……";
"Don't worry Paul, I'll pour one out for you.": "别担心，保罗，我会为你祭一杯。";
"I gotta end this quick.": "我得速战速决。";
"I'm glad to see you taking this so seriously.": "我很高兴看到你如此认真对待这件事。";
"But that makes no sense.": "但那说不通啊。";
"Woah! Hot stuff!": "哇！好烫！";
"Johnny Gat is the oldest friend I have and the baddest motherfucker I know. I mourned him once when I thought Philippe Loren had taken him out. Now that I know he's alive, I'd walk through hell to bring him back.": "约翰尼·盖特是我最老的朋友，也是我认识的最狠的混蛋。当年我以为菲利普·洛伦干掉了他，我曾为他哀悼过一次。现在我知道他还活着，我会踏过地狱把他带回来。";
"Huh. I kicked the ass of a Vice President. Huh.": "哈。我揍了一个副总统的屁股。哈。";
"Now say goodnight.": "现在，道晚安吧。";
"That's right, I'm the bloody President!": "没错，老子就是总统！";
"Okay, I found somewhere for us to... Oh no!": "好，我给我们找了个地方……哦不！";
"Good point.": "有道理。";
"Right.": "好。";
"I could if I had my superpowers.": "要是我还有超能力就能做到。";
"Trying to stop me, huh? Oooh, I don't think so.": "想拦住我，嗯？哦哦，我可不这么想。";
"Come on.": "来吧。";
"Do you realize how crazy everything since we were abducted from the White House sounds?": "你知道我们自从在白宫被绑架后经历的一切有多疯狂吗？";
"Wait for what, Kinzie? What is happening?": "等什么，金吉？发生什么事了？";
"Yes.": "是的。";
"Johnny, this is a dream...you have to wake--": "约翰尼，这是一场梦……你得醒——";
"Can't we just tear apart the room to find the generator?": "我们干脆把这屋子拆了找发电机不就行了？";
"Maximum power to the rift has been achieved.": "裂缝的功率已开到最大。";
"Gotcha!": "逮到你了！";
"Do it and I'll rename the Internet after you.": "照办的话，我就用你的名字命名互联网。";
"We kill the bastard.": "我们干掉那混蛋。";
"Here we go.": "走起。";
"You can do it Matt!": "你能行的，马特！";
"I thought you'd be on my case about how important the key is...": "我以为你会一直念叨那把钥匙有多重要……";
"Ok, the Zin equipment around here has the parts we need.  Once you collect enough, drop it off with Gat.": "好，这附近的齐恩设备里有我们需要的零件。收集够了，就交给盖特。";
"I don't know, it's like she's... everywhere.": "我不知道，她好像……无处不在。";
"DELETE": "删除";
"Why have I not heard until now that Cyrus is breaking into the simulation? ": "为什么我到现在才知道赛勒斯在入侵模拟？";
"Okay, I think I scared her away then.  ": "好吧，那我想我是把她吓跑了。";
"She's a level of depravity beyond what I can understand.": "她的堕落到了一种我无法理解的程度。";
"Come on, legs. We can do it.": "加油，双腿。我们能做到。";
"Course I hear you! Which is kinda freaking me out since I don't have a phone.": "我当然听见了！这让我有点发怵，因为我根本没手机。";
"What the hell?!": "搞什么？！";
"Pierce, I think we're need something bigger than guns.": "皮尔斯，我觉得我们需要比枪更大的东西。";
"Well if it isn't the Stilwater default player...": "哦，这不是斯提尔沃特的默认玩家嘛……";
"Second round complete. See me if you think you can handle the last part.": "第二轮完成。觉得能应付最后一部分的话就来找我。";
"Look out, Matt!": "小心，马特！";
"Did I hear that right?": "我没听错吧？";
"What's he got? What's he pressing? Oh shit.": "他拿着什么？他在按什么？哦不。";
"I think we got them all.": "我想我们把他们全干掉了。";
"Nope.": "不行。";
"Y'know, Miller, if it was Kinzie in your seat, I'd be driving a tank by now.": "跟你说，米勒，要是金吉坐在你那个位子上，我现在早就开上坦克了。";
"What is Zinyak's fascination with Genki? Why don't the two of them just make a baby already.": "齐尼亚克为什么对元氣教授这么着迷？这俩干脆直接生个娃算了。";
"What were we supposed to assume?": "我们还能怎么想？";
"If you're gonna be King, you have to want it more than anything!": "你要是想当王，就得比任何人都渴望它！";
"The airport!  That's where's he's at, of course!": "机场！他当然在机场！";
"No, no, believe me, that's for the best.  Now let's get you out of here.": "不不，相信我，那是最好不过了。现在，我们带你离开这里。";
"DELETE": "删除";
"All right! Another example of good, consistent shooting.": "好！又一个漂亮稳定的射击示范。";
"You ARE getting me out of here, right?": "你会把我弄出去的，对吧？";
"I gotta be close...": "我肯定就在附近……";
"Then what'd you have in mind?": "那你有什么打算？";
"I hope you're on your way, Kinzie.": "希望你正在赶来的路上，金吉。";
"DELETE": "删除";
"No.  I'm never able to find him.": "不。我一直都找不到他。";
"No sign of Johnny yet though. Where the hell are you?": "可还是不见约翰尼的踪影。你到底在哪？";
"If you were that good, I'd be out of here.": "你要是真那么行，我早就不在这了。";
"Looks like it worked!": "看来起作用了！";
"Right.": "好。";
"Kinzie, can't you shut him up?": "金吉，你就不能让他闭嘴吗？";
"Is MI6 really called upon to escort TV correspondents on shopping trips?": "军情六处真会派去陪电视记者逛街购物？";
"So?": "所以呢？";
"Thank god.": "谢天谢地。";
"Magarac? What is that? Scottish?": "马加拉奇？那是什么？苏格兰语？";
"And what do you two propose we do now?": "那你们两个有什么提议？";
"A rift has opened. Complete its challenge in winning style.": "一道裂缝已开启。用漂亮的手法完成它的挑战吧。";
"To the gentleman in latex?": "对那位穿乳胶服的绅士？";
"No. I don't know if Zimos made it but Oleg is... well...": "不。我不知道齐莫斯有没有成功，但奥列格……呃……";
"Umm, Kinzie, all your shit's gone.": "呃，金吉，你的东西全没了。";
"Wait--what?": "等等——什么？";
"Oh man. I think something's coming up...oh god.": "哦天。我觉得有什么东西要冒出来了……哦不。";
"Guessing I can find clusters with this power?": "我猜我可以用这个能力找到集群？";
"Right.  So where IS he?": "没错。那他到底在哪？";
"Whoa!": "哇！";
"These guards are terrible. Why would evil me hire such idiots?": "这些守卫太差了。邪恶版的我怎么会雇这种白痴？";
"Did he just turn into some kind of...Super-Genki?": "他刚是不是变成了某种……超级元氣教授？";
"Since when did the Vice Kings have giant robots?": "副王帮什么时候有巨型机器人了？";
"That's not my usual style.": "那不符合我的风格。";
"Over there, those guys are loading it up!": "那边！那帮人正在装车！";
"Well, at least I'm not wearing a ball gag.": "好吧，至少我没戴口塞球。";
"Oh. See, Kinzie, that actually makes it sound fun.": "哦。你看，金吉，这么说听起来还挺有意思的。";
"Well, to be fair, you had two parts of yourself in that simulation.  I'm really not sure which one this'll access.": "好吧，说实话，那个模拟里有你的两个分身。我真的不确定这次会连通哪一个。";
"This an all-day thing or...?": "这是全天候的事还是……？";
"Take King and head back to the portal.  I'll get you--": "带上金，返回传送门。我会让你——";
"That can't be good...": "那可不是什么好事……";
"DELETE": "删除";
"Catch the golden orb?  Do I need to ride a broom for this?": "接住金色球体？我是不是还得骑把扫帚？";
"Let me guess...": "让我猜猜……";
"Not gonna happen.": "没门。";
"Let me guess, you want something from me.": "让我猜猜，你想从我这儿要点什么。";
"Miller, talk to me.  Miller?  MILLER!": "米勒，说话啊。米勒？米勒！";
"Okay, why is Pierce fighting an energy drink?": "好吧，皮尔斯为什么要跟一罐功能饮料干架？";
"Better lay low.": "最好先低调点。";
"Ok, now use that power to throw things at the Warden and take down his shields.": "好，现在用那个能力朝典狱长扔东西，打掉他的护盾。";
"Yeah...give the disembodied voice guns....that doesn't have movie of the week written all over it...": "是啊……给一个无形的声音配枪……这画面可太像电视电影了……";
"Look I gotta tell you something....it always drove me crazy that you had ex's in every city and were willing to go on a dating show but not once did you ever give me a shot": "听着，我得告诉你一件事……你每座城市都有前任，还愿意上相亲节目，却从不肯给我一次机会，这一点一直让我抓狂。";
"Oh *BEEP*!": "哦「哔——」！";
"I never did like that play...": "我从来都不喜欢那出戏……";
"You think you can stop me?  When I'm through, this whole city will be mine.": "你以为你能阻止我？等我收拾完这里，整座城都会是我的。";
"Can't we go around for once?": "这次我们就不能绕道走吗？";
"Man, I don't even ask anymore.  All I know is we have to get Paul to follow.": "天哪，我连问都懒得问了。我只知道我们得让保罗跟着走。";
"Philippe...": "菲利普……";
"Shit.  Can you find a safe place to take it down?": "妈的。你能找个安全的地方把它放下来吗？";
"Um. Is that how it's being delivered?": "嗯。它是这样送过来的？";
"The Zin are falling before the might of these contestants.": "齐恩人正在这些参赛者的威势下溃败。";
"What the hell is going on here?  Hey, get off me!": "这里到底发生了什么？喂，别碰我！";
"Stop.": "停下。";
"I know, man. I know.": "我知道，兄弟。我知道。";
"Hey, I tried to warn him.": "嘿，我试着警告过他。";
"Scan fast.": "快点扫。";
"Giving me a bigger target?  Fine.": "给我一个更大的目标？行。";
"Listen, if Matt Miller can survive being by himself, Johnny's not having any problems...": "听着，如果马特·米勒都能独自活下来，约翰尼肯定不会有任何问题……";
"Sharpen your murder skills on some Zin troopers. Make it hurt.": "用一些齐恩士兵练练你的杀人手艺。要让他们疼。";
"All good. Kinzie has a plan.": "都好。金吉有计划了。";
"Yeah.  There's a helicopter up here I'm gonna climb to.  Think you'll be okay on your own?": "是啊。上面有架直升机，我要爬上去。你觉得你一个人行吗？";
"C'mon, you always pull your weight. *pauses* Shaundi?": "别这样，你向来都很给力。*停顿* 莎蒂？";
"Not gonna lie, kind of a fan of the tank.": "说真的，我有点喜欢上这辆坦克了。";
"Ah, the Three-Count -- where the one-armed bandits are sometimes literally one-armed bandits.": "啊，三连环——那里的独臂大盗有时候真的缺一只胳膊。";
"Asha, is that...a person?": "阿莎，那是……一个人吗？";
"Kinzie... what's going on...": "金吉……发生什么了……";
"Good.  Your reward is waiting.  Come claim it.": "好。你的奖励在等着。来领吧。";
"I can handle whatever that asshole throws at me.": "那个混蛋扔过来的任何东西我都能接住。";
"How long is this gonna take?": "这要多久？";
"What's going on...": "发生什么了……";
"Y'know, if I'd known wanton destruction got you this excited...": "你知道吗，要是我早知道大肆破坏能让你这么兴奋……";
"Seems a bit risky, me in a gun store.  You sure they'll sell to me?": "让我进枪店好像有点冒险。你确定他们会卖给我？";
"Keith sold out someone very important to me. Whatever trance he's in, I need him snapped out of it.": "基思出卖了一个对我很重要的人。不管他中了什么邪，我得把他弄醒。";
"I was kidding!": "我开玩笑的！";
"So how do we do this?": "那我们怎么做？";
"Always one more thing, isn't there?": "总还有下一件事，对吧？";
"The energy flow is being regulated.  Opening breakers should increase the power.": "能量流正在被调控。打开断路器应该能提升功率。";
"Gotta be careful who you get in bed with, man. You never know who will turn on you.": "跟谁上床可得小心，兄弟。你永远不知道谁会反咬你一口。";
"You gonna be okay with these guys?": "你跟这些家伙待在一起没问题吧？";
"Trying to stop me, huh, Zinyak?": "想拦住我，嗯，齐尼亚克？";
"*sigh * Revenge for Earth...": "*叹气* 为地球复仇……";
"This incarnation of Cyrus came from my subconscious. I can only assume he took some of my knowledge about how this whole thing works with him.": "这个版本的赛勒斯是从我的潜意识里来的。我只能假定他带走了我对这套东西运作方式的一些认知。";
"She's breathing.": "她还有呼吸。";
"That would be a good idea.": "那会是个好主意。";
"Hey, Veep, how are things?": "嘿，副总统，最近怎么样？";
"You blew it up!": "你把它炸了！";
"Excuse me?": "你说什么？";
"Pretending to shoot stuff.": "假装在打靶玩。";
"If you want to speak with my husband, he'll be home this afternoon.": "如果你想找我丈夫说话，他今天下午在家。";
"Heh, the simulation didn't like that at all.": "嘿，模拟可一点都不喜欢那样。";
"Hang on now.  Is that Maero?": "等等。那是马埃罗吗？";
"What the hell for?": "到底为了什么？";
"While I blame Lin for her part in what happened, I haven't forgotten the fact that she had help.  It was that upstart from Saints Row who did the dirty work for her: raiding my house, killing my nephew, and killing me.  How could I have let it all happen?  I told Joseph he had a traitor among his people too late.  If I had only acted sooner, perhaps the Saints would have been wiped out instead.": "虽然我怪林在她所作所为里的那份责任，但我没忘她还有帮凶。是圣徒街那个新贵替她干了那些脏活：洗劫我的宅邸、杀死我的侄子、还杀了我。我怎么会让这一切发生？我提醒约瑟夫他身边有叛徒时已经太晚了。要是我早点动手，也许被消灭的就是圣徒了。";
"Right on.": "好极了。";
"Laser eye?": "激光眼？";
"DELETE": "删除";
"Laser eye?": "激光眼？";
"NOT YOU. HIM.": "不是你。是他。";
"But you stabbed me through the heart! Metaphorically.": "但你用刀捅穿了我的心脏！我是说，比喻上的。";
"You got it. What can you tell me about the Zin invasion?": "你明白就好。关于齐恩入侵，你能告诉我什么？";
"Shit!": "妈的！";
"How many generators are there, Matt?": "有多少台发电机，马特？";
"Right.  I think I scared her off a few minutes ago.  Sorry.": "对。我想几分钟前我吓跑了她。抱歉。";
"Fortunately, we had Kinzie, and Zimos, and Oleg, and...": "幸好我们有金吉，还有齐莫斯、奥列格，还有……";
"DELETE": "删除";
"What did they do now?": "他们又干什么了？";
"Right on.": "好极了。";
"The sooner we lose these guys, the sooner we can get back to the plan.": "越早甩掉这些家伙，我们就能越早回到计划上。";
"Conduit?": "导管？";
"Very well...": "好吧……";
"Guess I don't have a choice...": "看来我没得选……";
"Than you.  Now it's time to beat feet...": "谢谢你。现在该溜了……";
"Tanya? No. Amateur night? YES.": "塔尼娅？不。业余选手之夜？好极了。";
"Puerto Rican Thunder God?  He was sweet and all, but performance didn't live up to the name.": "波多黎各雷神？他人是挺可爱，但表现配不上这名号。";
"Wait, you took my line.": "等等，你抢了我的台词。";
"Shit? What do you mean shit?": "妈的？你说「妈的」是什么意思？";
"Hang on a minute.": "等一下。";
"If someone had told me twenty years ago that when I grew up, I'd rise through the ranks of a street gang, found a media empire, become the President of the United States, then get captured by aliens, well...I'd probably have believed them. I was pretty gullible as a kid.": "要是二十年前有人告诉我，我长大后会从街头帮派里一路爬上来，建立一个传媒帝国，当上美国总统，然后被外星人抓走，嗯……我大概也会相信。我小时候可好骗了。";
"That's a lot of fucking people, Kinzie.": "那是他妈的一大堆人，金吉。";
"Use this time to kill more Zin.": "用这段时间多杀几个齐恩人。";
"*Opposites Attract Lyrics*": "*《异性相吸》歌词*";
"Yeah, I think I scared her away earlier.  Sorry.": "是啊，我想我之前把她吓跑了。抱歉。";
"Dunno. I'm usually too busy being awesome to be bored.": "不知道。我一般都忙着耍帅，没空无聊。";
"Well...I'll have my people call your people, Josh.": "好吧……我会让我的人联系你的人，乔什。";
"Woo. Tingly.": "喔。麻酥酥的。";
"I'm rethinking my dildo comment.": "我在重新考虑刚才那句关于按摩棒的评论。";
"Killer cardio, Kinzie. You should try it.": "要命的体能训练，金吉。你也该试试。";
"Look lady, we're doing this in my time!": "听着，女士，这事得按我的节奏来！";
"Okay, you come up here and drive and I'll go out there and fend off hordes of Zin.": "好，你上来开车，我下去应付成群结队的齐恩人。";
"Kinzie. I got this.": "金吉。我来搞定。";
"It's a two-stage rocket. Be careful.": "这是两级火箭。小心点。";
"Is Tanya really that much of a threat?": "塔尼娅真有那么大的威胁吗？";
"*laughing*": "*笑声*";
"Just land it, Johnny.  Kinzie, maintain contact.": "只管降落，约翰尼。金吉，保持联络。";
"Oh *BEEP*!": "哦「哔——」！";
"Let's do this, you badass motherfucker.": "上吧，你这硬汉。";
"There's good data coming in, but I haven't quite found the right weak point yet for the door.  Keep it up.": "有不错的数据传回来了，但我还没找到那道门真正的弱点。继续。";
"Precise is better. Let's get to the airlock.": "精确一点更好。我们去气闸。";
"Any idea what the loud speaker is saying?": "知道那个大喇叭在说什么吗？";
"Oh yes I CAN stop the signal!": "哦没错，我能切断信号！";
"Oh CID. This is the start of a beautiful friendship.": "哦，C.I.D.。这是一段美好友谊的开始。";
"Forget it, just stop Keith!": "算了，快去阻止基思！";
"At least I didn't absorb his ball gag.": "至少我没吞下他的口塞球。";
"You do that and I'll take care of these distractions.": "你去办，这些干扰我来处理。";
"What?  Why not just an entire fuckin' island then?": "什么？那怎么不干脆给我他妈一整个岛呢？";
"It is not help, only repaying my debt.  Now I will let you continue on your quest to find me the body you promised.": "这不是帮忙，只是在偿还我的债务。现在，我让你继续去寻找你答应过给我的那具身体吧。";
"Yeah, I got it...": "是啊，我明白了……";
"You can do that? Without Matt?": "你能做到？不用马特？";
"So...what makes me a god now?": "那……现在是什么让我成了神？";
"Three minutes.": "三分钟。";
"Wait a minute. You saved Keith David before me?": "等等。你先救了基思·戴维斯，然后才救我？";
"I didn't save you so you could watch me do all the heavy lifting...": "我救你不是为了让你看着我一个人干重活……";
"According to Kinzie, every person's simulation is based on their deepest darkest fears.": "按金吉的说法，每个人的模拟都基于他们最深的恐惧。";
"Do my thing to the gimp?": "让我对那个软塌塌的家伙做我的事？";
"Oh no, this wasn't job training. It was recreational.": "哦不，这可不是职业培训。这是休闲娱乐。";
"Did you seriously make this simulation for Asha?": "你真为阿莎做了这个模拟？";
"If it helps...": "如果这能帮上忙……";
"You all right? Where's Matt?": "你没事吧？马特呢？";
"As your new mayor, I have taken an oath to maintain the integrity of this city. To ensure that our women and children are not subjected to the devilish influences of outsiders. I will continue this town's tradition of quiet, peaceful reflection and strict obedience.": "作为你们的新市长，我宣誓维护这座城市的完整。确保我们的妇女儿童不会受到外来者魔鬼般的影响。我将延续这座城市的传统：安静、平和地思考，以及绝对服从。";
"BONUS ROUND!": "奖励回合！";
"Matt, whatever it is can wait.  I have to focus on what I must do.": "马特，不管是什么事，都得等等。我得专心做我该做的事。";
"Kinzie...?  Shit...": "金吉……？妈的……";
"Don't toy with me.": "别耍我。";
"Get those furry sonsabitches!": "干掉那些毛茸茸的狗娘养的！";
"DELETE": "删除";
"Are you gonna let them ruin the party?  Let's see some defense here!": "你就让她们毁了这场派对？让我们看看防守！";
"That... seems like a good reason to go get them.  I'm in.": "这……听上去是个去拿它们的好理由。我加入。";
"Way to balance inspirational speech and totally creepy cult leader, Asha.": "激励演讲和邪教头子的毛骨悚然感平衡得真好，阿莎。";
"Hehehe. You wear it well.": "嘿嘿嘿。你穿这个很合适。";
"So basically either I make it to Kinzie or I die.": "所以基本上，要么我赶到金吉那儿，要么我死。";
"I killed people. Destroyed shit. Y'know, the ushe.": "我杀过人。砸过东西。你知道的，就那些套路。";
"DELETE": "删除";
"Uh-uh.": "呃呃。";
"First, do you remember how to use this suit?": "首先，你还记得怎么用这套装甲吗？";
"Get in, Paul's not gonna stay down...": "上车，保罗可不会一直趴着……";
"Fine.  Sorry.": "行。抱歉。";
"DELETE": "删除";
"Come on, come to papa!": "来吧，到爸爸这儿来！";
"Not a bad time actually. But we need to get Tammy out of here.": "其实时机不错。但我们得把塔米带出这儿。";
"Was this simulation really made for Asha?": "这个模拟真的是为阿莎做的？";
"What's going on, Kinzie?": "怎么了，金吉？";
"Besides, I already found a real C.I.D. body for him on the ship. So, y'know, synchronicity.": "再说，我已经在船上给他找了一具真正的C.I.D.身体。所以，你懂的，正好对上。";
"So, uh, maybe I should follow CID?": "所以，呃，也许我该跟着C.I.D.？";
"I was also busy saving a computer geek from the Lawrence Welk Zone.": "我刚才还忙着把一个电脑怪胎从劳伦斯·威尔克频道救出来。";
"I really hope this is the real you--": "我真希望你是真正的你——";
"I'm gonna have you stuffed and mounted, you alien fuck.": "我要把你做成标本挂起来，你这个外星混蛋。";
"Only you, CID?": "只有你，C.I.D.？";
"Kill that fucker!": "干掉那混蛋！";
"I don't have any guns.": "我一把枪都没有。";
"Translation device! Ha! Nice one, Kinz--oh, there it is.": "翻译装置！哈！干得漂亮，金吉——哦，原来在那儿。";
"Great.": "太好了。";
"Why do these things always have eye beams...": "为什么这些东西老是有眼睛激光……";
"Ain't the whole point to let it crash?": "难道重点不就是要让它坠毁吗？";
"Okay, everybody, forward!": "好，所有人，前进！";
"... Really?": "……真的假的？";
"So where is this \"Army of Minions\" at?": "那这支「喽啰大军」在哪儿？";
"Try it again.": "再试一次。";
"Kinzie said the guns are missing...stuff.": "金吉说那些枪不见了……之类的东西。";
"I've marked a viral injection point. Protect the virus while it uploads.": "我标好了一个病毒注入点。保护病毒，让它完成上传。";
"Shit. Where's Processing Chamber 9?": "妈的。9号处理舱在哪儿？";
