# TODO: Translate to Simplified Chinese
# Source: customize_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 2702

"HASH_F5497400": "极度不合逻辑"
"HASH_E08F8C24": "迷幻浩室戒指"
"HASH_71A2EC24": "红橙 8"
"HASH_6004DE25": "亚洲 2"
"HASH_1489CA25": "直筒经典裤"
"HASH_CE3FD025": "第三街骑士"
"HASH_AA80BE26": "亚洲"
"HASH_7847B626": "痛苦"
"HASH_46399226": "超级熊猫"
"HASH_1DA8C626": "过气摇滚 T 恤"
"HASH_52DA0226": "丰臀长裤"
"HASH_975F0026": "忍者2型手套"
"BOUNTY HUNTER": "赎金收缴者"
"HASH_74A6AE27": "杀戮时刻，欢乐时光！"
"HASH_69605A27": "高加索 3"
"cf_hair_frenchbraid-01": "法式辫"
"HASH_32069427": "羽翼"
"HASH_F006A828": "前转轮毂"
"HASH_4512F628": "黄铜"
"Lets Pretend Female C": "钢埠女英雄"
"HASH_C5128628": "健身狂"
"cm_suit_f_goth": "哥特时装"
"cm_lp35p_eyes_m_monoclel": "左单片镜"
"HASH_BFEFB628": "摩托党"
"HASH_679A0E28": "巴尔博须"
"HASH_55408C29": "脉冲步枪"
"HASH_E8AD7029": "下巴高度"
"HASH_273FD229": "龙蓝"
"HASH_DA7FFC29": "花花公子帽"
"HASH_693B9229": "曼巴皮夹克"
"HASH_6EFB0A29": "亮蓝"
"HASH_D487BC2A": "由柯里流体科技有限公司制造。"
"HASH_F891922A": "照亮他们！"
"HASH_DD6D362A": "车顶"
"HASH_DCAE242A": "徽标"
"HASH_5D774C2A": "货主"
"HASH_90D6882A": "钢埠女英雄手套"
"cm_suit_m_roddy": "罗迪·派珀套装"
"HASH_816E3C2A": "装甲皮肤"
"HASH_7B6FDA2B": "头顶"
"HASH_2635DE2B": "意志"
"HASH_6A48BC2B": "整个背部"
"HASH_3295FE2C": "第三街圣徒"
"HASH_3DBC5C2C": "头顶"
"HASH_033BB62C": "后轮"
"HASH_94F7082C": "丑爆墨镜"
"HASH_8385102C": "迪斯科珠链"
"HASH_5198CC2C": "灰色"
"HASH_26DD042C": "红棕发"
"HASH_520EB22C": "紫罗兰 5"
"HASH_6499EE2C": "指甲"
"HASH_0A15C22D": "叛逆红"
"HASH_F54C682D": "Astro A40 赛博帮耳机"
"HASH_BBDB1C2D": "钢埠街头帽"
"HASH_CB06DE2D": "爱妈妈"
"HASH_B28EBC2D": "黄色 6"
"HASH_A6E0AA2E": "挡泥板"
"HASH_FE34402E": "湿叶棕"
"HASH_449B982E": "坠入爱河"
"HASH_4D3BF22E": "华尔街"
"HASH_8C90CE2E": "哔啵手镯"
"HASH_16E6E42E": "通用英雄衬衫"
"HASH_B94A342F": "战鸟"
"HASH_0BF5E62F": "榴弹发射器"
"HASH_CC54622F": "超亮白"
"cm_udwr_testtypeb": "！！测试内衣B！！"
"HASH_A94F7030": "谁知道圣徒也用非致命武器？"
"HASH_44BB3830": "喇叭枪"
"HASH_8A9EBA30": "棺材"
"HASH_3B6C2430": "若有若无圣徒丁字裤"
"HASH_07E86630": "私家侦探戒指"
"HASH_40B97C30": "吸汗带"
"cm_ubdy_sweatstilwater": "斯提尔沃特运动衫"
"cm_foot_bathslippers": "毛绒拖鞋"
"HASH_C27F4231": "街头格斗者"
"HASH_61121E31": "OG 卫衣"
"HASH_E19D7431": "6 环"
"cf_hair_longstraight_04": "长而中分"
"HASH_60F7CA31": "山羊胡"
"HASH_633A8A32": "镀金"
"HASH_9DD31032": "蒸汽朋克发明家"
"HASH_A39F2433": "武器再也不会过热。尽管开火。"
"HASH_13A1EC33": "冷静点。"
"HASH_AD386C33": "警告：它可没有眩晕模式。"
"HASH_ECC41233": "前部改装"
"HASH_752AF833": "饰条 1"
"HASH_66D2B033": "炫耀V领"
"HASH_39D91E33": "无瑕美人"
"HASH_07E5AC33": "棒球帽"
"cm_lbdy_postapocman": "末世工装裤"
"cf_hair_graduatedbob-01": "层次波波头"
"HASH_5201D833": "赛博帮"
"HASH_8603F833": "花之钥"
"HASH_F4D7A633": "亮紫"
"HASH_02AD2034": "鼻梁宽度"
"HASH_6048A034": "猫装"
"HASH_33E0B234": "船长帽"
"cm_lp35e_ubdy_m_entertain": "艺人衬衫"
"cm_hair_buzzmature": "巴里奥斯头"
"HASH_CC6B1A34": "8 位盖特"
"HASH_B5E37834": "黄色 2"
"HASH_18DC8E35": "用此武器击杀可为弹匣回补弹药。"
"HASH_FE304A35": "眉宽"
"HASH_7CF0DA35": "普莱森特维尔先生"
"HASH_079B9835": "晨星帮士兵"
"HASH_9AE40635": "初成年"
"HASH_55637635": "紫罗兰 1"
"Spa Day": "水疗日"
"HASH_FA440A36": ""
"HASH_13789A36": "骨头"
"HASH_43F65C37": "遮点"
"HASH_15845037": "圣徒街头鞋"
"HASH_3E5B3A37": "腕带"
"HASH_C6064237": "指节炸弹"
"HASH_B73D2837": "红色 9"
"HASH_CA31EE38": "鼻尖大小"
"HASH_28564C38": "轮胎内藏伸缩刀刃，贴近车辆与行人行驶可造成伤害。"
"HASH_D2A8DA38": "男模鞋"
"HASH_55629C38": "老派水手"
"HASH_90848838": "蓝紫 7"
"HASH_FC149E39": "玩家现在可用准星引导火箭。"
"HASH_806AD439": "尺寸不重要。还是说……重要？"
"HASH_20EDE839": "每5个异形中有4个推荐这把枪"
"HASH_9EF7B439": "银色子弹"
"HASH_A0B1B239": "深色紧身裤"
"HASH_A9BF8439": "小击球帽"
"cm_suit_f_llk": "猫女套装"
"cm_hair_beehive-01": "蜂窝头"
"HASH_496E9439": "无政府蝙蝠"
"HASH_3043D439": "卧底须"
"HASH_3758F639": "亮红"
"HASH_C401F63A": "嗯，杂碎"
"HASH_1CB4EE3A": "给他们打气……霸气十足！"
"HASH_1DBDA23A": "速度升级"
"HASH_5CA8B43A": "撞膝器"
"HASH_08864A3A": "超级英雄面罩"
"cf_hair_formalupdo_01": "正式盘发"
"HASH_2E24843B": "老派遇上高科技。"
"HASH_B818AA3B": "开始游戏"
"HASH_B1EEE83B": "斗牛士红"
"HASH_74FC9C3B": "轮辋套组 10"
"HASH_4F983C3C": "超级击退"
"HASH_04D7CE3C": "镀金"
"HASH_20F8EC3C": "铂金"
"HASH_3741023C": "狂野走秀毛衣"
"HASH_FEA9523D": "额头高度"
"HASH_3A64103D": "颧骨"
"HASH_1CF9DC3D": "强化车架是载具在炸成废铁前承受惊人冲击的关键。"
"HASH_94A8E23D": "天线"
"HASH_1193E63D": "哑光漆"
"HASH_D483683D": "绅士乐福鞋"
"HASH_A7F3E03E": "深红"
"HASH_57B2223E": "深银"
"HASH_F919BE3E": "上膛，准备战斗。"
"HASH_9936FC3E": "出自经典之作《持金枪的辛族》"
"HASH_53C5E63E": "MCMANUS 2020"
"HASH_120BCE3E": "无"
"HASH_FE8D1C3E": "工字背心·挑逗款"
"HASH_1830483E": "山丘巴黎风"
"HASH_451F5C3F": "额外配件"
"cm_ubdy_puffyvest01": "羽绒马甲"
"HASH_EFCC7E3F": "草莓金发"
"HASH_0AFB1C3F": "玉米辫"
"HASH_99DF9A40": "长颈鹿"
"HASH_5814F040": "肖科洛夫突击步枪"
"HASH_8996B440": "淡粉染"
"HASH_6785DA40": "女士时尚夹克"
"HASH_0F70B440": "做我的情人丁字裤"
"HASH_969D4241": "堡垒"
"HASH_70546441": "工地靴"
"HASH_33621241": "马利"
"HASH_42DC9641": "越界者死"
"HASH_0E78C642": "购买/升级武器"
"HASH_D9F28842": "复古针织马甲"
"HASH_F4918A42": "混战格斗缠手带"
"HASH_89F0DA42": "起床烘焙"
"HASH_DF6D5E42": "盛装出席"
"cm_lbdy_deckermatt": "迪克帮王者长裤"
"cm_hair_superhero": "超级英雄发型"
"Planet Saints Male D": "电音 DJ"
"HASH_D7514C43": "羽翼"
"HASH_8F4D5A44": "制导导弹"
"HASH_EADBD044": "磁性地雷，稳赢！"
"HASH_842D6044": "不足为奇"
"HASH_7B4DA844": "元气女孩耳环"
"HASH_CFEEB044": "皮革蕾丝腕带"
"HASH_62B8C044": "猫步围巾"
"HASH_C3207C44": "并非纯情短靴"
"cm_lbdy_benking": "本·金风格长裤"
"HASH_BB11EE44": "挣脱锁链"
"HASH_8DF20645": "开火时会产生爆炸性后喷。"
"HASH_A6CEC245": "糖果漆"
"HASH_B52CEC45": "女巫帽"
"HASH_8F102845": "默剧"
"HASH_20236A45": "灰色 5"
"HASH_953E6646": "油光拉美裔 1"
"HASH_CE50E046": "座舱"
"HASH_1C4F1446": "死神之面"
"HASH_6AA21847": "抹除你的敌人"
"HASH_57BB3247": "浪子"
"HASH_C5E15447": "染色 5%%"
"HASH_53F8E447": "田径夹克"
"HASH_3A5F1C48": "波点"
"HASH_F5DCB448": "颧骨深度"
"HASH_A9572448": "非裔 3"
"HASH_2D132248": "贴花 6"
"cm_dkr01_suit": "赛博帮士兵"
"HASH_D2D3C848": "佩恩之须"
"HASH_B357EE48": "紫红 5"
"HASH_7D5F4248": "棕色 4"
"HASH_BA86C449": "眼影"
"HASH_CBC78449": "Z 风鞋"
"HASH_482E7A49": "真爱套装"
"HASH_2EAA6449": "部落之刃"
"HASH_45219A49": "黄橙 9"
"HASH_02A0B44A": "拉美裔 4"
"HASH_CB62BE4A": "队长衬衫"
"HASH_EE15DE4A": "战面具"
"HASH_CE56384A": "亮黄"
"cm_lp35e_eyes_m_entertain": "艺人墨镜"
"cm_lbdy_europants": "凌乱长裤"
"HASH_D6B3B44B": "R I T E"
"HASH_70816C4C": "辛族？完。"
"HASH_D403044C": "眼型"
"HASH_9F55844C": "害怕"
"HASH_FAAAFC4C": "你的衣柜已达到可存放物品的数量上限。"
"HASH_9B3F044C": "货箱改装"
"HASH_BD726E4C": "双耳洞"
"cm_dkr01_hdphones": "迪克帮耳机"
"HASH_9F81D64C": "凌厉眼线"
"HASH_344FFA4D": "分解者"
"HASH_74CF9E4D": "下巴"
"HASH_98FEA24D": "染色 30%%"
"HASH_ED54764D": "都市猎装"
"HASH_5AAD664D": "上流西装裤"
"HASH_A383F84D": "安特卫普特调"
"HASH_DE4F5C4D": "农夫晒痕"
"HASH_5265424E": "狂野西部帽"
"HASH_B5FFEA4F": "改装跑车"
"HASH_DD821C4F": "无声，却致命。"
"HASH_9C92084F": "选项 4"
"HASH_8484084F": "轮辋套组 6"
"cm_ap3_msspcl_eyes": "晨星帮专家眼镜"
"HASH_0FA7EC50": "公主紫"
"HASH_BC787250": "银"
"Lets Pretend Male C": "钢埠英雄"
"HASH_29C7A050": "双蛇"
"HASH_E6DEDE51": "眼褶高度"
"HASH_2A7EE651": "贴花 2"
"HASH_D5BE0C51": "查克须"
"HASH_B43A2A51": "紫红 1"
"HASH_E6018652": "使武器可携带更多弹药"
"HASH_8D7AAC52": "星际黄"
"HASH_26BC4652": "恶魔面具"
"HASH_E7A7E452": "深棕"
"HASH_F873D452": "黄绿 8"
"HASH_C3DAB253": "化身死亡，或者至少是个拿着靓枪的家伙。"
"HASH_BB81E253": "女巫裤"
"HASH_AFE83654": "下颌"
"HASH_84338854": "大西洋青"
"HASH_77ECA855": "星际范儿，第三街风格"
"HASH_0CD88855": "浏览"
"HASH_188F6455": "后视镜"
"HASH_06983455": "现代士兵"
"HASH_F9CBA255": "蒸汽朋克维多利亚靴"
"HASH_98EC1255": "斯芬克斯"
"HASH_488E0A56": "紫色格纹"
"HASH_08989056": "复古长裤"
"HASH_AD0FD056": "谋略套装"
"HASH_499D6856": "山丘夹克配T恤"
"HASH_7D79CA57": "无尽电池"
"HASH_A4467257": "混战格斗面罩"
"HASH_17104A57": "地狱军团 costume！成为红肤一族，让钢埠跪地求饶。"
"HASH_4CDFF057": "圣徒一员"
"HASH_FDA48C57": "油亮高管"
"cf_hair_shortbob-02": "科幻波波头"
"HASH_CBE0DA57": "弧形高纹"
"cm_ubdy_stag": "雄鹿帽衫"
"HASH_CD5C4658": "通用英雄靴"
"HASH_45B15258": "双圣鸽"
"HASH_BCFF5658": "四角手里剑"
"HASH_8B48CE58": "痣 8"
"HASH_7D37CA59": "复古酷。"
"HASH_73443C59": "炫目墨镜"
"HASH_667B9059": "女式运动球衣"
"HASH_DF7A3659": "白色"
"HASH_4CA1D05A": "蓝色格纹"
"HASH_EA8A005A": "贴花 10"
"HASH_0E58D65A": "吸汗带"
"HASH_879E365A": "亮绿"
"HASH_D03C885A": "右眼罩"
"HASH_D376765B": "亮黑"
"HASH_8344705B": "潮人牛仔裤"
"HASH_1AD36A5B": "都市猎装短裤"
"cm_lbdy_80sparachutepants": "降落伞裤"
"HASH_CD51CA5C": "乔·马加拉克的招牌钢勺。"
"HASH_A244AA5C": "深黄染"
"cm_dlc_wwolf_hat_m_mask": "狼人面具"
"HASH_274EAE5C": "灰色 1"
"HASH_A5816C5C": "右肩"
"HASH_7C206C5D": "花之力耳环"
"HASH_BC7C2A5D": "继续游"
"HASH_603B7A5E": "下巴"
"HASH_50D6F65E": "角色扮演"
"HASH_B86B445E": "{0}"
"HASH_83AD325E": "绅士长裤"
"cm_foot_80shightops": "80年代滑板鞋"
"HASH_97216A5F": "提升武器射速"
"HASH_F908425F": "你是在跟我说话？"
"HASH_1FCFBE5F": "标准"
"cm_ubdy_saintofsaints": "圣徒中的圣徒T恤"
"cm_dlc_wwolf_hand_m_suit": "狼人手套"
"HASH_73164C60": "丧尸面具 2"
"HASH_7F1FC660": "现代士兵背包"
"cm_lp35q_hat_spikes": "尖刺"
"HASH_C35D1E60": "通用英雄长裤"
"HASH_C2AB3C60": "万能软体动物"
"HASH_84AF2261": "酷刃"
"HASH_FD3B0261": "重击枪"
"HASH_41BE6661": "个性"
"HASH_607C4061": "王者"
"HASH_BB222461": "素面"
"HASH_82671061": "小巧圆环"
"HASH_8DA62E61": "惊艳乳胶手镯"
"HASH_C5F32A61": "破旧靴"
"HASH_E7A39261": "豹纹"
"HASH_ABBDD862": "SWAT冲锋枪"
"HASH_18927262": "马桶"
"HASH_73243862": "暗黑少女"
"HASH_67D97462": "罚球短裤"
"cm_ubdy_deckermatt": "迪克帮王者夹克"
"HASH_4C97D662": "黄橙 5"
"HASH_910B2463": "糖果手杖"
"HASH_FF049C63": "布列塔尼绿"
"HASH_2FCBBA63": "诚实的亚伯帽"
"HASH_E2C35663": "贴头辫"
"HASH_BAE1A263": "紫红 9"
"HASH_74E90E63": "棕色 8"
"HASH_3B416664": "第三街"
"HASH_95244464": "选项 8"
"HASH_308AA464": "成就不可能"
"HASH_C2EDE064": "邪恶天才"
"HASH_B34D4465": "使武器在换弹间可多开几枪"
"HASH_A872E065": "猴子把戏"
"HASH_A1FAE465": "南滩软呢帽"
"HASH_FB8F9065": "火辣长靴"
"HASH_368DC866": "西部之最"
"HASH_1CF57C66": "罗曼"
"HASH_94BFDE66": "乌托尔刺客"
"HASH_C83AA866": "哥特人生裤"
"HASH_AA35B466": "黑天鹅"
"HASH_13CB9667": "女巫靴"
"HASH_59028267": "坏猫咪"
"HASH_2A0DF067": "战士公主上装"
"HASH_2EC9F067": "酋长"
"HASH_3D60F667": "橙色 2"
"HASH_10D59668": "释放一点警察铁腕"
"HASH_F8AA5468": "诺兰·诺斯"
"HASH_70A27A68": "性感魅力"
"HASH_63AB3268": "深红染"
"cm_hat_eagle_mask": "雄鹰面具"
"HASH_AF1A6A69": "左腿"
"HASH_5912D86A": "古老的轰鸣棍"
"HASH_054B346A": "野性绿"
"HASH_07A5A86A": "普通测试服"
"HASH_7B08306A": "寻找平衡"
"HASH_523B3A6B": "DA WUB"
"HASH_9FA53E6B": "鼻孔高低"
"HASH_32DD106B": "座椅"
"HASH_1A5ED46B": "复古"
"HASH_BFAC926B": "懒散时尚"
"HASH_AA1FBE6B": "充气人偶"
"cm_hat_misfortune": "浪子头盔"
"HASH_4175406C": "用声波砸翻他们。"
"HASH_E8D7C46C": "上唇中部大小"
"HASH_5E0D7E6C": "海军陆战队员"
"HASH_F566B06D": "在金枪上宣告你的主权。"
"HASH_87C7766D": "经典街头火力"
"HASH_F5DF686D": "浑蛋"
"HASH_CB78786D": "整流罩"
"HASH_B8EB7E6D": "束缚"
"cm_ubdy_fleurs": "芙勒帽衫"
"HASH_15F9586D": "记住我"
"HASH_3160D26D": "引信已燃"
"HASH_6987266D": "兄弟会"
"HASH_EB6E7E6D": "描眉"
"HASH_38E8A06D": "雀斑"
"HASH_E288906E": "烧了它们。把它们全烧了。"
"CUST_VARIANT_BEADS": "珠饰"
"HASH_E025486E": "浴袍"
"cf_hair_vintagebob-02": "复古妖姬"
"HASH_3183D66E": "亮黄绿"
"HASH_2995266E": "灰色 9"
"HASH_A3C9606E": "内衣"
"HASH_CB0C006F": "外星人从不攻击穿红色的人，对吧？"
"HASH_8D9B2C6F": "家庭派对"
"HASH_42CCF86F": "圣徒鸢尾耳环"
"HASH_F520326F": "上流"
"HASH_149FCC70": "校队精神衫"
"HASH_A2BBCA71": "压车机"
"HASH_89D1B871": "恐惧"
"HASH_1E6ED471": "海湾黄"
"HASH_0CF00E71": "碰不得墨镜"
"HASH_10383871": "痞子帽"
"cm_lbdy_ridingpants": "骑行裤"
"HASH_F3894672": "宣布你的主权！"
"HASH_2E227072": "一款非常特别的《圣徒行》经典。"
"HASH_99539872": "嗤笑"
"HASH_EF0FA872": "伯利兹绿"
"male_overweight": "男·超重"
"HASH_B8C15672": "抑郁独立青年"
"HASH_52128272": "甜心高跟鞋"
"HASH_DE2C9C72": "眼中有球"
"cf_ubdy_jacketcleavage": "春季夹克"
"HASH_AEE4C272": "守护者"
"HASH_EFDC9E73": "下巴酒窝"
"HASH_F4A9A273": "石魔像灰"
"HASH_7B64DC73": "猎鹰人"
"cm_ubdy_postapocman": "末世装甲"
"cm_lp35q_hat_reader": "学者帽"
"HASH_7C65F473": "紫色仙女"
"HASH_82FE8273": "痣 4"
"HASH_E407FE73": "项链"
"HASH_C3B7E474": "绅士强盗"
"HASH_27EB5874": "亮紧丁字裤"
"HASH_67057474": "干活裤"
"cm_lp35e_lbdy_m_entertain": "艺人长裤"
"HASH_360D1674": "永属我"
"HASH_6EEAE274": "忍者缠带"
"HASH_5960BA75": "一路向西"
"HASH_96FBF875": "侧裙"
"HASH_8AF6E876": "我仍相信"
"HASH_59246476": "贴花"
"HASH_FFDE1676": "内饰"
"HASH_889A6876": "OG 裤"
"HASH_50E3CE76": "重金属戒指"
"HASH_49CCAA76": "猩红女院长"
"CUST_VARIANT_01_DEFAULT": "变体 1"
"HASH_8D7C8277": "老太摩托靴"
"HASH_2E6D1678": "用此武器击杀会掉落额外生命拾取物。"
"HASH_B5B2C478": "圣徒街区"
"HASH_0C4B7078": "灯罩"
"HASH_850AD478": "钻石耳钉"
"HASH_3C246878": "食肉丧尸"
"HASH_98620278": "摩托辣妹夹克"
"cf_ubdy_turtleneck": "垂坠高领衫"
"HASH_AE2EC878": "无政府骷髅"
"HASH_615F6879": "射击现在会把目标击飞。"
"Level_2": "第 2 关"
"HASH_0F39D479": "强尼·盖特吉祥物"
"HASH_8BF4C479": "真爱耳钉"
"HASH_B3492E79": "爱2锐舞珠"
"HASH_0B75D479": "虚张声势"
"HASH_C0C3D279": "巴风特"
"HASH_C5C6F879": "快乐彩虹"
"HASH_F1C59879": "黄绿 4"
"HASH_989A027A": "女性 2"
"HASH_B4113C7A": "内饰"
"HASH_2F74EC7A": "喷漆 4"
"HASH_DEC17A7A": "派对时光手链"
"HASH_9B6CD07A": "简约层次"
"HASH_2E3DFC7A": "蓝色"
