# TODO: Translate to Simplified Chinese
# Source: new_sr35_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 1308

"HASH_1B989100": "增加可用念力投掷物体的距离。"
"HASH_1FA03E04": "在整个模拟世界中，总统追逐着辛族爪牙。总统觉得这一切都很好玩。砰！辛族爪牙应声倒下！"
"UNL_VEHICLE_GENKIMOBILE": "载具 - 源木战车"
"HASH_8A459805": "你现在可以用冲击波朝敌人发射能量了！\n\n使用 {SUPER_QUICK_FREEZE_IMG} 快速切换到冲击波。"
"HASH_6D286605": "横版卷轴"
"HASH_EAC40B05": "{ATTACK_PRIMARY_IMG} 开炮 \n{ATTACK_SECONDARY_IMG} 发射火箭 \n{SPRINT_IMG} 冲刺 \n{MELEE_NUT_SHOT_IMG} 近战猛击 "
"HASH_67357C05": "与马特·米勒恋爱"
"HASH_F7F6BC05": "触手蝙蝠暴打"
"HASH_34055505": "把音量拉满，低频多砸几下，顺便干掉几个辛族。"
"HASH_B2C14D05": "天降杀戮击杀数"
"UNL_JUMP_SPEED": "跳跃 - 距离"
"UNL_DESC_STOMP_HUMAN_DAMAGE": "践踏对人类造成更高伤害。"
"HASH_EDC5A706": "在你的HUB\"手机\"菜单中可以找到快乐香蒂。她会在战斗中帮助圣徒。"
"HASH_2F8DDF06": "只要装备了增益，攻击就有几率附加元素伤害。"
"HASH_562C8206": "冻结[format][color:power_blast]冲击波[/format]后射击[format][color:power_blast]典狱长[/format]"
"HASH_92D78606": "确认队伍分配"
"HASH_0546FA06": "拯救[format][color:location]强尼·盖特[/format]"
"HASH_55134E07": "金吉和副总统基思·大卫现已登船。去找他们领取任务，学习如何破坏模拟世界并扰乱齐尼亚克的行动。"
"HASH_F078B607": "@@BUFF_FIRE^^增益激活期间，附近的同伴免疫火焰。@@BLAST_FREEZE^^附近的同伴有几率发射冰冻子弹。@@BUFF_LIGHTNING^^附近的同伴有几率发射闪电子弹。"
"HASH_2F225B07": "投掷炸弹摧毁高塔。\n\n炸弹只会伤害同色的塔。"
"HASH_B88BE907": "被冻结的敌人会原地不动，受到的伤害大幅提高。\n\n用冻结[format][color:power_blast]冲击波[/format] {ATTACK_SECONDARY_IMG} 击中这些敌人，然后干掉他们。"
"HASH_AE9A2B07": "击杀"
"HASH_5C52AC07": "找到[format][color:location]能量导管[/format]"
"HASH_DC146207": "[format][color:use]打开[/format]货舱门"
"HASH_55426207": "UFO 大混乱"
"HASH_FB299E08": "同伴 - 强尼·盖特"
"HASH_9D75B008": "超级冲刺时速度更快。"
"HASH_21C0FF08": "冻结你的敌人，然后用枪攻击他们造成双倍伤害！"
"HASH_EF07CA08": "斯坦菲尔德岛已解锁新的传送门。\n返回飞船，在这里存取你的武器库、服装、载具和帮派自定义内容。"
"HASH_98A44F09": "武器 - 弹跳步枪"
"UNL_HOMIE_DANE_VOGEL": "同伴 - 德恩·沃格尔"
"HASH_5267BE09": "大幅提升机甲战衣的悬浮速度。你或许该考虑把它漆成红色。"
"HASH_C9DDBF09": "机甲生命值"
"HASH_66A94D09": "黄金 CID 击杀"
"HASH_4C86210A": "齐尼亚克雕像"
"UNL_TELEKINESIS_REDUCED_MANA_1": "念力 - 充能"
"HASH_64B1A00A": "践踏元素 - 缩小"
"UNL_DESC_UFOMAYHEM": "模拟世界中已开放更高难度的 UFO 大混乱活动。\n查看地图了解位置。"
"UNL_DESC_RAGDOLL_RECOVERY": "按下 {JUMP_CLIMB_IMG} 即可在被击倒后立刻起身。\n\n对任何踏入超能战斗的圣徒来说都是必备之选。"
"HASH_8DAD6B0A": "按住 {SUPERJUMP_FORWARD_BOOST_IMG} 滑翔"
"HASH_41069F0A": "与金吉交谈"
"HASH_35423F0A": "消灭外星小队"
"UNL_DESC_JUMP_REDUCED_MANA_3": "滑翔不再消耗体力。"
"HASH_1423E90B": "对[format][color:kill]敌人[/format]使用天降杀戮"
"HASH_69303B0B": "文字冒险碎片"
"HASH_2E4BF00C": "天降杀戮 - 瞄准"
"HASH_6624CC0C": "肖恩蒂已被救回，现在登上飞船！去找她，帮她与过去和解。"
"HASH_07C5AA0C": "增益 - 持续时间"
"HASH_F309E10D": "已解锁崇拜"
"HASH_A9D2B70D": "@@TK_FORCE^^提升被投掷载具的伤害。@@TK_LIGHTNING^^增加闪电在物体间弧跳的距离。@@TK_LIFE_STEAL^^提升每秒窃取的生命值。"
"UNL_DESC_HACKING_EXTRA_TIME": "完成商店黑客入侵的时间翻倍。"
"HASH_0033CE0D": "肖恩蒂"
"HASH_5673660D": "脸撞车流"
"HASH_B58DB80E": "超级同伴 - 阿莎"
"HASH_0975D00E": "用能量剑击杀敌人时，掉落的治疗量翻倍。把敌人切成美味的治疗碎片吧！"
"HASH_3377B20E": "摇滚"
"HASH_DE1CFB0E": "核爆"
"HASH_8C4C5C0E": "{ATTACK_SECONDARY_IMG} [format][color:power_pound]超级践踏[/format]\n制造巨大冲击波，对附近目标造成毁灭性破坏。 "
"HASH_667F2D0E": "{SPRINT_IMG} 猛撞可破坏物体"
"HASH_DBBAC70E": "双击 {SUPER_QUICK_STOMP_IMG}\n快速切换[format][color:power_pound]践踏[/format]元素\n\n从所有已获得的[format][color:power_pound]践踏[/format]元素中快速选择。"
"HASH_7032B80F": "NFLATO 射线战衣"
"HASH_B83DAB0F": "呼叫夜刃"
"HASH_5B5C280F": "{ANALOG_RS_IMG} 瞄准\n{ATTACK_PRIMARY_IMG} 射击"
"HASH_7A93DD0F": "这把外星武器暂时没电了。\n\n经过短暂冷却后会迅速重新充能。"
"HASH_94FBFB0F": "与本·金恋爱"
"HASH_FB69940F": "恢复"
"HASH_FBE6570F": "与同伴共处的时间"
"UNL_DESC_MANA_RECOVERY_3": "超能力能量恢复速度提升 50%%"
"HASH_EBF7DD10": "消灭[format][color:kill]警察[/format]"
"HASH_6A06C810": "消灭[format][color:kill]大托尼[/format]"
"HASH_B5079310": "赢得全部「载具大混乱」金牌，即可在虚拟钢埠停放更多外星载具。"
"HASH_657E2010": "前往有趣的地方。结识新物种。然后干掉它们。"
"HASH_ACFBD910": "你召唤 UFO 降临，UFO 把敌人吸上去。它们去了哪儿？谁在乎呢！"
"HASH_75AF0211": "念力元素 - 闪电"
"HASH_EA4AA611": "新科尔文岛已揭晓！"
"HASH_67489511": "齐尼亚克雕像"
"HASH_C13A7D11": "船上的圣徒可从主菜单 - 手机界面呼叫。叫来支援，或者只是出来聚聚！"
"HASH_9C418711": "返回传送门"
"HASH_76A63611": "弹跳步枪击杀数"
"HASH_356F8E12": "赛博斯特拉达现已在你的传送门车库中提供。"
"HASH_DCBD7412": "超级护盾"
"HASH_6591D012": "距离"
"HASH_8B114312": "找到[format][color:location]军械库[/format]"
"HASH_00860B13": "载具 - 圣徒 XOR"
"UNL_RELOAD_COOLDOWN_4": "更快冷却 4"
"HASH_5D958113": "奇点枪的黑洞充能速度快得多。"
"HASH_01EE1113": "盖特阵亡！"
"HASH_1236A414": "冲刺 - 墙壁奔跑"
"HASH_26647A14": "在你的HUB\"手机\"菜单中可以找到超级后援。一队超级圣徒会赶到战斗支援。"
"UNL_DESC_HADOUKEN_SUPPRESSION_1": "使用核爆后，力量恢复速度略快"
"HASH_87CFA614": "在你周围制造巨大的数据涌流，使敌人故障失控并为你而战！\n\n双击 {SUPER_QUICK_FREEZE_IMG} 在冲击波元素间快速切换。或在力量菜单中切换元素。"
"HASH_D1243614": "大幅提升冲击波的作用范围。"
"UNL_DESC_AIR_DASH_3": "每次超级跳跃可冲刺三次。"
"HASH_B6815A14": "冲击波 - 伤害"
"HASH_A4DFCA14": "{SIDESCROLL_PUNCH_IMG} 拳击 \n{SIDESCROLL_KICK_IMG} 踢腿"
"HASH_E0302314": "[format][color:defend]躲避[/format]激光"
"M18_GO_IN_OFFICE": "进入[format][color:location]办公室[/format]"
"HASH_8A4A6D14": "与阿莎交谈"
"UNL_HADOUKEN_REDUCED_MANA_1": "核爆 - 充能"
"HASH_34C49615": "载具配送"
"HASH_55851D15": "消灭[format][color:kill]老兵之子[/format]"
"HASH_B3FD6E15": "碎裂击杀"
"HASH_17CDBC15": "模拟世界会敬重一个懂得做事之道的圣徒。"
"HASH_19ADFE16": "蓄力超级跳跃的高度提升。"
"HASH_2E60EA16": "用电力为你的子弹和周围空气充能。闪电在敌人之间弧跳造成额外伤害！\n\n双击 {SUPER_QUICK_SHIELD_IMG} 在增益元素间快速切换。或在力量菜单中切换元素。"
"HASH_F0A5BD16": "新科尔文岛已解锁新的传送门。\n返回飞船，在这里存取你的武器库、服装、载具和帮派自定义内容。"
"HASH_7D231716": "力量"
"HASH_94269816": "等待其他玩家"
"HASH_E5710316": "音频日志"
"HASH_462C5216": "目标区域"
"UNL_SHIELD_3": "护盾 - 生命恢复"
"UNL_HADOUKEN_1": "核爆 - 更快恢复"
"HASH_520A8817": "奖励 - 黑客入侵奖励"
"HASH_7862EF17": "适度延长可驾驶机甲战衣的时间。"
"HASH_45D49E17": "{ATTACK_SECONDARY_IMG} 发射火箭\n炸开上锁的门。"
"HASH_9797BA17": "透明"
"HASH_7FB1FD18": "念力 - 强化"
"UNL_DESC_STOMP_ARC": "践踏影响的范围更广。"
"HASH_0A4A8D18": "在你的HUB\"手机\"菜单中可以找到夜刃。他会停止猎杀吸血鬼来帮助圣徒战斗。"
"HASH_F0498C18": "服装 - 本·金套装"
"HASH_D1707E18": "抵达[format][color:location]安全区[/format]"
"HASH_FDE78A18": "赢得全部「徒步大混乱」金牌，即可解锁更多弹药储备。"
"UNL_DESC_HADOUKEN_REDUCED_MANA_3": "核爆不再消耗能量"
"HASH_838CB21A": "你现在可以使用传送门在飞船与模拟世界之间穿梭。\n使用斯坦菲尔德岛的传送门返回飞船，存取你的武器库、服装、载具和帮派自定义内容。"
"HASH_9BF4291A": "典狱长暴打"
"HASH_1830921A": "摧毁[format][color:purple]齐尼亚克雕像[/format]可获得缓存与经验值。"
"HASH_2D1C431A": "待在[format][color:location]区域内[/format]"
"HASH_06EAFE1A": " - 简单"
"HASH_6B0D921B": "机甲战衣 - 超频 2"
"HASH_A761031B": "奖励 - 闪点奖励"
"HASH_F6E0F51B": "线框维和者现已在你的传送门车库中提供。"
"HASH_1B02FA1B": "与阿莎恋爱"
"HASH_D5BC651C": "与强尼·盖特恋爱"
"HASH_CAEDDC1C": "故障"
"UNL_MANA_RECOVERY_1": "超能能量 - 更快恢复"
"HASH_AE87981D": "{ATTACK_SECONDARY_IMG} 念力 \n将人、汽车和源木物体投掷到对应目标上。"
"HASH_DC656C1D": "林凡事三思而后行，在出手前必定摸清所有选项。林随时乐意以任何方式提供帮助。"
"HASH_81604E1D": "与皮尔斯恋爱"
"HASH_BBACD41D": "超能格斗俱乐部金牌"
"HASH_F52EF41E": "源木武器战衣"
"HASH_6B53C91E": "超级同伴 - 马特·米勒"
"HASH_A62AF41E": "切换践踏元素"
"HASH_3F68D11E": "皮尔斯"
"HASH_5258FA1E": "开门"
"HASH_49C64F1F": "船员 - 金吉·肯辛顿"
"UNL_DESC_TELEKINESIS_REDUCED_MANA_2": "念力能量充能速度更快。"
"UNL_DESC_SPRINT_REDUCED_MANA_3": "超级冲刺不再消耗能量。"
"HASH_41B1921F": "穿回衣服"
"HASH_0703EE1F": "外星武器 "
"HASH_0472DD1F": "机甲战衣行驶距离"
"HASH_A1F0FD20": "强尼·盖特与本·金"
"HASH_EA78AB21": "念力大混乱"
"UNL_SPRINT_BUILDUP": "冲刺 - 急速"
"UNL_DESC_HOMIE_TANYA": "塔尼娅已被重建为盟友，在你的HUB\"手机\"菜单中可以找到她。她会在战斗中帮助圣徒。"
"HASH_37286021": "黑客入侵[format][color:use]商店[/format]"
"HASH_3DFA7B21": "指挥官"
"UNL_SPRINTING_2": "冲刺 - 推撞"
"HASH_A9AB6E22": "船员 - 阿莎·奥德卡"
"HASH_4AC7C422": "进入模拟世界"
"HASH_F4907322": "赢得全部「极速裂隙」银牌，即可在水面上奔跑。"
"HASH_23C13622": "当你击碎被冻结的敌人时，只想问一个问题：你为什么要这么冷酷？"
"UNL_TELEKINESIS_HOLD_COST": "念力 - 持续消耗"
"HASH_B76A0024": "载具 - 铬合金封锁"
"HASH_FA4AB124": "灯泡不包含在内。这套服装现已在你的传送门衣橱中提供。"
"HASH_C6230224": "激活冰冻冲击波"
"HASH_AB3C6224": "跳跃连锁"
"HASH_50E4C925": "冲击波 - 伤害 2"
"HASH_F7882525": "激活重力践踏"
"HASH_24B9C025": "与在线玩家创建合作模式会话"
"HASH_1C031F25": "肖恩蒂已成为一个专注而有冲劲的女人，绝不任人摆布。她在战斗中是个狂战士，但必要时也能制定计划。"
"UNL_WEP_ABDUCTION": "武器 - 绑架机器"
"UNL_TELEKINESIS_REDUCED_MANA_3": "念力 - 充能 3"
"UNL_RELOAD_COOLDOWN_2": "更快冷却 2"
"HASH_F7155326": "攀登高塔"
"HASH_7F618F26": "访问主菜单"
"HASH_AA7DAA26": "跟随[format][color:location]副总统[/format]"
"M18_FAIL_SPEECH": "你离开了区域！"
"HASH_57E13F27": "载具 - 赛博枪手"
"UNL_DESC_JUMP_REDUCED_MANA_1": "滑翔消耗更少体力。"
"HASH_491F6627": "激活火焰冲击波"
"HASH_958B1227": "角色选择"
"UNL_SPRINT_REDUCED_MANA_2": "冲刺 - 效率 2"
"HASH_40571228": "防守区域"
"HASH_B6AF2B29": "人工智能已被上传到飞船上的 C.I.D. 中。去找这个人工智能，学习如何进一步提升你的超能力。"
"HASH_A1BE0129": "传送门 - 阿拉皮斯岛"
"HASH_F0630A29": "念力"
"HASH_47412D29": "摧毁[format][color:kill]中继器[/format]"
"HASH_066C1629": "目标"
"HASH_0D444E2A": "念力不再消耗能量。"
"HASH_3642EB2A": "赢得全部「烈焰」金牌，即可解锁黄金武器战衣。"
"UNL_DESC_MECH_SUIT": "在你的HUB\"手机\"菜单中可以找到机甲。随时呼叫即可临时驾驶机甲！"
"HASH_E3A1412B": "大幅提升天降杀戮的攻击范围。"
"HASH_9AEF932B": "激活吸血念力"
"HASH_C0B7252B": "呼叫俏皮肖恩蒂"
"HASH_6AE4FE2B": "{DPAD_IMG} 快速切换力量\n快速切换超能力，自由搭配组合出致命连招。"
"HASH_5685882B": "被冻结时，典狱长的护盾会暂时失效。\n\n用冻结[format][color:power_blast]冲击波[/format] {ATTACK_SECONDARY_IMG} 击中这名典狱长，然后用你的武器造成伤害。"
"HASH_AD88952B": "消灭[format][color:kill]典狱长[/format]"
"HASH_20266E2B": "防守[format][color:defend]传送门[/format]"
"HASH_8B2E272B": "拾取[format][color:power_tele]钥匙[/format]"
"HASH_A27E4C2B": "完成其他 46 项挑战"
"HASH_8D6A182C": "载具 - 铬合金虚空"
"HASH_B0BC962C": "一批怪兽卡车现已在你的传送门车库中提供。"
"HASH_F596F02C": "最大化可用念力投掷物体的距离。"
"UNL_DESC_STOMP_2": "大幅提升践踏的范围与眩晕时间。"
"HASH_A119492C": "[format][color:defend]躲避[/format]碎片"
"HASH_FCEA8F2C": "真正妙不可言的，是看着它们替你对付敌人。"
"HASH_895F932C": "再多掌握模拟世界的一些方面，你就能更便宜地穿戴光鲜。"
"HASH_05E1A12D": "火焰武器战衣"
"HASH_3CAE6B2D": "机甲战衣 - 悬浮消耗"
"UNL_DESC_SUPER_STOMP_PC": "你现在可以一脚跺向地面，用超级践踏把附近的一切震飞！\n\n使用 {SUPER_QUICK_STOMP_IMG} 快速切换到践踏。"
"HASH_012F8A2D": "冻结"
"HASH_9DDF4B2D": "我来了，我看见，我征服"
"HASH_548EDF2D": "赢得全部「源木·精神制胜」金牌，即可解锁源木武器皮肤。"
"HASH_C3B8C92D": "外星高通缉时间"
"HASH_942FDF2D": "UFO 大混乱"
"HASH_F1712B2E": "已解锁顾问"
"HASH_C119BA2E": "去[format][color:use]购物[/format]"
"HASH_585C7F2F": "念力 - 投掷消耗"
"HASH_B4F24E2F": "它必须是紫色的。"
"HASH_02DC692F": "强尼·盖特已被救回，现在登上飞船！去找他学习如何制造大规模杀伤性武器。"
"HASH_AD2B6E2F": "略微提升所有医疗补给的价值。"
"HASH_C4B5092F": "@@BLAST_FREEZE^^被冻结时目标承受更高伤害。@@BLAST_FIRE^^燃烧时目标每秒承受更多伤害。@@BLAST_GLITCH^^提升可同时控制的目标数量。"
"HASH_33C4052F": "访问传送门武器库时获得更多免费弹药。"
"HASH_071B522F": "{ATTACK_PRIMARY_IMG} 开火主炮 \n{ANALOG_RS_IMG} 精确瞄准"
"HASH_737C5E2F": "冰冻冲击波"
"HASH_2C3B962F": "砸碎[format][color:kill]木箱[/format]以修复"
"HASH_8B48682F": "格斗俱乐部"
"HASH_95A52230": "用天降杀戮干掉一百个辛族。只要记住……要是光着身子，他们可全看在眼里。"
"UNL_MANA_RECOVERY_3": "超能能量 - 更快恢复 3"
"HASH_69928B31": "同伴 - 罗迪·派珀"
"HASH_553FC831": "金吉现在拥有超能力了！她已准备好破解齐尼亚克母舰的最终密码。从HUB\"手机\"菜单呼叫金吉，看看她的新装备！"
"HASH_A720D331": "精神控制"
"HASH_18120331": "消灭[format][color:kill]外星人[/format]"
"HASH_4B124431": "禁用[format][color:use]卫星[/format]"
"HASH_F6B99F31": "[format][color:location]跳离[/format]飞机"
"HASH_92114D31": "闯入[format][color:location]牢房[/format]"
"HASH_61F8FA31": "与肖恩蒂交谈"
"HASH_43318631": "%%"
"HASH_478B3E32": "武器 - 半自动霰弹枪"
"HASH_CD225E32": "和盖特一起大开杀戒。"
"HASH_EE494432": "缩小敌人被压扁数"
"HASH_99557733": "奇点枪充能升级"
"HASH_AD737E33": "载具 - 赛博斯特拉达"
"UNL_DESC_SPRINT_REDUCED_MANA_1": "超级冲刺消耗更少体力。"
"HASH_9AB76933": "冲刺滑翔"
"HASH_FA946F33": "电晕一个敌人不错。看它们在彼此间传递才是真正的目的。你能让闪电弧跳到多少个敌人身上？"
"HASH_5929B834": "生命 - 补给价值 2"
"HASH_7ADB9534": "用致命的火墙将自己和子弹一并包裹！"
"HASH_C3309034": "桶滚"
"HASH_959ACE34": "达到能量等级 %d"
"UNL_DESC_TELEKINESIS_2": "念力可以接住朝你扔来的物体！"
"UNL_DESC_HADOUKEN_REDUCED_MANA_1": "核爆仅消耗 75%% 能量"
"HASH_D27CEC35": "渗透"
"HASH_39625C35": "UFO 大混乱"
"HASH_E8CB8835": "赢得全部「保险欺诈」银牌，即可抵抗被爆炸击倒。"
"HASH_839A9A35": "充分掌握模拟世界，你甚至能将自己的圣徒人工智能赋予超能力！"
"UNL_WARDEN_BEATDOWN_2": "典狱长 - 终结技 2"
"HASH_D8C01F36": "呼叫马特上场。"
"HASH_A5C95F36": "前往[format][color:location]友军火力[/format]"
"HASH_28653236": "离开[format][color:use]商店[/format]"
"HASH_B1A1E136": "探索[format][color:location]教堂[/format]"
"UNL_WEP_SHRINK_RAY": "武器 - 微缩射线枪"
"HASH_E9F51F37": "激活闪亮冲击波"
"HASH_A011EC37": "{ATTACK_PRIMARY_IMG} 激活爆发\n爆发可击碎障碍物获取资料，并提升所有数据价值。"
"HASH_FEA4F137": "购买[format][color:use]升级[/format]"
"m22_2_out_of_time": "未能及时逃脱"
"UNL_SUPER_TK": "念力"
"HASH_ABFAB438": "格斗俱乐部"
"UNL_DESC_HADOUKEN_SUPPRESSION_3": "使用核爆后，力量恢复速度大幅加快"
"HASH_34897A38": "穿上这身衣服，你会想把中间名改成\"他妈的\"。这套服装现在可以在你的传送门衣柜中找到。"
"UNL_DESC_AIR_DASH_1": "按下 {SPRINT_IMG} 即可在空中获得加速。"
"HASH_9E9E6938": "若你坠落，可从塔底传送至已激活的最高传送点以节省时间。"
"HASH_E46F8E38": "火焰冲击波"
"HASH_C6997338": "皮尔斯与肖恩蒂"
"HASH_17106538": "用你的冲刺护盾挡下他们的射击。"
"UNL_HOMIE_MAERO": "同伴 - 马罗"
"UNL_HADOUKEN_REDUCED_MANA_3": "核爆 - 充能 3"
"HASH_4520A339": "超能竞速"
"UNL_WEP_MINEFIELD": "武器 - 杀戮机器人布雷器"
"UNL_DESC_WEP_LASER_MINIGUN": "杀戮机器人的迷你枪已被逆向工程。用「灭绝者」在战场上横扫死亡！\n在传送门武器库装备它。"
"HASH_F7A39F3A": "蓄力超级跳跃达到最大高度。你能一跃跳过高楼大厦！"
"HASH_9D46E13A": "冲击波 - 爆炸死亡"
"HASH_7932603A": "打开选项菜单"
"HASH_FF88D53A": "进入[format][color:location]监狱[/format]内部"
"UNL_SHIELD_1": "护盾 - 能量充能"
"UNL_HADOUKEN_3": "核爆 - 更快恢复 3"
"HASH_7829013B": "从选项菜单打开音频设置"
"HASH_FB98D73B": "在被叛徒废黜之前，本·金在斯提尔沃特经营 Vice Kings 帮派多年。金是战术大师与长远谋略者，但动起手来也毫不含糊。"
"HASH_8323DB3B": "完成其他 27 项挑战"
"UNL_DESC_MANA_RECOVERY_1": "超能力能量恢复速度提升 10%%"
"HASH_C2AB1A3C": "机甲跳跃喷射"
"HASH_7848D93C": "念力击杀"
"UNL_VEHICLE_UFO": "载具 - UFO"
"UNL_JUMP_REDUCED_MANA_2": "滑翔 - 效率 2"
"UNL_HOMIE_UFO": "同伴 - UFO"
"HASH_C264933D": "天降杀戮 - 伤害"
"HASH_5734B43D": "这条裤子没有看上去那么花哨。马特·米勒的服装现已在你的传送门衣橱中提供。"
"HASH_CE7C113D": "增益激活期间提升行走速度。"
"HASH_5DB98C3D": "增益 - 被动侵略"
"HASH_83DB9A3D": "与马特·米勒交谈"
"HASH_7C578C3D": "这是唯一的出行方式。"
"HASH_8EDBA23E": "念力元素 - 吸血"
"UNL_DESC_FREEZE_DAMAGE_2": "目标被冻结时承受更高伤害。"
"HASH_74DC3C3E": "[format][color:location]离开[/format]"
"HASH_8684E43E": "消灭[format][color:kill]VICE KINGS[/format]"
"HASH_4F27913E": "它们越大，被你湮灭时炸成数据碎片的动静就越猛。"
"HASH_6D32043F": "这些来自那个讨人喜欢的疯子「人猫」的私人收藏：\n\n荷马，卡达克激光枪。"
"HASH_7A8B613F": "炮塔控制"
"HASH_7E99783F": "在病毒上传时消灭敌人"
"HASH_0A2A2A3F": "移除敌方代码"
"HASH_2305BB40": "载具 - 赛博怪兽卡车"
"HASH_1CBEBB40": "斯坦菲尔德岛已解锁新的传送门。\n返回飞船，在这里存取你的武器库、服装、载具和帮派自定义内容。"
"HASH_C1E48D40": "冲击波能量充能速度更快。"
"HASH_0D23E440": "选择一名指挥官，从此处协助协调攻击。领导力是成功指挥官的关键。"
"HASH_801B7C40": "载具被超级踢飞数"
"HASH_28878440": "唐尼被杀"
"HASH_3CEF4741": "香蒂现在拥有超能力了！她已与自己合为一体，准备好对抗齐尼亚克。从HUB\"手机\"菜单呼叫香蒂，看看她的新装备！"
"HASH_474A8041": "激活火焰增益"
"UNL_TELEKINESIS_2": "念力 - 接取"
"HASH_C326BC42": "移除部分安全协议，使机甲战衣的武器充能更快。"
"HASH_899AA742": "绑架机器"
"HASH_CDC0A042": "是时候干掉齐尼亚克了"
"HASH_9D445442": "科学小知识：严格来说，分解器并不会把人彻底消灭。它先把人分解成组成分子……然后再消灭那些分子。去消灭一些辛族分子吧。"
"HASH_CBA24843": "增益元素 - 火焰"
"UNL_DESC_WARDEN_BEATDOWN_3": "终结典狱长现在容易得多。"
"HASH_21C13C43": "激活精神控制冲击波"
"HASH_2A9B8C43": "带来一点节日欢欣"
"HASH_49569843": "飞船操控"
"HASH_83268F43": "防守[format][color:defend]钥匙[/format]"
"HASH_D0DAF543": "齐尼亚克雕像已摧毁"
"UNL_TELEKINESIS_FIRE": "念力 - 火焰"
"HASH_8E3FB544": "正在离开防守区域"
"HASH_E69FBB45": "卡弗岛已揭晓！"
"HASH_3E91DD45": "[format][color:kill]摧毁[/format]货舱门"
"HASH_2CCED245": "西南城区"
"HASH_3AB32945": "冲刺险过"
"HASH_3B5B4F46": "铬合金响尾蛇现已在你的传送门车库中提供。"
"HASH_4231D546": "增大天降杀戮造成的爆炸范围。"
"HASH_91515246": "呼叫强尼·盖特"
"HASH_DCF0FD46": "兄弟"
"HASH_E91B4246": "决定由谁去执行佯攻，而你则专注于引出齐尼亚克。独自在外会很危险，所以挑一个能独当一面的人。"
"UNL_SUPPRESS_DURATION_1": "压制 - 能量恢复"
"UNL_DESC_DFA_AIRCRAFT": "天降杀戮可锁定飞行器。"
"HASH_04710847": "新科尔文岛已解锁新的传送门。\n返回飞船，在这里存取你的武器库、服装、载具和帮派自定义内容。"
"HASH_8839FD47": "呼叫圣徒后援"
"HASH_CE129D47": "复活[format][color:revive]基思·大卫[/format]"
"HASH_8256BC48": "齐尼亚克在虚拟钢埠各处竖立了雕像。摧毁它们可获得额外缓存与经验值。"
"HASH_D9B48648": "略微提升医疗补给被吸向你的范围。"
"HASH_972ECB48": "开始机甲战衣大混乱"
"UNL_DESC_STOMP_REDUCED_MANA_2": "践踏能量充能速度更快。"
"HASH_4C24E349": "外星载具击杀"
"HASH_4D74454A": "卡弗岛已解锁新的传送门。\n返回飞船，在这里存取你的武器库、服装、载具和帮派自定义内容。"
"HASH_6C60184A": "金色"
"HASH_5674D24B": "弹跳步枪射出社交蝴蝶……非常致命的社交蝴蝶。在传送门武器库装备它。"
