# TODO: Translate to Simplified Chinese
# Source: subtitle_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 603

"HASH_BC417DC0": "这不是关于希望，或者信仰，甚至不是关于赢。"
"HASH_E8979D4B": "天才电脑黑客……唱片大亨……虚拟世界经验……街头帮派经验。"
"HASH_2A39674B": "我们确实做到了。"
"HASH_E1D57E8B": "你不用说服我，说服你自己就行。喝吧。"
"HASH_26C6008B": "什么？"
"HASH_D41CDC0B": "听着，香蒂，我们离开这——"
"HASH_BFBDA58B": "我说今天收获不错。"
"HASH_CFF5560B": "老天，你也是？"
"HASH_4F929ACC": "你确定这是正确的地方吗？"
"HASH_1E59BD0C": "他总在最需要的地方出现。"
"HASH_A847868C": "基思·大卫死定了。"
"HASH_8409CF4C": "香蒂你他妈在干什么，他们抓了金吉！"
"HASH_594C330C": "那好。坐上去。"
"HASH_9F37404C": "怪我父母。"
"HASH_46279D4C": "哇，你真冷血。约翰尼的女朋友被杀的时候他还哭得像个孩子呢。"
"HASH_B8558B0C": "顽皮流氓！"
"HASH_17130CCC": "我们丢下他等死。"
"HASH_C81D788C": "真有魅力。"
"HASH_4E082C8C": "我的天，是总统！"
"HASH_5D99BA4C": "这不是设局，情报是可靠的。"
"HASH_A0987E8C": "组装钥匙所需的主要部件是中央处理器、内存模块和重力抑制器。我在旧斯蒂尔波特国民警卫队军械库找到了一个CPU。你去取那个，我找找其他东西。"
"HASH_5CD4D1CC": "在阿莎·奥德卡尔帮我们拯救了整个该死的国家之前，我对她了解不多，但这些年来，我认识到她是我见过的最优秀的士兵之一。如果我要扳倒齐尼亚克，我要她加入我的队伍。"
"HASH_81D5B7CD": "好了ZJ，我要你跟我说实话。齐恩人的科技有多先进？"
"HASH_02572DCD": "我觉得你对戏剧效果颇有天赋。"
"HASH_3EB5D28D": "不，是横版过关。"
"HASH_C661B5CD": "嘿，金……"
"HASH_CBF3BE8D": "好了，我断开你的连接了本杰明，回头见。"
"HASH_B932A28D": "那我觉得我们有麻烦了。"
"HASH_0956470D": "还是说做个顽皮流氓，过着欢笑与奇思妙想的生活？"
"HASH_FE35E6CD": "齐恩人建了大型防火墙塔来阻止我干扰他们的系统。必须摧毁它们。我制作了逻辑炸弹，可以用你的念力投向防火墙来把它们炸塌。不过齐恩人也有自己的炸弹，你要小心。注意匹配特定颜色以达到对塔的最大效果。"
"HASH_F30DD10E": "老大不回答你，亲爱的。"
"HASH_37DBEB4E": "他在哪？"
"HASH_BB08154E": "马特跟我说了一些……她对你的非常具体的担忧。"
"HASH_991F7C8E": "好的。"
"HASH_3E9D544E": "我的问题？我的问题是我曾经就是你。"
"HASH_91C7218E": "根据马特的数据，所有子矩阵都在碎爱尔兰人酒吧里。"
"HASH_C96F6F4E": "他逃不掉的。"
"HASH_A27B8F0E": "听着，伯特和我跟她共事过。她没问题。"
"HASH_E261FC0E": "圣徒需要明确的目标，于是方向定了下来……"
"HASH_843A4C4E": "世界上最伟大的义警需要我们帮忙引出他的头号大敌！为此，我们必须对抗那邪恶队长的爪牙大军，引出他的副手，直到那可怕的威胁现身！然后我们必须在一场惊天动地的终极冲突中击败他！"
"HASH_7CB45E4F": "你他妈在逗我吧。"
"HASH_D45D940F": "是，阁下？"
"HASH_0178600F": "我信任你，基思。"
"HASH_8CBF368F": "该死。"
"HASH_B1215C0F": "是啊，我们该走了。"
"HASH_5626600F": "我们确实做到了。"
"HASH_E9265A0F": "你能给我该死的密码吗？"
"HASH_32025C4F": "她什么毛病？"
"HASH_22BD0F8F": "一样。"
"HASH_2F2F04CF": "这是动力装甲。"
"HASH_DF666CCF": "说点愉快的事吧。"
"HASH_46D097CF": "你能给我100%的就业率吗？"
"HASH_98A26A0F": "低调不成了。"
"HASH_B7E36ACF": "我找到了一个兼容的钥匙电源；不出所料，它被齐恩人控制着。这些电池的干扰使我无法精确定位确切位置，但我应该能确定我们需要的那三个的大致区域。"
"HASH_4BAFC58F": "从副王帮的领袖，到畅销自助书作者，到总统幕僚长；能做到这些的人屈指可数。想当年在斯蒂尔波特我差点杀了他，结果被他自己的副手们搞了政变。看来对他来说倒是因祸得福了。"
"HASH_398DF550": "看看你……我的提伯尔特身边的茂丘西奥……"
"HASH_3FA7D190": "贱人，算你走运我们当着基思·大卫的面，不然我就——"
"HASH_DE39C2D0": "越来越奇怪了……"
"HASH_05C56FD0": "你根本不知道会发生什么！"
"HASH_246E4190": "沿着路径跑，收集数据流中的病毒碎片。紫色数据更大，因此对你更有价值。你收集得越多，裂缝就越强。小心齐恩人的反病毒程序，它们会在路上设置障碍，打断你组合病毒的流程。不过追上齐恩人可以摧毁它们并帮助你的病毒。祝你好运。"
"HASH_1AC69E50": "这些数据簇似乎是模拟世界因为某种原因留下的松散代码碎片。我只找到了少量，而且很难锁定位置。一旦进入数据簇的大致区域，我应该能引导你到具体位置。"
"HASH_2FB1A791": "走吧。"
"HASH_98C3CC51": "你他妈怎么回事！"
"HASH_FFA15591": "你确实在乎，所以你先救了我。"
"HASH_B76B5991": "那不是计划，那是目标。"
"HASH_FB5B0151": "现在轮到你闭嘴了。"
"HASH_0E154711": "所以呢？"
"HASH_258C5A91": "我在救他的命，你知道的……"
"HASH_DB338F51": "这不是什么重生信教的事吧？"
"HASH_C9A2C151": "香蒂，你没事吧？"
"HASH_B786E191": "明白。"
"HASH_13CC6C51": "我要把你安置到新家。再跑一次试试，我就毁掉你那可悲的星球。拜拜。"
"HASH_BAF75AD1": "好问题。"
"HASH_D24B4B51": "我们丢了20分，能追回来。"
"HASH_0E9333D1": "计划是这样的：我们——什么鬼！"
"HASH_8C0E1AD2": "阁下，我是辛杰，您的个人管家。"
"HASH_6BFDB412": "现在不行，基思。"
"HASH_987438D2": "不知道，但如果要我赌一把，要么是射击场，要么是雀斑女郎。"
"HASH_6778BF12": "你不打算问问我的吗？"
"HASH_3A1D50D2": "我愿意。"
"HASH_6B66A052": "齐尼亚克又来这一套，把它藏在碎爱尔兰人酒吧里，我很惊讶。"
"HASH_9D018312": "这是个问题。"
"HASH_BE2BFC93": "……该去接管新母星了。"
"HASH_0ACBB553": "你真的很在意自己只拿了第二名，对吧。"
"HASH_4F469F93": "时机不太好。"
"HASH_BCC8CA93": "不，这不是我……"
"HASH_6E8E1F13": "当历史学家回顾齐恩帝国的覆灭时，这将是决定性时刻。本该让人崩溃的举动反而激励了人心；圣徒们从此踏上了绝不退缩的道路。"
"HASH_F88775D3": "你杀了七十亿人。"
"HASH_5D3E2E13": "他们以为我们要被外星人袭击了。"
"HASH_0DBD8A13": "看起来这些热点被护盾发生器保护着。靠近它们会很棘手，但你必须在拿下中央服务节点前关闭每一个发生器。当然那里也有更多齐恩人把守，所以……祝你好运。"
"HASH_E899E894": "帝国在看吗？"
"HASH_6C410794": "不错。"
"HASH_17389254": "你敢把责任和自以为是混为一谈。"
"HASH_B9FC0594": "你那届政府什么时候在意过这个了？"
"HASH_CAFD9E14": "那不是真的！"
"HASH_EBC67794": "金，能把这反对者暗杀了吗？"
"HASH_BAA9C494": "如果齐尼亚克想打，我们就奉陪到底。摧毁这个模拟世界会重创所有齐恩系统，帮我们找到朋友们。你可以做很多事来过载、干扰、总之就是把整个该死的东西搞垮，先从小处着手吧。我知道黑进商店看起来微不足道，但这是个好的开始。好了，行动吧。"
"HASH_9C148C55": "就随便说说，那条蓬蓬裙挺可爱的……"
"HASH_36C7C315": "他说得对。"
"HASH_8ECCC655": "他们绑架了基思·大卫！？"
"HASH_492A1515": "那也是一种可能。"
"HASH_53893A15": "住手！"
"HASH_CCA7CAD5": "被\"他妈的美国总统\"亲自请来管理内阁，因为你们完全搞不定，这个人是谁？"
"HASH_2B163355": "你先救了马特？"
"HASH_03AF1B55": "嗯，显然我变成了一个冷酷的贱人，所以我想知道到底怎么回事。"
"HASH_97EF0BD5": "飞机？齐尼亚克为什么要造一架飞机，我们在深空啊？"
"HASH_6B00F715": "你在马特的虚拟牢笼里时，我很可能会集中精力对接入侵反制系统，所以注意控制台指令。"
"HASH_6692FC55": "有什么最后的建议吗？"
"HASH_73C80695": "这很严重！"
"HASH_AA52B8D6": "人类？你是指我们九个人吗？地球没了，因为你激怒了一个疯子。"
"HASH_CB85D916": "要结束这场战争，我们需要停止穷兵黩武，认识到胜利不是通过消灭敌人，而是通过化敌为友来实现的。"
"HASH_DE4BE396": "约翰尼，回到肉盾那部分。"
"HASH_3CC9C056": "哦我知道，我只是不太喜欢马特。"
"HASH_84677D16": "语音信箱？！"
"HASH_8F106DD6": "那是圣路易斯吗？"
"HASH_35A8A996": "你又发混合信号了。"
"HASH_142442D6": "不。"
"HASH_9C6BAA97": "我们去实地考察吧。"
"HASH_FFE2FCD7": "哦，你真了解我。"
"HASH_B0378157": "不太确定。"
"HASH_20E36F97": "怎么了？"
"HASH_E754E9D7": "我一直以为你只是特别热情而且不爱穿裤子。"
"HASH_712C4A17": "金吉，什么是正确的语境，引用一下，\"我是美国的守护圣人，我们大概应该把效忠誓词改成'一国在吾之下'。\""
"HASH_0E22E798": "齐尼亚克性格很强？当然，但话说回来，前总统也是。你知道什么吗？当我看着他们两个，相似之处远多于差异。"
"HASH_1ADDA218": "什么。"
"HASH_F127FFD8": "哦，操——"
"HASH_36C34218": "总统说得对。每当模拟世界被干扰时，我就有一小段时间潜入齐恩安全网络。干扰越大，我就有越多时间绘制齐尼亚克母舰的地图。"
"HASH_1721DD58": "阿莎·奥德卡尔。跟我来。"
"HASH_6D0F59D9": "真希望能呼叫罗迪帮忙。"
"HASH_2AB01E19": "不喜欢谈论过去？"
"HASH_77D5F1D9": "没问题。"
"HASH_6B66D519": "哦他没事……"
"HASH_66F4DE59": "金吉！"
"HASH_820C7099": "还有你的虚张声势……"
"HASH_6207BCD9": "我更像是个顽皮流氓。"
"HASH_26A54D59": "哦你也来……我得说多少次——"
"HASH_A1FF609A": "这是在说不管你把我打倒多少次我都不在乎，只要我还在喘气我就会站起来，而且你知道吗？"
"HASH_AD1C46DA": "我就知道！阿莎从一开始就针对我。她在巴基斯坦说坏话……她在这里偷袭我——"
"HASH_DDB6DF5A": "我为什么要躲，当我能在你面前杀了你的朋友？"
"HASH_8DBC0D1A": "我们所有人？"
"HASH_5ECDBEDA": "你们俩说完了吗？"
"HASH_B269F49A": "有我的帮助她可以。"
"HASH_A6E7C15A": "那也太变态了。"
"HASH_C921775A": "是的，我们应该在范围内了。"
"HASH_1CD5791A": "我们不是真的要丢下其他人吧？"
"HASH_395F43DA": "当帮我们拯救世界的人说我们应该的时候。"
"HASH_F7CAB85A": "DJ老手正准备在公园办一场DJ音乐会。我最不想看到的就是他站稳脚跟又来追杀我。所以——嘿！"
"HASH_2C503D9B": "就这样，圣徒帝国诞生了。"
"HASH_B64CA25B": "都在这了吗？"
"HASH_63A07BDB": "好，找掩护，我们应该能伏击他们。"
"HASH_9B0BA99B": "你真的有计划？"
"HASH_7D0F3E9B": "我觉得这有点侵犯隐私。"
"HASH_BE65779B": "总算有人懂了！"
"HASH_394CB45B": "极好。"
"HASH_BDC9505B": "听着女士，这哥们知道怎么把事办好。别担心我。"
"HASH_DB7BA99C": "我们有过约定，我的朋友……现在我该拿你这样的坏孩子怎么办呢？"
"HASH_5D64A01C": "跟金吉和马特商量好，能执行的时候告诉我。"
"HASH_F65F8FDC": "出去。"
"HASH_BB814C5C": "我要他们崩溃，不是死。"
"HASH_FF23BDDC": "女士们先生们，这不是恐惧的时候，而是庆祝的时候。今天，你们中最优秀的那些人将在齐恩帝国中找到救赎。"
"HASH_17A96B5C": "你知道金吉也一直在说同样的话。"
"HASH_DBA10F9D": "半真半假，阁下。地球已经被原子化，无法撤销。但时间旅行可以让你在毁灭之前再看到地球。"
"HASH_7DDBAE9D": "我知道他们在哪里关着金吉。"
"HASH_6B734F5D": "怎么了？"
"HASH_C32DF8DD": "那大概就是他说这是个问题的原因。"
"HASH_CFDB2D9D": "对不起。"
"HASH_53F9161D": "我们从未入侵——"
"HASH_2B4B2E1D": "金吉，你能联系上奥列格吗？"
"HASH_F7B1509D": "老天，怎么回事。"
"HASH_933F78DD": "没听清，老大。"
"HASH_70EB7D5E": "你最好相信我们要让这混蛋看到人类没有灭亡，因为我们还活着。"
"HASH_04E2B41E": "他会想通的。"
"HASH_B7F7BA1E": "好的，我们在斯蒂尔沃特见——"
"HASH_01BC0B9E": "救盖特是个糟糕的主意。"
"HASH_816F6BDE": "对还是错：你凌晨3点打电话让我帮你竞选，因为你民调支持率烂得一塌糊涂。"
"HASH_E269225E": "把一个为你和你所代表的信念冒生命危险的人当成你搞笑节目的笑料，这叫\"闹着玩\"？"
"HASH_17E9849E": "我一直在研究你的朋友皮尔斯，你确定要救他出来？"
"HASH_BAA6189E": "是，我不想打断这感人的时刻。"
"HASH_0FE9065E": "你需要帮助逃出来，而你是三军统帅。"
"HASH_69CB0A5E": "勉强算是在骂人。"
"HASH_18356A9E": "奥列格！"
"HASH_FDF3585E": "大概是推销员。"
"HASH_A4539E5E": "来吧！"
"HASH_4463791E": "反抗是徒劳的，我的朋友。"
"HASH_A468B55E": "操……"
"HASH_6E22E01F": "好吧，至少你很诚实。"
"HASH_7207571F": "他就是这么叫我的。"
"HASH_DCB2AB9F": "这他妈到底怎么回事？你在找谁？"
"HASH_BD41CADF": "棒极了。"
"HASH_5AF0335F": "这可是美国总统说的。"
"HASH_AAA12B5F": "嗯，有时候你的前任会想杀你，有什么办法呢，你懂的？"
"HASH_6CDD4D9F": "你真会跟人打交道。"
"HASH_22ADCFA0": "什么？！"
"HASH_49981B20": "肯定又是一座监狱。"
"HASH_371A11A0": "嗨，你好……？"
"HASH_B59457E0": "我得走了。"
"HASH_EC2A7620": "当你说出来的时候就不是了。"
"HASH_6EC3E9E0": "冷静，这只要一秒……所以我们需要搞点东西来提提神，好去干掉那个混蛋。城里到处都有交易。我们冲进去，消灭一切反抗，然后把他们搞到的东西拿来嗨。相信我，这些外星玩意应该能给我们优势。"
"HASH_3E6C14E1": "如果地图对你来说更直观，我可以创建一个全息——"
"HASH_CBECB221": "当然。"
"HASH_995EAEE1": "享受你的安魂曲吧，大卫先生。"
"HASH_210C77E1": "我表示怀疑。"
"HASH_6C9D0621": "你意识到这意味着齐尼亚克更怕他而不是你，对吧？"
"HASH_EA03A121": "你得说点什么……"
"HASH_65670BE1": "不在烂体育酒吧里感觉怪怪的。"
"HASH_8D6138E1": "算是吧？"
"HASH_F2AA5FE1": "我恨我自己，走吧离开这里。"
"HASH_B65A8721": "不完全是，机器人是自动机器而动力装甲——"
"HASH_F9A44B21": "宣誓效忠，我将授权你们成为模拟世界31的典狱长。你们只有一个目的：折磨美国总统。"
"HASH_BD06BAA1": "令人愉悦。"
"HASH_EF101421": "我觉得我们有麻烦了。"
"HASH_1E3618A1": "来，这边。"
"HASH_6DF2D2A2": "但最重要的是，他们两个都不会停止，直到得到他们想要的。"
"HASH_0809F2E2": "我不会让你如愿的。"
"HASH_C0B3EFE2": "打个招呼吧马特。"
"HASH_083AB322": "基思？你一直在看吗？"
"HASH_199DE4E2": "哦，你是说，\"我不再整天坐在碎灯泡里吸毒了？\""
"HASH_3B0D25A2": "滚出我的草坪你个混蛋！"
"HASH_32CE7A23": "地球没了。回不来了，我们今天做的任何事都改变不了这点。"
"HASH_760E8DE3": "我明白了。这开始变成我个人的地狱了。"
"HASH_220D6823": "我告诉你就是叛国。"
"HASH_E2BED0A3": "基思，你冷静点。人家是军情六处的特工，能照顾好自己。"
"HASH_AF9EF8E3": "别死了。"
"HASH_578266A3": "你他妈是个怪物。"
"HASH_82475623": "天哪！"
"HASH_06467E63": "你属于我。"
"HASH_60E31D23": "我们比计划晚三分钟了，得走了。"
"HASH_CDEA2363": "你信任这个女人？"
"HASH_7A7032E4": "侮辱人但准确。祝好运。"
"HASH_2F2A5EA4": "基思，我觉得你有些未了的心结。"
"HASH_376BCC64": "不不不，我想听听我对自己说什么。你什么意思\"我会怎样\"？"
"HASH_24D1D924": "好有道理。我们怎么没早点想到。"
"HASH_0A1B3F64": "我跟朱利叶斯一点都不像。"
"HASH_9C7F6464": "要我帮你留个言吗？"
"HASH_C783AB64": "那当然。"
"HASH_C02977E4": "我是你现实的建筑师。我建造我想要的东西……"
"HASH_2022BBA4": "你是想杀我，还是想睡我？"
"HASH_01AE50E4": "操，不。"
"HASH_FF1323A5": "他可能在这个角度上谋划了很久……见鬼，说不定向齐尼亚克告密说约翰尼的事的人就是他。"
"HASH_360975E5": "你……"
"HASH_111C5225": "我的经验是帝国建设。"
"HASH_3F3ECBA5": "谁的地狱是被困在飞机上的？"
"HASH_79744E25": "好，干吧。"
"HASH_74E64565": "是啊。"
"HASH_C10FB4A6": "是，我们做到了。"
"HASH_B51A0CA6": "嘿，你需要接一下吗？"
"HASH_B95F98E6": "现在轮到你体验特勤局特工的生活了。一位VIP来到城里，确保她安全到达路线上的三个停靠点是我们的职责。沿途我们将遇到典型的VIP护送任务场景。"
"HASH_E3DA67E7": "现在轮到我们了，开干吧。"
"HASH_9B46D467": "可惜他们遇到了我们这些清醒的。"
"HASH_831D24E7": "还让我们睡着好被齐尼亚克捡走。"
"HASH_C2D73AE7": "咋了？"
"HASH_4293FB27": "哇哇哇，各位各位，能直接开杀吗？"
"HASH_61183927": "地球最强战士？"
"HASH_E4C2C627": "是啊，等不及回地球了。"
"HASH_E1125567": "这事回头再说……"
"HASH_8FF712A7": "你需要看看这个。"
"HASH_7318EE67": "有能听懂的最后建议吗？"
"HASH_7E8AE527": "我把越狱程序发给C.I.D.了。"
"HASH_D75263A7": "我印象深刻。"
"HASH_C1E63CA7": "阿莎和米勒在椭圆办公室等你。"
"HASH_16D544A7": "贫困是个问题。种族隔离是个问题。这只是区区——"
"HASH_FD2115A7": "这是个问题。"
"HASH_D3242CA8": "操。是的。"
"HASH_11AC3D68": "你在让马特和我把人类最后的希望当成靶子，就为了去救一个我们素未谋面的人。更蠢的是我们居然同意了！"
"HASH_96CB3228": "你做的最让人印象深刻的事是被你那个吸毒的前女友抓住了。"
"HASH_5A93DBE8": "不，她是未来的你。"
"HASH_EF2CAEA8": "我来了，约翰尼。"
"HASH_D5CA0CA8": "我不想显得在求关注什么的，但我刚刚炸掉了一艘主力舰。你们觉得至少有人能给我击个掌吧。"
"HASH_24B7FB28": "金吉，我们准备好了。"
"HASH_D1396E28": "当然不，但如果要跟齐尼亚克干仗，我们需要所有能找到的帮手。"
"HASH_2D2BBC28": "不好意思，这是反恐行动还是圣徒饮品的广告拍摄？"
"HASH_AABCEFE9": "你真可爱。辛杰！"
"HASH_2E6400E9": "你说对了吗？"
