# TODO: Translate to Simplified Chinese
# Source: dlc2_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 602

"HASH_8AC9CA00": "嗯，没打算去。"
"HASH_81C4FC43": "特里·克劳斯？这是什么谐音梗吗？"
"cm_suit_caveman": "石器时代猛男"
"HASH_D07C1744": "武器皮肤 - 圣诞Dubstep"
"HASH_5BDDD7C4": "没错。"
"HASH_4F25ABC4": "圣诞节、宽扎节、光明节、冬至节、摔跤节？你一个都不在乎？"
"HASH_37272EC4": "打个赌？有什么大不了"
"HASH_3A20D444": "摇响 [format][color:use]节日铃铛[/format]"
"HASH_3CED43C4": "和未来香蒂一起创造历史。"
"HASH_CAAA2A04": "好吧，确实没油了，但我们及时发现并补上了。谢天谢地。"
"HASH_1018DDC4": "一支儿童军队！"
"HASH_64495FC4": "就这些了。很遗憾今年没法给你带那家街角面包店的饼干了，但希望你能理解。等我们在太空找到合适的厨房和食材，我会给你做几批巧克力曲奇。\n\n节日快乐，\n本杰明·金"
"HASH_3B79B145": "你对拐杖糖有什么意见？"
"HASH_8B2D8085": "武器 - 绯红牛仔"
"HASH_E56F7B05": "C.I.D.死了"
"HASH_832DDEC5": "4：全面冰封攻势"
"HASH_4876DAC5": "然后走进来的是我。另一个我。没有机械臂。没有机器眼。短发。我一直想知道自己短发什么样。金吉尽力解释了。\"当我们拯救了圣诞节，启动了一条替代时间线。这是没有爪子和闪亮一切的你。\"我承认：很奇怪。非常奇怪。但好吧。我到那时已经习惯了和另一个版本的自己相处。"
"HASH_89FABBC5": "领导工人起义"
"HASH_D5E830C5": "他的心那天大了三倍"
"cm_hair_animemale": "东洋风"
"HASH_1054E286": "别急。我确信爪子会等你弄完的。"
"HASH_635B8906": "我考虑过把门从铰链上扯下来（我的机械臂能做到吗？）但不。她大概在外面忙她的金吉式事务。或者搬家了。我意识到已经过了很久了，人会搬家，也会死。也许没有圣徒了。一个清醒的想法。没别的地方可去，我去了："
"HASH_028CE8C6": "当然不信。你见过老大吗？听我说，我打心底尊敬他们，忠心耿耿，但他们绝对不是什么思想开放的人。一旦脑子里有了什么想法就……"
"HASH_54837706": "爪子不可能等那么久。"
"HASH_F8558C46": "到了午夜，爪子爬上雪橇开始了他的年度巡游。他的机械驯鹿在寒冬的夜空中嘶鸣，爪子把军火塞进每家每户的圣诞袜和装饰树下。不过不是所有人都收到了礼物。爪子把一些人列在淘气名单上。他们得到的是更糟糕的东西。"
"HASH_3D5DFA86": "雪人投弹手"
"HASH_AE5A1386": "秘方是爱。还有波旁。"
"HASH_91C84146": "快带孩子去看心理医生"
"HASH_33ACE887": "开玩笑的！你今年很乖，圣诞老人为你准备了很多可解锁的伙伴、服装和载具。"
"HASH_7A40B847": "不，那个DLC不是官方正史。"
"HASH_1B97D987": "不，我没跟银条睡过。"
"HASH_4D984647": "银条以为NASA是个热巧克力品牌。"
"HASH_B74122C7": "在这种时候你还能开玩笑，真行。"
"HASH_7CF29A07": "- 2把狄肯12号霰弹枪\n- 一箱特警冲锋枪\n- 2箱肖科洛夫步枪\n- 1具J7火箭筒，外加尽可能多的弹药箱"
"HASH_79252748": "哇，你已经快一半了！"
"HASH_EE855588": "见鬼。"
"HASH_12C9FAC8": "你不喜欢送礼环节？"
"HASH_B65A0248": "前往 [format][color:location]马厩[/format]"
"HASH_0A2A4CC8": "我问一个孤儿男孩今天是什么日子，他说是平安夜。还有时间！还有时间！好吧，最后这部分没有发生。但我必须回到圣诞前夜。我必须亲眼看看，我们真的赢了。我去的第一个地方是："
"HASH_45583048": "老大"
"HASH_6BFD2D08": "本·金靠那本奇怪的科幻小说赚了钱，在一个偏远的海岛上。我提议叫马特·米勒，但金吉否了。显然她已经受够了跟他抢风头。我们不行动的每一秒，爪子都在毁灭这个星球。我决定只再找一个人："
"HASH_B0D89688": "召集人手"
"HASH_3DF2B2C8": "坎卜斯跟这事没关系！"
"HASH_71564948": "圣帕特里克节"
"HASH_D9569648": "清洗机械驯鹿马厩"
"HASH_91244988": "毕竟，所有人都还以为圣诞老人在掌权。尼克被囚禁的消息还没传出工坊，而且那是几十年前的事了。地球人对爪子的政权和邪恶意图一无所知。爪子指望着他们乖乖听\"圣诞老人\"的话。如果圣诞老人给他们枪、刀和核弹头玩，谁会拒绝？"
"HASH_C72BD648": "WELF频道一档短命真人秀的主角，苹果酒男孩精灵民兵什么事都做不好。"
"HASH_603E1609": "但你不能。"
"HASH_624092C9": "适合精灵、小精灵和有志牙医。你可以在衣柜里找到这套服装。"
"HASH_59A90649": "伙伴 - 圣诞帽C.I.D."
"HASH_F390F7C9": "什么。"
"HASH_974C5C49": "拿取 [format][color:power_tele]金吉的礼物[/format]"
"HASH_6473AF49": "约翰尼·盖特"
"HASH_13317D89": "我真不知道本住哪。他从来没请我去过。哦。"
"HASH_E8B42F49": "缺乏动力"
"HASH_DCBA5649": "皮尔斯怒火中烧地出现了"
"HASH_293AF089": "把它投到供水系统里"
"HASH_72E61C49": "哈！我们圣徒什么时候\"做过计划\"来着？"
"HASH_883F78C9": "不！爪子喜欢一个人看那些。"
"HASH_DE30E709": "我真希望我能告诉你爪子是胁迫、威胁或威逼闪亮跟他结盟的，但真相远比那更小家子气。闪亮只是厌倦了当圣诞老人的替身。这个精灵投入了爪子的事业，干劲十足。那是一段黑暗的日子。更糟的是，闪亮知道圣诞节唯一的弱点。他知道那个能彻底扭转局势的东西，让圣诞夫人和精灵抵抗功亏一篑的东西："
"HASH_4B1345CA": "哇。你还真是锲而不舍。"
"HASH_7C51804A": "载具 - 杀戮者"
"HASH_C674894A": "获取 [format][color:use]伪装[/format]"
"HASH_F3472A4A": "1：过去与现在的节日"
"HASH_381C2E4A": "这是机械手臂，不是瑞士军刀。但那确实挺酷的。"
"HASH_CAD05B4A": "皮尔斯家"
"HASH_0F0D148A": "这个来客，眼睛闪闪发光，长长的白胡子，简直就是年轻版的圣尼克——在吃了那么多牛奶和饼干长了啤酒肚之前——但这可不是什么快乐的精灵。不，这是……"
"HASH_F58143CA": "圣诞夫人接管了礼物派送"
"HASH_0001E50A": "被绑架了"
"HASH_3B2E7F0B": "根基假日特别篇"
"HASH_D19AC6CB": "圣诞BB枪"
"HASH_69A5908B": "只是看起来不实用而已。"
"HASH_8E08BA0B": "快逃命吧！"
"HASH_592A018B": "爪子，你去死吧！"
"HASH_2C88FFCB": "你不懂。这不只是地球的事。到了午夜——圣诞节——圣诞爪子要来镇上了，如果我们不阻止他，他会把整个宇宙列入淘气名单。"
"HASH_AA22940B": "用这把武器击杀会恢复少量生命值，让目标掉更多钱，还能略微增加经验值。"
"HASH_F06D83CB": "NASA"
"HASH_10FC490C": "好吧，我骗你的，还没到一半。"
"HASH_9296E04C": "北极"
"HASH_7A3B4DCC": "穴居人棍棒"
"HASH_CA1DCB0C": "随便。"
"HASH_39B4348C": "用单个物体穿过多个圆环来累积连击，但瞄准要精准，因为这次目标会移动。"
"HASH_BFC8F80C": "完成 [format][color:power_pound]力量壮举[/format]"
"HASH_FA77110C": "本·金家"
"HASH_0B776C4C": "我举起枪扣下扳机。子弹从驯鹿的金属外壳弹开，正中我的眼睛。我倒下了但没死。我又站了起来，我们一起把机械鲁道夫撕成了碎片。通往爪子办公室的路畅通了，我们踹开大门，准备收拾这个怪物——但房间里空空如也。爪子跑了。"
"HASH_5D78F38C": "据银条说，你必须接触到这些粉末才能被影响。我们只有一点点——一滴都不能浪费——而且没有好的办法分发给大量人群。金吉说如果她有材料可以制造更多，但银条说只有圣诞老人能祝福这东西。没有圣诞老人，那只是死皮细胞和锯末。约翰尼建议装进喷壶朝人喷。主意不错，但老大想出了最好的方案："
"HASH_F1AE08CC": "*叹* 你能不能认真点？"
"HASH_A0D1FF4D": "武器皮肤 - 北极"
"HASH_A6868D0D": "你照做的话，我就把你列入乖孩子名单。"
"HASH_C751ECCD": "你从来没有相信过我……但尽管如此，你仍然把欢乐传播给了斯蒂尔波特的人们！"
"HASH_126C5D0D": "虽然爪子很少露面，但闪亮和他那些巨型精灵无处不在。像饥饿的鹰一样，他们监视着我们的一举一动。擦个汗都会招来他们的怒火。但这没有阻止我们。我们发明了一套暗号——隐蔽的手势、特定词句的语调——帮助我们在彼此之间交流。就这样，我们在他们眼皮底下制定了计划。行动的第一阶段是："
"HASH_4463C2CD": "哈！没有。不过，这确实是皮尔斯会做的事，不是吗？"
"HASH_F4C4B08D": "下一段文字冒险会告诉你"
"HASH_0144164D": "但他们没有"
"HASH_9D4AB04D": "不相信圣诞节的人？"
"HASH_68CA168D": "所有工坊员工的严格着装规定"
"HASH_A944C94D": "乌龟"
"HASH_00D6E48D": "圣诞老人的弟弟，特里"
"HASH_E8B5398D": "大家怎么都这么执着于眼睛受伤？"
"HASH_91F1354D": "就这样了。让她开心我就开心。\n\n永远充满希望，\n香蒂\n\nP.S. 哦，你大概不知道，她被困在模拟世界里，所以你恐怕得进里面去送礼物。或者让金吉编程进去。两种都行。谢谢！"
"HASH_782A76CE": "前往 [format][color:location]圣诞老人房间[/format]"
"HASH_DA26A70E": "离开 [format][color:location]工坊[/format]"
"HASH_4AD8494E": "姜饼人"
"HASH_F489508E": "我不敢相信周围一个人都没有。也没有人来迎接我——我是说，我告诉过他们我要回到\"2035年平安夜\"，你以为至少有个人会在日历上标一下，然后说\"谢谢你香蒂，感谢你警告我们爪子的事，感谢你扭转了人类历史的走向，还有拯救了圣诞老人和圣诞节还有其他节日！\"但不。什么都没有。给老独眼独臂香蒂什么都没有。"
"HASH_E9F1DC0E": "兔子睡衣"
"NaughtyNice": "淘气与乖巧"
"HASH_32DF108F": "载具 - 姜饼面包车"
"HASH_DD66DF4F": "我只是觉得比起什么破节日，有更重要的事情要想。"
"HASH_ED9261CF": "我假装你没说过那句话。"
"HASH_8ECC7D4F": "约翰尼家"
"HASH_7B4CDB8F": "博物馆节假日关门了！"
"HASH_199DBACF": "精灵忘了然后把粉末全吸完了"
"HASH_8C45000F": "没错，当然，能补全人类最后一搏的人只能是一个毫无头绪、痴迷名利、五音不全的当红明星，还有严重的边界感问题。"
"HASH_441DC30F": "不小心"
"HASH_870AC44F": "1. 一个完整的机械身体，包括手臂、腿、合成皮肤和功能齐全的人类器官\n2. 如果方案1不可行，以下替代品也可接受\n\na. 为我的金属外壳配备更多可拆卸工具\nb. 模块化语音程序，让我可以模仿任何人的声音"
"HASH_BDF28850": "数字暴风雪"
"HASH_6753D210": "我不会的。"
"HASH_ED4D8190": "圣徒如何拯救圣诞节内容已在你的HUB中开放。查看任务日志获取新任务。"
"HASH_27567750": "圣诞夫人可以从HUB \"手机\"菜单中召唤到模拟世界中。她会帮助圣徒战斗。"
"HASH_F6B9F650": "听着！夜还没结束。感受圣诞节的快乐吧！"
"HASH_A4676D50": "圣诞夫人死了！"
"HASH_31AE5650": "清理公园"
"HASH_631E6B50": "皮尔斯"
"HASH_145CB990": "我们就像姐妹，对吧？我想如果有人知道约翰尼在哪——或者任何人在哪——那就是金吉。我打了辆出租车去她的\"秘密基地\"，敲了那扇丑陋的大车库门。但同样，没有人开门。"
"HASH_7FC641D0": "在工坊中寻找一份圣诞魔力储备"
"HASH_4BC838D0": "爪子赢了"
"HASH_758BD850": "他们捏了一点，抹在牙龈上，宣布\"相当不错。\""
"HASH_23844790": "姜饼人、疯狂的胡桃夹子、精灵叛徒——被爪子的力量变成巨人——和一群横冲直撞的机械驯鹿席卷了大地。惊恐又无助的人们躲在家里，不知所措。他们更没料到接下来发生的事。爪子的最后一击更加阴险，更加恶毒。爪子的杀手锏是："
"HASH_8F52BCD0": "嘿，有些人就是喜欢水果蛋糕。"
"HASH_D95D2310": "圣诞老人力量的源泉，也是精灵武器库中最强大的武器。由工坊最顶尖的精灵打造，经圣诞老人亲手祝福。北极是一件能将节日欢乐凝聚成极高强度爆破的武器，足以用一团浓缩快乐的蘑菇云夷平一座大城市。还有点薄荷味。"
"HASH_7E48E351": "完成！"
"HASH_85982851": "绯红牛仔"
"HASH_B3BC5411": "爪子躲在护盾下积蓄力量。"
"HASH_CB1FEB11": "最坏能怎样"
"HASH_B9678291": "拒绝"
"HASH_0D4788D1": "我走出时间机器，发现自己置身于一个博物馆里。我们成功拯救圣诞节之后的几十年间，圣徒们显然忘了我还会从那玩意儿里出来，把机器塞进了一个历史展览里。不算什么大事，除了："
"HASH_6C90E911": "银条不仅逃出来了，还带了一样东西：一小袋圣诞魔力。他没办法直接许愿消灭爪子，但如果足够多的人真心相信，这些魔力粉末或许能解放被爪子洗脑的人。这是个渺茫的希望，但我们只有这个了。当然，我做的第一件事是："
"HASH_3A9F76D1": "经历了史上最惨圣诞节之后，联合国暂时解散了。"
"HASH_96498D91": "爪子占领了工坊。他拥有了北极。圣诞夫人被关起来了。驯鹿被杀了。叛徒闪亮奴役着精灵们。那是圣诞节历史上最黑暗的时刻。而它即将变得更黑。距离圣诞节只有几个小时了，爪子和他的手下没多少时间毁掉节日——但他们不需要多少时间。爪子的黑色圣诞行动的第一阶段是："
"HASH_0BF5AA91": "- 1把飞刀\n- 6把大刀\n- 2把小刀\n- 4罐发胶\n\n盖特"
"cf_suit_animegirl": "少女甜心"
"HASH_261D8D52": "给圣诞老人的信"
"HASH_53EF0892": "我知道，圣诞老人。"
"HASH_588BEF12": "到了午夜他将势不可挡，除非你能在十二下钟声敲响之前让节日欢乐回到人们心中！"
"HASH_7CE85E92": "前往 [format][color:location]公园[/format]"
"HASH_BDAD1A92": "是啊，我们真没那么多时间……"
"HASH_134E6F52": "所以考虑到这些，有几样东西我想请你帮忙送一下。如果你有空的话。没空我也理解，圣诞老人。\n\n- 一支可替换笔芯的好钢笔\n- 一条新黄围巾\n- 一套定制丝绸西装\n- 一盒雪茄，我相信你记得我抽什么牌子，圣诞老人"
"HASH_FEE7FF52": "依然充满节日精神，\n老大\n\nP.S. 还有，抱歉我之前那么刻薄（whatever that means，因为至今没人跟我解释过）说了\"圣诞老人去死\"。我不是那个意思。好吧当时确实是那个意思，但现在不是了。"
"cm_hat_elfsoldier": "精灵帽"
"HASH_6E63A952": "根基假日特辑"
"HASH_4C7E81D3": "希望附近没有小孩。"
"HASH_632FA4D3": "打扮成快乐老精灵本人。你可以在衣柜里找到这套服装。"
"HASH_0BFBEC53": "喂？你们在吗……？"
"HASH_A9258553": "协助C.I.D. [format][color:location]天线[/format]"
"HASH_F42AEE53": "5：银条"
"HASH_3F71EA53": "金吉正在跟我们讲圣诞老人给每人送了特别的礼物作为感谢，这时我听到厨房传来一个熟悉又陌生的声音：\"她到了吗？\"一股奇怪的气氛弥漫开来。所有人都安静了，除了金吉。\"哦，\"她说，\"我大概应该先提醒你们——\"\"没关系，金吉，\"厨房里的声音说。\"我相信她会认出我的。\""
"HASH_EC719B13": "给圣诞老人的信"
"HASH_2841E314": "好了好了，我去救圣诞老人。"
"HASH_FDAF50D4": "但这是第一次，我要和你们分享他们最重要的故事。因为，朋友们，这就是圣徒如何拯救了圣诞节。"
"HASH_60604E54": "你的时间用完了！"
"HASH_4867F614": "雪橇被毁了！"
"HASH_95B7EE94": ""
"HASH_88ACF4D4": "击落 [format][color:kill]雪橇[/format]"
"HASH_430E06D4": "*叹*"
"HASH_EFD8FD94": "你疯了吗？圣诞老人是真的。"
"HASH_350CE794": "圣诞老人，\n\n我就直说了。今年我只想要一样东西：让我离开这艘破船。说真的，我只签了四年副总统的合同。这鬼日子太离谱了。\n\n基思·大卫"
"HASH_17918D15": "猛按 {ACTION_IMG} 舔拐杖糖。"
"HASH_663A3AD5": "袜子和内衣"
"HASH_33713D95": "穿戴好你的节日盛装，因为快乐现在就开始！"
"HASH_55959F55": "希望我们能杀掉那个混蛋，把未来从我经历的地狱里拯救出来。"
"HASH_0C1AA855": "我要揍你了。我对天发誓。"
"HASH_CE5AC115": "在抽烟灯泡！"
"HASH_5A153795": "结果皮尔斯这个脑洞大开的计划还真派上了用场。夜色掩护下，我们摸到了机库（我们很惊讶爪子竟然没在指挥中心附近设防；不知道是因为他太自大还是单纯疏忽），准备反击。我们刚就位，就："
"HASH_F6C3CCD5": "嗯，显然。不过，确实没有比这更好的描述了。来客是一个扭曲而愤怒的灵体，憎恨节日的一切——欢乐、雪花、精灵、驯鹿、圣诞袜，以及那些旨在精简玩具生产流程而不必将国内工作外包给劳动法松懈国家的大规模协同计划。"
"HASH_85EAC516": "节日季的声音。你可以在传送门武器柜中自定义。"
"HASH_82FB1556": "你确定还有时间吗？"
"HASH_8F920A56": "你到底什么样的童年？"
"HASH_F7115916": "圣诞前夜之战"
"HASH_FD108496": "让全世界知道没人惹得起老大"
"HASH_697B9196": "未来香蒂"
"HASH_2737FB96": "尽管如此，我答应了。我要回到我自己的过去。但什么时候？回多远？我可以穿越回去警告所有人辛族入侵的事，但我也知道我必须能回到我的时代。而且，如果我们从未被绑架，我们就不会找回约翰尼。所以我选择了爪子掌权的前一天。那时我们已经打败了齐尼亚克并拿到了他的时间机器——但还不算太晚，还能救圣诞节。"
"cm_suit_elfsoldier": "精灵套装"
"HASH_93C4BF96": "亲爱的圣诞老人"
"HASH_DEBB52D7": "让那些小畜生尝尝边疆正义的滋味！你可以在传送门武器柜中找到。"
"HASH_87BD1897": "搜寻 [format][color:use]礼物[/format]"
"HASH_D98C0B17": "终结 [format][color:kill]爪子[/format]"
"HASH_62080917": "将 [format][color:power_tele]投影仪[/format] 搬到 [format][color:location]汽车影院[/format]"
"HASH_29CE5817": "我家炸了！"
"HASH_3EE50E17": "密码是1-2-2-5。没人感到意外吧？"
"HASH_4A8DCB97": "玛丽的圣诞曲奇配方"
"HASH_F431AF57": "- 暗夜之刃DVD典藏全集盒装\n- 西普里安教团秘史典藏版（编剧签名！）\n- \"暗夜反派\"，收录暗夜之刃历年所面对的种种邪恶的粉丝百科\n- 暗夜之刃泳装限量版漫画书"
"HASH_86876997": "好吧，实际上，我给你简化一下：凡是来自秘密政府实验室、连总统都不知道的技术，我都想要。我知道我能比他们更好地利用这些东西，毕竟他们连辛族入侵都挡不住。哦，还有一件事。一条新皮制绑带和吊椅……个人使用。\n\n金吉·肯辛顿"
"HASH_29C75218": "你现在可以在传送门车库使用此载具"
"HASH_6895E218": "怎么回事，我们被击中了吗？"
"HASH_E6BC0258": "点燃 [format][color:power_blast]基那拉[/format]"
"HASH_84D21718": "打开投影仪"
"HASH_24335F58": "保卫 [format][color:defend]投影仪[/format]"
"HASH_838E6018": "出租车走后，我在寒冷的十二月空气中站了一会儿。天黑了，没有一丝雪。我知道我应该为回家感到高兴，但我感到空虚。孤独。悲伤。我正走向门口时才意识到我没带钥匙。我要砸开自己的门吗？结果我不需要，因为刚一靠近："
"HASH_9EF6EC98": "永恒的折磨与痛苦"
"HASH_F6ED9D18": "亲爱的圣诞老人，\n\n因为我确信你也同意我今年很\"乖\"，所以我想寄给你一份我希望在圣诞树下找到的礼物清单。你尽管多送，送得越多我就能更好地继续拯救圣徒和人类的屁股。排名不分先后。"
"HASH_840C1499": "发射可反弹的弹丸，杀伤力比看上去大得多。"
"HASH_3C3342D9": "勇者之剑"
"HASH_DB9E6859": "怪兽-XL"
"HASH_FFB44659": "健康、富有又聪明"
"HASH_9A955159": "意料之中吧？但听着，经历了这一切之后——又因为闪亮失去了他一次——那是我第一个想到的地方。那将是我们真的改变了未来的铁证。"
"HASH_F9CB4DD9": "假装一下"
"HASH_0C4BEB19": "齐尼亚克复活了！"
"HASH_6E9A8A59": "爪子先找到了我们"
"HASH_FB423099": "当然，他们一开始笑了我二十分钟。他们根本不信圣诞老人。他们觉得爪子就是个跟着我们回家的疯子外星人，给小孩发了一堆枪，现在又要对我们发动舰队。说来也怪，这解释其实更合理。"
"HASH_331AF399": "给辛帝国军团准备点好的圣诞礼物"
"HASH_F00DF4D9": "c. 一个可拆卸的无线摄像头，让我可以偷偷监控船上任何房间\nd. 任何武器，让我不再那么脆弱\ne. 把有趣的香蒂下载到我的记忆矩阵中，这样我就有人说话了，哪怕只是在我的脑海里\nf. 超强力润滑油\n\nC.I.D."
"HASH_4430BAD9": "我们给你的礼物"
"HASH_67FB799A": "快到了！"
"HASH_DA0B215A": "我说的是\"送礼。\""
"HASH_CF460B5A": "你不喜欢那些歌？"
"HASH_7F8A511A": "同意"
"HASH_86D74A1A": "嗯，毕竟是拯救圣诞节嘛……"
"HASH_8D70219A": "我家"
"HASH_7C705CDA": "只留下一张纸条：\"不错的尝试，圣徒们，你们做得很好。但恐怕你们还得困在这个活地狱里。一个星球都打不过我，你们没看到吗？现在整个宇宙也同样轻易会沦陷。顺便说一句，你们的老大在我手上。我说我不觉得抱歉那是骗你们的。\"我们所有的战斗都白费了吗？不。不可能。我们不能让爪子赢。我们不能让整个宇宙落入他的统治。我们必须阻止爪子。但怎么做？"
"HASH_2A7FC31A": "不！但我觉得他想。"
"HASH_86A9385A": "差得远。"
"HASH_37D6409B": "服装 - 精灵套装"
"HASH_0C3FD41B": "圣诞帽C.I.D.可以从HUB \"手机\"菜单中召唤到模拟世界中。他会帮助圣徒战斗。"
"HASH_7FEEF65B": "后悔问了。"
"HASH_9333365B": "返回 [format][color:location]飞船[/format]"
"HASH_656B6D9B": "推翻爪子、夺回地球占据了我们醒着的每分每秒。它让我们的心燃烧，血管沸腾。我们吃饭、睡觉、呼吸都在反抗那个怪物。没有什么比消灭爪子、闪亮和他们造成的一切更重要。所以，不，不是\"缺乏动力。\""
"HASH_3364F25B": "我们火力不足、人手不够、无处可逃。我抓起一把火箭筒，爬上空军一号，开始朝他们一轮接一轮地发射导弹。闪亮驾着他那辆机械驯鹿拉的雪橇俯冲下来抓住了我。他把我拖到很高很高的天空。我记得他的表情。扭曲的笑容，眼中恶心的闪光。\"新年快乐，丫头，\"他说。然后他……他……"
"HASH_83C3801B": "已经摆好随时可用"
"HASH_764326DB": "当他们看到圣诞粉末"
"HASH_EA4D80DB": "任何神志清醒的人？"
"HASH_1FCD261B": "制造危险玩具"
"HASH_DE43F9DB": "茶杯"
"HASH_77D1D41B": "其他东西"
"HASH_9FB2091B": "如果地球人知道圣诞老人有危险——真正有生命危险，他们在黑暗时刻会振作起来吗？圣诞节还有什么意义？于是圣诞老人最亲密的朋友，一个叫闪亮的精灵，接管了格林格的年度巡游，没有人发觉。直到……"
"HASH_298C765B": "*哔*你，爪子！"
"HASH_4204F69C": "降低飞行高度以恢复视野。"
"HASH_3C14755C": "我们没想到有人真能走到这一步。"
"HASH_D2F20EDC": "点燃 [format][color:power_blast]大烛台[/format]"
"HASH_1F4E9B1C": "和姜饼人一起奔跑。"
"HASH_BDD76BDC": "金吉家"
"HASH_780A241C": "精灵们没有圣诞老人也辛苦了几十年，一直为他们敬爱的老父亲担忧，盼着好消息的到来，所以一个访客的到来引起了所有人的兴趣。"
"HASH_8286735C": "一天来了一个奇怪的访客"
"HASH_7706D59C": "死了"
"HASH_32ABD7DC": "列好名单，查两遍"
"GenkiHoliday": "根基假日特别篇"
"HASH_6749C2DD": "你现在可以在传送门车库使用此载具"
"HASH_CE5CD2DD": "呵呵呵呵呵呵……"
"HASH_876AB35D": "圣徒"
"HASH_8E8D0BDD": "亲爱的圣诞老人，\n\n你教会了我比我以为的更多的节日精神。谢谢你。我是第一次写圣诞清单，所以多包涵。\n\n1. 皮尔斯想要什么就给什么，那会让他开心。我没意见。\n2. 香蒂想要什么，她肯定有她的理由，应该让她得到。"
"HASH_BF58BB9D": "如果你想加一个私人请求的话，我真的很想要一副耳塞，好让皮尔斯的歌声别钻进我脑袋里，让我能专心训练。\n\n爱你的，\n阿莎"
"HASH_0E2217DE": "开玩笑的。"
"HASH_C700321E": "……所以看在老天的份上，要乖。"
"HASH_2FAD9F9E": "当你需要对某人耍石器时代手段时用。"
"HASH_FBD2C49E": "你的目标：用念力抓住狂欢者、大烛台和圣诞树，在限定时间内投入对应的圆环。"
"HASH_56804EDE": "拿取 [format][color:power_tele]香蒂的礼物[/format]"
"HASH_7D2D7C5E": "呃。你看过那地方吗？再加上几十年\"老大\"住在那个洞里，不了谢谢。"
"HASH_1CFA1D9E": "阿莎是个好人，特别是在经历了那些事之后，但我觉得没有马特加入就请不到她。"
"HASH_325F00DE": "皮尔斯"
"HASH_C7DFA61E": "抽灯泡"
