# TODO: Translate to Simplified Chinese
# Source: voice_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 16797

"HASH_B9F9F000": "也许待会儿吧，行吗？"
"HASH_45A85810": "没错，就藏在军械库边上的一个箱子里！"
"HASH_3A44AC10": "我就知道源鬼不会差太远。"
"HASH_C8E6C010": "我给你标了个目标。我想看你把这蠢货轰成渣。"
"HASH_BC75A010": "谢谢你省去了那套要我小心的长篇大论……"
"HASH_9D0B1010": "皮尔斯，亲爱的，你其实没必要——"
"HASH_18C50810": "一个死海盗和一只黑鹦鹉？"
"HASH_B7F9BC10": "准备受死吧。"
"HASH_8AF0E010": "你说得对，确实如此。干得漂亮，皮尔斯。"
"HASH_8DBB2810": "很高兴你回来了！现在你可以给我超能力了。"
"HASH_B9F20410": "又或者就像我说的，它压根儿没反应。"
"HASH_65908010": "搞定。"
"HASH_6F305C10": "噢，你——"
"HASH_F2A40410": "我玩得很开心，强尼。"
"HASH_287EC010": "死吧，吉祥物们，死吧！"
"HASH_5BD8E011": "军情六处？好吧。我加入。"
"HASH_1037C411": "你……"
"HASH_7D540411": "金吉，你是不是很享受这个？"
"HASH_0697D011": "我觉得自己像公交站的厕所。"
"HASH_F545B011": "哦，这些凡人何等愚蠢！"
"HASH_6F2AAC11": "你做到了，马特！"
"HASH_F16F3411": "哦。听起来很严重。"
"HASH_1B7E5C11": "我想我不该指望这事会轻松。"
"HASH_530A0811": "是啊，但开车的是我。"
"HASH_8AB2C011": "金吉，孩子们又在闹了。"
"HASH_87B56C11": "好，我到那儿跟约翰尼汇合。"
"HASH_B9731C11": "如果二十年前有人告诉我，长大后我会从一个街头帮派一路爬上来，建立媒体帝国，当上美国总统，然后被外星人抓走，嗯……我可能会信。我小时候很好骗。"
"HASH_A3F3DC11": "都一样。"
"HASH_3A7EA411": "要是他们替塔尼娅卖命，我可不指望他们会乖乖就范。"
"HASH_8BAC5011": "一招接着一招，全是馊主意。"
"HASH_9F912411": "乔什·伯克。夜刃之后生活怎样？"
"HASH_88CE6012": "删除"
"HASH_383A0C12": "金吉真的很聪明。她总是比其他人都懂得多，这有点吓人。但没有她，我们根本无法向齐尼亚克发起反击。"
"HASH_5D19C412": "那就回船上来。你会需要帮助的。"
"HASH_14183C12": "我很好奇，这个人工智能在现实世界里也能有身体吗？"
"HASH_4FCF4C12": "赛勒斯的士兵到处都是，保持警惕。"
"HASH_8984C412": "成交。"
"HASH_142B8412": "是啊，不过金吉说她有办法。"
"HASH_27449C12": "是啊，那是什么？"
"HASH_76F3EC12": "他们源源不断！"
"HASH_5C694012": "你们俩待着别动。我会回来接你们。"
"HASH_D5E2C812": "就不能快点儿吗？"
"HASH_850D7C12": "别指望了。我知道他还在这儿的某个地方。"
"HASH_DE99A812": "既然国王一遍又一遍地重历这件事，那照理说这场遭遇的各项参数也应该保持不变。"
"HASH_15998C12": "让我猜猜。我去打那个灯。"
"HASH_FB6B5012": "废话少说。让我们直接进入痛扁你环节。"
"HASH_A1E3FC12": "这个……只有我觉得越来越不对劲，还是大家都这么觉得？"
"HASH_7A5CE812": "噢！"
"HASH_ED538413": "删除"
"HASH_8FC58813": "干得不错。你要是再把我扔进发电机，我就继续黑护盾那边的继电器。"
"HASH_5AEA5813": "那就解锁啊。"
"HASH_6B05F813": "别让他们进这个房间！"
"HASH_E869D813": "起来吧！"
"HASH_F075E413": "你能叫我夜刃吗？"
"HASH_CB7AF013": "是啊。"
"HASH_5B6F0413": "皮尔斯！本！我们得走了！"
"HASH_3D73B813": "把金吉弄回来，干得好。不过该死，她在那里好像受了什么刺激。"
"HASH_DC362C13": "你……在干什么……"
"HASH_C4BB9413": "没有护盾了，齐尼亚克。没有护甲了。"
"HASH_A052C813": "皮尔斯和本要上车了，我们掩护他们！"
"HASH_83B73813": "还没，金吉。"
"HASH_513BA413": "哦天，终于结束了，真高兴。"
"HASH_05400813": "是啊，圣徒是我的人，所以趁我提醒你为什么之前滚开。"
"HASH_F30A1C13": "我想为自己所做的贡献讨点补偿。"
"HASH_09288C13": "说句公道话，她说得有道理。"
"HASH_1E056413": "嘿，小姑娘，很高兴你没事。"
"HASH_67C84C13": "我很好奇，有没有办法也把这台AI弄到现实世界弄个身体？"
"HASH_96D5A813": "妈呀……我只是个演员，你们到底有多少人？"
"HASH_B7AE6813": "嘿金吉，想打一炮吗？"
"HASH_090C8814": "我一杆枪都没有。"
"HASH_B08F8014": "哈，看来她把这儿布置得有点情调了。"
"HASH_DCD7FC14": "他们堵住了出去的路。"
"HASH_2F5EFC14": "收到。"
"HASH_81FE9C14": "该死，从我身上滚开！"
"HASH_3F858414": "快速扫描。"
"HASH_77E4FC14": "齐尼亚克得多下点功夫才行……"
"HASH_C202EC14": "搞什么鬼……齐尼亚克把我的公寓给砸了！"
"HASH_F8D86C14": "等等等等，那什么假莎蒂？"
"HASH_C7591814": "不行。"
"HASH_80C0AC14": "等等。我们来救你了。"
"HASH_77C69C14": "哈哈哈哈！"
"HASH_69381014": "我们发现这一点在大企业推出的媒体中尤其常见。那些兜售给孩子们的杀人模拟器。那些专门引诱我们的年轻人去模仿成年人私密、但受法律管制的行为而设计的音乐。甚至还有商店想让女性穿西装！"
"HASH_09309814": "听起来另一边动静不小。我去看看。"
"HASH_50BDFC14": "不，小姐。"
"HASH_DB727C14": "别再分开了，我们待在一起直到杀光那些混蛋。"
"HASH_AF37F014": "你可能得先自卫一阵子。给你把枪。"
"HASH_24768814": "金吉，你知道救援要顺利得带上把枪。"
"HASH_3F5AD015": "C.I.D.，为什么什么都是目标？"
"HASH_A57DBC15": "天哪，我想吐……"
"HASH_CBFD9015": "但后来我意识到阿莎没有帮手根本做不到。"
"HASH_5FC79815": "你到底在这上面做了多久了？"
"HASH_C2183C15": "等不及电影了，本。我能帮什么？"
"HASH_8EF10415": "现在带上战利品赶紧撤——"
"HASH_98A1F415": "是的。我为刚才的失态道歉。"
"HASH_E3507815": "当然是你……"
"HASH_25351815": "你待的地方不是真实的。不管它让你做什么，你都必须停下来。"
"HASH_74C4CC15": "哦没错我*能*阻止信号！"
"HASH_8FECD815": "好好，本杰明。是时候让你体面地死去了。"
"HASH_9BD71C15": "我们得弄清楚到底发生了什么……"
"HASH_3A42C415": "要是C.I.D.的裂口真能干扰齐恩人的系统，那我很乐意让你帮着C.I.D.维持一个裂口。"
"HASH_4ABA4816": "嗷！我的脚趾！"
"HASH_4DFAAC16": "哦哦，看看你的第二修正案解决方案。"
"HASH_64C04816": "继续朝后方开火。"
"HASH_C171AC16": "好多老兵之子。"
"HASH_DC8EE016": "你们俩待着别动。我会回来接你们。"
"HASH_B67ED416": "天呐，我记得这一帮——有跟我一起混的，也有我亲手埋掉的……"
"HASH_149D0016": "这代码的细节真是精妙。我得看到更多才能看清全貌。"
"HASH_708EC016": "在那之前是钢城港。摔跤帮，邪恶黑客，还有穿黑西装的欧洲混蛋。"
"HASH_66ABBC16": "快上来！快点！"
"HASH_32742016": "好了各位，我们一到那儿就尽快把这东西卸下来送进系统，明白了吗？"
"HASH_A7CF7016": "妈的，给我滚回来！"
"HASH_001EF016": "哦天，终于结束了，真高兴。"
"HASH_DE222C16": "用什么？"
"HASH_90B18816": "嘿，我们走到这一步了，不是吗？"
"HASH_C4028416": "住手！马上住手！"
"HASH_0F187C16": "听起来太棒了！"
"HASH_79403817": "好吧。看来有什么大事要发生了。我得抓紧了。"
"HASH_937D3017": "所以市中心还有一个？"
"HASH_F71E2417": "天哪。快点……"
"HASH_723C9C17": "听起来简单又好玩。为什么不呢。"
"HASH_D818CC17": "那去哪儿？"
"HASH_4992C417": "你把它炸了！"
"HASH_0D07D417": "最后一个在教堂那边。"
"HASH_8BF99017": "从那儿出来，你这个懦夫。"
"HASH_778AF017": "该死！"
"HASH_B45E1817": "作为地球上唯一在世的世界领袖，我在此授予你关于夜刃作品的全部权利、头衔、授权以及可能的周边权益。"
"HASH_795F8017": "情报显示我们下一站威胁概率很高，所以得做好应对一切准备。"
"HASH_F5082817": "多谢，C.I.D.，但我得知道怎么破他的护盾。"
"HASH_6978D417": "皮尔斯？搞什么鬼，他不会这么说的。"
"HASH_9CDAD417": "角度？什么角度？"
"HASH_428C7017": "我不知道为什么——也不想知道——但如果C.I.D.再不停止往我身上蹭还咕咕叫，我们就有麻烦了。"
"HASH_BB870417": "还等什么？去下一个传送门。"
"HASH_06759817": "告诉我，基思！"
"HASH_DD00B817": "因为公开试镜是每个舞者的梦想。年龄、种族和训练的先入之见都不存在了，唯一重要的是天赋和对艺术的热爱。"
"HASH_6FD74818": "她去哪了？"
"HASH_C9911418": "肯定在，也许在楼的另一头。"
"HASH_BBE57018": "我没意见。我的线人说了，下一个家伙身上应该带着好货。"
"HASH_7FB4F418": "我随时准备好了——"
"HASH_39F5D418": "好！"
"HASH_7845FC18": "谢啦！总算有人不是整天念叨那是什么动力装甲了……"
"HASH_E7EAD818": "我觉得最好别为这事太操心。"
"HASH_B76F9C18": "给你。"
"HASH_37080818": "直接上了他然后忘了自己吧，金吉。"
"HASH_DDFC5C18": "好了，我们现在不用担心这个了，对吧？"
"HASH_EA705018": "哦谢谢你，新闻秘书小姐，这个主意听起来完美。"
"HASH_EB05D018": "皮尔斯。这儿到底什么情况。"
"HASH_FEB79418": "马特和我在南门廊。你真该看看这个！"
"HASH_3AB05818": "我欣赏你对细节的讲究，但咱们快撤吧！"
"HASH_09F46818": "现在开始链接序列。"
"HASH_8B678419": "我唯一需要的优势已经在我的体内了。"
"HASH_0CC34419": "还要多久，C.I.D.？"
