# TODO: Translate to Simplified Chinese
# Source: hud_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 1392

"HASH_0FFDDB00": "招募兄弟"
"HASH_99892009": "{ACTION_IMG} 扔出人盾"
"HASH_4EC12D09": "生命 - 回复 3"
"HASH_4ED83109": "你已在门户车库解锁 S.T.A.G. N型强袭枪"
"HASH_EB426609": "你的外星通缉度衰减速度略有加快"
"HASH_3F77F709": "转账上限"
"HASH_E33AF509": "GPS 快捷路线已解锁！"
"HASH_AF7F0409": "演员出身的政客"
"HASH_38C80D0A": "出租车"
"HASH_00E29F0A": "提升"
"HASH_D482090B": "奖励 - 缓存传输速率 2"
"HASH_1C7AF50B": "战士包"
"HASH_481D630B": "所获全部经验值获得 20%% 加成"
"HASH_C900EE0B": "你的帮派现在可以收纳舞娘。"
"HASH_10B8D00B": "与晨星帮任务选择相关的奖励现已生效。"
"HASH_08FB070B": "呼叫薇奥拉来帮忙。"
"HASH_251CDC0B": "呼叫特警支援。"
"HASH_39EB8A0B": "贵宾犬伞裙"
"HASH_B673800C": "超级后援"
"HASH_BB70200C": "液压悬挂开启"
"HASH_24EBFF0C": "传送塔传送点已激活"
"HASH_CD12240C": "小时"
"HASH_3E57690D": "空袭武器"
"HASH_294E6B0D": "弹药 - 特殊 3"
"HASH_B537030D": "声望加成"
"HASH_B3DF640D": "大幅延长追随者阵亡前的持续时间。"
"HASH_29715B0D": "外星塔"
"HASH_8242CD0E": "{DETONATE_CHARGES_IMG} 引爆已投掷的炸药包"
"HASH_6EDB160E": "[format][color:blue]将乔什交还 S.T.A.G.[/format]"
"HASH_8EBA600E": "帮派 - 随从"
"HASH_75A4530E": "升级超级销金窝据点后，你获得的所有声望额外增加 10%%"
"HASH_2218280E": "更快复活追随者。"
"HASH_9F4C370E": "占领三秒压制据点后，你的城市收入转账上限提升。"
"HASH_2455260E": "执法部门的制式霰弹枪。  看见它冲你来就赶紧低头……"
"HASH_02C7DF0F": "{PLANE_ACCELERATE_IMG} 加速 \n{PLANE_BRAKE_REVERSE_IMG} 刹车 + 倒退 \n用 {ANALOG_LS_IMG} 控制滚转和俯仰，让飞机转向。"
"HASH_9C62AA0F": "呼叫后清除警方的恶名"
"HASH_69A1B50F": "杀霸的摔跤手套末日神拳现已可在你的据点武器库获取。"
"HASH_66D4B30F": "你从市中心区域获得的每小时城市收入额外增加 15%%"
"HASH_4E6E5610": "近战"
"HASH_B8D12010": "武器 - 音爆"
"HASH_E9AF8110": "在你的HUB\"手机\"菜单中可以找到丧尸后援。丧尸会在战斗中前来支援"
"HASH_C1BDCD10": "你从斯坦菲尔德区域获得的每小时城市收入额外增加 5%%"
"HASH_CB3D9610": "点数 "
"HASH_E52ADB11": "区域每小时现金"
"HASH_C55F1B11": "你装填所有武器的速度更快"
"HASH_4FE66312": "顶层公寓现在是圣徒据点。在这里可以存取武器库、衣服，并定制你的帮派。"
"HASH_1E776012": "浪人帮喜欢随身携带。这让他们觉得自己很酷，像忍者一样。"
"HASH_66E36912": "访问门户功能"
"HASH_A868B712": "动物园管理员"
"HASH_6600BB13": "你已解锁黄金枪秘籍。"
"HASH_BE776D13": "机器幽灵"
"HASH_3B86BE13": "喔，一块糖！"
"HASH_C1840A14": "武直突击"
"HASH_FEE87914": "[format][color:red]前往机场[/format]"
"HASH_9654E014": "[format][color:Purple]为圣徒帮留住风尘女[/format]"
"HASH_F3343914": "[format][color:red]炸毁大楼[/format]"
"HASH_472BFF14": "载具 - 火星车"
"HASH_1E433214": "一击命中包"
"HASH_FF5A3F14": "Deacon 12-Gauge 的深银武器皮肤。"
"HASH_CF306814": "你的帮派现在可以收纳太空圣徒。"
"HASH_0EEB7114": "充气道具服装已加入你的据点衣橱。"
"HASH_3FCF7314": "添加直升机以使用停机坪"
"HASH_E47F3B15": "这是你的车库。  \n在这里可以存放或取出你拥有的载具。"
"HASH_B172E715": "弹药 - 霰弹枪"
"HASH_D61AFE15": "复活 - 速度 2"
"HASH_332C6515": "在你的HUB\"手机\"菜单中可以找到皮尔斯。他会在战斗中帮助圣徒。"
"HASH_09416016": "TOGO-13"
"HASH_727E0B16": "武器 - 'MERICA 武器"
"HASH_BF587916": "玩家生命值提升 25%%"
"HASH_A04A4716": "霰弹枪瞬间完成装填"
"HASH_A12F4D16": "立即召唤你存放在虚拟车库中的任意载具。"
"HASH_3DBC2416": "按住 {ATTACK_PRIMARY_IMG} 激活火焰喷射器"
"HASH_03265B17": "摩托车操作"
"HASH_BF615E17": "{PICKUP_RELOAD_IMG} 换弹"
"HASH_60641917": "奖励：夜刃成为兄弟"
"HASH_AF637717": "弹药 - 炸药 4"
"HASH_7BCC8B17": "兄弟 - 圣徒后援"
"HASH_102A4617": "护送"
"HASH_D603CC17": "三秒压制现在是圣徒据点。在这里可以存取武器库、衣服，并定制你的帮派。"
"HASH_5DFBD017": "斯坦菲尔德"
"HASH_4852B417": "让一名兄弟空投一架 VTOL。"
"HASH_27842B17": "威廉·夏普"
"HASH_981EB217": "本·金"
"HASH_04E5D818": "琳的复仇"
"HASH_EC169218": "救下肖恩蒂，但杀霸会逃脱"
"HASH_09D46B18": "[format][color:blue]将僵尸病毒交还奥列格[/format]"
"HASH_6CB4B218": "[format][color:blue]接管一家武器制造商[/format]"
"HASH_0A4A8D18": "在你的HUB\"手机\"菜单中可以找到夜刃。他会在战斗中帮助圣徒。"
"HASH_7DCFF118": "重锤枪"
"HASH_28E7E018": "零圣徒三十"
"HASH_74562F19": "载具登入"
"HASH_F518F919": "你可在 Friendly Fire 购买武器与弹药，并升级武器。"
"HASH_2DCFA619": "SILVERLINK - 武器皮肤"
"HASH_C6E61C19": "声望加成"
"HASH_44ACC219": "在你的手机升级菜单中购买新的能力、加成与技能。"
"HASH_A3E05819": "在你的手机\"手机\"菜单中可以找到武器伙计。他会带着全套武器弹药前来参战。"
"HASH_95C04619": "升级"
"EXPLOSIVE_ROCKETLAUNCHER": "RPG"
"HASH_6C497C1A": "这把枪外星人用来放电，也能用来电外星人。挺方便的！"
"HASH_C94AE81B": "生命 - 升级 3"
"SHOTGUN_POLICE": "半自动霰弹枪"
"HASH_130C501B": "任务标题"
"HASH_FC9F651C": "冲刺槽耗尽后，等它重新充满再继续冲刺。"
"HASH_98BB7B1C": "载具 - STAG N-FORCER"
"HASH_CEF6BE1C": "耐力 - 提升 3"
"HASH_DAEC8D1C": "圣徒簿"
"HASH_4599B21C": "落日公园"
"HASH_254B831C": "商店"
"HASH_458A461C": "车库太小，放不下这辆载具"
"HASH_538BE91C": "背叛"
"HASH_B7AF5C1D": "区域每小时现金"
"HASH_7306A41D": "你造成的近战伤害大幅提升。"
"HASH_18E1931D": "火药现在是一座圣徒据点。在这里可以访问武器库和服装，并自定义你的帮派。"
"HASH_4CAA431D": "呼叫医疗救援。"
"HASH_D017061D": "M"
"HASH_5F3F021D": "{0}银色[/format] {1}"
"HASH_93512C1E": "服装店"
"HASH_65BE301E": "奖励 - 经验值 2"
"HASH_1E280D1E": "源木教授的 M.O.M."
"HASH_3EFCE91E": "服装 - 山姆大叔套装"
"HASH_23CD691E": "这个根据地归你了！\n在伯恩斯山核反应堆据点进行自定义与升级，拓展圣徒的势力范围并获取丰厚升级奖励。"
"HASH_C587611E": "从坠落中受到的伤害小幅降低。"
"HASH_20BB001E": "+{0}"
"HASH_7B87061E": "一刀即可瓦解大多数对手。"
"HASH_EE0B941F": "把联系人从赛博帮手里安全带回来。"
"HASH_53AB1A1F": "区域每小时现金"
"HASH_BA1E9B1F": "无限手雷弹药"
"HASH_95157C1F": "用激光\"标记\"目标，然后看着死亡之雨倾泻而下。最好站远点……"
"HASH_CA191D1F": "正在等待其他玩家……"
"HASH_3B092420": "{MELEE_POWER_ATTACK_IMG} 重击 \n{ATTACK_PRIMARY_IMG} 轻击"
"HASH_B7C29C20": "你的帮派现在可以收纳摔跤手。"
"HASH_05560920": "我们希望你穿上这套服装。"
"HASH_3CA81C20": "武器 - TOGO-13"
"HASH_96C7B220": "你确定要把 %ls 踢出游戏吗？\n未保存的任务或活动进度将会丢失"
"HASH_E9DAED20": "商店已锁定，入侵以解锁访问"
"HASH_87545221": "载具 - 探照灯"
"HASH_C7400A21": "弹药 - 特殊"
"HASH_5B396221": "声望加成"
"HASH_16399A21": "Magna 10mm 的深银武器皮肤。"
"HASH_DAA0E421": "在你的HUB\"手机\"菜单中可以找到香蒂。她会在战斗中帮助圣徒。"
"HASH_5DD10521": "小幅延长追随者阵亡前的持续时间。"
"HASH_81ACE921": "一件效果惊人到令人不安的近战武器。"
"HASH_E94B1521": "一把迅捷高效的渗透武器。"
"HASH_4A9F9221": "按 %ls 切换"
"HASH_868BE722": "弹药不足"
"HASH_C4016822": "黑货押运"
"HASH_225E3C22": "高速驾驶以甩开警察并甩脱你的人质。减速会让人质逃脱。"
"HASH_34C7B122": "奖励：丧尸兄弟"
"HASH_60B40122": "帮派 - 招募"
"HASH_CC164922": "随从复活速度提升 30%%"
"HASH_71425622": "升级三秒压制据点后，你的城市收入转账上限提升。"
"HASH_29216322": "据点 - 安吉尔"
"HASH_97748122": "新消息接入"
"HASH_64CF1822": "新解锁！"
"HASH_7352BC23": "你的门户车库现已提供赛勒斯的 VTOL"
"HASH_23FDFF23": "无限冲锋枪弹药"
"HASH_88DAD223": "你从市中心区域获得的每小时城市收入额外增加 5%%"
"HASH_A45B0723": "金吉"
"HASH_E6DA5F23": "聚焦声波能震倒你面前的大多数东西。  蓄力之后，看看会发生什么！"
"HASH_115A1624": "兄弟 - VTOL"
"HASH_8F39D624": "所有随从生命值提升 10%%"
"HASH_9A5E9724": "从赛博帮网络里扒来的赛博帮冲锋枪，真的能用。"
"HASH_0AF7E124": "正在进入禁区"
"HASH_E0C32424": "目标已锁定"
"HASH_FE9A7324": "超自然基情"
"HASH_5AF20325": "救起同伴"
"HASH_A0CF4C25": "生命 - 回复"
"HASH_054C0725": "你的外星通缉度衰减速度大幅加快"
"HASH_4F7B8725": "所获全部缓存获得 10%% 加成。"
"HASH_7BCCF425": "物品 - 太空服"
"Flashbang": "闪光弹"
"HASH_482AEE26": "在暗号据点定制这个根据地，获取丰厚加成。"
"HASH_68F1C226": "机甲服"
"HASH_CD462726": "头号毁灭者"
"HASH_FEB6B127": "与摔跤手帮任务选择相关的奖励已发放。请查看你的据点衣橱与武器库。"
"HASH_F0464527": "带上梅罗当打手。"
"HASH_5E2F7D28": "碾压行人来为火焰喷射器充能！"
"HASH_1434E828": "SILVERLINK - 秘籍"
"PISTOL_POLICE": "速射手枪"
"HASH_450B1B28": "请重新连接无线手柄并按 {PAUSE_MENU_IMG} 继续"
"HASH_56029629": "小地图"
"HASH_37056729": "{ANALOG_LS_IMG} 移动 \n{ANALOG_RS_IMG} 瞄准 \n{TANK_FIRE_SECONDARY_IMG} 发射主武器 \n{TANK_FIRE_PRIMARY_IMG} 发射副武器"
"HASH_EB49C729": "武器库弹药"
"HASH_A13CB82A": "在地板上停留过久会受伤。"
"HASH_57500D2A": "技能 - 吸血鬼"
"HASH_5991672A": "让皮尔斯为你掩护。"
"HASH_3A6BE12A": "警方宽恕"
"HASH_046FEF2A": "{0} 秒"
"HASH_961CDA2B": "纹身店"
"HASH_8CDD952B": "奖励 - 经验值 VIP"
"HASH_0465ED2B": "近战 - 超级力量"
"HASH_B3CDC62B": "你的晨星帮恶名衰减速度加快"
"HASH_F62D6E2B": "将缓存转换为 4,000 经验值"
"HASH_67F8572B": "转账上限"
"HASH_CFB1562B": "前往顶层公寓"
"RADIO_OFF": "关"
"HASH_F82B402B": "切勿惊慌"
"HASH_44EDFB2B": "是时候了！"
"HASH_ADC25E2C": "载具 - 赛博坦克"
"HASH_C4AC032C": "SILVERLINK - 武器皮肤"
"HASH_4AA3852C": "兄弟 - 死神安吉尔"
"HASH_CCF1902C": "在据点的武器库装备 SA3 空袭指示器。"
"HASH_2D2BF32C": "占领三秒压制据点后，你获得的所有声望额外增加 5%%"
"HASH_C7C3972C": "升级超级销金窝据点后，你的城市收入转账上限提升。"
"HASH_5616AE2C": "兑换 - 缓存换经验值 2"
"HASH_6DB25E2C": "蜂群导弹"
"HASH_EBB95E2C": "造成电击伤害，还能麻倒你周围的敌人。"
"HASH_0DD5952D": "转账上限"
"HASH_A04B902D": "呼叫一名出租车司机。"
"HASH_881C002D": "软体动物发射器"
"HASH_0439092D": "你确定要离开当前活动吗？\n开始活动以来的所有进度都会丢失。"
"HASH_4118362E": "兄弟 - 皮尔斯·华盛顿"
"HASH_3EA7A12E": "自动完成整个街区的城市接管玩法"
"HASH_29D8C52E": "呼叫奥列格·基尔洛夫来帮忙。"
"HASH_2EA1732E": "电击锤"
"HASH_69D6A82E": "加速"
"HASH_43BBC32E": "减速"
"HASH_B9D42E2E": "重试还是退出活动？"
"HASH_85D1602F": "UFO 操控"
"HASH_AD61432F": "武器 - 末日神拳"
"HASH_EDB8A32F": "声望加成"
"HASH_7EFF2E2F": "你的据点武器库可多储存 10%% 弹药。"
"HASH_2C198F2F": "专治讲究精准的远距离一击。"
"HASH_20F8DF30": "耐力 - 提升"
"HASH_5D43EB30": "更快装填 2"
"HASH_AB97D330": "亨利米尔斯钢铁厂区"
"HASH_59A13D31": "区域每小时现金"
"HASH_9D08C531": "你造成的近战伤害小幅提升。"
"HASH_6290BD31": "伤害 - 火焰 2"
"HASH_FDF26431": "拳砸大地"
"HASH_2B890032": "坠落受到的伤害大幅降低。"
"HASH_23836A32": "桥港区"
"HASH_557AD032": "快速撂倒你的目标。"
"HASH_745F8A32": "步枪弹药"
"HASH_44A41732": "手枪弹药"
"HASH_2922A633": "武器库存"
"HASH_51095B33": "烈火流星"
"HASH_BDA57B33": "区域每小时现金"
"HASH_1B552F33": "换装出发！"
"HASH_0285F333": "防暴盾牌"
"HASH_0A80C634": "武器 - 喧闹蝗虫"
"HASH_9BD1CD34": "奖励 - 缓存增益 VIP"
"HASH_79511C34": "带上 C.I.D. 一同收集数据。"
"HASH_C3C1C735": "SILVERLINK - 武器皮肤"
"HASH_28E87D35": "声望加成"
"HASH_BBD0F735": "载具 - 乌托尔拦截者"
"HASH_56AD5A35": "载具 - 赛博空间"
"HASH_8404B335": "服装 - STAG 装甲"
"HASH_96F78135": "服装 - 充气道具"
"HASH_2CAB9735": "警察赶到时，你通常忙着躲的就是这玩意。"
"SPECIAL_SNIPERRIFLE": "狙击步枪"
"HASH_0BE91636": "地板危险区"
"HASH_7C2DAF36": "挑战可为你完成高难任务提供加成。通过中枢 {MAP_MENU_IMG} 追踪进度。"
"HASH_9A46AF36": "双持手枪"
"HASH_06C4BA36": "恐惧"
"HASH_170B4836": "{0}金色[/format] {1}"
"HASH_27448937": "生命 - 升级"
"HASH_768B5037": "合作根据地"
"HASH_7C6BBC37": "把人吹胀。"
"HASH_76E95B37": "你必须步行才能激活此触发点"
"HASH_9DF5F437": "接听手机"
"HASH_C0372837": "入侵模拟"
"HASH_6A56F238": "GPS 捷径"
"HASH_A95A4338": "{HELI_UP_IMG} 上升\n{HELI_DOWN_IMG} 下降\n{HELI_STRAFE_LEFT_IMG}/{HELI_STRAFE_RIGHT_IMG} 快速转向"
"HASH_DD49CD38": "车库 - 新载具"
"HASH_11545E38": "Shokolov AR 的深银武器皮肤。"
"HASH_2F2E4A38": "帮派自定义现已在门户可用。"
"HASH_57F9DF38": "召唤丧尸天启降临。"
"HASH_401AB938": "自爆"
"HASH_5F7C8639": "弹药 - 霰弹枪 3"
"HASH_59A1DC39": "弹药 - 手雷 2"
"HASH_60C0A53A": "清除通缉度 - 外星"
"HASH_7636F63A": "在你的据点武器库装备穿透者。"
"HASH_5156183A": "玩家生命值提升 75%%"
"HASH_A824233A": "退出遥控模式"
"HASH_4DED943A": "%ls 的住院费花了 %ls"
"HASH_8C2D3F3A": "最大制止力"
"HASH_DAAFE63B": "SILVERLINK - 发型"
"HASH_BF28B53B": "技能 - 扒手"
"HASH_2C62CF3B": "这件武器不需要描述，若此文本出现在游戏中，请向 Matt Green 反馈。"
"HASH_E39CD23B": "目标完成"
"HASH_CEAD643B": "我的披风呢？"
"HASH_DBA8DE3C": "奖励：永久声望加成"
"HASH_2FB3AC3C": "你从斯坦菲尔德区域获得的每小时城市收入额外增加 15%%"
"HASH_F30A0C3C": "与罗迪·派珀组队。"
"HASH_E4D17F3C": "超能力"
"SHOTGUN_GANG": "泵动式霰弹枪"
"HASH_56EE7D3D": "需要救援"
"HASH_C8B3FA3D": "救起"
"HASH_3DE1AC3E": "奖励 - 缓存传输速率 VIP"
"HASH_D914933E": "帮派自定义"
"HASH_A17EC63E": "所获全部经验值获得 10%% 加成"
"HASH_566D463E": "模拟中现已提供多种硬核的大乱斗活动。\n在地图上查看地点。"
"HASH_CBB98B3E": "城市接管"
"HASH_F37B1D3E": "传送塔"
"HASH_E5FD623F": "帮派自定义"
"HASH_43B5623F": "折扣 - 载具"
"HASH_8A3C9240": "商店入侵"
"HASH_03300540": "{MAP_MENU_IMG} 访问地图\n你的地图显示了可用于打击辛族并获取缓存、经验值与加成的玩法。"
"HASH_9FF60440": "弹药 - 手枪"
"HASH_1047CB40": "大幅延长耐力条长度。"
"HASH_EFE5F940": "升级伯恩斯山核反应堆据点后，你的城市收入转账上限提升。"
"HASH_1F9D5940": "放火好帮手。"
"HASH_FB35BC40": "添加飞机以使用机库"
"HASH_CC529640": "退出模拟"
"HASH_5D88D640": "统帅"
"HASH_7214A741": "每发现一条捷径，GPS 就会更新出更新、更短的路线。"
"HASH_EA7FC841": "金吉的仓库现在是圣徒据点。在这里可以存取武器库与衣服。"
"HASH_E1F7CF41": "你的据点武器库可多储存 10%% 弹药。"
"HASH_06394E41": "罗迪·派珀"
"HASH_72861641": "任务完成"
"HASH_BE36AE41": "此处只能存放水上载具"
"HASH_8CB98542": "通缉度 - 更快衰减 3"
"HASH_CA73A542": "服装店折扣"
"HASH_357D6E42": "STAG 装甲现已可穿戴"
"HASH_D6460942": "伤害 - 载具 4"
"HASH_F0CEE142": "嘲讽"
"HASH_888FD643": "升级"
"HASH_E738C243": "载具 - 喷射摩托"
"HASH_F864FE43": "可携带多 50%% 的冲锋枪弹药"
"HASH_585F3E44": "弹药 - 冲锋枪"
"HASH_E51C5A44": "受到的子弹与激光伤害中等降低。"
"HASH_8B839045": "人盾 - 扔出"
"HASH_05C17C45": "摧毁外星高价值目标以制造大乱斗。"
"HASH_0BF4FA45": "兄弟 - 金吉·肯辛顿"
"HASH_E0D36545": "手机中新增了作弊码。"
"HASH_9AF0DD45": "伤害 - 坠落 3"
"HASH_58EDF646": "载具 - 原型坦克"
"HASH_19FB3D46": "帮派 - 武器 - 冲锋枪"
"HASH_D3E96046": "受到的火焰伤害中等降低。"
"HASH_90A1E346": "%ls 已被踢出游戏"
"HASH_160E8646": "无法存放队友的载具"
"HASH_8737BB46": "黑洞很糟，武器化黑洞更糟。"
"HASH_B54E8B46": "定速巡航已开启"
"HASH_56150246": "{0} 分钟"
"HASH_FE090A47": "高管特权包"
"HASH_70920947": "嗨，仿鹰发型。"
"HASH_E4732F47": "马桶服装已加入你的据点衣橱。"
"HASH_F3057547": "防毒面具已加入你的据点衣橱。"
"HASH_E78C9A47": "罗森橡树区"
"HASH_EAC10947": "现在不能来这里"
"HASH_5D630847": "{0} 分钟"
"HASH_280D1948": "奖励 - 赛博帮"
"HASH_6537C748": "在载具中用{SCAN_IMG}\"保存\"它。\n想之后再开这辆载具，在HUB\"手机\"菜单中使用载具交付。\n\n谁还需要车库呢，直接把载具具现到身边不就行了？"
"HASH_EEB7CB48": "皮尔斯"
"HASH_FB9AFE48": "机枪/火箭弹"
"HASH_12A19D48": "闪耀霰弹枪"
"HASH_198A4148": "长按"
"HASH_5E2A5E49": "弹药 - 步枪 3"
"HASH_07D07349": "帮派自定义"
"HASH_26F93549": "在你的HUB\"手机\"菜单中可以找到VTOL伙计。他会在战斗中给你送来一架VTOL。"
"HASH_0A99DB49": "兄弟们获得小幅生命提升"
"HASH_5CFB514A": "你现在拥有自己的据点了 {MAP_IMG_CRIB}。\n在据点可以存放武器和服装，并进行帮派形象定制。"
"HASH_A0FC0F4A": "弹药 - 炸药 2"
"HASH_AFE72A4A": "帮派 - 生命提升 3"
"HASH_C162A44A": "瞬间装填你的冲锋枪"
"HASH_62C4144A": "米"
"HASH_6E4C024A": "重试或退出活动"
"HASH_EC15BB4B": "老虎护驾"
"HASH_A4D4604B": "兄弟 - 薇奥拉"
"HASH_0C6FD04B": "得益于马特·米勒的黑客技术，武器店价格降低 25%%"
"HASH_3D7E064B": "10,000 经验值。"
"HASH_8011B04B": "生命回复速度大幅加快"
"HASH_1DF76B4C": "按住 {RECRUIT_DISMISS_IMG} 招募追随者"
"HASH_D439BE4C": "占领伯恩斯山核反应堆据点后，你获得的所有声望额外增加 5%%"
"HASH_B2A1024C": "你的帮派现在可以收纳女孩们。"
"WPNCAT_SHOTGUN": "霰弹枪"
"HASH_C74F2B4D": "武器 - 穿透者"
"HASH_5194604D": "武直突击"
"HASH_9C95474D": "无限特殊弹药"
"HASH_4A98354D": "{GAME_CASH}25,000 现金，作为圣徒帮带回风尘女的酬金"
"HASH_336B044D": "被爆炸命中时你永远不会变为布娃娃状态。"
"HASH_84A9A54E": "{SAT_FIRE_GUIDED_IMG} 制导导弹 \n{SAT_FIRE_FREE_IMG} 无制导导弹"
"HASH_9EE5E94E": "官方夜刃祭坛侍者服装。"
"HASH_8831BD4E": "坦尼娅"
"WPNCAT_SPECIAL": "特殊武器"
"HASH_302EEE4F": "现金储藏室"
"HASH_AAB1294F": "肾上腺素模式"
"HASH_6C30104F": "你的门户车库现已提供晨星帮载具"
"HASH_3E502B4F": "无限霰弹枪弹药"
"HASH_7F60A54F": "你的门户车库与停机坪现已提供新的可下载内容。"
"HASH_07078F4F": "这套全身服装能唤醒你内心的武士魂。"
"HASH_04D3904F": "被载具撞击受到的伤害大幅降低。"
"HASH_E3B0A54F": "哎哟喂！  用鱼杂碎招呼那帮旱鸭子，引出神出鬼没的钢埠下水道鲨鱼，没比这更带劲的了。  呦嗬嗬！"
"SPECIAL_INFLATORAY": "充气射线"
"SMG_CYBERSPACE": "赛博冲击枪"
"HASH_2F473250": "坦克操作"
"HASH_7EA03650": "城市接管"
"HASH_F2E5E150": "这是你的衣橱。 \n在这里更换服装。"
"HASH_43694850": "通缉度 - 外星 2"
"HASH_36B02F50": "无敌包"
"HASH_94630F50": "伤害 - 轻武器 4"
"HASH_A278B150": "帮派宽恕"
"HASH_5561EA50": "在空中盯着导弹一路飞向它命中注定的目标。"
"HASH_A3A07250": "没必要看他裸体"
"HASH_466D2851": "元气战车"
"HASH_25614F51": "{DPAD_DOWN_IMG} 开始天体。\n不穿任何衣物时，天体活动可用。"
"HASH_665C1651": "%ls 已存入你的车库"
"HASH_36FA9252": "在你的据点武器库装备死神无人机武器。"
"HASH_7CA92752": "每小时缓存转入 {game_cash}500"
"HASH_286A4052": "中枢现已提供新秘籍。"
"HASH_10FA6C52": "激光束"
"HASH_9A825752": "炸药包"
"HASH_26797753": "兄弟 - 生命提升 2"
"HASH_2BFA4653": "你从新科尔文区域获得的每小时城市收入额外增加 10%%"
"HASH_2D46D753": "伤害 - 爆炸"
"HASH_F755BC53": "物品 - 杀霸的面具"
"HASH_1D9C0553": "萨兰德"
"HASH_830E7554": "空袭必须完整标记目标后，导弹雨才会倾泻而下。"
"HASH_39A30F54": "区域每小时现金"
"HASH_F3055954": "服装 - 钢埠骑士"
"HASH_8D7D1754": "受到的爆炸伤害中等降低。"
"HASH_325BB654": "确认裂缝开局：%ls"
"HASH_D89E7755": "闪耀霰弹枪"
"HASH_57791055": "即时挑战完成"
"HASH_3EA20B55": "记得：在中枢菜单从你拥有的产业收取现金。"
"HASH_0D90A655": "帮派 - 新载具"
"HASH_6AE73F55": "服装 - 猩红炮台"
"HASH_65FD4855": "摧毁晨星帮总部后，获得的所有声望额外增加 10%%"
"HASH_41742855": "你的据点武器库可多储存 10%% 弹药。"
"HASH_C3456255": "地图书签"
"HASH_0D144755": "圣徒化"
"HASH_6BD93956": "兄弟 - 肖恩蒂"
"HASH_01E0F556": "帮派自定义"
"HASH_B1C20B56": "帮派自定义"
"HASH_89C72E56": "可携带多 50%% 的霰弹枪弹药"
"HASH_8F1A7456": "可携带多 100%% 的手雷"
"HASH_888B9656": "小心地撞向路人以窃取他们的缓存！"
"HASH_856ED356": "卡弗岛"
"HASH_B3E8B156": "呼叫一些圣徒增援。"
"HASH_D05FF556": "鲨鱼"
"HASH_3CDE3D56": "M2 榴弹发射器"
"HASH_AE9F6F57": "无限耐力。尽情持续飞行即可。"
"HASH_8DD1C157": "乌托尔用这把全自动狙击步枪，让刺杀要员变得易如反掌。"
"HASH_74A94957": "尤利乌斯会为你撑腰。"
"HASH_01C1E358": "声望加成"
"HASH_2AF56758": "这玩意儿可比空军一号强多了。"
"HASH_DA994658": "收到的全部缓存增加 5%%"
"HASH_4BF0DA58": "升级火药据点后，你的城市收入转账上限提升。"
"HASH_CB4C3C58": "武器库弹药"
"HASH_CF86F358": "武器库弹药"
"HASH_91F2A858": "谢拉角"
"HASH_77FB8A58": "机甲服"
"HASH_F4825E59": "所获全部经验值获得 10%% 加成。"
"HASH_DEDCC559": "加入 {PARTNER_NAME} 的任务"
"Chainsaw": "伐木者"
"HASH_88ED6C5A": "{ACCELERATE_IMG} 加速 \n{BRAKE_REVERSE_IMG} 刹车 + 倒车\n{HANDBRAKE_IMG} 漂移"
"HASH_6A36D15A": "入侵 - 载具投递"
"HASH_5DD1875A": "银龄公主服装，出自《亚马逊女王》第 128 期！"
