# TODO: Translate to Simplified Chinese
# Source: static_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 760

"HASH_95863700": "升级根据地"
"HASH_995E468E": "否"
"HASH_4626A08E": "我需要内德"
"HASH_178A530E": "切换至 精神控制爆破"
"HASH_F1BDFD8F": "火辣"
"HASH_0D6E058F": "不死之身"
"HASH_DF611C0F": "给你一整套武器。"
"HASH_159BCB0F": "人人都得缩水"
"HASH_9477A00F": "ASCII 模式"
"HASH_9FDA808F": "你不能叫车前往该地点。"
"HASH_35D9108F": "上一个"
"HASH_7F21650F": "典狱长击杀"
"HASH_1ADE2F0F": "超级冲刺距离"
"STAT_COOP_ACTIVITIES_COMPLETED": "双人合作：活动完成数"
"HASH_DEA21710": "开始商店入侵"
"HASH_23641F90": "弹匣永远满溢，你再也不需要换弹。"
"HASH_44CA9190": "中雨"
"HASH_203FDB90": "我不再需要裸体了"
"STAT_TOTAL_CASH_EARNED": "缓存总赚取"
"HASH_C2BF2191": "病毒注入"
"HASH_9444BA91": "大家都喝高了。"
"HASH_A9E6F511": "禁用超能力移动。"
"HASH_2E290D91": "我需要嬉皮肖恩蒂"
"HASH_738A3B11": "我需要金"
"HASH_3858EF11": "附加内容"
"HASH_E5A69F12": "轮毂系列"
"HASH_3CC2E092": "购买"
"HASH_1BCFC892": "穿孔饰品"
"HASH_6F213092": "中等"
"HASH_265E6D12": "暂停"
"STAT_DISTANCE_BY_CAR": "驾车里程"
"HASH_209DF393": "返回据点"
"HASH_71483193": "颜色"
"HASH_B23BE313": "切换至 吸血念力"
"HASH_86DAED93": "艰难"
"STAT_MISSIONS_COMPLETED": "任务已完成"
"HASH_85764B94": "步枪"
"HASH_14327914": "武器升级 - 2 级"
"HASH_D7575494": "天生设计"
"HASH_2AADFC14": "取回"
"HASH_ECA86494": "吉米"
"Wrath_of_God": "神之怒"
"HASH_FB617194": "解锁爆破超能力。"
"TOD_Cycle": "切换时间"
"HASH_70E20594": "所有武器获得无限弹药。"
"HASH_80052C14": "操控"
"HASH_9C766894": "胡说八道"
"HASH_FEF59D95": "退出商店\n\n确定吗？"
"HASH_4652AB15": "给予外星坦克"
"Disable_Super_Powers": "禁用超能力"
"HASH_1F245F15": "召唤我的座驾"
"HASH_899B4F95": "我需要奥德卡"
"HASH_87636195": "我需要裸体"
"STAT_WHEELIE_LONGEST_DISTANCE": "最长翘头行驶距离"
"STAT_CIVILIANS_KILLED": "平民击杀数"
"HASH_75C29796": "退出武器店\n\n确定吗？"
"HASH_9D5FCE16": "双轴"
"HASH_94DF9E16": "自定义角色"
"HASH_E6ED8196": "开瓶器"
"HASH_BB61BD16": "哎呀，这秘籍真棒！"
"HASH_45CF2C16": "所有车都试图撞翻你。"
"HASH_3EA9C596": "切换至 闪耀爆破"
"HASH_923E7F16": "是"
"STAT_HOSPITAL_BILLS": "医院账单"
"STAT_DISTANCE_BY_VEHICLE": "载具行驶里程"
"STAT_CASH_EARNED_PER_DAY": "每小时收入"
"STAT_ACTIVITY_RESPECT_EARNED": "活动中赚取的经验值"
"HASH_FFF1DC97": "退出车库？"
"HASH_A3655317": "我需要源木后援"
"HASH_DC0A0318": "去纹身"
"HASH_9C389D18": "你确定要离开天生设计吗？"
"HASH_786EAC18": "纹身"
"HASH_401D2B98": "棒棒糖"
"Unlock_Super_Move": "解锁超级移动"
"HASH_D8DEB498": "路人战争"
"HASH_FC0E6998": "重力车厢"
"HASH_20138D98": "是"
"HASH_31219018": "我需要迅猛龙内德"
"HASH_2F36D218": "切换至 闪耀践踏"
"HASH_6C4F4399": "手枪"
"HASH_8234EA99": "轮胎尺寸"
"HASH_C7E28819": "车库"
"HASH_3F586799": "这处据点现在是你的了。\n你可以在此取用存放的现金、武器、衣物和载具。\n改装它能提升你的风格等级。"
"HASH_76997619": "解锁并购买所有超能力升级。"
"HASH_CED09699": "我需要基思"
"HASH_0E621019": "切换至 爆炸增益"
"HASH_67368799": "切换至 爆裂念力"
"HASH_18871F99": "返回键"
"STAT_TOTAL_DISTANCE_TRAVELLED": "总行驶里程"
"STAT_TOTAL_DAMAGE_TAKEN": "累计承受伤害"
"STAT_CUSTOM_ITEMS_CASH_SPENT": "自定义物品消费"
"HASH_04AB8C1A": "确定要以 {GAME_CASH}{1} 购买 {0} 吗？"
"HASH_9D78669A": "保存套装"
"HASH_4A58CE9A": "龙"
"HASH_722B491A": "大力钳"
"HASH_C7D8E39A": "你的载具免疫伤害。"
"HASH_CB561B9A": "鹰线黄的士"
"HASH_5A5AA49A": "武直突击"
"HASH_4F1BB19A": "出租车"
"STAT_RUNNING_MAN_CASH_EARNED": "元气博士：赚取现金"
"STAT_ACTIVITIES_COMPLETED": "活动完成数"
"HASH_B46F351B": "这会脱掉你身上的所有衣物。\n光溜溜才能天体。\n确定吗？"
"HASH_1331A41B": "整形医生"
"HASH_2692441B": "切换至 重力践踏"
"HASH_EC1C9C1B": "王八蛋"
"HASH_BC7B149C": "你无法再携带此类弹药了。"
"HASH_1FD9499C": "保存"
"HASH_CF1F121C": "现金不足"
"HASH_EE472D9C": "病毒注入"
"HASH_B288C21C": "已购买"
"HASH_1C02691C": "小号"
"HASH_2471EE9C": "电击手"
"HASH_9DEFCC9C": "解锁践踏超能力。"
"HASH_B3F04D1C": "你的钱不够支付这趟车程。"
"HASH_0A55A39C": "我需要马特"
"HASH_1D7D7F1C": "保存游戏"
"STAT_NEIGHBORHOODS_CONTROLLED": "控制地盘数"
"HASH_CB918D9D": "槽位 3"
"HASH_9CBBBC1D": "纹身店"
"HASH_19B1A19D": "天生设计"
"HASH_1F61D09D": "算了"
"STAT_COOP_KILLS": "双人合作：击杀玩家数"
"HASH_4B34C61D": "外星人击杀"
"HASH_535A2A1E": "超高轮廓"
"HASH_5E09629E": "确定要退出载具改装吗？"
"HASH_DCDDB11E": "空投跑车"
"HASH_16478C1E": "龙卷风"
"HASH_53162C1E": "保镖"
"HASH_F505E31E": "超级爆炸"
"HASH_0586949E": "你的载具会撞碎其他车辆。"
"HASH_DD7B139E": "玩家滑稽摔倒"
"HASH_4582D21E": "[format][scale:1.0][image:map_store_surgeon][/format]"
"HASH_033DA99E": "设置"
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "猫捉老鼠：最高得分"
"HASH_0E08371F": "查看装扮"
"HASH_FABB4F1F": "暂无装扮"
"HASH_0B223D1F": "你可以无限冲刺。"
"HASH_1739E120": "配色网格"
"HASH_D3519F20": "愤怒"
"HASH_EB2218A0": "毛茸茸"
"HASH_525F4A20": "大威利出租"
"HASH_63007D20": "修车工"
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "嘲讽总数"
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "多重击杀总数"
"HASH_6BBA09A0": "掠夺者击杀"
"STAT_FLASHPOINTS_COMPLETED": "闪点已完成"
"HASH_17DC7421": "津星"
"HASH_88166A21": "风格"
"HASH_4FB1F521": "解锁并购买所有非超能力升级。"
"HASH_F4DA01A1": "我需要尤利乌斯"
"HASH_7515CDA1": "他妈的"
"HASH_F9E04B21": "爆破击杀"
"HASH_7443C122": "霰弹枪"
"HASH_28250AA2": "近战"
"HASH_6CEE2CA2": "升级"
"HASH_E167FDA2": "蘑菇"
"HASH_D9147A22": "棕色"
"HASH_F6EB2922": "解锁念力超能力。"
"Player_Vehicle_No_Damage": "载具无敌"
"HASH_7B93C3A2": "嗬嗬嗬，王八蛋"
"STAT_VEHICLE_SURFING_LONGEST_TIME": "载具冲浪最长时间"
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "车辆改装消费"
"HASH_5BE9D123": "当前弹药"
"HASH_7E97BBA3": "访问飞船/自定义"
"HASH_57D9C723": "我需要大卫"
"HASH_976B41A3": "切换至 爆裂增益"
"STAT_VEHICLE_CAR": "汽车"
"STAT_TAUNT": "挑衅"
"HASH_7F484F24": "肥胖 {0}%%%%"
"HASH_8F4EDDA4": "后门"
"HASH_00D837A4": "摧毁"
"HASH_25D0F1A4": "切换至 缩小践踏"
"HASH_1C16C5A4": "切换至 闪电念力"
"HASH_9A34F824": "选项"
"STAT_SHOT_HIT_PERCENTAGE": "射击命中率"
"STATS_NO": "否"
"HASH_542AB6A5": "解锁爆破"
"HASH_9F17EA25": "[format][scale:1.0][image:map_other_crib][/format]"
"HASH_F8343FA5": "保存"
"STATS_BLANK_OF_BLANK": "%d / %d"
"HASH_9CC57AA6": "警告"
"HASH_982B94A6": "车轮"
"HASH_1DF962A6": "无"
"HASH_850B38A6": "生锈"
"HASH_BD78BF26": "湿漉漉"
"HASH_BFBF5AA6": "超级践踏"
"Bloody_Mess": "猩红场面"
"HASH_935CF226": "我需要米勒"
"HASH_84742EA6": "保存游戏"
"HASH_F4A56626": "文字冒险碎片已发现"
"HASH_AC02B7A7": "确定要以 {GAME_CASH}{1} 升级 {0:text_tag_crc} 吗？"
"HASH_6BE0C4A7": "病毒注入"
"HASH_11398FA7": "直升机坪"
"HASH_AC528127": "你"
"HASH_FB13D6A7": "我需要罗迪·派珀"
"HASH_86688127": "接线员，挂断"
"STAT_WEAPON_RIFLE": "步枪"
"HASH_0434EF28": "疯狂之城"
"HASH_CD040FA8": "切换至 增益"
"HASH_F6286128": "普通"
"HASH_BF573CA8": "暂停游戏"
"HASH_2B7A1DA9": "购买服装"
"HASH_E8416029": "车身改装"
"HASH_BA6FC9A9": "宜人之日"
"HASH_38205BA9": "通缉度不再生成典狱长。"
"HASH_3C5C9529": "我需要金吉"
"HASH_2B32B2A9": "切换至 吸血念力"
"HASH_758EF42A": "正在购买"
"HASH_7483102A": "你愿意花 %ls 叫这辆车吗？"
"HASH_6EA41CAA": "阴天"
"HASH_F46763AA": "我需要女主人号"
"HASH_B1710E2A": "语音指令"
"HASH_B9368A2A": "我不再想要裸体了"
"STAT_VEHICLES_HIJACKED": "劫持载具数"
"HASH_DB7EF3AB": "缩放 / 旋转"
"HASH_D0A331AB": "选择类别"
"HASH_45B5A12B": "解锁践踏"
"HASH_D1A3D8AB": "解锁增益超能力。"
"HASH_B7205C2B": "我需要长发仔"
"HASH_EA836AAB": "我需要本"
"HASH_7D299D2B": "显示选项菜单"
"HASH_F353FF2B": "旋转"
"HASH_E2C820AC": "从衣橱移除该物品，也会一并移除它所属的套装。"
"HASH_DD71C52C": "价格 {GAME_CASH}{0}"
"HASH_7FE4D02C": "金色"
"HASH_A7FC2BAC": "给予外星悬浮摩托"
"HASH_0BE30D2C": "切换至 爆裂爆破"
"HASH_A945812C": "多人游戏"
"HASH_DA87172C": "确定"
"STATS_YES": "是"
"HASH_B6F77AAD": "西装"
"HASH_C6EACAAD": "无典狱长"
"HASH_A597EEAD": "低重力"
"STAT_SWAT_KILLED": "SWAT 击杀数"
"HASH_3880802D": "忠诚任务已完成"
"HASH_AA19152E": "体型"
"HASH_F2AE7FAE": "病毒注入"
"HASH_8D3B28AE": "武器升级 - 1 级"
"HASH_75A1352E": "吐口水"
"HASH_E42CD02E": "出售中的据点"
"HASH_190C7DAE": "操控选项"
"HASH_684048AE": "音频设置"
"HASH_057F392E": "混蛋"
"HASH_0694B82E": "津亚克雕像已摧毁"
"STAT_TANK_MAYHEM_DAMAGE_DONE": "坦克大破坏：造成伤害"
"STAT_ORBS_FOUND": "已发现簇"
"HASH_23BDCD2F": "队友火力"
"HASH_8910B2AF": "警告"
"HASH_DBAD732F": "安全删除"
"HASH_1E6A302F": "我想要裸体"
"HASH_9C819730": "{GAME_CASH}{0} 每小时"
"HASH_A8280030": "超级圣徒"
"HASH_098BC5B0": "我变巨人了"
"HASH_E45BC2B0": "我需要马特·米勒"
"STAT_FRAUD_CASH_CLAIMED": "诈骗：已申领金额"
"STAT_DIVERSION_CASH_EARNED": "即时挑战赚取现金"
"HASH_8E89CD31": "去修车"
"HASH_259FECB1": "槽位 1"
"HASH_6C2CAA31": "{0}%%% 折扣"
"HASH_0CD86931": "女族长"
"HASH_A81196B1": "所有人都疯了！"
"HASH_857D7CB1": "你的载具质量无限，会撞开其他车辆。"
"HASH_2D302CB1": "切换至 爆炸践踏"
"STAT_NEIGHBORHOODS_EXPLORED": "探索街区数"
"HASH_4A38ADB2": "轮胎花纹"
"HASH_705B98B2": "召唤火箭筒"
"HASH_0A0B1532": "召唤救护车"
"HASH_6B11F532": "切换至 电属性念力"
"HASH_BBEA0C32": "选项"
"STAT_MISSIONS_FAILED": "任务失败数"
"STAT_COOP_TIME_PLAYED": "双人合作：游戏时长"
"HASH_3EEE0BB3": "诺里斯"
"HASH_3627CDB3": "将超能力强度拉满。"
"HASH_8A0140B3": "开始"
"HASH_7C607D33": "开始"
"HASH_7A937D34": "病毒注入"
"HASH_7E94C2B4": "修复载具的全部损伤。"
"HASH_5967C034": "你杀死的人都会炸开。"
"HASH_DF2FF134": "我需要我的恐龙"
"HASH_8E8302B4": "切换至 故障爆破"
"HASH_68B4AC35": "毕晓普"
"HASH_8FF2CF35": "中立"
"HASH_20DEF7B5": "我需要基思·大卫"
"HASH_953A42B6": "退出"
"HASH_6EFCBA36": "淘气"
"HASH_A7CB3DB6": "解锁念力能力。"
"HASH_C6BA6336": "新"
"HASH_A8B8F036": "继续"
"STAT_BRUTES_KILLED": "巨兽击杀数"
"HASH_5A82CEB7": "螳螂"
"HASH_0212FD37": "该死"
"HASH_09A7E037": "否"
"HASH_F85048B8": "前往整形医生处"
"HASH_9DECF3B8": "改装"
"HASH_F07F97B8": "顺从"
"HASH_3794E8B8": "解锁超级移动能力。"
"HASH_B4F92CB8": "切换至 岩石践踏"
"HASH_1F477838": "音频选项"
"HASH_E9333238": "热点已完成"
"STAT_BEST_WEAPON": "最佳武器"
"HASH_F9279CB9": "病毒注入"
"HASH_933049B9": "病毒注入"
"HASH_9F063439": "角色恢复正常"
"HASH_67952EB9": "我需要阿莎"
"STAT_LAW_ENFORCEMENT_KILLED": "执法者击杀总数"
"HASH_C249F53A": "起立"
"Infinite_Ammo": "无限弹药"
"HASH_BD994EBA": "给予现金"
"HASH_DE42B1BA": "合作战役"
"STAT_WEAPON_PISTOL": "手枪"
"STAT_TIME_PLAYED": "总游戏时长"
"HASH_B391E13B": "保存并退出"
"HASH_68078CBB": "80年代"
"HASH_BC23C8BB": "100%% 超能力"
"STAT_HIGHEST_RANK_ACHIEVED": "达到的最高等级"
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "诈骗：总俯冲距离"
"STAT_CAT_MOUSE_CASH_EARNED": "猫鼠游戏：已赚取缓存"
"HASH_19FD32BB": "烈焰：行进距离"
"HASH_04755A3C": "删除"
"HASH_941352BC": "喷射"
"HASH_391FD6BC": "单发即可击杀。"
"STAT_UNARMED_KILLS": "徒手击杀数"
"STAT_TOTAL_CASH_SPENT": "缓存总支出"
"HASH_0E87BF3D": "解锁念力"
"HASH_B659EFBD": "行人雨"
"HASH_43CCA63D": "病毒收集"
"HASH_0A2EADBD": "显示选项"
"HASH_E5A2F8BE": "病毒注入"
"HASH_97B765BE": "车辆"
"HASH_FA896C3E": "套装"
"HASH_A625303E": "王者"
"HASH_50DE5BBE": "我需要赛勒斯"
"HASH_094F983F": "你确定要接受此邀请吗？\n（任何未保存的进度都将丢失）"
"HASH_8524873F": "欢迎来到现实世界。"
"HASH_68D48CBF": "硬核"
"HASH_9DB93BBF": "继续"
"HASH_DF899B40": "你无法脱下身上正穿着的胸罩。"
"HASH_FD2337C0": "病毒注入"
"HASH_68F54F40": "脱掉当前所有衣物"
"HASH_10FF3DC0": "快进"
"HASH_F6D9A740": "切换至 闪耀增益"
"HASH_91E51540": "登录"
"STAT_MISSIONS_ATTEMPTED": "任务尝试数"
"STAT_LUCHADOR_SPECIALISTS_KILLED": "摔跤手帮专家击杀数"
"HASH_425B95C1": "凤凰"
"HASH_804C1CC1": "服装店"
"HASH_FC6A9B41": "本地"
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "诈骗：最长俯冲距离"
"HASH_FD9B5942": "丢弃物品"
"HASH_FA41A4C2": "病毒注入"
"HASH_0DDA2EC2": "双拳"
"HASH_359116C2": "妈咪与女孩"
"HASH_C5ED0642": "的士服务"
"HASH_76B05942": "我需要皮尔斯"
"HASH_B2AB00C2": "切换至 冰冻爆破"
"HASH_A6DE0042": "休闲"
"HASH_FCC95AC2": "手机"
"HASH_97D163C2": "收听津亚克电台的时长"
"HASH_706DF743": "奶昔"
"HASH_AB849FC4": "必需"
"HASH_633D6444": "你永远不会死。"
"HASH_CA60E744": "我需要齐莫斯"
"HASH_08EBC5C5": "主色"
"HASH_D3415845": "已拥有"
"HASH_263750C5": "玉米洞"
"HASH_A8726D45": "你确定要删除这套装扮吗？\n你的衣物仍会保留在衣橱中。"
"HASH_89667EC5": "警察"
"STAT_VEHICLES_DESTROYED": "摧毁载具数"
"HASH_2F17E4C6": "请求治疗"
"HASH_140FC0C6": "[format][scale:1.0][image:map_store_tattoo][/format]"
"HASH_181729C6": "切换至 火焰爆破"
"HASH_2D800446": "杀人机器人击杀"
"HASH_ABAF27C7": "目标位置"
"HASH_14013247": "迪洛"
"HASH_F79F0247": "清除全部现有通缉度。"
"HASH_F870EE47": "直上天堂"
"HASH_A0CD20C8": "病毒注入"
"HASH_1A1A3CC8": "衣柜"
"HASH_84F9F148": "不保存退出"
"HASH_BEFC6B48": "爬行"
"HASH_EE985848": "狂潮模式"
"HASH_1C1718C8": "无限弹匣"
"HASH_74B404C8": "全部升级"
"HASH_59280448": "切换至 力场念力"
"HASH_E9041C48": "显示"
"STAT_TOTAL_RESPECT": "经验值总获取"
"HASH_A2BF0948": "超级跳跃距离"
"STAT_BEAT_COPS_KILLED": "巡警击杀数"
"HASH_6BD467C9": "细节色"
"HASH_889C9FC9": "病毒注入"
"HASH_3C5C24C9": "无法读取该存档，因为文件已损坏或格式无效。"
"HASH_D2228AC9": "修车"
"HASH_8FBCC549": "时间加速。"
"HASH_A108CDC9": "天使护卫"
"HASH_91F4BC49": "手动"
"HASH_0FA1D649": "显示中枢菜单"
"STAT_MASCOTS_KILLED": "击杀吉祥物"
"STAT_AUDIO_LOGS_FOUND": "已找到音频日志"
"HASH_3D0FA44A": "轮胎宽度"
"HASH_5A9431CA": "次要颜色"
"HASH_CDFFF84A": "你的现金不足以修复这辆载具。\n仍要取回吗？"
"HASH_8CCA09CA": "罗曼"
"HASH_2FEABC4A": "我需要肖恩蒂"
"HASH_399AD0CA": "切换至 电属性增益"
"HASH_209891CA": "继续"
"STAT_WEAPON_SNIPER": "狙击枪"
"HASH_D966A84B": "你要购买该物品吗？"
"HASH_2CA8D5CB": "病毒注入"
"HASH_5B8087CB": "辛族之夜"
"HASH_432A1B4B": "我需要强尼"
"HASH_A6E183CB": "读取游戏"
"STAT_VEHICLE_BIKE": "机车"
"STAT_HOMIES_RECRUITED": "招募兄弟数"
"STATS_DISTANCE_FEET": "%0.2fft"
"HASH_B618BFCC": "变焦"
"HASH_42018E4C": "下身"
"HASH_DA90AE4C": "坐姿"
"HASH_5DA5934C": "召唤的士"
"HASH_AB251DCC": "[format][scale:1.0][image:map_store_mechanic][/format]"
"HASH_C09CC44C": "返回"
"HASH_42B8C8CD": "你确定要删除这辆载具吗？"
"HASH_EEEEDACD": "公主"
"HASH_1B1A944D": "ASCII 模式"
"HASH_D702EE4D": "切换至 闪耀念力"
"HASH_5E560E4E": "病毒注入"
"HASH_EA2DFA4E": "删除装扮"
"HASH_BC60BC4E": "躯干纹身"
"HASH_B85CCDCE": "手臂纹身"
"HASH_DF0779CE": "头部"
"HASH_E8A6CCCE": "倒飞"
"HASH_6507D7CE": "搏击俱乐部：已击败敌人"
"HASH_3182C7CF": "槽位 {0} - {1:TEXT_TAG_CRC}"
"HASH_9511154F": "猴子扳手"
"HASH_3878184F": "无敌模式"
"HASH_70D22B4F": "[format][scale:1.0][image:map_store_gun][/format]"
"STAT_WEAPON_SHOTGUN": "霰弹枪"
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "嘲讽警察总数"
"HASH_2BF4BA50": "开始"
"HASH_9E134DD1": "病毒注入"
"HASH_79FE3ED1": "歹徒"
"HASH_C58A6651": "解锁增益"
"HASH_5A0DA951": "我需要圣诞老人"
"HASH_B50C2BD2": "平民"
"HASH_386AE5D2": "我需要梅罗"
"HASH_926EB2D3": "退出电视？"
"HASH_B8753A53": "我需要我的机甲服"
"HASH_BE3DB3D3": "念力投掷次数"
"HASH_1B0BC554": "涂装"
"HASH_CE0493D4": "病毒注入"
"HASH_22C768D4": "放下直升机"
"HASH_ADDFD054": "齐莫斯"
"HASH_6666C454": "战役"
"HASH_0335D055": "丢弃物品"
"HASH_6F5D4255": "病毒注入"
"HASH_92CC6855": "取消"
"HASH_6B5594D5": "身体"
"HASH_F5B355D5": "桑切斯"
"HASH_8549EDD5": "退出演示"
"HASH_B2D427D5": "大乱斗"
"HASH_B9B2A6D5": "切换至 冰冻增益"
"HASH_F370F855": "操控方案"
"HASH_9E91BF55": "显示地图"
"HASH_75D4EF55": "音乐"
"HASH_862EB256": "轮胎花纹 #{0}"
"HASH_8DA9DE56": "升级商店"
"HASH_2BF5D2D6": "!!购买物品"
"HASH_25B7F256": "返回标题画面"
"HASH_96ABF356": "门户"
"HASH_DDF816D7": "该类别下没有可用物品。"
"HASH_E006A0D7": "上身"
"HASH_FFF6B0D7": "龙"
"HASH_B88E2FD7": "所有路人都是吉祥物。"
"HASH_12AAAAD7": "无 HUD"
"HASH_8B6DABD7": "局域网游戏"
"HASH_9CA8E3D7": "接线员"
"HASH_92C18257": "超能力"
"HASH_2C0DB4D8": "已入侵"
"HASH_39F16758": "机库"
"HASH_309CEBD8": "我需要 DJ"
"STAT_STORES_OWNED": "已入侵商店"
"HASH_010D4F59": "切换到商店"
"HASH_8FCEFED9": "你的钱不够去看整形医生。"
"HASH_FEE8A759": "{0}%%% 控制力提升"
"HASH_61759D59": "项链"
"HASH_59061AD9": "约翰逊"
"HASH_6B3B9AD9": "预备嘻哈"
"Disable_Super_Move": "禁用超级移动"
"STAT_WEAPON_RPG": "RPG"
"STAT_VEHICLE_AIRCRAFT": "飞行器"
"STAT_COOP_DEATHS": "双人合作：玩家造成的死亡数"
"HASH_19AB7DDA": "无故障"
"HASH_7C487EDA": "未定义"
"HASH_364DF1DA": "开始游戏"
"HASH_74B3DDDB": "按 {ACTION_IMG} 把这辆载具存入车库"
"HASH_21A430DB": "帮派自定义"
"HASH_E4C8A7DB": "难度"
"HASH_5343FFDB": "淋浴"
"HASH_6B30785B": "漩涡"
"HASH_28F588DB": "所有路人都是妈咪与女孩。"
"HASH_E904CA5C": "超低轮廓"
"HASH_0F64925C": "病毒注入"
"HASH_5F6690DC": "你的缓存不足"
"HASH_4E9DE05C": "切换至 电属性增益"
"HASH_3AA300DD": "低轮廓"
"HASH_0519585D": "拳"
"HASH_3D6ADFDD": "指虎"
"HASH_AAE544DD": "你确定要穿上这套装扮吗？"
"HASH_CB5B475D": "解锁天降死神"
"HASH_E58A3A5D": "小雨"
"HASH_342D2BDD": "我需要强尼·盖特"
"HASH_240F88DE": "自动存档"
"HASH_B8F19CDE": "迷你小不点"
"HASH_BB02CBDE": "大头模式。"
"HASH_FE266D5F": "特殊武器"
"HASH_372F3ADF": "桑切斯"
"HASH_0F5CBD5F": "富兰克林"
"HASH_1C85BD5F": "<TBD>"
"HASH_2F5D725F": "我需要 CID"
"HASH_E6F38CDF": "帮助"
"HASH_82C48A60": "轮毂样式"
"HASH_01679460": "武器店"
"HASH_8C281CE1": "帮派"
"HASH_CA4AAE61": "金色"
"HASH_F23929E1": "挠痒"
"HASH_70A2F2E1": "删除装扮"
"HASH_617AFA62": "标准扁平"
"HASH_C9363E62": "高轮廓"
"HASH_830A1AE2": "你现在拥有这家店铺的分成，将获得 [format][color:highlight]{GAME_CASH}{0}/小时[/format] 的收益存入你老巢的钱柜，并享有所有商品折扣。"
"HASH_F87CCCE3": "珍珠"
"HASH_C00F4B63": "滚烫"
